,fold,Top_n_feats,train,val,test,Ext,Ext_rm_sim_0_6,Ext_rm_sim_0_7,Ext_rm_sim_0_8,Ext_rm_sim_0_9
0,0,140,0.9668749971288525,0.8509899836943862,0.8367892156862745,0.6769887011168636,0.05555555555555558,0.46631578947368424,0.6256807511737089,0.6775086505190311
1,1,140,0.9709342784669796,0.8623816401861659,0.8004656862745099,0.6724951971606266,0.22222222222222224,0.4731578947368421,0.637887323943662,0.6771626297577855
2,2,140,0.9558485959229402,0.8384837042925277,0.8942760942760942,0.6681645013187457,0.22222222222222224,0.4731578947368421,0.6308450704225352,0.6712802768166091
3,3,140,0.9704225869727999,0.8018031189083822,0.7912687265917603,0.6624173748819642,0.22222222222222224,0.4731578947368421,0.6238028169014085,0.6653979238754326
4,4,140,0.9661168741355464,0.8144649446494465,0.8324280282455186,0.681156588844388,0.05555555555555558,0.4531578947368421,0.6419718309859155,0.6837370242214533
5,0,130,0.966276649991042,0.8467039366410437,0.8349509803921569,0.6827358275536453,0.05555555555555558,0.47947368421052633,0.6327230046948357,0.6833910034602075
6,1,130,0.9709342784669796,0.8623816401861659,0.8071323529411765,0.6724951971606266,0.22222222222222224,0.4731578947368421,0.637887323943662,0.6771626297577855
7,2,130,0.9585470755498186,0.8384837042925277,0.8877825877825879,0.6681645013187457,0.22222222222222224,0.4731578947368421,0.6308450704225352,0.6712802768166091
8,3,130,0.970653427231341,0.8018031189083822,0.7893960674157304,0.6681645013187457,0.22222222222222224,0.4731578947368421,0.6308450704225352,0.6712802768166091
9,4,130,0.970283540802213,0.8144649446494465,0.8343291689299294,0.6796587541923089,0.22222222222222224,0.4731578947368421,0.6449295774647887,0.683044982698962
10,0,120,0.9695933995764484,0.8467039366410437,0.8349509803921569,0.6855686887434469,0.05555555555555558,0.47947368421052633,0.6393896713615024,0.6868512110726643
11,1,120,0.9730197080247992,0.873428556144011,0.8071323529411765,0.6724951971606266,0.22222222222222224,0.4731578947368421,0.637887323943662,0.6771626297577855
12,2,120,0.9612455551766969,0.8403219395866454,0.8924242424242425,0.6681645013187457,0.22222222222222224,0.4731578947368421,0.6308450704225352,0.6712802768166091
13,3,120,0.9725426422825852,0.8083820662768031,0.7893960674157304,0.6566702484451825,0.22222222222222224,0.4731578947368421,0.6167605633802817,0.6595155709342561
14,4,120,0.9721807284462886,0.812619926199262,0.8343291689299294,0.6796587541923089,0.22222222222222224,0.4731578947368421,0.6449295774647887,0.683044982698962
15,0,100,0.9731409894203957,0.8590496156533891,0.8367892156862745,0.6927322457751295,0.05555555555555558,0.47947368421052633,0.646056338028169,0.6961937716262976
16,1,100,0.9797350322040332,0.8716364414486706,0.8004656862745099,0.6839894500341896,0.22222222222222224,0.4994736842105263,0.6519718309859155,0.6889273356401384
17,2,100,0.9680558769088385,0.8403219395866454,0.897065897065897,0.6624173748819642,0.22222222222222224,0.4731578947368421,0.6238028169014085,0.6653979238754326
