n_dense1,n_dense2,train_roc,train_roc_std,val_roc,val_roc_std,test_roc,test_roc_std,ext_roc,ext_roc_std
50,200,0.987471278,0.005821181,0.987471278,0.005821181,0.931593764,0.028143078,0.919895152,0.013082545
100,100,0.991632585,0.003342537,0.991632585,0.003342537,0.935804894,0.025754531,0.918709909,0.008669983
100,200,0.99078122,0.003918953,0.99078122,0.003918953,0.936309788,0.024721788,0.917446518,0.012432864
40,40,0.985606038,0.005259202,0.985606038,0.005259202,0.93279199,0.025416286,0.916013806,0.009875818
50,400,0.987423855,0.004644476,0.987423855,0.004644476,0.929950873,0.026711535,0.915733776,0.012538186
30,30,0.983633632,0.005010434,0.983633632,0.005010434,0.932408283,0.023989616,0.912620885,0.007889176
50,100,0.9887584,0.002548957,0.9887584,0.002548957,0.93271053,0.026417974,0.911637524,0.011271285
50,50,0.987144441,0.006718285,0.987144441,0.006718285,0.934600354,0.02825636,0.909963857,0.008805793
