name,roc
xgb_AtomPairFP,0.927566669922829
xgb_Autocorr,0.8973169222754063
xgb_AvalonFP,0.7796229364071505
xgb_Charge,0.7724919409983393
xgb_Connectivity,0.7401582494871544
xgb_Constitution,0.8403503630620949
xgb_Estate,0.8318843411155613
xgb_EstateFP,0.678974960112012
xgb_Fragment,0.7143694441730977
xgb_InfoContent,0.7705382436260623
xgb_Kappa,0.7387092572693823
xgb_MACCSFP,0.7751131516394778
xgb_MAP4,0.9054410471817916
xgb_Matrix,0.84694409169353
xgb_MHFP6,0.8479697828139754
xgb_MOE,0.8426133958516493
xgb_MorganFP,0.8616945068542216
xgb_Path,0.7496988049884405
xgb_PharmacoErGFP,0.7991599101299209
xgb_PharmacoPFP,0.7867213701930904
xgb_Property,0.8175735078636318
xgb_PubChemFP,0.774185145387646
xgb_RDkitFP,0.8405131711764513
xgb_Topology,0.7724268177525967
xgb_TorsionFP,0.8285793363941257
rf_AtomPairFP,0.8903812966038227
rf_Autocorr,0.9197193188108496
rf_AvalonFP,0.8178502816580377
rf_Charge,0.769235778711211
rf_Connectivity,0.808065513985217
rf_Constitution,0.8015694702223959
rf_Estate,0.7734362280616066
rf_EstateFP,0.6266647129692946
rf_Fragment,0.6734394842238938
rf_InfoContent,0.8373872553808082
rf_Kappa,0.6689622610790922
rf_MACCSFP,0.8445345316010552
rf_MAP4,0.868678974960112
rf_Matrix,0.8434111556119956
rf_MHFP6,0.8114030803295236
rf_MOE,0.83312168278467
rf_MorganFP,0.8979193122985248
rf_Path,0.7857119598840807
rf_PharmacoErGFP,0.8403666438735308
rf_PharmacoPFP,0.8175572270521964
rf_Property,0.7790531080069031
rf_PubChemFP,0.785011884992348
rf_RDkitFP,0.859398912441796
rf_Topology,0.7202305362899287
rf_TorsionFP,0.8525284100159551
fcnn_AtomPairFP,0.9248192310333252
fcnn_Autocorr,0.8334193229675293
fcnn_AvalonFP,0.8563972115516663
fcnn_Charge,0.9069163203239441
fcnn_Connectivity,0.9064979553222656
fcnn_Constitution,0.8765212297439575
fcnn_Estate,0.9007257223129272
fcnn_EstateFP,0.8465598821640015
fcnn_Fragment,0.7965754270553589
fcnn_InfoContent,0.888974666595459
fcnn_Kappa,0.910041332244873
fcnn_MACCSFP,0.86496901512146
fcnn_MAP4,0.9314308166503906
fcnn_Matrix,0.9015495777130127
fcnn_MHFP6,0.8735898733139038
fcnn_MOE,0.9037706255912781
fcnn_MorganFP,0.9173837900161743
fcnn_Path,0.8559556007385254
fcnn_PharmacoErGFP,0.8995170593261719
fcnn_PharmacoPFP,0.8918595314025879
fcnn_Property,0.899121880531311
fcnn_PubChemFP,0.8605630397796631
fcnn_RDkitFP,0.8959168195724487
fcnn_Topology,0.9156198501586914
fcnn_TorsionFP,0.9085950255393982
lr_AtomPairFP,0.9026895900491682
lr_Autocorr,0.802236983491257
lr_AvalonFP,0.6662270847579044
lr_Charge,0.814333626387939
lr_Connectivity,0.7309758718374524
lr_Constitution,0.703396177265475
lr_Estate,0.7493080655139852
lr_EstateFP,0.5992315457002377
lr_Fragment,0.5162156881898994
lr_InfoContent,0.755820390088242
lr_Kappa,0.7287942431050765
lr_MACCSFP,0.6261437270033539
lr_MAP4,0.8490117547458566
lr_Matrix,0.7348995473934421
lr_MHFP6,0.7850607274266549
lr_MOE,0.8372081664550162
lr_MorganFP,0.7975481097977923
lr_Path,0.7098759402168604
lr_PharmacoErGFP,0.8132428120217511
lr_PharmacoPFP,0.5471003874833121
lr_Property,0.6990166389892872
lr_PubChemFP,0.6350493308586499
lr_RDkitFP,0.5967568623620202
lr_Topology,0.7656051577610627
lr_TorsionFP,0.5774315391879131
dmpnn_AtomPairFP,0.9008661391683761
dmpnn_Autocorr,0.773061769398587
dmpnn_AvalonFP,0.6236690436651362
dmpnn_Charge,0.7787112109667546
dmpnn_Connectivity,0.7439353977402233
dmpnn_Constitution,0.7797531828986356
dmpnn_Estate,0.7363811012340855
dmpnn_EstateFP,0.6386636709973625
dmpnn_Fragment,0.5573084562534597
dmpnn_InfoContent,0.8088307121226922
dmpnn_Kappa,0.7445215069519064
dmpnn_MACCSFP,0.7138647390185927
dmpnn_MAP4,0.8333821757676403
dmpnn_Matrix,0.7613070235420534
dmpnn_MHFP6,0.8296375891374427
dmpnn_MOE,0.8289049526228387
dmpnn_MorganFP,0.8097261567516525
dmpnn_Path,0.6853570381947837
dmpnn_PharmacoErGFP,0.8517794926899156
dmpnn_PharmacoPFP,0.7158672788251765
dmpnn_Property,0.7605255445931425
dmpnn_PubChemFP,0.7271010387157695
dmpnn_RDkitFP,0.8095470678258605
dmpnn_Topology,0.7800462375044773
dmpnn_TorsionFP,0.7295268796196803
svm_AtomPairFP,0.902005795968871
svm_Autocorr,0.5155318941096024
svm_AvalonFP,0.8193643971215526
svm_Charge,0.7770831298231904
svm_Connectivity,0.7503825990687376
svm_Constitution,0.7523688580638859
svm_Estate,0.8008856761420989
svm_EstateFP,0.6863338868809221
svm_Fragment,0.57912474357722
svm_InfoContent,0.7171371821171566
svm_Kappa,0.8054443033440787
svm_MACCSFP,0.7778646087721012
svm_MAP4,0.8608641854710039
svm_Matrix,0.5914004753996939
svm_MHFP6,0.9193937025821366
svm_MOE,0.590586434827912
svm_MorganFP,0.9094298459835238
svm_Path,0.76363517957735
svm_PharmacoErGFP,0.8505421510208069
svm_PharmacoPFP,0.8199667871446713
svm_Property,0.7260427859724529
svm_PubChemFP,0.7828790986942789
svm_RDkitFP,0.8699488782520921
svm_Topology,0.7658819315554687
