smiles,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCc1cc(C)c(c(c1)C)c1ccc(c2c1CC[C@H]2Nc1ccc(nc1)[C@H]1C[C@@H]1C(=O)O)F,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,5,9,15,2,3,5,23,15,14,12,11,8,6,4,0,0,0,0,0,0,0,0,18,11,9,6,5,3,2,1,0,0,0,0,0,0,0,0
OCc1cc(C)c(c(c1)C)c1ccc(c(c1)CNc1ccc(nc1)[C@H]1C[C@@H]1C(=O)O)F,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,5,7,10,2,2,3,22,14,13,11,9,6,4,3,0,0,0,0,0,0,0,0,17,10,8,5,4,2,1,0,0,0,0,0,0,0,0,0
Oc1[nH]c(=O)sc1Cc1ccc(cc1)Oc1ccc(cc1)F,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,5,1,1,1,15,10,9,7,6,4,2,2,0,0,0,0,0,0,0,0,12,7,5,3,2,1,0,0,0,0,0,0,0,0,0,0
Oc1[nH]c(=O)sc1Cc1ccc(cc1)Oc1ccc(cc1)Cl,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,5,1,1,1,15,10,9,7,6,4,2,2,0,0,0,0,0,0,0,0,12,7,6,4,2,1,0,0,0,0,0,0,0,0,0,0
Oc1[nH]c(=O)sc1Cc1ccc(cc1)Oc1ccc(cc1)C,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,5,1,1,1,15,10,9,7,6,4,2,2,0,0,0,0,0,0,0,0,12,7,6,4,2,1,0,0,0,0,0,0,0,0,0,0
OC(=O)COc1cc(C)c(c(c1)C)c1ccc(c2c1CC[C@H]2Nc1ccc(nc1)[C@H]1C[C@@H]1C(=O)O)F,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,6,10,15,2,3,5,25,17,16,13,11,8,6,5,0,0,0,0,0,0,0,0,20,11,9,6,5,3,2,1,0,0,0,0,0,0,0,0
OC(=O)CCCc1ccc(cc1)c1ccc2c(c1)n(nc2C)c1ccccn1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,6,9,1,1,2,19,13,12,10,8,7,5,3,0,0,0,0,0,0,0,0,15,9,6,4,3,2,1,0,0,0,0,0,0,0,0,0
OC(=O)CCc1cccc(c1)c1ccc2c(c1)n(nc2C)c1ccccn1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,6,9,1,1,2,18,13,11,9,8,7,4,3,0,0,0,0,0,0,0,0,14,8,6,4,3,2,1,0,0,0,0,0,0,0,0,0
OC(=O)CCc1ccc2c(c1)nc(o2)Nc1c(Cl)c(Cl)cc(c1Cl)Cl,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,6,10,2,2,3,18,11,11,9,7,5,3,2,0,0,0,0,0,0,0,0,15,8,6,4,3,2,1,0,0,0,0,0,0,0,0,0
OC(=O)CCc1ccc2c(c1)CCCC(O2)c1cccc(c1)c1c(C)cccc1C,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,7,10,1,2,3,21,14,13,10,9,7,5,3,0,0,0,0,0,0,0,0,17,10,8,5,4,3,1,1,0,0,0,0,0,0,0,0
OC(=O)CCc1ccc2c(c1)cc(o2)c1cccc(c1)c1c(Cl)cccc1Cl,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,7,10,1,2,3,19,13,12,10,8,7,5,3,0,0,0,0,0,0,0,0,16,9,7,5,3,2,1,0,0,0,0,0,0,0,0,0
OC(=O)CCc1ccc2c(c1)cc(o2)c1cccc(c1)c1c(C)cccc1C,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,7,10,1,2,3,19,13,12,10,8,7,5,3,0,0,0,0,0,0,0,0,16,9,7,5,3,2,1,0,0,0,0,0,0,0,0,0
OC(=O)CCc1ccc2c(c1)cc(o2)c1cccc(c1)c1c(C)cc(cc1F)C,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,7,11,1,2,2,20,13,13,10,9,7,5,3,0,0,0,0,0,0,0,0,16,9,7,5,3,2,1,0,0,0,0,0,0,0,0,0
OC(=O)CCc1ccc2c(c1)cc(o2)c1cccc(c1)c1c(C)cc(cc1C)F,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,7,11,1,2,3,20,13,13,10,9,7,5,3,0,0,0,0,0,0,0,0,16,9,7,5,3,2,1,0,0,0,0,0,0,0,0,0
OC(=O)CCc1ccc2c(c1)cc(o2)c1ccc(cc1)C(F)(F)F,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,5,7,1,1,1,17,11,11,8,6,5,3,3,0,0,0,0,0,0,0,0,12,7,5,3,2,1,1,0,0,0,0,0,0,0,0,0
OC(=O)CCc1ccc(cc1F)OCc1cccc(c1)c1c(C)cc(cc1C)Oc1cccc(n1)C,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,8,11,1,2,3,25,17,16,12,10,8,5,3,0,0,0,0,0,0,0,0,20,11,8,5,4,2,1,0,0,0,0,0,0,0,0,0
