threshold,topN,train_f1,train_f1_std,val_f1,val_f1_std,test_f1,test_f1_std,ext_f1,ext_f1_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.9,Top20,0.9941117848547598,0.0006200323881725,0.9941117848547598,0.0006200323881725,0.9418836987468866,0.0107875805943475,0.941358677915346,0.0059411873134694,0.0,0.0,0.6866589707333598,0.0207458835448426,0.8823937504521,0.016649301497251,0.9319549576236268,0.0079981723509218
0.9,Top25,0.9967644199055689,0.0012804139451552,0.9967644199055689,0.0012804139451552,0.94208253363395,0.0115840654312415,0.9400364305071868,0.0035557701682441,0.0,0.0,0.6977260065117804,0.0242564812910775,0.8779738855838147,0.0110676821603773,0.930050018012545,0.0043584239463235
0.85,Top20,0.9941929218447492,0.0008784030446783,0.9941929218447492,0.0008784030446783,0.9424740836179334,0.0093004233101962,0.93932963388661,0.0037474491798831,0.05,0.1118033988749894,0.6806394657149037,0.0424826347473132,0.8839700442130297,0.007674166963235,0.929701068221801,0.0043958927950122
0.9,Top15,0.9924346962055456,0.0010273016841452,0.9924346962055456,0.0010273016841452,0.9407879831840148,0.0071081945725004,0.9390508622671948,0.0139447667887663,0.0,0.0,0.6790173656131102,0.0151655652041235,0.8762203035024477,0.03154302031782,0.9286962934325268,0.0161592423363798
0.9,Top30,0.9970859520941694,0.0007200545610439,0.9970859520941694,0.0007200545610439,0.9417164292862747,0.012803788060424,0.938722356718463,0.005023664152671,0.0,0.0,0.6932674469893039,0.0299478787493223,0.8744867080268218,0.0101831933581449,0.928411308518279,0.0055968521603971
0.85,Top15,0.9916037484048608,0.0012156077785289,0.9916037484048608,0.0012156077785289,0.9443163633034511,0.0061912844600471,0.9360695810470772,0.009831303031782,0.09,0.1244989959798873,0.6964480482204364,0.0283887670209972,0.8768629054108874,0.0243399915077431,0.9262587100030946,0.0115675475929895
0.9,Top40,0.9983826217311992,0.0003971626332824,0.9983826217311992,0.0003971626332824,0.9438147044482216,0.0106767256091896,0.935967927057508,0.0040798313405197,0.0,0.0,0.6477876611099478,0.0243052081982863,0.8701673310012531,0.0080421017603939,0.9252298151273386,0.0046824326836755
0.95,Top130,0.9960056132006728,0.0008564259944339,0.9960056132006728,0.0008564259944339,0.9436970789522766,0.0065360762205105,0.9352771938513502,0.003054086597827,0.0,0.0,0.6610593208226735,0.0435369943008115,0.8695090885367271,0.0087371135451429,0.9250746013334588,0.0040966197073048
0.85,Top30,0.9970490267346724,0.0006733307147666,0.9970490267346724,0.0006733307147666,0.9427405284959988,0.0088777288112855,0.9341313647432756,0.0059427783722065,0.0,0.0,0.6301685586515309,0.0349623748455292,0.8706525060111436,0.0105067628414285,0.923484534687238,0.0071526025768314
0.95,Top100,0.9965188764971676,0.0006443902845284,0.9965188764971676,0.0006443902845284,0.942430492254144,0.006886364410359,0.9340491213627062,0.0069487511768645,0.0,0.0,0.6669844972071741,0.0204427129232238,0.8651604983079034,0.0144217217235449,0.9228184989855932,0.0081474977921385
0.85,Top25,0.996452248193721,0.0011643196668622,0.996452248193721,0.0011643196668622,0.945395523468214,0.0075531574608517,0.9330766402943872,0.0068256575588633,0.1222222222222222,0.1138550085106622,0.645787728026534,0.0343267960548007,0.8694270631718976,0.0126532736436573,0.9222625402692924,0.0081922463613465
0.85,Top10,0.993515083554106,0.0011613137339977,0.993515083554106,0.0011613137339977,0.9448898878603884,0.0096026601025424,0.9327445991122508,0.0133017524504162,0.08,0.1788854381999831,0.6913692987024801,0.0566447177523207,0.8647840087494018,0.034619707761662,0.922619167295426,0.0161914828098838
0.95,Top120,0.9963324425768814,0.0007856575951852,0.9963324425768814,0.0007856575951852,0.9448029291064236,0.0070315934802185,0.9324179973691504,0.0020306941877759,0.0,0.0,0.6484938729329678,0.0365652323648,0.8614551886104287,0.0062984836724776,0.9209599517469964,0.0025136165305364
0.95,Top140,0.996240203830678,0.0006048291550635,0.996240203830678,0.0006048291550635,0.9437560079588068,0.0080529401868351,0.9314191658456932,0.0039043526771282,0.0,0.0,0.6369068791685941,0.0444806516751194,0.8617669247474563,0.0080143212341109,0.92013656445719,0.0050955959963774
0.9,Top60,0.9974070191283358,0.000647232566461,0.9974070191283358,0.000647232566461,0.9418387372375812,0.0110266916666618,0.930596841597738,0.0049960875433689,0.0,0.0,0.6417133687245886,0.0655816615670506,0.8582289542532318,0.0077002689789722,0.9187683034497856,0.0054827840425832
0.8,Top15,0.9890077364660376,0.0028903766397357,0.9890077364660376,0.0028903766397357,0.9452015289042204,0.0064186717467844,0.9305614318937738,0.0079421681282961,0.1277777777777777,0.1204415743815488,0.6593993059910531,0.0135357464833314,0.8677467603111111,0.0200360644348462,0.9194183313617528,0.0091673228705574
0.8,Top10,0.9931774524713898,0.001948450240858,0.9931774524713898,0.001948450240858,0.9422477629450536,0.0098392226089662,0.9297645224325392,0.0077269054900111,0.0971428571428571,0.1364267015578665,0.6806240904321929,0.0409697195916085,0.860855650115411,0.0231746168621557,0.9188550823242098,0.0099026484174009
0.9,Top50,0.9974518185550366,0.0009373405920506,0.9974518185550366,0.0009373405920506,0.9408070667340388,0.0103969405817132,0.9293147587845578,0.0049580353714687,0.0,0.0,0.6291193836632882,0.0568578203282963,0.856966360654285,0.0102607133405849,0.9182251260945588,0.0059803374257815
0.85,Top40,0.997601308397092,0.0004452532603838,0.997601308397092,0.0004452532603838,0.9432916652047332,0.0110989117552271,0.9290510545297688,0.0068853957230987,0.1222222222222222,0.1138550085106622,0.6157771179092106,0.0318858805187445,0.8626147776761055,0.0129949563270106,0.9178028776411756,0.0084280508309083
0.8,Top20,0.9900222530569932,0.0013651096646702,0.9900222530569932,0.0013651096646702,0.9454757944514662,0.0073305726259687,0.9285375868262812,0.0063923258787742,0.1222222222222222,0.1138550085106622,0.6431463658905571,0.0267751154243001,0.8665052539001067,0.0123905117857677,0.9171811222421568,0.0079212188823842
0.9,Top120,0.9976828887624212,0.0005929417310567,0.9976828887624212,0.0005929417310567,0.9423586082904024,0.0082498401659532,0.9275431473665942,0.0058871150339302,0.0,0.0,0.6188404894969259,0.0427811198220597,0.8550570654450584,0.0099191273651748,0.9161968951998808,0.0068239438825789
0.85,Top50,0.9972736666029852,0.0005473728802606,0.9972736666029852,0.0005473728802606,0.9404525055877994,0.0097918482400044,0.9274848413154562,0.0073329926560584,0.1222222222222222,0.1138550085106622,0.6231825396825397,0.0505453099433451,0.8586857657324675,0.0155535251921399,0.915559231601314,0.0087877233053746
0.9,Top100,0.9977754395790128,0.0004838772738071,0.9977754395790128,0.0004838772738071,0.9410711288092142,0.0077066088013611,0.9273416149450154,0.0055714464420567,0.0,0.0,0.6210525536955238,0.0316801269266351,0.8554383428939343,0.0075747391330994,0.915657285361844,0.0057795383749885
0.8,Top30,0.9937994953262234,0.0013694333468822,0.9937994953262234,0.0013694333468822,0.9426450597726848,0.0087277619411423,0.927190622381378,0.0068504909977744,0.1222222222222222,0.1138550085106622,0.6213872499965589,0.0365417806809016,0.862410310976216,0.0122787718396861,0.9152519658166648,0.0081677622594682
