threshold,topN,train_Precision,train_Precision_std,val_Precision,val_Precision_std,test_Precision,test_Precision_std,ext_Precision,ext_Precision_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.1,Top10,0.7992623794730678,0.036281967779618,0.7992623794730678,0.036281967779618,0.7807134192788271,0.019155156347624012,0.8075324675324674,0.01176113676477167,0.22000000000000003,0.06708203932499368,0.4031746031746032,0.014197256999998645,0.6872650323045406,0.019078133393494533,0.7786337955829481,0.013207386615946401
0.1,Top100,0.8243550449552435,0.01024705847884806,0.8243550449552435,0.01024705847884806,0.7790590772862471,0.013973136053905611,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.1,Top120,0.8899286229549708,0.030145613717929693,0.8899286229549708,0.030145613717929693,0.8006924725495284,0.021440547064688086,0.8021826465106647,0.00020142670743681003,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.1,Top130,0.9023016035486032,0.0241653970166108,0.9023016035486032,0.0241653970166108,0.8016932581502394,0.02324229311795741,0.8020925657486021,0.00024669632689450915,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.1,Top140,0.9127189801805375,0.021008572366539607,0.9127189801805375,0.021008572366539607,0.8081415049490175,0.018584667026593935,0.8020925657486021,0.00024669632689450915,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.1,Top15,0.7945357124431571,0.02982865479154112,0.7945357124431571,0.02982865479154112,0.7778261430599166,0.014156153426638564,0.8050739957716703,0.006263826786865197,0.23636363636363633,0.030491836056815328,0.39881624966370727,0.004451682279660617,0.68327078552894,0.010146726084342085,0.7758741258741259,0.007036577551572774
0.1,Top20,0.7810762007945107,0.0024145199928417077,0.7810762007945107,0.0024145199928417077,0.7746397694524496,0.0110491582205653,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.1,Top25,0.7810762007945107,0.0024145199928417077,0.7810762007945107,0.0024145199928417077,0.7746397694524496,0.0110491582205653,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.1,Top30,0.7810762007945107,0.0024145199928417077,0.7810762007945107,0.0024145199928417077,0.7746397694524496,0.0110491582205653,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.1,Top40,0.7810762007945107,0.0024145199928417077,0.7810762007945107,0.0024145199928417077,0.7746397694524496,0.0110491582205653,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
