threshold,topN,train_cohen_kappa,train_cohen_kappa_std,val_cohen_kappa,val_cohen_kappa_std,test_cohen_kappa,test_cohen_kappa_std,ext_cohen_kappa,ext_cohen_kappa_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.9,Top15,0.965900794293136,0.0047409442165059,0.965900794293136,0.0047409442165059,0.742858146463789,0.0377135534458304,0.6910623947245943,0.0446038182290034,-0.2071428571428571,0.0586845597326964,0.4480081474762989,0.0310581130348338,0.6245098686692201,0.0563795565121404,0.6851917985119143,0.0445373125273653
0.9,Top20,0.9733630662755712,0.0029165498325284,0.9733630662755712,0.0029165498325284,0.7420864950722776,0.0575816480317431,0.6838838300558431,0.0143189598870136,-0.2861471861471861,0.1158984295887881,0.4287450480695342,0.0339911926708818,0.6164854088307173,0.0334723997211612,0.6813491794704826,0.0224802465443829
0.85,Top10,0.9705643715256788,0.0054117584446693,0.9705643715256788,0.0054117584446693,0.749765103638393,0.0531742085259773,0.6654075040494802,0.0357409759531819,-0.0642857142857142,0.1756910553749834,0.4854007764416806,0.0653153612638491,0.6014435158674021,0.0571549262426746,0.6655955305405703,0.0394795587192268
0.9,Top25,0.9852037575334784,0.0059585988719576,0.9852037575334784,0.0059585988719576,0.7342327701720104,0.0644809466646645,0.6618047409944334,0.0199059744436921,-0.3542424242424242,0.0772905505291683,0.4249597722850381,0.0641290825508843,0.5820267674017777,0.0208129006327906,0.6584617986367364,0.0171247326295415
0.9,Top10,0.9650530856283244,0.0031907035460316,0.9650530856283244,0.0031907035460316,0.7398731913719864,0.0539891225110268,0.6618012851864984,0.0571007883027555,-0.1428571428571428,0.0,0.4021694535486116,0.0764158945302717,0.5758841677692275,0.076248188140177,0.6542024360248468,0.058436691620933
0.9,Top30,0.9867065844892852,0.0033507119368863,0.9867065844892852,0.0033507119368863,0.7326108702296041,0.0673990049079218,0.660210025845586,0.0309875174329517,-0.3766666666666666,0.0924962461700773,0.4105204890821093,0.0755766871551167,0.5778962241793673,0.0300449100041739,0.6563268616535358,0.0283799692513282
0.95,Top100,0.9843129523475465,0.0027682030994134,0.9843129523475465,0.0027682030994134,0.7538890706743944,0.033832565121079,0.6530607551984154,0.0297566597336961,-0.4327272727272727,0.0298757758639182,0.350006552844618,0.048363688226025,0.558647130788873,0.0352192488452059,0.6444000915465784,0.0295421185314461
0.95,Top130,0.9820426420737748,0.0036520903889555,0.9820426420737748,0.0036520903889555,0.7572122936301033,0.0313077409802429,0.6506440206963433,0.0272675960446384,-0.4042424242424242,0.0737802559686458,0.3353396025145726,0.1172711144085918,0.5599869652618941,0.0450160806767271,0.6454761543663318,0.0308934432518641
0.95,Top25,0.9613045804255684,0.0028989453506379,0.9613045804255684,0.0028989453506379,0.7412718160410943,0.0469545288341421,0.6440103617303765,0.0482772035077693,-0.1428571428571428,0.0,0.4440266145006303,0.0596627126098849,0.5237820955382816,0.0721107750699552,0.6320373648799997,0.0481168868315907
0.95,Top20,0.9313242335630584,0.0044552320729908,0.9313242335630584,0.0044552320729908,0.7303961632870588,0.0454762360612249,0.639634254816253,0.048020609136611,-0.1428571428571428,0.0,0.4829952703699861,0.0475279469094445,0.5026652261003541,0.0722992933603058,0.6245349452845982,0.0506277422631244
0.95,Top15,0.9182219623216172,0.0167558765243852,0.9182219623216172,0.0167558765243852,0.7178303590736486,0.045867151089962,0.6369312472043914,0.0465480426748983,-0.1142857142857142,0.0638876564999939,0.4330062974413891,0.0754430094907384,0.5138601594320302,0.0736194142399606,0.6249142426228518,0.054515351434568
0.95,Top120,0.9834852407628047,0.0034004473357778,0.9834852407628047,0.0034004473357778,0.7623928802170512,0.0324378109757319,0.6367919393074916,0.02797817918442,-0.4309090909090908,0.0452723621745045,0.3038423946542924,0.1019112684901035,0.5354190176220326,0.0420477386813363,0.6267857553680254,0.0302700932837791
0.85,Top15,0.9613269276777426,0.0061786293216739,0.9613269276777426,0.0061786293216739,0.7381681977942651,0.0339921770218141,0.6320917993022224,0.0320082742401709,-0.2229070929070928,0.1183101893367486,0.4331253717553983,0.0585060387795154,0.5741117047148385,0.0397380789844856,0.6330911417625478,0.0324812258579191
0.95,Top40,0.9713202107195736,0.0045565604014452,0.9713202107195736,0.0045565604014452,0.7524025690463205,0.039794715775393,0.6269266577632759,0.0155206841376821,-0.2909090909090909,0.0914755081704459,0.4487153019417215,0.0514342761184556,0.5055684126905209,0.0203479713168758,0.614571808886086,0.0141508600893735
0.85,Top20,0.9731639275897386,0.0041509976658302,0.9731639275897386,0.0041509976658302,0.7231058221267924,0.0518800247708425,0.6258765259828135,0.0427751736083006,-0.339090909090909,0.167677376170248,0.3717722624673831,0.1018050892010741,0.5654672839138815,0.0541651549944133,0.6255939027222153,0.0433986241791998
0.9,Top40,0.9925967505259738,0.0018680585436642,0.9925967505259738,0.0018680585436642,0.7381925617765036,0.0613945070656005,0.6239208752516371,0.0310187836361332,-0.4527272727272727,0.035442888526578,0.2922700948892465,0.064282872582879,0.5327234571970658,0.034522653176129,0.6195556979239185,0.0287428199255052
0.95,Top30,0.9607452237773336,0.004502760601142,0.9607452237773336,0.004502760601142,0.7468124218546277,0.0329575614743692,0.6237116854768204,0.0304427842377029,-0.1942857142857142,0.1149977816999891,0.4089691433408712,0.0647995442676991,0.4968800414496348,0.0413359467638651,0.6106248637361401,0.0303244158401018
0.95,Top140,0.983060773852224,0.0026625677439146,0.983060773852224,0.0026625677439146,0.7566744663358924,0.0395943921990794,0.622036583357765,0.0338571428102328,-0.4309090909090908,0.0452723621745045,0.2767219850267652,0.1157105086731134,0.5242806991283901,0.0485785188197998,0.6135789089631626,0.0373281524571954
0.95,Top50,0.9784840778529748,0.0037302472565445,0.9784840778529748,0.0037302472565445,0.7626131925575168,0.0365712828999168,0.6206946100827327,0.0245463244538784,-0.3028138528138527,0.1153915166461703,0.4096727780251059,0.0812423568312717,0.51095989640463,0.0359945821275354,0.6126055070431816,0.0296847217306779
0.95,Top60,0.9760291828944988,0.0053271558494749,0.9760291828944988,0.0053271558494749,0.7514182687164734,0.0389450050373884,0.6194260276824355,0.0330398579374874,-0.3056277056277056,0.1566118656913595,0.3971189447602133,0.0801702454223842,0.5045405513740702,0.0437573224600624,0.6087920217556151,0.0320930438440663
0.8,Top10,0.9684839658040888,0.009650145090907,0.9684839658040888,0.009650145090907,0.7267344907705238,0.0586369709742265,0.6193937632404105,0.0543495714776417,-0.1532967032967032,0.0988323937181622,0.434264283495358,0.0600606864142052,0.5506848422569102,0.0545018384165821,0.6182107066609729,0.0558959073478585
0.95,Top70,0.9770569293788628,0.0071796005849749,0.9770569293788628,0.0071796005849749,0.7508025596802226,0.0266475499132678,0.6080344860472342,0.0191886402993284,-0.327056277056277,0.1345486650460751,0.3881592622260919,0.0835673898892686,0.4819849583368223,0.0246143415573506,0.5946945985460523,0.0164690713582433
0.95,Top90,0.9842936155361596,0.0015464486987969,0.9842936155361596,0.0015464486987969,0.7583079280448901,0.0336167734311368,0.6050623384281112,0.0343114704316176,-0.4175757575757575,0.062998243594972,0.285992561734156,0.1112636354388871,0.4837285234642696,0.049115819950066,0.5919525258064093,0.0346348242129367
0.95,Top80,0.9818293886825696,0.0030736231277639,0.9818293886825696,0.0030736231277639,0.7548206290661315,0.0225835036523088,0.6019268753673578,0.0278443666084056,-0.357056277056277,0.1297078351005064,0.3774463716605976,0.091792558090702,0.4748385557786713,0.0374491307801276,0.588409476538302,0.0266720654046052
0.95,Top10,0.9184866575594206,0.0241030831724835,0.9184866575594206,0.0241030831724835,0.7055648768551213,0.0434050792360949,0.6016439737713958,0.0217092947652424,-0.0857142857142856,0.0782460796435951,0.3972318404910162,0.0693315267230212,0.4756821601127455,0.0389122775721819,0.586166897213953,0.021852301561443
