threshold,topN,train_BA,train_BA_std,val_BA,val_BA_std,test_BA,test_BA_std,ext_BA,ext_BA_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.95,Top15,0.9806344263285538,0.0038614655667842,0.9806344263285538,0.0038614655667842,0.8917127800455462,0.0288842573844191,0.875171762560646,0.0173487665096189,0.4555555555555555,0.0248451997499976,0.7075789473684211,0.0356976375918615,0.794037558685446,0.0342248207999873,0.8629757785467127,0.02025773515531
0.95,Top10,0.9809269642886403,0.0058609871231088,0.9809269642886403,0.0058609871231088,0.88649584669087,0.0305336849835533,0.8748494024942204,0.0093473695202016,0.4666666666666666,0.0304290309725092,0.686,0.0337265359083426,0.7822723004694836,0.0155092246370965,0.859515570934256,0.0087125801467226
0.95,Top20,0.9838954473403214,0.0007115371445082,0.9838954473403214,0.0007115371445082,0.8946952956939576,0.0308093976266775,0.8737064895314383,0.0126855230965368,0.4444444444444445,0.0,0.7356842105263158,0.0251130408342876,0.7870704225352112,0.0307331703741521,0.8608304498269896,0.0146301735282513
0.95,Top25,0.9905232903093214,0.0003014779394549,0.9905232903093214,0.0003014779394549,0.891495313221351,0.0311785380897455,0.8571521604636775,0.0089741761380649,0.4444444444444445,0.0,0.722842105263158,0.0317486667331902,0.7869014084507042,0.0257864891516633,0.8474740484429066,0.0085754528476487
0.9,Top10,0.9899683724384968,0.0017031758823385,0.9899683724384968,0.0017031758823385,0.8810148932006715,0.0400556112364391,0.8547230633974797,0.0186294297329627,0.4444444444444445,0.0,0.6972631578947369,0.0413625280388152,0.807417840375587,0.0240174688641752,0.8487889273356402,0.0156915741776792
0.95,Top30,0.9907379747664176,0.0009111923793925,0.9907379747664176,0.0009111923793925,0.8954898665982574,0.026047318381001,0.8503207319852821,0.0133981364666759,0.4111111111111111,0.0745355992499929,0.7056842105263158,0.0296012277951542,0.7746760563380282,0.017494850194621,0.8404152249134947,0.0139536920978585
0.9,Top15,0.9876923029189744,0.0035999782030458,0.9876923029189744,0.0035999782030458,0.8786890313498592,0.0317463394534422,0.8412197583927583,0.0117787794557308,0.4111111111111111,0.0304290309725092,0.728421052631579,0.0131631568425261,0.8127230046948357,0.0134344099126749,0.8382006920415226,0.009166611790084
0.85,Top10,0.9879136596413252,0.0044775890969195,0.9879136596413252,0.0044775890969195,0.8714348853750623,0.0398312557790756,0.8335384715574223,0.0211133772214411,0.4777777777777777,0.0745355992499929,0.7454736842105263,0.0401513756176413,0.8048732394366198,0.0121571498560606,0.8334948096885814,0.0172913467666458
0.95,Top40,0.9932626961866085,0.0011330584029716,0.9932626961866085,0.0011330584029716,0.8929242769886839,0.0285288481578975,0.8317345576503532,0.0088698183448153,0.3555555555555555,0.0745355992499929,0.7341052631578948,0.0228974590033231,0.765906103286385,0.0074783147305965,0.8237370242214533,0.0100334088301394
0.9,Top20,0.9902053634606164,0.0020381685888837,0.9902053634606164,0.0020381685888837,0.8737800204750519,0.0430496050067333,0.8253134056201361,0.0205328292037875,0.3555555555555555,0.0842541716005727,0.7263157894736842,0.01797582248204,0.7998873239436619,0.0202100161559855,0.8253287197231834,0.020233192322884
0.95,Top70,0.9949169180040064,0.0015736733912786,0.9949169180040064,0.0015736733912786,0.8928654817204785,0.0183495271622991,0.8251864152909381,0.0169681152145871,0.3222222222222222,0.0993807989999906,0.7023157894736842,0.0396637529288252,0.7542723004694836,0.0115142220969703,0.8157093425605536,0.0161625404929238
0.95,Top60,0.9944483355106384,0.0013274012271368,0.9944483355106384,0.0013274012271368,0.8906463295336678,0.0200498248309123,0.8236560190159878,0.0274216006234137,0.3333333333333333,0.1111111111111111,0.7076842105263157,0.0356043976243652,0.7627136150234742,0.0292621127480287,0.8170934256055362,0.0276130204346206
0.95,Top50,0.9948789727091862,0.0009826758955314,0.9948789727091862,0.0009826758955314,0.8955418434952573,0.0209327809840721,0.8233564520855718,0.0256066303002678,0.3444444444444444,0.082402205412174,0.7143157894736842,0.0361962181033619,0.7653802816901408,0.0264248483259645,0.8176470588235294,0.0268617768959791
0.95,Top80,0.9959762597447784,0.0007125902017135,0.9959762597447784,0.0007125902017135,0.8919944436066926,0.0171023081812578,0.8188401549933249,0.020096412676626,0.3,0.0929622251704528,0.6998947368421052,0.0450966951267755,0.7491549295774649,0.0245291348983117,0.8095501730103806,0.0201460169457575
0.95,Top100,0.9965312814974976,0.0006400679803294,0.9965312814974976,0.0006400679803294,0.8879223109758703,0.0223970363198858,0.8164989743088796,0.0131082676134652,0.2444444444444444,0.0304290309725092,0.6925263157894737,0.0249275959841948,0.7715023474178404,0.014763261469591,0.8113494809688582,0.0120547395943032
0.95,Top130,0.9960220844818984,0.0008493845979245,0.9960220844818984,0.0008493845979245,0.8870993262264151,0.0207102474301851,0.8104197193188108,0.022965276559156,0.2666666666666666,0.0724355822800294,0.6832631578947368,0.0607904989660632,0.7689765258215961,0.0278187614520449,0.8072664359861591,0.024092588492082
0.9,Top30,0.9941119706495324,0.00212887425134,0.9941119706495324,0.00212887425134,0.8604743054018353,0.045226469681272,0.8083390316173359,0.0242453792516406,0.2888888888888888,0.082402205412174,0.722842105263158,0.0365829229191364,0.7772769953051644,0.0195215704954005,0.808719723183391,0.0215276643501216
0.95,Top90,0.9965328041378084,0.000320247161836,0.9965328041378084,0.000320247161836,0.8906437024206457,0.0183117344865951,0.8057666634105043,0.0188050504492361,0.2555555555555555,0.0633430791721743,0.6551578947368422,0.0602756824493662,0.7436525821596244,0.023615079476128,0.7977854671280277,0.0186074252895627
0.9,Top25,0.9930733409563136,0.0032668854971763,0.9930733409563136,0.0032668854971763,0.8615979411232898,0.0445214016525834,0.8051414802513758,0.025964435230191,0.3111111111111111,0.0633430791721743,0.7293684210526316,0.0304204152182356,0.7762347417840376,0.0188625913016704,0.8059515570934256,0.0232122941247112
0.95,Top120,0.9963463325704548,0.0007795357418535,0.9963463325704548,0.0007795357418535,0.8902544461381888,0.0223762516926709,0.8049884406238806,0.0239530300523924,0.2444444444444444,0.0496903994999953,0.6674736842105263,0.0531049762654604,0.7580093896713616,0.0268421579556688,0.798961937716263,0.0245930467810853
0.8,Top10,0.9823891698567836,0.0109358474368036,0.9823891698567836,0.0109358474368036,0.8500848166053107,0.0418414463570533,0.7981081697111784,0.0593567925737784,0.4222222222222222,0.0633430791721743,0.7261052631578947,0.0314748283544898,0.7703192488262911,0.043105474712968,0.7980622837370243,0.0557150376422321
0.95,Top140,0.9962545762751788,0.0006002000156485,0.9962545762751788,0.0006002000156485,0.8864346586272248,0.0277336367729738,0.7923122008400899,0.0265043374633853,0.2444444444444444,0.0496903994999953,0.6529473684210526,0.0613475183323674,0.7492582159624412,0.0302434412877308,0.7876124567474049,0.0273623451527196
0.85,Top15,0.9783728571131308,0.0075065830205174,0.9783728571131308,0.0075065830205174,0.8555092135784832,0.0305281204584988,0.7861678226042785,0.0351702872906787,0.3777777777777777,0.0724355822800294,0.7318947368421053,0.0274002850946609,0.7697089201877934,0.0270168397471561,0.7893425605536332,0.0320759565957909
0.9,Top40,0.99600029248963,0.0015073360327097,0.99600029248963,0.0015073360327097,0.8594279014485922,0.0414538568568194,0.778672137019309,0.0202040232258866,0.2222222222222221,0.0392837100659193,0.6636842105263158,0.0335461810104788,0.746356807511737,0.0193546729119911,0.7793079584775087,0.0177103823501355
0.9,Top80,0.9971290276572664,0.0006996987576259,0.9971290276572664,0.0006996987576259,0.8680061602799773,0.0308995420307392,0.7731203803197552,0.0216299835338203,0.2111111111111111,0.0608580619450184,0.6477894736842105,0.0510640247732078,0.7225821596244131,0.0237553814272089,0.7699653979238754,0.0197389604838923
0.85,Top20,0.9826492114225982,0.0026848558546715,0.9826492114225982,0.0026848558546715,0.8432483584433271,0.0395345426135207,0.7702451890202208,0.0316068609504584,0.3,0.1152024519629318,0.7045263157894737,0.0515246760665927,0.7567981220657277,0.0340978646597192,0.7739792387543252,0.031823941571479
0.9,Top50,0.9951813625778596,0.0012803009163588,0.9951813625778596,0.0012803009163588,0.8537756604661677,0.0386029122430308,0.7640780176483996,0.0388707439943671,0.211111111111111,0.0993807989999906,0.6346315789473683,0.0887559447503763,0.7256807511737089,0.0425234207248863,0.7645674740484429,0.0374059485959346
0.9,Top60,0.9956325820240955,0.0013909678613056,0.9956325820240955,0.0013909678613056,0.8586442438545794,0.0455083810881562,0.7634788837875679,0.0486566964296024,0.2333333333333333,0.1204415743815489,0.649157894736842,0.0971138920713251,0.7241220657276995,0.0471697993543077,0.7624221453287198,0.0445511640296936
