threshold,topN,train_NPV,train_NPV_std,val_NPV,val_NPV_std,test_NPV,test_NPV_std,ext_NPV,ext_NPV_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.8,Top25,0.9996575342465752,0.0007657767046232,0.9996575342465752,0.0007657767046232,0.9084803000147428,0.0225357889209432,0.9087068633121264,0.0310739873618427,0.5619047619047619,0.1363602006026319,0.8175641025641026,0.0851329354570825,0.8904676965546532,0.04088160736638,0.913685526185526,0.035258923067542
0.5,Top90,0.9993366482585644,0.0009083338626097,0.9993366482585644,0.0009083338626097,0.9120231767531728,0.029871824535324,0.9047619047619048,0.1054764592063652,0.0,,0.0,,0.9375,0.125,0.9714285714285712,0.063887656499994
0.7,Top15,0.9947712418300654,0.0116918587058812,0.9947712418300654,0.0116918587058812,0.929965118611298,0.0467512709303224,0.9023809523809524,0.1333238847748171,0.7721212121212121,0.2734871568776917,0.8822222222222222,0.1456361100249862,0.8861578070573982,0.1426559911642307,0.9049382716049384,0.1279729528656056
0.4,Top80,0.9996672212978368,0.0007441157995007,0.9996672212978368,0.0007441157995007,0.9248989411489412,0.032778948772273,0.9,0.1369306393762915,,,,,,,1.0,0.0
0.7,Top50,0.9973861540265916,0.0049831216704322,0.9973861540265916,0.0049831216704322,0.9164619164619164,0.0641059597833076,0.8999760765550239,0.1034396617705526,0.45,0.412310562561766,0.733974358974359,0.2091944727189836,0.8789426523297491,0.1207586471122402,0.9063795853269536,0.0955767492775029
0.5,Top70,0.9996688741721854,0.0007404198600992,0.9996688741721854,0.0007404198600992,0.940712910176796,0.044955276567436,0.8981060606060606,0.1059550340372408,0.0,,0.5,0.7071067811865476,0.6666666666666666,0.5773502691896258,0.9375,0.1249999999999999
0.8,Top30,0.9996638655462184,0.0007516194882352,0.9996638655462184,0.0007516194882352,0.9000350140056023,0.0268468617881058,0.8972486022202414,0.0345413215778335,0.5619047619047619,0.1363602006026319,0.8174557434309756,0.0857894231606397,0.8777103334497275,0.0472705787757561,0.901445993031359,0.0403399272207379
0.6,Top70,0.999338273929416,0.0009061310518707,0.999338273929416,0.0009061310518707,0.925373528324798,0.0448699362400525,0.8903776223776223,0.1153347805074384,0.1944444444444444,0.1734721666221777,0.3055555555555555,0.3367876570272817,0.8402777777777779,0.2061225288841087,0.9027009222661396,0.1129184325172149
0.85,Top40,0.9986636719754138,0.0007473222337109,0.9986636719754138,0.0007473222337109,0.873588736519771,0.028543739197591,0.8891494210396649,0.0300319754561616,0.5619047619047619,0.1363602006026319,0.8128888397464248,0.0839106062333158,0.8661484249719544,0.0340005294896041,0.8960713535429928,0.0281886075300062
0.7,Top100,0.99800640246437,0.0014031754995455,0.99800640246437,0.0014031754995455,0.8740255824570102,0.0274380308774119,0.8884808369808903,0.0672486484374168,0.3125,0.2393567769390845,0.8066666666666666,0.132077418374393,0.8803258145363408,0.0815355285246492,0.9091503267973856,0.0664291552798531
