threshold,topN,train_SE,train_SE_std,val_SE,val_SE_std,test_SE,test_SE_std,ext_SE,ext_SE_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.7,Top30,1.0,0.0,1.0,0.0,0.9910205503856032,0.0063903715251388,0.9994334277620396,0.0012668940382434,1.0,0.0,1.0,0.0,0.9986666666666666,0.0029814239699997,0.9993079584775086,0.0015474518875431
0.1,Top15,0.9999074502545116,0.0002069475222119,0.9999074502545116,0.0002069475222119,0.9970370370370368,0.0066253865999993,0.9988668555240792,0.002533788076487,0.9333333333333332,0.1490711984999859,0.992,0.0178885438199983,0.9973333333333332,0.0059628479399993,0.9986159169550174,0.0030949037750862
0.3,Top70,1.0,0.0,1.0,0.0,0.9963126361655774,0.0036901424157161,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.1,Top130,0.999907063197026,0.0002078130090613,0.999907063197026,0.0002078130090613,0.9962874740094602,0.0026194299917705,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.1,Top140,1.0,0.0,1.0,0.0,0.9955521798918132,0.0030819510648222,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.2,Top100,1.0,0.0,1.0,0.0,0.9947917236180488,0.0033410523980813,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.3,Top80,1.0,0.0,1.0,0.0,0.9940115518112612,0.0057729875331698,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.4,Top60,0.9999074502545116,0.0002069475222119,0.9999074502545116,0.0002069475222119,0.9933496732026142,0.00992900865909,0.9988668555240792,0.0015516219759352,0.9333333333333332,0.1490711984999859,0.992,0.0178885438199983,0.9986666666666666,0.0029814239699997,0.9993079584775086,0.0015474518875431
0.4,Top70,0.999907063197026,0.0002078130090613,0.999907063197026,0.0002078130090613,0.9926307189542484,0.0068890524406674,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.2,Top120,0.999907063197026,0.0002078130090613,0.999907063197026,0.0002078130090613,0.9925552324858968,0.0052823864341551,0.9988668555240792,0.0015516219759352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
