threshold,topN,train_FN,train_FN_std,val_FN,val_FN_std,test_FN,test_FN_std,ext_FN,ext_FN_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.95,Top140,16.2,2.588435821108957,16.2,2.588435821108957,17.2,1.3038404810405302,17.6,4.03732584763727,3.0,0.0,3.8,0.4472135954999579,14.8,3.420526275297414,16.0,4.183300132670378
0.9,Top70,9.8,4.711687595755899,9.8,4.711687595755899,14.8,2.280350850198276,16.0,3.5355339059327373,3.0,0.0,3.2,0.447213595499958,14.8,3.492849839314596,14.8,3.492849839314596
0.9,Top20,18.8,2.16794833886788,18.8,2.16794833886788,16.2,2.9495762407505253,15.4,8.414273587185052,3.0,0.0,5.0,1.8708286933869709,14.4,7.76530746332687,14.6,8.080841540334768
0.9,Top90,9.6,2.70185121722126,9.6,2.70185121722126,14.8,1.643167672515498,15.2,2.7748873851023217,3.0,0.0,3.0,0.0,13.8,2.5884358211089564,14.2,2.7748873851023217
0.9,Top30,7.6,0.8944271909999159,7.6,0.8944271909999159,13.8,1.7888543819998317,14.4,5.029910535983717,3.0,0.0,3.2,0.447213595499958,14.0,4.743416490252569,14.0,4.743416490252569
0.7,Top10,7.8,7.823042886243178,7.8,7.823042886243178,7.6,4.277849927241488,14.4,12.660963628413125,2.4,0.8944271909999159,5.0,3.3166247903554,13.0,11.357816691600547,13.4,11.844830095868833
0.9,Top50,7.2,6.978538528947161,7.2,6.978538528947161,13.2,2.8635642126552705,14.0,4.898979485566356,3.0,0.0,3.4,0.5477225575051661,13.0,4.0,13.0,4.0
0.85,Top80,9.2,2.774887385102321,9.2,2.774887385102321,12.2,2.280350850198276,13.6,2.073644135332772,3.0,0.0,3.0,0.0,12.6,2.073644135332772,12.6,2.073644135332772
0.9,Top120,9.4,2.5099800796022267,9.4,2.5099800796022267,13.8,1.7888543819998317,12.8,3.1144823004794877,3.0,0.0,3.0,0.0,11.6,3.2093613071762426,11.6,3.2093613071762426
0.9,Top130,10.4,2.701851217221259,10.4,2.701851217221259,13.8,2.3874672772626644,12.8,3.0331501776206204,3.0,0.0,3.0,0.0,11.2,3.03315017762062,11.4,2.9664793948382653
0.9,Top60,8.2,5.019960159204453,8.2,5.019960159204453,13.4,1.51657508881031,12.8,5.630275304103699,3.0,0.0,3.2,0.447213595499958,12.2,5.263078946776307,12.2,5.263078946776307
0.9,Top25,7.8,2.588435821108957,7.8,2.588435821108957,13.8,2.5884358211089564,12.6,7.127411872482185,3.0,0.0,3.4,0.5477225575051661,12.2,6.978538528947161,12.2,6.978538528947161
0.9,Top100,9.2,2.16794833886788,9.2,2.16794833886788,15.0,1.8708286933869704,12.4,3.130495168499705,3.0,0.0,3.0,0.0,11.0,3.0,11.2,3.03315017762062
0.9,Top140,10.2,1.6431676725154982,10.2,1.6431676725154982,14.4,1.816590212458495,12.2,3.03315017762062,3.0,0.0,3.0,0.0,11.0,3.1622776601683795,11.0,3.1622776601683795
0.85,Top15,14.2,6.610597552415364,14.2,6.610597552415364,11.0,3.6742346141747673,12.2,13.21741275741966,2.6,0.5477225575051662,3.8,2.949576240750525,11.2,12.029131306956458,11.6,12.461942063739505
0.6,Top10,5.2,5.263078946776307,5.2,5.263078946776307,6.2,4.919349550499537,12.0,11.510864433221338,1.8,1.6431676725154984,4.2,3.898717737923585,11.2,10.709808588392232,11.4,10.99090533122727
