threshold,topN,train_cohen_kappa,train_cohen_kappa_std,val_cohen_kappa,val_cohen_kappa_std,test_cohen_kappa,test_cohen_kappa_std,ext_cohen_kappa,ext_cohen_kappa_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.1,Top10,0.12346398682816687,0.23971240597736007,0.12346398682816687,0.23971240597736007,0.04617592250781786,0.10647911031683985,0.04458715596330276,0.09969991165733008,-0.075,0.16770509831248423,0.017721518987341763,0.03962652112024941,0.043888599386254404,0.09813789166492039,0.04360189573459716,0.0974968028104174
0.1,Top100,0.32710481466429575,0.07269695420330413,0.32710481466429575,0.07269695420330413,0.0386026311247192,0.03511102131060115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top120,0.6544370370482995,0.12555724896254836,0.6544370370482995,0.12555724896254836,0.19868808858029202,0.12123304943464924,-0.00090281741296114,0.0020187611066516085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top130,0.7067221262788597,0.09800449405653505,0.7067221262788597,0.09800449405653505,0.20656617726737028,0.11898566114544275,-0.00180563482592228,0.0024724673119363664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top140,0.7475769661463085,0.07382457408253607,0.7475769661463085,0.07382457408253607,0.25488012421060124,0.06642346311394291,-0.00180563482592228,0.0024724673119363664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top15,0.09370834803245566,0.20953823625977952,0.09370834803245566,0.20953823625977952,0.0255140347856036,0.05705111616090392,0.025891548607718577,0.05789526272959878,-0.03529411764705882,0.07892004626469845,0.00631938514090522,0.01413057475106616,0.025678053516170158,0.057417873192033966,0.02532663316582916,0.0566320733999947
0.1,Top20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top50,0.1374365586830728,0.3045137664743965,0.1374365586830728,0.3045137664743965,0.02928029238122008,0.06547272416547728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top60,0.14819484643901287,0.31720007807899575,0.14819484643901287,0.31720007807899575,0.03285280463541486,0.07346110441630782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top70,0.03351361954475856,0.04054572567278266,0.03351361954475856,0.04054572567278266,0.00401307966706298,0.008973518934675045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top80,0.06706839037685182,0.04158272674204835,0.06706839037685182,0.04158272674204835,0.006690521479278419,0.01200653883912285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
