threshold,topN,train_f1,train_f1_std,val_f1,val_f1_std,test_f1,test_f1_std,ext_f1,ext_f1_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.1,Top10,0.8880410721209098,0.021766196933538602,0.8880410721209098,0.021766196933538602,0.8755722819364721,0.010387581142464821,0.8923096499284654,0.004515989938065335,0.3507692307692308,0.11008334658460506,0.568058968058968,0.0002747012257370989,0.8121424347839442,0.00786446989114589,0.8741077481357419,0.005171748721736576
0.1,Top100,0.9036945288850708,0.006150205259062139,0.9036945288850708,0.006150205259062139,0.8754655928894459,0.008477791292083923,0.8902900378310215,0.0,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.1,Top120,0.9415439866230505,0.016849809533572548,0.9415439866230505,0.016849809533572548,0.8877007358435985,0.012449316779473224,0.8900098080425949,0.0006266128562420997,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.1,Top130,0.9484632888133497,0.013452412685865856,0.9484632888133497,0.013452412685865856,0.888291743316245,0.013516818077109218,0.8897295782541684,0.0007674408820305302,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.1,Top140,0.9542675137097998,0.011446620718716256,0.9542675137097998,0.011446620718716256,0.8919994600302802,0.010629250670895332,0.8897295782541684,0.0007674408820305302,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.1,Top15,0.8852255249935428,0.018044751505108363,0.8852255249935428,0.018044751505108363,0.8738028865076938,0.007591693155210863,0.8915423750924034,0.002800311247205889,0.3771428571428571,0.05111012519999521,0.5688311688311689,0.00145199219318166,0.8108891892093689,0.005062127593894924,0.8732398790591747,0.003231134470962095
0.1,Top20,0.8770817650620837,0.0015239506067823503,0.8770817650620837,0.0015239506067823503,0.8729756365512262,0.007043185930270583,0.8902900378310215,0.0,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.1,Top25,0.8770817650620837,0.0015239506067823503,0.8770817650620837,0.0015239506067823503,0.8729756365512262,0.007043185930270583,0.8902900378310215,0.0,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.1,Top30,0.8770817650620837,0.0015239506067823503,0.8770817650620837,0.0015239506067823503,0.8729756365512262,0.007043185930270583,0.8902900378310215,0.0,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.1,Top40,0.8770817650620837,0.0015239506067823503,0.8770817650620837,0.0015239506067823503,0.8729756365512262,0.007043185930270583,0.8902900378310215,0.0,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.1,Top50,0.8906342780429425,0.029908024862189426,0.8906342780429425,0.029908024862189426,0.8749088021231788,0.008891276818652774,0.8902900378310215,0.0,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.1,Top60,0.8918730352426243,0.03190337820059193,0.8918730352426243,0.03190337820059193,0.8752003567923887,0.009313391304873388,0.8902900378310215,0.0,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.1,Top70,0.8794788938313325,0.0029518153720813124,0.8794788938313325,0.0029518153720813124,0.8732597932373277,0.007182771380748219,0.8902900378310215,0.0,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.1,Top80,0.8818826555134981,0.0039015905272648654,0.8818826555134981,0.0039015905272648654,0.8731807115320743,0.006732840146472122,0.8902900378310215,0.0,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.1,Top90,0.8962836418579998,0.037469340327052646,0.8962836418579998,0.037469340327052646,0.8752003567923887,0.009313391304873388,0.8902900378310215,0.0,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.2,Top10,0.9354997450178933,0.054355242597929725,0.9354997450178933,0.054355242597929725,0.9031297103850051,0.03582291413787545,0.8972529369479826,0.008974998842498414,0.33790209790209785,0.09597300221871308,0.5716783216783217,0.027614631117012806,0.8147422006023805,0.010809399082420044,0.8797913989218527,0.010360320609152268
0.2,Top100,0.9699929537042378,0.006454249001172761,0.9699929537042378,0.006454249001172761,0.896098184228619,0.010538306118721303,0.8897295782541684,0.0007674408820305302,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.2,Top120,0.9836042866445851,0.004581204646685861,0.9836042866445851,0.004581204646685861,0.9137623072057917,0.008338264653465674,0.8901796485776565,0.0008098510056635003,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8720582539313657,0.0005889403612595485
0.2,Top130,0.986686544719556,0.003393063409861323,0.986686544719556,0.003393063409861323,0.9121260190124568,0.009314162883457726,0.8906292199615089,0.0006096063859870498,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8723216360678597,0.0007213016870081438
0.2,Top140,0.9863712603419197,0.0036497398693916905,0.9863712603419197,0.0036497398693916905,0.9172507537477896,0.011305734441008118,0.8913052511431394,0.0007088996722418895,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8731125793975728,0.0009326058814554316
0.2,Top15,0.8990061018483569,0.048819297868960325,0.8990061018483569,0.048819297868960325,0.8851237300122966,0.02924244407165603,0.8933343924695416,0.006807383919347764,0.35333333333333333,0.10434983894999023,0.5704874835309618,0.00515562445405089,0.8129821408868082,0.00974210981827116,0.8752839987017202,0.007801924945836642
0.2,Top20,0.8770817650620837,0.0015239506067823503,0.8770817650620837,0.0015239506067823503,0.8729756365512262,0.007043185930270583,0.8902900378310215,0.0,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.2,Top25,0.8770817650620837,0.0015239506067823503,0.8770817650620837,0.0015239506067823503,0.8729756365512262,0.007043185930270583,0.8902900378310215,0.0,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.2,Top30,0.8770817650620837,0.0015239506067823503,0.8770817650620837,0.0015239506067823503,0.8729756365512262,0.007043185930270583,0.8902900378310215,0.0,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.2,Top40,0.8770817650620837,0.0015239506067823503,0.8770817650620837,0.0015239506067823503,0.8729756365512262,0.007043185930270583,0.8902900378310215,0.0,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.2,Top50,0.9104720143901612,0.049823138242681676,0.9104720143901612,0.049823138242681676,0.8843264362089791,0.021859724395456963,0.8902900378310215,0.0,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.2,Top60,0.9108429312039972,0.05039795814979733,0.9108429312039972,0.05039795814979733,0.8809450660982998,0.018141446662134894,0.8902900378310215,0.0,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
0.2,Top70,0.9100767023156312,0.029232348928531108,0.9100767023156312,0.029232348928531108,0.8764802002028057,0.011132395814845984,0.8902900378310215,0.0,0.4,0.0,0.5681818181818182,0.0,0.8086253369272237,0.0,0.8717948717948719,0.0
