threshold,topN,train_SP,train_SP_std,val_SP,val_SP_std,test_SP,test_SP_std,ext_SP,ext_SP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.1,Top10,0.09678417124901803,0.1923649667579286,0.09678417124901803,0.1923649667579286,0.03636363636363636,0.08131156281817416,0.034482758620689655,0.07710579232757896,0.0,0.0,0.05263157894736842,0.11768778828946261,0.04225352112676056,0.09448174552816012,0.03529411764705882,0.07892004626469845
0.1,Top100,0.2388120286352932,0.06064006516200416,0.2388120286352932,0.06064006516200416,0.02619480519480516,0.02495512548331819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top120,0.5544764239664935,0.1379025952649972,0.5544764239664935,0.1379025952649972,0.146538961038961,0.0931131813269959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top130,0.6110593128927287,0.10959025891011363,0.6110593128927287,0.10959025891011363,0.15235497835497833,0.09364987003637872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top140,0.6572848288767428,0.08917025286188403,0.6572848288767428,0.08917025286188403,0.18834415584415581,0.05337431816714943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top15,0.07236842105263158,0.16182070889801112,0.07236842105263158,0.16182070889801112,0.02077922077922078,0.04646375018181382,0.018390804597701142,0.04112308924137542,0.0,0.0,0.01578947368421052,0.03530633648683877,0.02253521126760562,0.050390264281685374,0.0188235294117647,0.0420906913411725
0.1,Top20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top50,0.11643777190139044,0.2585545344019908,0.11643777190139044,0.2585545344019908,0.02077922077922078,0.04646375018181382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top60,0.12667201274330103,0.27407072552169304,0.12667201274330103,0.27407072552169304,0.02337662337662336,0.0522717189545405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top70,0.022048113558002562,0.026877255824320056,0.022048113558002562,0.026877255824320056,0.00259740259740258,0.0058079687727266875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top80,0.04431171016593788,0.027921883742424807,0.04431171016593788,0.027921883742424807,0.00509740259740258,0.006982029434999699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,Top90,0.163232047311284,0.31619037737437966,0.163232047311284,0.31619037737437966,0.02337662337662336,0.0522717189545405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top10,0.48544047494761966,0.4562829510302933,0.48544047494761966,0.4562829510302933,0.30573160173160174,0.3088661702519448,0.11724137931034481,0.14907119849998596,0.06666666666666667,0.09938079899999065,0.1263157894736842,0.20586954963797835,0.10704225352112676,0.14858988050594854,0.11999999999999997,0.1525787561117503
0.2,Top100,0.7787609457616804,0.05028994243861541,0.7787609457616804,0.05028994243861541,0.22638961038961036,0.04902399678743663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,Top120,0.8810564673221796,0.034954809601542985,0.8810564673221796,0.034954809601542985,0.3802467532467532,0.08662030397098079,0.0045977011494252795,0.010280772310343843,0.0,0.0,0.0,0.0,0.0,0.0,0.00235294117647058,0.005261336417646545
0.2,Top130,0.9039831451022066,0.02498549408388568,0.9039831451022066,0.02498549408388568,0.37050432900432895,0.08641441657734365,0.009195402298850559,0.00961678191418476,0.0,0.0,0.0,0.0,0.0,0.0,0.00470588235294116,0.006443794794178402
