threshold,topN,train_Precision,train_Precision_std,val_Precision,val_Precision_std,test_Precision,test_Precision_std,ext_Precision,ext_Precision_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.95,Top10,0.9997108219523324,0.0002640065442484,0.9997108219523324,0.0002640065442484,0.9639398902709776,0.0179949461158904,0.9791746515260986,0.006840303493503,0.0,0.0,0.7594563331405436,0.0671929894889345,0.9547399000061269,0.0157857833917147,0.9746470511194764,0.0096377755503418
0.95,Top15,0.9995210894812908,0.0003372251715079,0.9995210894812908,0.0003372251715079,0.965581048918356,0.0159244978944053,0.9704651986838124,0.0060065625032265,0.0,0.0,0.7273684210526316,0.0642282594629106,0.9359669878475788,0.0120956472454436,0.9638924494867306,0.0062525072065932
0.95,Top20,0.9996194462446728,0.0003969491176502,0.9996194462446728,0.0003969491176502,0.9653132002785334,0.0189841227850052,0.968788591677564,0.0039837795728692,0.0,0.0,0.7293842313293114,0.0270792163434332,0.9293983193277312,0.0095147737660391,0.9618173636464296,0.0047726424536573
0.95,Top25,0.9993430215015614,0.0005339063639506,0.9993430215015614,0.0005339063639506,0.9597549415697691,0.0183223158134024,0.9548738645520808,0.004996493844884,0.0,0.0,0.6609935249935249,0.02722284449462,0.9043575676866806,0.0076483404034598,0.9457382920885457,0.0063520934348607
0.95,Top30,0.9996241856686712,0.0002100963336608,0.9996241856686712,0.0002100963336608,0.9619795594953946,0.0168821305702658,0.95332290556363,0.008860405167838,0.0,0.0,0.6382700119474313,0.0536370360571679,0.898558203108313,0.0186958788552371,0.9444319801086782,0.0117651054843364
0.9,Top10,0.9982269650856104,0.001443806143609,0.9982269650856104,0.001443806143609,0.951012902359515,0.023179664341422,0.9503616617966678,0.0129297977024075,0.0,0.0,0.6712878787878788,0.0387757438404022,0.9078961733630112,0.0211789041065004,0.9417121928027606,0.0132644846802419
0.95,Top40,0.9997191411600216,0.0002563922025985,0.9997191411600216,0.0002563922025985,0.9586223996173028,0.0171085089693003,0.938860697246508,0.0068273351515063,0.0,0.0,0.623421347614896,0.0413976540904656,0.8680439048649362,0.0126387236054355,0.927061087600668,0.0092998498698777
0.95,Top70,1.0,0.0,1.0,0.0,0.9591496378136616,0.0115499942539529,0.9374355261651476,0.0122649941387544,0.0,0.0,0.598229995810641,0.0676135527625672,0.86270804546952,0.0259465496252004,0.9247388571652492,0.0157138619778319
0.9,Top15,0.996281951701796,0.0022583448959232,0.996281951701796,0.0022583448959232,0.9483024609034444,0.0197519094335199,0.9366357820700564,0.0086465622214448,0.0,0.0,0.647294449875095,0.0455004191544489,0.8826175612057694,0.0145299764351198,0.9255226888073448,0.0091710885830321
0.85,Top10,0.995651098481544,0.0028995814002828,0.995651098481544,0.0028995814002828,0.9408551427465536,0.0234292704725637,0.9352891553422318,0.0154123683946868,0.1,0.2236067977499789,0.6799729256250995,0.0137300996438317,0.8834575299221337,0.0226137923905747,0.92578652699429,0.0169360020010669
0.95,Top60,0.9998127334256808,0.0002564260669237,0.9998127334256808,0.0002564260669237,0.9570275206539722,0.0117552478959411,0.9344436813439916,0.0151599991215356,0.0,0.0,0.598873968137126,0.0672888478850993,0.8627371827667709,0.0341037043895899,0.9225357388865394,0.0190699180342142
0.95,Top50,0.9997205831715374,0.0002550720681059,0.9997205831715374,0.0002550720681059,0.95866569977681,0.0118696220925798,0.9339824611406048,0.0139805447062446,0.0,0.0,0.603443329225194,0.0640574171536785,0.8629093669239655,0.0287421203549796,0.9220345039688388,0.0174048945953227
0.95,Top80,1.0,0.0,1.0,0.0,0.9570493155586928,0.0105878347424506,0.9335320170288822,0.0101643047501001,0.0,0.0,0.5776194500788822,0.0572238329669909,0.8548651485023526,0.0249170408205014,0.9199394825894852,0.012458198563506
0.9,Top20,0.9969332673750838,0.0012026664777769,0.9969332673750838,0.0012026664777769,0.9445733953340764,0.0247353166217183,0.9273234394026912,0.0121638985124975,0.0,0.0,0.604944808775454,0.0288622480720697,0.8639928191840058,0.023995364438336,0.9157481798665924,0.0142561981330148
0.95,Top100,1.0,0.0,1.0,0.0,0.9536375537633568,0.0131110858091318,0.9250398025828692,0.0058273622841887,0.0,0.0,0.543534955486175,0.0245645455333817,0.84507968550909,0.0093178373334104,0.9104821189755375,0.0060248543084361
0.95,Top90,1.0,0.0,1.0,0.0,0.9549536487871844,0.0107632620687231,0.9242607788015326,0.0098920048903148,0.0,0.0,0.5227339327339328,0.0508209699471329,0.8383127272994167,0.0197912623795406,0.909106652540244,0.0118290840208555
0.95,Top130,1.0,0.0,1.0,0.0,0.952342487151854,0.0117898128660706,0.9215736564260414,0.0111521836790605,0.0,0.0,0.5407661193375479,0.0573255206529935,0.8405872927420978,0.0229069105452318,0.9072024625996872,0.0137096719205125
0.95,Top120,1.0,0.0,1.0,0.0,0.9538270739224736,0.013499520978445,0.919762764081278,0.0115940869747456,0.0,0.0,0.5238357476703341,0.048984250029009,0.8347847355410625,0.0226392158099488,0.9037706361273348,0.0140720084472845
0.9,Top30,0.9976870473267584,0.0010795978698941,0.9976870473267584,0.0010795978698941,0.935233793404219,0.0245723044650834,0.9193321817407322,0.0118811123766198,0.0,0.0,0.5768261150614091,0.0448224694381627,0.8454537203737633,0.0191263018292976,0.9066634405883188,0.0127781573006847
0.8,Top10,0.9917741539326131,0.0069198833890607,0.9917741539326131,0.0069198833890607,0.9278072455341853,0.0241259899041686,0.9187474396670426,0.0308188701223149,0.0785714285714285,0.1140622815905093,0.6254482359745518,0.0564252654544636,0.852019133954402,0.0489047653102205,0.9061348419958692,0.034902022572169
0.9,Top25,0.9971336363993556,0.00154066476538,0.9971336363993556,0.00154066476538,0.9359929566682524,0.0241653176335,0.9174079885136812,0.0136532684355835,0.0,0.0,0.5865981189223657,0.0399050682939671,0.8425939508097089,0.0222969169403667,0.9044844180802958,0.0151788593839852
0.95,Top140,1.0,0.0,1.0,0.0,0.9517374645103492,0.0162371820404252,0.9136369623439716,0.0126430037408011,0.0,0.0,0.5114680589680589,0.0535153558106064,0.8264123533471359,0.0247628400589033,0.8972019094103866,0.0152629703631813
0.85,Top15,0.9898071930664696,0.004803510843862,0.9898071930664696,0.004803510843862,0.9304219628466204,0.0187467506998559,0.9096916811036596,0.0196692671407034,0.0685714285714285,0.0960442075084092,0.6023172479694219,0.0618218708019819,0.8384039415610778,0.0348144357084689,0.8965633912101285,0.0220914961972241
0.9,Top80,0.9998138223777964,0.000254935600655,0.9998138223777964,0.000254935600655,0.940100792126046,0.0158678333756381,0.9063245435740064,0.009647708653244,0.0,0.0,0.5033667262969589,0.0437544967166091,0.8121494455557257,0.0184515736431411,0.8899049363873044,0.0103702463395456
0.9,Top40,0.9981530900574714,0.0008593419168406,0.9981530900574714,0.0008593419168406,0.9335319497902356,0.0220281435836506,0.9053437360975456,0.0088927961716311,0.0,0.0,0.5130726062569019,0.0304765427244868,0.8183768114226148,0.0143429289107751,0.8901316494111189,0.0090713245423811
0.9,Top50,0.9982484038346472,0.0015045448793511,0.9982484038346472,0.0015045448793511,0.9312318899721136,0.0209673610132923,0.9005991888712952,0.0172073682033974,0.0,0.0,0.4985714285714285,0.0737221204870385,0.808459589945658,0.0313515999850027,0.8845799837937285,0.0191842917300239
0.85,Top20,0.991088545984502,0.0013799913228883,0.991088545984502,0.0013799913228883,0.9235102850099194,0.0224509022103408,0.9005365674340116,0.0141656928349738,0.04,0.0894427190999915,0.5531868131868132,0.053791554885947,0.8209947440216174,0.0270464091587265,0.8858157530574096,0.0169434584811476
0.9,Top60,0.9986126818673494,0.0013076315586048,0.9986126818673494,0.0013076315586048,0.93405510375007,0.0248287281557902,0.9002252807025493,0.0218184039029317,0.0,0.0,0.5127488371397376,0.0863957460910874,0.807307143605384,0.03647002368648,0.8834921184582857,0.0234558405808917
0.9,Top70,0.999629150389798,0.0003872353981431,0.999629150389798,0.0003872353981431,0.9395128920797788,0.0159475938537884,0.8999203346676502,0.0145207312854114,0.0,0.0,0.4875477340694732,0.0564697843126598,0.8037621337360216,0.0219379554792466,0.8825495802122958,0.0139446344967673
0.9,Top90,0.9999072356215214,0.0002074274561688,0.9999072356215214,0.0002074274561688,0.9345953590704464,0.0129912592556622,0.896238241977761,0.01281724929537,0.0,0.0,0.4700455927051671,0.0469979584338764,0.79726681198051,0.021826443437304,0.8782377742241719,0.0141007668305952
0.9,Top120,0.9997221792957346,0.0004142305729636,0.9997221792957346,0.0004142305729636,0.9362659803179504,0.0148425586538682,0.8942326170221605,0.0171185878594578,0.0,0.0,0.4786747877445552,0.0486426599262908,0.7976720529753522,0.0287367616369904,0.8766881343144999,0.0192587231853392
0.7,Top10,0.9808630950088452,0.0203377879967607,0.9808630950088452,0.0203377879967607,0.9145552940676336,0.0241151838818923,0.8931975646337023,0.0358834150176016,0.0793650793650793,0.1249842519684414,0.5614742457665677,0.0623350673642112,0.8056090419136777,0.054547757414936,0.8760144629279758,0.0404199965894731
0.85,Top30,0.9946657943891712,0.0014578212644406,0.9946657943891712,0.0014578212644406,0.9204880493140774,0.0217875424926125,0.8928776492241608,0.0144860171193722,0.0,0.0,0.4918597670419466,0.0418505553593997,0.8008379650230086,0.0238399694305587,0.8761744680799127,0.016173694548354
0.9,Top130,0.9997220934426492,0.0004143986016668,0.9997220934426492,0.0004143986016668,0.9376386230521854,0.0144941327971555,0.892876977831804,0.0184892418634793,0.0,0.0,0.4841269841269841,0.0569358021205825,0.7955570128824437,0.0321153237482403,0.8746044561292388,0.0208417677254884
0.9,Top100,0.9998148144575896,0.0002535761548803,0.9998148144575896,0.0002535761548803,0.938032709328564,0.0133877489046754,0.8928007744699495,0.0138866736604474,0.0,0.0,0.4806816372033763,0.0372935552936462,0.7949460921953585,0.0199995188145323,0.8744090747226801,0.0143305967256589
0.8,Top15,0.9815321625534654,0.0092097543918048,0.9815321625534654,0.0092097543918048,0.9185785181547894,0.0228336675199609,0.892183004097479,0.0224032504710799,0.0955555555555555,0.0928293269964685,0.546506325715628,0.0529376082475339,0.8085679808371566,0.0362210737861066,0.8758636038675771,0.0250941814904421
0.85,Top25,0.9932050638641792,0.0021909066915924,0.9932050638641792,0.0021909066915924,0.9216029053689836,0.0230394978571421,0.8887175825772669,0.0177828771930359,0.0888888888888888,0.0842541716005727,0.5039721525630799,0.0446617518337129,0.7944923338178109,0.029889600949229,0.8713482943951506,0.0199193075395175
0.85,Top80,0.9995365585708376,0.0004626475557634,0.9995365585708376,0.0004626475557634,0.9285821399948436,0.0153147958776438,0.8876812487022644,0.0098769662528561,0.0,0.0,0.4513492063492063,0.0352735146601914,0.7847804366290264,0.0186171267998029,0.8688097206692749,0.0112317773866409
0.9,Top140,0.9997220934426492,0.0004143986016668,0.9997220934426492,0.0004143986016668,0.936828252657716,0.01541312389532,0.8855236100837673,0.0160813195202613,0.0,0.0,0.4541451247165533,0.0426988955937448,0.7810407406583686,0.0249153197450207,0.8659129383644315,0.0174510254196364
0.85,Top50,0.9968759432803596,0.0028894087278439,0.9968759432803596,0.0028894087278439,0.9188767203716556,0.020949135491054,0.8829219426316136,0.0199721025255199,0.0888888888888888,0.0842541716005727,0.4784367327187377,0.0627658611030353,0.7843002839353964,0.0314357778930493,0.8639699655423849,0.0220014595777047
0.85,Top60,0.9975113199195034,0.0021736435782094,0.9975113199195034,0.0021736435782094,0.9207697794362086,0.0261682127584855,0.8788079025390878,0.0223970692228799,0.0444444444444444,0.0608580619450184,0.4594193951975061,0.0658474785788542,0.773864441287956,0.0363352353122313,0.8591572881430277,0.0253126738769019
0.85,Top40,0.9955812985140056,0.0009440827467096,0.9955812985140056,0.0009440827467096,0.918164287314116,0.0232556403996205,0.8786302305444249,0.015555155056919,0.0888888888888888,0.0842541716005727,0.4681038197449484,0.0379031602625384,0.7775990733263725,0.0255202427859623,0.860118037446685,0.0180617455756329
0.85,Top130,0.9996292824223282,0.0003873213669304,0.9996292824223282,0.0003873213669304,0.9286052906250356,0.0157815441647389,0.8785245735674712,0.0170020699448063,0.0,0.0,0.454847576211894,0.0455990625183656,0.7739225781854667,0.0303738367783634,0.8584506887539339,0.019313823798583
0.85,Top70,0.9987098747301224,0.0017638117547552,0.9987098747301224,0.0017638117547552,0.9245872415198956,0.0210897294274729,0.8784543963643525,0.0171656036502874,0.0,0.0,0.4357855465257933,0.0384773669173769,0.7689810353445028,0.0248557949770589,0.8579994530370456,0.0179906450754479
0.85,Top90,0.9994443937945044,0.000385927134468,0.9994443937945044,0.000385927134468,0.9279013227287788,0.0164072141458147,0.8772495223672969,0.0127900933362841,0.0,0.0,0.4308635446981311,0.0397550021324757,0.7706455598177988,0.0234072976335654,0.8574189932807126,0.0144886847019881
0.85,Top120,0.9991675991317848,0.0006004141071779,0.9991675991317848,0.0006004141071779,0.9280872866965002,0.0161728405899004,0.8761947422796382,0.0131624623368798,0.0,0.0,0.4446434945792409,0.0380531650032965,0.7698963942165302,0.0220039810782943,0.8561204055121155,0.0139919283049731
0.8,Top20,0.9805113606018004,0.0026303440424144,0.9805113606018004,0.0026303440424144,0.9142926272523166,0.0192567311725947,0.8750566444740027,0.0158940108650829,0.0888888888888888,0.0842541716005727,0.5000944791642465,0.0337156799783775,0.7798235533014691,0.0279136417766383,0.8564533300682109,0.0185791387621904
0.8,Top30,0.9877693359820302,0.0027663188236998,0.9877693359820302,0.0027663188236998,0.910391661925402,0.0205950354161233,0.8739976416509954,0.0161630245940938,0.0888888888888888,0.0842541716005727,0.4750273357813137,0.0445185228984918,0.7756961482186555,0.0262251837557256,0.8546548056636321,0.0185974252136012
0.85,Top100,0.9994443113660594,0.0003865399875238,0.9994443113660594,0.0003865399875238,0.9292882645347582,0.0147019179501879,0.8728484798903287,0.0136437893703236,0.0,0.0,0.4382664194974225,0.0304110604326383,0.7638781149765606,0.0221032718983695,0.8517653572018109,0.015220752413127
0.6,Top10,0.9650632894862624,0.0390824674806786,0.9650632894862624,0.0390824674806786,0.8984109731353367,0.0380660282497951,0.8721866605900385,0.0464042433399778,0.1145454545454545,0.1571439304460501,0.5154736022347703,0.0763078448725044,0.7718290861806505,0.0655195307983262,0.8515044112604915,0.0521575697060902
0.8,Top80,0.999445337089766,0.0003858268589075,0.999445337089766,0.0003858268589075,0.9211487678355856,0.0187359208238337,0.8719752287302283,0.008851047221222,0.0,0.0,0.4207099626690622,0.0368792995880386,0.7606045286351757,0.0163798329536954,0.851076454581807,0.009626791442924
