threshold,topN,train_FP,train_FP_std,val_FP,val_FP_std,test_FP,test_FP_std,ext_FP,ext_FP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.3,Top10,268.4,304.3013309205203,268.4,304.3013309205203,50.2,29.431275881279767,68.8,18.005554698481244,7.0,2.0,28.2,9.808159868191384,56.2,15.006665185843255,66.8,18.005554698481244
0.3,Top100,41.0,8.455767262643882,41.0,8.455767262643882,44.6,5.549774770204644,85.8,1.6431676725154998,9.0,0.0,38.0,0.0,71.0,0.0,84.0,1.224744871391588
0.3,Top120,32.0,13.076696830622021,32.0,13.076696830622021,38.4,7.602631123499285,84.6,1.1401754250991392,9.0,0.0,38.0,0.0,71.0,0.0,83.0,0.7071067811865469
0.3,Top130,24.4,4.878524367060187,24.4,4.878524367060187,38.4,7.92464510246358,84.6,1.1401754250991392,9.0,0.0,38.0,0.0,71.0,0.0,83.0,0.7071067811865469
0.3,Top140,28.2,6.610597552415364,28.2,6.610597552415364,37.2,7.395944834840239,84.2,1.6431676725154991,9.0,0.0,38.0,0.0,70.8,0.44721359549995715,82.6,1.1401754250991392
0.3,Top15,491.6,255.33272410719312,491.6,255.33272410719312,67.6,24.66373856494591,80.4,14.758048651498612,8.6,0.8944271909999161,34.4,8.049844718999243,65.6,12.074767078498866,78.4,14.758048651498612
0.3,Top20,606.2,6.685805860178723,606.2,6.685805860178723,78.2,3.8340579025361614,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.3,Top25,606.2,6.685805860178723,606.2,6.685805860178723,78.2,3.8340579025361614,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.3,Top30,606.2,6.685805860178723,606.2,6.685805860178723,78.2,3.8340579025361614,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.3,Top40,606.2,6.685805860178723,606.2,6.685805860178723,78.2,3.8340579025361614,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
0.3,Top50,370.8,316.6499644718123,370.8,316.6499644718123,62.6,23.964557162609953,86.0,1.4142135623730947,9.0,0.0,38.0,0.0,70.8,0.44721359549995915,84.0,1.4142135623730947
0.3,Top60,374.2,318.45360729625907,374.2,318.45360729625907,64.2,22.151749366585022,86.2,1.3038404810405302,9.0,0.0,38.0,0.0,70.8,0.44721359549995915,84.2,1.3038404810405302
0.3,Top70,275.2,297.9843955646,275.2,297.9843955646,63.0,17.52141546793523,86.4,0.8944271909999153,9.0,0.0,38.0,0.0,71.0,0.0,84.4,0.8944271909999153
0.3,Top80,66.6,24.2755020545405,66.6,24.2755020545405,54.2,6.457553716385176,85.8,0.8366600265340751,9.0,0.0,38.0,0.0,71.0,0.0,83.8,0.8366600265340751
0.3,Top90,55.2,28.839209420509434,55.2,28.839209420509434,51.2,11.734564329364767,86.0,0.7071067811865481,9.0,0.0,38.0,0.0,71.0,0.0,84.0,0.7071067811865481
0.4,Top10,256.4,315.03777551271526,256.4,315.03777551271526,48.0,31.24899998399949,64.2,21.04043725781382,6.8,2.280350850198276,26.4,11.058933040759403,52.4,17.25688268488837,62.6,20.70748656887166
0.4,Top100,19.4,2.7018512172212588,19.4,2.7018512172212588,37.4,4.774934554525329,84.2,1.3038404810405282,9.0,0.0,38.0,0.0,70.8,0.44721359549995715,82.6,0.8944271909999173
0.4,Top120,17.8,3.271085446759225,17.8,3.271085446759225,34.2,7.886697661252142,82.2,2.7748873851023204,9.0,0.0,38.0,0.0,69.2,2.1679483388678804,80.6,2.509980079602227
0.4,Top130,16.0,3.391164991562634,16.0,3.391164991562634,34.2,7.52994023880668,82.8,1.6431676725154964,9.0,0.0,38.0,0.0,70.0,1.2247448713915898,81.2,1.4832396974191342
