threshold,topN,train_TP,train_TP_std,val_TP,val_TP_std,test_TP,test_TP_std,ext_TP,ext_TP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.1,Top20,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.1,Top25,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.1,Top30,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.1,Top40,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.1,Top70,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.2,Top20,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.2,Top25,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.2,Top30,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.2,Top40,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.3,Top20,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.3,Top25,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.3,Top30,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.3,Top40,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.4,Top20,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.4,Top25,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.4,Top30,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.4,Top40,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.5,Top20,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.5,Top25,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.5,Top30,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.5,Top40,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.8,3.8340579025361614,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.1,Top100,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.6,3.6469165057620994,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.1,Top50,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.6,3.781534080237813,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.1,Top60,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.6,3.781534080237813,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.1,Top80,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.6,3.6469165057620994,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.1,Top90,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.6,3.781534080237813,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.2,Top50,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.2,3.834057902536156,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.2,Top70,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.2,3.346640106136296,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.6,Top40,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.2,3.9623225512317903,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.2,Top60,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.0,3.605551275463989,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.6,Top20,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.0,4.358898943540677,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.6,Top25,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.0,4.358898943540677,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.6,Top30,2162.8,6.6858058601787045,2162.8,6.6858058601787045,268.0,4.358898943540677,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.2,Top80,2162.8,6.6858058601787045,2162.8,6.6858058601787045,267.8,4.147288270665545,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.2,Top90,2162.8,6.6858058601787045,2162.8,6.6858058601787045,267.8,3.962322551231793,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.3,Top50,2162.8,6.6858058601787045,2162.8,6.6858058601787045,267.8,3.4205262752974206,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.7,Top40,2162.8,6.6858058601787045,2162.8,6.6858058601787045,266.8,4.764451699828644,353.0,0.0,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.3,Top60,2162.6,6.767569726275449,2162.6,6.767569726275449,268.0,3.605551275463989,352.8,0.4472135954999531,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.1,Top120,2162.8,6.6858058601787045,2162.8,6.6858058601787045,267.8,3.701351104664352,352.8,0.4472135954999531,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.7,Top30,2162.8,6.6858058601787045,2162.8,6.6858058601787045,266.4,5.128352561983226,352.8,0.4472135954999531,3.0,0.0,25.0,0.0,149.8,0.4472135954999591,288.8,0.4472135954999531
0.1,Top15,2162.6,6.767569726275449,2162.6,6.767569726275449,268.0,3.9370039370059056,352.6,0.8944271909999103,2.8,0.4472135954999579,24.8,0.4472135954999581,149.6,0.8944271909999183,288.6,0.8944271909999103
0.1,Top130,2162.6,7.092249290598851,2162.6,7.092249290598851,267.8,3.701351104664352,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.3,Top70,2162.8,6.6858058601787045,2162.8,6.6858058601787045,267.8,3.114482300479493,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.1,Top140,2162.8,6.6858058601787045,2162.8,6.6858058601787045,267.6,3.507135583350045,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.2,Top100,2162.8,6.6858058601787045,2162.8,6.6858058601787045,267.4,3.911521443121586,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.3,Top80,2162.8,6.6858058601787045,2162.8,6.6858058601787045,267.2,4.816637831516915,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.4,Top60,2162.6,6.767569726275449,2162.6,6.767569726275449,267.0,3.6742346141747615,352.6,0.5477225575051635,2.8,0.4472135954999579,24.8,0.4472135954999581,149.8,0.4472135954999551,288.8,0.4472135954999611
0.2,Top120,2162.6,7.092249290598851,2162.6,7.092249290598851,266.8,4.147288270665547,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.2,Top140,2162.6,7.092249290598851,2162.6,7.092249290598851,266.8,4.147288270665547,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.3,Top90,2162.8,6.6858058601787045,2162.8,6.6858058601787045,266.8,4.711687595755899,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.4,Top70,2162.6,7.092249290598851,2162.6,7.092249290598851,266.8,2.2803508501982788,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.2,Top130,2162.6,7.092249290598851,2162.6,7.092249290598851,266.6,4.5607017003965575,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.3,Top100,2162.6,7.092249290598851,2162.6,7.092249290598851,266.6,4.5607017003965575,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.3,Top120,2162.6,7.092249290598851,2162.6,7.092249290598851,266.4,4.449719092257394,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.3,Top130,2162.6,7.092249290598851,2162.6,7.092249290598851,266.4,4.449719092257394,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.3,Top140,2162.6,7.092249290598851,2162.6,7.092249290598851,265.8,4.549725266430931,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.4,Top100,2162.6,7.092249290598851,2162.6,7.092249290598851,265.8,4.438468204234435,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.4,Top80,2162.6,7.092249290598851,2162.6,7.092249290598851,265.6,4.5607017003965575,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.4,Top90,2162.4,7.16240183178798,2162.4,7.16240183178798,265.6,4.3931765272977685,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.4,Top120,2162.4,7.16240183178798,2162.4,7.16240183178798,265.2,4.969909455915671,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.4,Top130,2162.4,7.16240183178798,2162.4,7.16240183178798,264.6,4.722287581247044,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.4,Top140,2162.4,7.16240183178798,2162.4,7.16240183178798,264.6,4.722287581247044,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.5,Top100,2162.6,7.092249290598851,2162.6,7.092249290598851,264.4,4.77493455452532,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.5,Top120,2162.4,7.16240183178798,2162.4,7.16240183178798,264.0,4.847679857416325,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
0.5,Top140,2162.2,7.049822692805854,2162.2,7.049822692805854,263.4,4.669047011971496,352.6,0.54772255750517,3.0,0.0,25.0,0.0,150.0,0.0,289.0,0.0
