threshold,topN,train_TN,train_TN_std,val_TN,val_TN_std,test_TN,test_TN_std,ext_TN,ext_TN_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.3,Top100,565.2,11.497825881443864,565.2,11.497825881443864,33.6,5.319774431308154,1.2,1.6431676725154984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.224744871391589
0.3,Top120,574.2,17.282939564784684,574.2,17.282939564784684,39.8,7.918333157931662,2.4,1.1401754250991378,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7071067811865476
0.3,Top130,581.8,8.899438184514786,581.8,8.899438184514786,39.8,7.854934754662192,2.4,1.1401754250991378,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7071067811865476
0.3,Top140,578.0,8.803408430829514,578.0,8.803408430829514,41.0,6.928203230275509,2.8,1.6431676725154982,0.0,0.0,0.0,0.0,0.2,0.447213595499958,2.4,1.1401754250991378
0.3,Top15,114.6,256.2533902214759,114.6,256.2533902214759,10.6,23.70232056149777,6.6,14.758048651498612,0.4,0.894427190999916,3.6,8.049844718999243,5.4,12.074767078498866,6.6,14.758048651498612
0.3,Top20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,Top25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,Top30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,Top40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,Top50,235.4,322.350430432472,235.4,322.350430432472,15.6,21.927152117865194,1.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.2,0.447213595499958,1.0,1.4142135623730951
0.3,Top60,232.0,317.79238505665927,232.0,317.79238505665927,14.0,20.199009876724155,0.8,1.3038404810405297,0.0,0.0,0.0,0.0,0.2,0.447213595499958,0.8,1.3038404810405297
0.3,Top70,331.0,302.2813259200773,331.0,302.2813259200773,15.2,13.989281611290838,0.6,0.8944271909999159,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8944271909999159
0.3,Top80,539.6,25.155516293648212,539.6,25.155516293648212,24.0,7.582875444051551,1.2,0.8366600265340756,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.8366600265340756
0.3,Top90,551.0,31.788362650504666,551.0,31.788362650504666,27.0,11.467344941179714,1.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7071067811865476
0.4,Top10,349.8,319.34182313001224,349.8,319.34182313001224,30.2,27.878306978724517,22.8,21.04043725781382,2.2,2.280350850198276,11.6,11.058933040759403,18.6,17.25688268488837,22.4,20.70748656887166
0.4,Top100,586.8,7.529940238806667,586.8,7.529940238806667,40.8,5.805170109479997,2.8,1.3038404810405297,0.0,0.0,0.0,0.0,0.2,0.447213595499958,2.4,0.8944271909999159
0.4,Top120,588.4,8.049844718999237,588.4,8.049844718999237,44.0,8.215838362577491,4.8,2.7748873851023212,0.0,0.0,0.0,0.0,1.8,2.16794833886788,4.4,2.5099800796022267
0.4,Top130,590.2,7.120393247567165,590.2,7.120393247567165,44.0,7.745966692414834,4.2,1.6431676725154982,0.0,0.0,0.0,0.0,1.0,1.224744871391589,3.8,1.4832396974191326
