threshold,topN,train_accuracy,train_accuracy_std,val_accuracy,val_accuracy_std,test_accuracy,test_accuracy_std,ext_accuracy,ext_accuracy_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.1,Top10,0.8022390754785121,0.041847680415346346,0.8022390754785121,0.041847680415346346,0.7804034582132565,0.01937491217748892,0.8068181818181819,0.010163945352271754,0.21666666666666665,0.074535599249993,0.41587301587301584,0.04259177099999596,0.6877828054298643,0.02023590929864061,0.7780748663101604,0.011957582767378558
0.1,Top100,0.8334416756951969,0.012065575826861194,0.8334416756951969,0.012065575826861194,0.7798270893371757,0.014206060569298266,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.1,Top120,0.9025641025641026,0.029768858894115638,0.9025641025641026,0.029768858894115638,0.8046109510086457,0.023000656990472525,0.8018181818181818,0.0010163945352271336,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.1,Top130,0.914842903575298,0.02365598953572847,0.914842903575298,0.02365598953572847,0.805763688760807,0.024673031461676074,0.8013636363636364,0.001244823994329883,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.1,Top140,0.9249548573492234,0.01955238635254744,0.9249548573492234,0.01955238635254744,0.8132564841498559,0.01838517338067611,0.8013636363636364,0.001244823994329883,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.1,Top15,0.7968941856265801,0.035087985977885684,0.7968941856265801,0.035087985977885684,0.7769452449567723,0.012984300087687405,0.805,0.006098367211363082,0.2333333333333333,0.037267799624996524,0.4031746031746032,0.014197256999998645,0.6841628959276018,0.012141545579184386,0.7759358288770054,0.007174549660427159
0.1,Top20,0.7810762007945107,0.0024145199928417077,0.7810762007945107,0.0024145199928417077,0.7746397694524496,0.0110491582205653,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.1,Top25,0.7810762007945107,0.0024145199928417077,0.7810762007945107,0.0024145199928417077,0.7746397694524496,0.0110491582205653,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.1,Top30,0.7810762007945107,0.0024145199928417077,0.7810762007945107,0.0024145199928417077,0.7746397694524496,0.0110491582205653,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.1,Top40,0.7810762007945107,0.0024145199928417077,0.7810762007945107,0.0024145199928417077,0.7746397694524496,0.0110491582205653,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.1,Top50,0.806644998194294,0.05644476466581897,0.806644998194294,0.05644476466581897,0.7786743515850144,0.01543872649680564,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.1,Top60,0.8088840736728061,0.059881089013628694,0.8088840736728061,0.059881089013628694,0.7792507204610951,0.016378411802170374,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
0.1,Top70,0.7859154929577465,0.005797413180147004,0.7859154929577465,0.005797413180147004,0.7752161383285302,0.011345832671486806,0.8022727272727274,0.0,0.25,0.0,0.3968253968253968,0.0,0.6787330316742082,0.0,0.7727272727272727,0.0
