threshold,topN,train_MCC,train_MCC_std,val_MCC,val_MCC_std,test_MCC,test_MCC_std,ext_MCC,ext_MCC_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.9,Top15,0.9660740289461476,0.0047453567796368,0.9660740289461476,0.0047453567796368,0.7444893250158721,0.0384644463528523,0.6945903704635279,0.0448275378447269,-0.2245503962305758,0.0460750973127502,0.4526830051950813,0.0311335140083004,0.6296038379626331,0.0537783133089835,0.6888145842727544,0.0448318227475399
0.9,Top20,0.973449213355524,0.0029220865690094,0.973449213355524,0.0029220865690094,0.7437925170906557,0.0574296831898899,0.6903215464919675,0.0158076240770915,-0.3023517610515239,0.1180675397684769,0.4470128706845058,0.0359968906202657,0.6240475445212195,0.036413910332114,0.6878632643266617,0.0239775358184458
0.9,Top25,0.9852072917936644,0.0059582729668882,0.9852072917936644,0.0059582729668882,0.7361476612059407,0.0624907780894114,0.6726127837623525,0.0121819270675367,-0.3642127766703915,0.0871723296135467,0.4572130489747605,0.0520264597648603,0.5947601734272439,0.0192510496903406,0.6692637496434948,0.0109578552766239
0.85,Top10,0.9706605319416148,0.0054275833101705,0.9706605319416148,0.0054275833101705,0.7520689910212881,0.0520699643463249,0.6715330609821171,0.0403210481964134,-0.087622346815126,0.1933199482540774,0.4906031415360496,0.0697125583524341,0.610226277852918,0.0576986993026642,0.6716205475557718,0.0431238034714828
0.9,Top10,0.9654307431410316,0.0030454028293902,0.9654307431410316,0.0030454028293902,0.741916872728591,0.0557495395689695,0.6694807232127591,0.054297924990452,-0.1740776559556978,0.0,0.4075732867348584,0.0723742274216934,0.5908380534276946,0.0671612635103733,0.662061770649957,0.0545840298064901
0.9,Top30,0.9867114859659722,0.0033537491877552,0.9867114859659722,0.0033537491877552,0.7342243633191528,0.065589645759144,0.6666719562817335,0.0285710131708527,-0.3970758146395692,0.1184255373494845,0.4468252249630299,0.0637187371680086,0.5844825455391267,0.0286158284416891,0.662528311261587,0.0266353886132523
0.95,Top20,0.9334370464288412,0.0040957630114026,0.9334370464288412,0.0040957630114026,0.7380677310529334,0.0474438420875837,0.6596239354634001,0.0397114293854051,-0.1740776559556978,0.0,0.4873656844711389,0.0457546375471615,0.5385747261518352,0.0588173169702305,0.6456343590277952,0.041479254806826
0.95,Top15,0.9212515784092064,0.0156145213048602,0.9212515784092064,0.0156145213048602,0.726478977407776,0.0481059762402471,0.6583714614416508,0.0406626417443728,-0.1392621247645582,0.0778498944161522,0.4430127129687456,0.0784162695932991,0.5508043818016259,0.062943681973234,0.6470869265080077,0.0469643441918329
0.95,Top100,0.984437013953014,0.002727343270583,0.984437013953014,0.002727343270583,0.7551991932852532,0.0346590071959317,0.6545175428372298,0.0304399365392865,-0.4560693380701052,0.0436544441624454,0.3908112371245787,0.0460349381947459,0.5612675638194536,0.0363128303168901,0.6462977303291281,0.0303995109641151
0.95,Top25,0.961930770667794,0.0027333448153526,0.961930770667794,0.0027333448153526,0.7454887047138042,0.0484433763635016,0.6543521920773356,0.0415707073602743,-0.1740776559556978,0.0,0.4448336250354183,0.0590761712167253,0.5434431995791084,0.0595377903625179,0.6428854798966201,0.0406228700416935
0.95,Top130,0.9822060669886348,0.0035859882696097,0.9822060669886348,0.0035859882696097,0.7580117527818614,0.0319930368768468,0.6539235876417917,0.0237866053173739,-0.4280430525588844,0.1051346590067007,0.3719896040558746,0.1079312860808578,0.565666608968074,0.0391382696443676,0.6497033002624499,0.0263636724760547
0.85,Top15,0.9614863082993702,0.0060408065273396,0.9614863082993702,0.0060408065273396,0.7420696622764356,0.031401811186928,0.6523660769027663,0.0263190968227073,-0.246176973069227,0.1181724888952841,0.4688402180967566,0.0476557384765573,0.5977770094963589,0.0355104643764788,0.6530720056126946,0.027735824633017
0.85,Top20,0.9732708848368796,0.0041247644489587,0.9732708848368796,0.0041247644489587,0.7293534249990452,0.0452849871679302,0.6516935268764293,0.0304806633532439,-0.3658674986339539,0.190388143999556,0.4174632314567674,0.0925113166826638,0.5945526603444743,0.0383991038276312,0.651356358920234,0.0307896526619368
0.95,Top120,0.9836237761651224,0.0033419358015612,0.9836237761651224,0.0033419358015612,0.7633347477105108,0.0333358688231484,0.6396420553799264,0.0240324539339818,-0.4580090354110963,0.0751118979216295,0.3439041755673105,0.0939872617870285,0.5400876338004151,0.0367533483802514,0.6306537324804082,0.025314268696278
0.9,Top40,0.992599538294991,0.0018648323878583,0.992599538294991,0.0018648323878583,0.7403406804578672,0.0591034071299989,0.6375858365700109,0.0276016718039347,-0.4898897338152577,0.059845546613332,0.3436562714981027,0.059044468651483,0.5483968287034842,0.0320536929476407,0.6332316780722941,0.0264664888842999
0.95,Top10,0.9216332628549626,0.0224058417967085,0.9216332628549626,0.0224058417967085,0.7150727101359011,0.0467224133764488,0.6369158464248275,0.0173288953516418,-0.1044465935734186,0.0953462589245592,0.4228460646386285,0.0708973944601714,0.5316964070177215,0.02289981657248,0.6235563747881981,0.0160155581612672
0.8,Top10,0.9687643987255684,0.0094057650975403,0.9687643987255684,0.0094057650975403,0.7313466983947996,0.0549020828113439,0.6367670941777569,0.037555066584981,-0.1798248447086233,0.1132498776098791,0.45491943522451,0.061060575580633,0.5708092975601176,0.0425793335754216,0.6353137053513414,0.0402158356613251
0.95,Top30,0.9614348706872564,0.0043144862422479,0.9614348706872564,0.0043144862422479,0.7513913785625707,0.0349478923681676,0.6352976920588632,0.0258623774502783,-0.2209117828573308,0.1047242914189031,0.4103660814045503,0.0624751765101416,0.5176215772835067,0.0340194171871018,0.6231252343513184,0.0255814693796993
0.95,Top40,0.9716935372923826,0.0044395641733587,0.9716935372923826,0.0044395641733587,0.7553495072259651,0.0414482834427051,0.6304633752282378,0.0133183591135002,-0.3041491190925822,0.1027478363980672,0.4600853207995021,0.0441305914188397,0.5118334546807395,0.0170974226550821,0.6183405941340613,0.0122903410140172
0.95,Top140,0.9832045356202944,0.0026175684069563,0.9832045356202944,0.0026175684069563,0.7576539087563356,0.040620380919273,0.627162109802414,0.0299071884091199,-0.4580090354110963,0.0751118979216295,0.3147331013190378,0.1146974730465802,0.5323625170965414,0.0412856460502507,0.6201500628392546,0.0322725361456
0.95,Top50,0.978689200935058,0.0036685933584047,0.978689200935058,0.0036685933584047,0.7646833899347162,0.0365082627499077,0.6233229239632053,0.0256914673148915,-0.3173786497687584,0.1158027640451169,0.4240830318958829,0.0673321767409174,0.5154206546369299,0.0389459258207587,0.6152537881200006,0.0310786813407961
0.95,Top60,0.9763001230815792,0.0052174158830461,0.9763001230815792,0.0052174158830461,0.7540693175704029,0.0379820691025448,0.6223688875323602,0.0350712977298209,-0.3314777436386524,0.1569396183797984,0.4125369527369324,0.0679880975873356,0.5102716928448559,0.0481832104489661,0.6121218885230394,0.0348523518531579
0.85,Top30,0.9864514904566848,0.003173973644994,0.9864514904566848,0.003173973644994,0.7270657610221278,0.0516083758840353,0.6157392519736373,0.0450475206194586,-0.5269860393922079,0.0872871560943969,0.2946674023261474,0.0977526987157813,0.5368561605106451,0.050271970157629,0.6139146331984637,0.0456987575925789
0.95,Top70,0.977333427721935,0.0070198691556979,0.977333427721935,0.0070198691556979,0.7538172060530226,0.0270712355037884,0.6131346924964994,0.0177781403003987,-0.3483019903969451,0.1393735104843421,0.4024772468477943,0.0744963873779374,0.4906043854691884,0.0194208899764363,0.6001148870484176,0.0144382174787751
0.8,Top15,0.949027467005715,0.0143320031675741,0.949027467005715,0.0143320031675741,0.737771189582524,0.0401101729110036,0.6065693438653522,0.031337997266423,-0.3015246690020497,0.2055574495024315,0.3889925657030527,0.0205431802649582,0.5490403115621479,0.0369997674231247,0.6050146865345106,0.0318026593510429
0.95,Top90,0.9844159593337596,0.0015233861006186,0.9844159593337596,0.0015233861006186,0.7595902840559039,0.0335746959585158,0.6064283428511655,0.0347321624054584,-0.4430260439849903,0.0928878862232084,0.3116372314206321,0.1213904824319527,0.4857894927158103,0.049218655898838,0.5934609281408461,0.0349508886838509
0.85,Top25,0.983709982843445,0.005402208042483,0.983709982843445,0.005402208042483,0.7395408790961453,0.0454665976450024,0.6062668942376306,0.0538266069254812,-0.3832711615927678,0.1763679456632103,0.334099148649367,0.0949902097007799,0.5288358837161576,0.0629039179538279,0.6047232486674953,0.0544496384363036
0.9,Top60,0.9882553212441304,0.00281358956317,0.9882553212441304,0.00281358956317,0.733337904663758,0.0620594197705597,0.6052551469196336,0.0496379927768768,-0.4917687668174567,0.2043329856537276,0.3072048634075405,0.188011621321738,0.5036660349821858,0.0556543837016849,0.5992099306082292,0.046120817067586
