threshold,topN,train_SP,train_SP_std,val_SP,val_SP_std,test_SP,test_SP_std,ext_SP,ext_SP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.95,Top10,0.9990060443397047,0.0009073870091458,0.9990060443397047,0.0009073870091458,0.8847489177489176,0.0610657918985726,0.928735632183908,0.0249189464237686,0.9333333333333332,0.0608580619450184,0.9,0.0343115916063297,0.9352112676056338,0.0274557587177717,0.9294117647058824,0.0288175263856844
0.95,Top15,0.9983485618977817,0.0011786702710747,0.9983485618977817,0.0011786702710747,0.8898463203463203,0.0533548973507283,0.8942528735632184,0.0221096368524958,0.9111111111111112,0.0496903994999953,0.8631578947368421,0.0343115916063296,0.9014084507042254,0.0172499277660786,0.8941176470588236,0.018601633295108
0.95,Top20,0.9986791676409954,0.0013858599408034,0.9986791676409954,0.0013858599408034,0.8876103896103895,0.0642852361986099,0.8873563218390805,0.0170487321542429,0.888888888888889,0.0,0.8473684210526315,0.0220173691193177,0.8901408450704225,0.0183639504371905,0.8870588235294118,0.0178420598683566
0.95,Top25,0.9976916686153242,0.0018805014531422,0.9976916686153242,0.0018805014531422,0.8670844155844156,0.0633940004017131,0.8298850574712644,0.0249189464237686,0.888888888888889,0.0,0.7736842105263158,0.0235375576578925,0.8338028169014085,0.0288646500449565,0.8305882352941177,0.0283331637148053
0.95,Top30,0.9986791676409954,0.0007385826284086,0.9986791676409954,0.0007385826284086,0.8750844155844156,0.0571294813726744,0.825287356321839,0.0393163939689358,0.8222222222222222,0.1490711984999859,0.7473684210526316,0.0686231832126594,0.8253521126760563,0.0473457360956946,0.828235294117647,0.0444886362380918
0.9,Top10,0.9937147767588173,0.0051791639435555,0.9937147767588173,0.0051791639435555,0.833508658008658,0.0841156483301263,0.8068965517241379,0.0571253960450076,0.888888888888889,0.0,0.8105263157894737,0.0470751153157849,0.828169014084507,0.0530744892434275,0.8117647058823529,0.0506019133355448
0.95,Top40,0.999010842599536,0.0009031388364172,0.999010842599536,0.0009031388364172,0.8617510822510823,0.0602765141775076,0.7609195402298851,0.0339031751810405,0.711111111111111,0.1490711984999859,0.6842105263157895,0.0670923620209577,0.7464788732394366,0.041063041512995,0.7623529411764706,0.03937223654278
0.95,Top70,1.0,0.0,1.0,0.0,0.8640064935064935,0.0418157284757123,0.7563218390804598,0.0559570641132785,0.6444444444444445,0.1987615979999812,0.6526315789473685,0.1253803078902273,0.7352112676056338,0.0741278724898071,0.7552941176470588,0.0619185758444271
0.95,Top80,1.0,0.0,1.0,0.0,0.8569329004329005,0.0355235359266225,0.7402298850574713,0.0434659089682506,0.6,0.1859244503409056,0.6157894736842106,0.0922930416671062,0.7183098591549296,0.0597555026354829,0.7388235294117648,0.0458672675049833
0.95,Top60,0.9993441759328692,0.0008981226298405,0.9993441759328692,0.0008981226298405,0.8565974025974026,0.0416729528062991,0.7402298850574713,0.0673174733992934,0.6666666666666666,0.2222222222222222,0.6473684210526316,0.1214524290443613,0.7267605633802817,0.0865939501348698,0.7435294117647059,0.0722356773318059
