threshold,topN,train_prc,train_prc_std,val_prc,val_prc_std,test_prc,test_prc_std,ext_prc,ext_prc_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.1,Top20,0.9998952750048355,1.765361984944325e-05,0.9998952750048355,1.765361984944325e-05,0.98219312604942,0.0099162781016602,0.986513428056582,0.0022260929286844,0.1893722943722943,0.0280886374725176,0.770749118430886,0.0250276594140407,0.947337928128891,0.0064154618489946,0.9817963264872226,0.0026241545303176
0.2,Top20,0.9998952750048355,1.765361984944325e-05,0.9998952750048355,1.765361984944325e-05,0.98219312604942,0.0099162781016602,0.986513428056582,0.0022260929286844,0.1893722943722943,0.0280886374725176,0.770749118430886,0.0250276594140407,0.947337928128891,0.0064154618489946,0.9817963264872226,0.0026241545303176
0.3,Top20,0.9998952750048355,1.765361984944325e-05,0.9998952750048355,1.765361984944325e-05,0.98219312604942,0.0099162781016602,0.986513428056582,0.0022260929286844,0.1893722943722943,0.0280886374725176,0.770749118430886,0.0250276594140407,0.947337928128891,0.0064154618489946,0.9817963264872226,0.0026241545303176
0.4,Top20,0.9998952750048355,1.765361984944325e-05,0.9998952750048355,1.765361984944325e-05,0.98219312604942,0.0099162781016602,0.986513428056582,0.0022260929286844,0.1893722943722943,0.0280886374725176,0.770749118430886,0.0250276594140407,0.947337928128891,0.0064154618489946,0.9817963264872226,0.0026241545303176
0.5,Top20,0.9998952750048355,1.765361984944325e-05,0.9998952750048355,1.765361984944325e-05,0.98219312604942,0.0099162781016602,0.986513428056582,0.0022260929286844,0.1893722943722943,0.0280886374725176,0.770749118430886,0.0250276594140407,0.947337928128891,0.0064154618489946,0.9817963264872226,0.0026241545303176
0.6,Top20,0.9998952750048355,1.765361984944325e-05,0.9998952750048355,1.765361984944325e-05,0.98219312604942,0.0099162781016602,0.986513428056582,0.0022260929286844,0.1893722943722943,0.0280886374725176,0.770749118430886,0.0250276594140407,0.947337928128891,0.0064154618489946,0.9817963264872226,0.0026241545303176
0.7,Top20,0.9998952750048355,1.765361984944325e-05,0.9998952750048355,1.765361984944325e-05,0.98219312604942,0.0099162781016602,0.986513428056582,0.0022260929286844,0.1893722943722943,0.0280886374725176,0.770749118430886,0.0250276594140407,0.947337928128891,0.0064154618489946,0.9817963264872226,0.0026241545303176
0.8,Top20,0.9998952750048355,1.765361984944325e-05,0.9998952750048355,1.765361984944325e-05,0.98219312604942,0.0099162781016602,0.986513428056582,0.0022260929286844,0.1893722943722943,0.0280886374725176,0.770749118430886,0.0250276594140407,0.947337928128891,0.0064154618489946,0.9817963264872226,0.0026241545303176
0.85,Top20,0.9998952750048355,1.765361984944325e-05,0.9998952750048355,1.765361984944325e-05,0.98219312604942,0.0099162781016602,0.986513428056582,0.0022260929286844,0.1893722943722943,0.0280886374725176,0.770749118430886,0.0250276594140407,0.947337928128891,0.0064154618489946,0.9817963264872226,0.0026241545303176
0.9,Top20,0.9998952750048355,1.765361984944325e-05,0.9998952750048355,1.765361984944325e-05,0.98219312604942,0.0099162781016602,0.986513428056582,0.0022260929286844,0.1893722943722943,0.0280886374725176,0.770749118430886,0.0250276594140407,0.947337928128891,0.0064154618489946,0.9817963264872226,0.0026241545303176
