threshold,topN,train_accuracy,train_accuracy_std,val_accuracy,val_accuracy_std,test_accuracy,test_accuracy_std,ext_accuracy,ext_accuracy_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.9,Top20,0.9908270133622246,0.0009757498075916,0.9908270133622246,0.0009757498075916,0.910086455331412,0.0173390304973963,0.9045454545454544,0.0080353043316653,0.5333333333333334,0.1263812574008592,0.711111111111111,0.0206958806514369,0.8371040723981901,0.0180995475113122,0.8930481283422461,0.0106951871657754
0.9,Top15,0.9882267966775008,0.0016069769202807,0.9882267966775008,0.0016069769202807,0.9089337175792508,0.0112723960896875,0.9022727272727272,0.0202004418575354,0.6166666666666667,0.0456435464587638,0.7301587301587301,0.0194403947839934,0.8343891402714932,0.033648855099689,0.8898395721925134,0.0220810939273396
0.9,Top25,0.9949440231130372,0.0020107491378945,0.9949440231130372,0.0020107491378945,0.9095100864553316,0.0189633243531551,0.9013636363636364,0.0047128275803017,0.4666666666666666,0.0950146187582615,0.7015873015873015,0.0395234907872658,0.8271493212669683,0.0103183296389062,0.8887700534759357,0.0052121894892026
0.9,Top30,0.9954496208017334,0.0011305508011916,0.9954496208017334,0.0011305508011916,0.9089337175792508,0.0206409274691297,0.8995454545454546,0.0080993316732751,0.4333333333333333,0.123603308118261,0.692063492063492,0.045729715209168,0.8235294117647058,0.0123919130657277,0.8866310160427808,0.0085811799657119
0.85,Top20,0.990899241603467,0.0013846362956071,0.990899241603467,0.0013846362956071,0.9089337175792508,0.0149189384501957,0.8981818181818182,0.007434285106271,0.4166666666666667,0.1317615691736824,0.6666666666666666,0.0604426436973326,0.8289592760180996,0.0154774944583593,0.8855614973262032,0.0087462177720835
0.95,Top130,0.99378837125316,0.001312091161039,0.99378837125316,0.001312091161039,0.9135446685878964,0.0101888585185381,0.8945454545454545,0.0054734520812692,0.4,0.1086533734200441,0.6476190476190476,0.0747886919961253,0.816289592760181,0.0145219968650508,0.8818181818181818,0.0071745496604271
0.85,Top15,0.9868544600938968,0.0019548383680352,0.9868544600938968,0.0019548383680352,0.9123919308357348,0.0096874560887444,0.8945454545454545,0.0132131289579533,0.5,0.1317615691736824,0.7079365079365079,0.0398409536444798,0.8253393665158371,0.0232052152125938,0.8823529411764707,0.0146449881685873
0.9,Top40,0.9974720115565184,0.0006255149178652,0.9974720115565184,0.0006255149178652,0.9118155619596544,0.0177180704886909,0.8936363636363638,0.0070783688647261,0.3333333333333333,0.0589255650988789,0.6190476190476191,0.0404684088380379,0.8117647058823529,0.0122255711186482,0.8796791443850267,0.0077953902337503
0.95,Top100,0.9945828819068256,0.0009890259254336,0.9945828819068256,0.0009890259254336,0.911815561959654,0.0108977927384374,0.8931818181818182,0.0106600358177805,0.3666666666666666,0.0456435464587638,0.6571428571428571,0.0288347652771189,0.8126696832579186,0.0174075873861278,0.879144385026738,0.0118675620434075
0.85,Top10,0.9898880462260744,0.0018236736977901,0.9898880462260744,0.0018236736977901,0.9141210374639768,0.0157053908858082,0.8927272727272728,0.0187000022097492,0.6833333333333333,0.0372677996249964,0.7523809523809524,0.0240726204573064,0.8217194570135746,0.0360005869337847,0.881283422459893,0.0215236489812813
0.95,Top120,0.9942939689418562,0.0012086096446863,0.9942939689418562,0.0012086096446863,0.9152737752161384,0.0108977927384374,0.89,0.0044303610658222,0.3666666666666667,0.074535599249993,0.6285714285714286,0.0660210614066203,0.8054298642533937,0.0123919130657277,0.8754010695187165,0.005544503035649
0.85,Top30,0.995377392560491,0.0010652135213977,0.995377392560491,0.0010652135213977,0.9089337175792508,0.015194727753849,0.889090909090909,0.0110642376769437,0.3,0.074535599249993,0.5873015873015873,0.0634920634920635,0.8072398190045249,0.0193567870010927,0.8748663101604277,0.013016750208169
0.95,Top140,0.9941495124593716,0.0009347908346366,0.9941495124593716,0.0009347908346366,0.9135446685878964,0.012725880210847,0.8877272727272727,0.0069308866736258,0.3666666666666667,0.074535599249993,0.6126984126984126,0.0723920904824849,0.8036199095022625,0.0145219968650508,0.8732620320855615,0.0087869929011523
0.85,Top25,0.994438425424341,0.0018343698229252,0.994438425424341,0.0018343698229252,0.9129682997118156,0.0134245702580427,0.886818181818182,0.0129963440504507,0.3333333333333333,0.1020620726159658,0.6031746031746031,0.0682724227543065,0.8036199095022625,0.0240713775172314,0.8721925133689841,0.015289816529942
0.8,Top10,0.989310220296136,0.0031129450255702,0.989310220296136,0.0031129450255702,0.9089337175792508,0.01650469286833,0.885909090909091,0.0104644222120193,0.5666666666666667,0.1369306393762915,0.7174603174603174,0.0361960452412424,0.8090497737556561,0.0220283465061323,0.8727272727272727,0.0131804893517285
0.9,Top60,0.9959552184904296,0.0010021261773572,0.9959552184904296,0.0010021261773572,0.9089337175792508,0.0184077457321859,0.8845454545454545,0.0104644222120193,0.35,0.1806623615723233,0.6031746031746031,0.1193118760188326,0.7936651583710408,0.0190905186513385,0.8689839572192513,0.0115004348489874
0.8,Top15,0.9826652221018416,0.0046948356807511,0.9826652221018416,0.0046948356807511,0.9123919308357348,0.011634944805871,0.8836363636363636,0.0108282993177923,0.4166666666666666,0.1863389981249824,0.6507936507936508,0.0372255219033605,0.8063348416289593,0.0195671930411218,0.8689839572192513,0.0119575827673785
0.9,Top10,0.9878656554712894,0.0011013326603089,0.9878656554712894,0.0011013326603089,0.9072046109510088,0.0162255772452555,0.8836363636363636,0.025277386751635,0.6666666666666666,0.0,0.7206349206349205,0.0309422042692348,0.8,0.0443808138832189,0.8689839572192513,0.0283598976411717
0.9,Top50,0.996027446731672,0.0014445648248464,0.996027446731672,0.0014445648248464,0.9072046109510088,0.0170978639471946,0.8827272727272728,0.0095886468680586,0.3166666666666666,0.1490711984999859,0.5873015873015873,0.1093972123181763,0.7927601809954752,0.0205869921557961,0.8684491978609625,0.011562432251572
0.9,Top120,0.9963885879378838,0.0009207330288178,0.9963885879378838,0.0009207330288178,0.910086455331412,0.0131116001914435,0.8790909090909091,0.0115216289596696,0.2833333333333333,0.1118033988749894,0.5650793650793651,0.0859198006522181,0.7873303167420815,0.020981037320126,0.8641711229946525,0.0132885279569937
0.85,Top40,0.996244131455399,0.0007039938132762,0.996244131455399,0.0007039938132762,0.9095100864553316,0.0185201948277344,0.8790909090909091,0.0131935684306363,0.3333333333333333,0.1020620726159658,0.5492063492063493,0.0697329607507581,0.7900452488687784,0.0249074370036613,0.8636363636363636,0.0159309830050976
0.9,Top100,0.9965330444203684,0.0007488783442877,0.9965330444203684,0.0007488783442877,0.90835734870317,0.0124621027725876,0.8786363636363637,0.0103652311372649,0.3,0.074535599249993,0.5714285714285714,0.0593913870916498,0.7873303167420814,0.0139466380157669,0.8631016042780748,0.0105944453241491
0.9,Top70,0.9961719032141566,0.0015449078827162,0.9961719032141566,0.0015449078827162,0.910086455331412,0.0154387264968056,0.8781818181818182,0.0082884466040047,0.2833333333333333,0.1118033988749894,0.5777777777777777,0.0880916630191213,0.7828054298642534,0.0110836639944939,0.8625668449197861,0.0064393553897285
0.8,Top20,0.984254243409173,0.0022056239053236,0.984254243409173,0.0022056239053236,0.9123919308357348,0.0129843000876873,0.8777272727272727,0.0123858423576715,0.3333333333333333,0.1020620726159658,0.6,0.053121271525973,0.795475113122172,0.024028810945433,0.8620320855614974,0.0150779381602905
0.9,Top130,0.996027446731672,0.0009554898198138,0.996027446731672,0.0009554898198138,0.9112391930835736,0.0137304083568548,0.8777272727272727,0.0129963440504507,0.3,0.1263812574008591,0.5714285714285714,0.0945744070461348,0.7864253393665158,0.0266546180543405,0.8625668449197861,0.0158860436123133
0.85,Top50,0.9957385337667028,0.0008622128123013,0.9957385337667028,0.0008622128123013,0.9054755043227664,0.0157053908858082,0.8772727272727273,0.0141019018704441,0.35,0.1086533734200441,0.5587301587301587,0.1043281061914602,0.7873303167420814,0.0280761847194363,0.8609625668449198,0.0165904727887578
0.9,Top90,0.996460816179126,0.0010341510338228,0.996460816179126,0.0010341510338228,0.9060518731988474,0.0137606183127531,0.8763636363636363,0.0079707626894318,0.2666666666666666,0.1086533734200441,0.5523809523809524,0.0788874516812011,0.7800904977375566,0.0137990503909293,0.8598930481283423,0.0081539843219128
0.8,Top30,0.990249187432286,0.0021818428988072,0.990249187432286,0.0021818428988072,0.9077809798270892,0.0145526007757378,0.8754545454545454,0.0131935684306363,0.3333333333333333,0.1020620726159658,0.5587301587301587,0.0788874516812011,0.7891402714932128,0.0236422633078971,0.8588235294117647,0.0155218452125133
0.95,Top50,0.9925604911520406,0.0012665711749187,0.9925604911520406,0.0012665711749187,0.9141210374639768,0.0131116001914435,0.875,0.0048211825989991,0.5166666666666666,0.123603308118261,0.7015873015873015,0.0519219912184003,0.779185520361991,0.0108030193541297,0.8593582887700535,0.0072242011155648
0.9,Top80,0.9958829902491876,0.0007488783442877,0.9958829902491876,0.0007488783442877,0.9095100864553312,0.0163784118021703,0.875,0.0073644780663725,0.3166666666666666,0.0912870929175277,0.6031746031746031,0.0624921259842207,0.7764705882352941,0.0134229836870509,0.8588235294117647,0.0076565888038911
0.95,Top40,0.9900325027085592,0.0016271405310318,0.9900325027085592,0.0016271405310318,0.910086455331412,0.0127909746519724,0.8745454545454546,0.0094256551606035,0.5333333333333334,0.1118033988749895,0.7238095238095238,0.0309422042692347,0.7728506787330317,0.0151431679010692,0.8572192513368984,0.0095660662139028
0.95,Top60,0.9916937522571324,0.0018414660576355,0.9916937522571324,0.0018414660576355,0.9095100864553316,0.0166300150389089,0.874090909090909,0.0099844921074949,0.5,0.1666666666666666,0.6952380952380952,0.0519219912184004,0.7755656108597285,0.0174075873861279,0.8572192513368984,0.0101110536904754
0.95,Top25,0.9864933188876852,0.0010404377241523,0.9864933188876852,0.0010404377241523,0.904899135446686,0.0161743114702043,0.8736363636363637,0.0229871505608914,0.6666666666666666,0.0,0.7333333333333333,0.026082026547865,0.7701357466063349,0.0438003440373939,0.8566844919786096,0.0253376636160045
0.95,Top90,0.9945828819068256,0.0005107307917562,0.9945828819068256,0.0005107307917562,0.9129682997118156,0.0137304083568548,0.8731818181818183,0.0134839972492648,0.3833333333333333,0.0950146187582614,0.6285714285714286,0.0600243504799652,0.7728506787330317,0.0246595956442329,0.8556149732620322,0.0148870704888502
0.8,Top25,0.987793427230047,0.003569639232402,0.987793427230047,0.003569639232402,0.9089337175792508,0.0142060605692982,0.8731818181818183,0.0152797602854287,0.3333333333333333,0.1020620726159658,0.5587301587301587,0.0796819072889596,0.7846153846153847,0.0274493228743947,0.8566844919786096,0.0180951062199878
0.7,Top10,0.9816540267244492,0.0143809493718461,0.9816540267244492,0.0143809493718461,0.9072046109510088,0.0121243135262032,0.8731818181818183,0.0171135005427424,0.4333333333333333,0.1806623615723233,0.6603174603174603,0.0533578930602273,0.7855203619909502,0.0278197758351844,0.8572192513368984,0.0207628541800184
0.9,Top140,0.9960996749729144,0.0005934155552602,0.9960996749729144,0.0005934155552602,0.9089337175792508,0.0133002660048579,0.8718181818181818,0.011318090543626,0.2666666666666666,0.1086533734200441,0.526984126984127,0.0756262174575974,0.7728506787330317,0.0187660102745047,0.8550802139037433,0.0124554167902161
0.85,Top80,0.9963163596966412,0.0009347908346366,0.9963163596966412,0.0009347908346366,0.9077809798270892,0.0135170482992029,0.8713636363636363,0.0065476637685854,0.2666666666666666,0.1086533734200441,0.5238095238095238,0.0654461210415501,0.7719457013574661,0.0145219968650508,0.8545454545454545,0.0074675080447962
0.85,Top60,0.9963163596966412,0.0007829354781032,0.9963163596966412,0.0007829354781032,0.9037463976945246,0.016877867970428,0.8713636363636363,0.0123021532752039,0.2666666666666666,0.1086533734200441,0.526984126984127,0.1049301198796089,0.7728506787330317,0.0229389897839576,0.8540106951871657,0.0144731215002398
0.85,Top130,0.9970386421090648,0.0009347908346367,0.9970386421090648,0.0009347908346367,0.90835734870317,0.0143225056366445,0.8695454545454545,0.0144277911346398,0.2833333333333333,0.1118033988749894,0.5269841269841269,0.0857730545149606,0.7728506787330317,0.028149015411757,0.8529411764705882,0.0165904727887578
0.85,Top90,0.9976164680390032,0.0015658709562065,0.9976164680390032,0.0015658709562065,0.9072046109510088,0.0154387264968056,0.8695454545454545,0.0090339122337962,0.25,0.1020620726159657,0.4857142857142856,0.0732570206934243,0.7710407239819005,0.0182684427494898,0.8529411764705882,0.0105267484946681
0.85,Top70,0.99689418562658,0.0012405607827603,0.99689418562658,0.0012405607827603,0.9025936599423632,0.0162255772452555,0.8681818181818182,0.0089477362204679,0.2166666666666666,0.1118033988749894,0.4952380952380952,0.0713403335055372,0.7638009049773756,0.0161253662273352,0.8497326203208555,0.0097143861628796
0.85,Top100,0.997760924521488,0.0010341510338227,0.997760924521488,0.0010341510338227,0.910086455331412,0.015167374486387,0.8677272727272728,0.0091475508170446,0.2499999999999999,0.1178511301977579,0.5015873015873016,0.0578875635835253,0.767420814479638,0.0165018846414574,0.8497326203208557,0.0107618244906406
0.85,Top120,0.9973275550740338,0.0010404377241522,0.9973275550740338,0.0010404377241522,0.9089337175792508,0.0162511494868837,0.8672727272727272,0.0088898214616399,0.2666666666666666,0.1086533734200441,0.5111111111111111,0.0747886919961254,0.7683257918552037,0.0173486782920188,0.8502673796791443,0.0092623037837907
0.95,Top70,0.992054893463344,0.0024758593717591,0.992054893463344,0.0024758593717591,0.9089337175792508,0.0112723960896875,0.8668181818181818,0.0114316148545084,0.4833333333333333,0.1490711984999859,0.692063492063492,0.0533578930602273,0.7610859728506787,0.0210783976449812,0.848663101604278,0.0124840829197098
0.95,Top80,0.9937161430119176,0.0011013326603089,0.9937161430119176,0.0011013326603089,0.9112391930835736,0.0077327999221893,0.8663636363636364,0.0082572282384477,0.45,0.1394433377556792,0.6825396825396826,0.0526448379421492,0.7601809954751131,0.013192198857116,0.8481283422459892,0.0076565888038911
0.95,Top30,0.9862766341639582,0.0016745428847049,0.9862766341639582,0.0016745428847049,0.906628242074928,0.0114551048497704,0.8654545454545455,0.0159415253788638,0.6166666666666666,0.1118033988749894,0.7142857142857142,0.0372255219033605,0.7565610859728507,0.0274120022278026,0.8470588235294118,0.0173693922662157
0.95,Top20,0.975586854460094,0.0017244256246028,0.975586854460094,0.0017244256246028,0.8985590778097983,0.0162255772452556,0.8654545454545455,0.0233106934635601,0.6666666666666666,0.0,0.7587301587301587,0.0206958806514369,0.7502262443438914,0.0444959991635819,0.8465240641711229,0.0266442206809692
0.95,Top15,0.9706753340556158,0.0062258900511404,0.9706753340556158,0.0062258900511404,0.8927953890489914,0.0159676025097349,0.8636363636363636,0.0218583909791719,0.6833333333333333,0.0372677996249965,0.7396825396825396,0.0347760353971534,0.755656108597285,0.0447940947357993,0.8459893048128343,0.0278254775203159
0.8,Top80,0.9981220657276996,0.0006946689801976,0.9981220657276996,0.0006946689801976,0.9054755043227664,0.0146095583350277,0.8627272727272727,0.0078070745624171,0.1833333333333333,0.1086533734200441,0.4666666666666666,0.069732960750758,0.7574660633484163,0.0158693917798643,0.8443850267379679,0.0089482355779045
0.85,Top140,0.99689418562658,0.001317051825844,0.99689418562658,0.001317051825844,0.9112391930835736,0.0138808006671957,0.8622727272727273,0.0141567377294522,0.2166666666666666,0.1263812574008591,0.4825396825396825,0.0715167004829765,0.755656108597285,0.0245764264506791,0.8433155080213904,0.0153131776077821
0.8,Top90,0.9983387504514264,0.0012139932332229,0.9983387504514264,0.0012139932332229,0.904899135446686,0.0178813741296698,0.8622727272727273,0.0106114704817534,0.1666666666666666,0.0833333333333333,0.4507936507936507,0.0640845372640836,0.7583710407239819,0.0218416622373704,0.843850267379679,0.0123400863734912
0.8,Top50,0.9941495124593716,0.0034488512492056,0.9941495124593716,0.0034488512492056,0.9025936599423632,0.0183851733806761,0.8604545454545456,0.013973114680854,0.2666666666666666,0.0912870929175277,0.4984126984126984,0.0814024216187815,0.7592760180995475,0.0227147518516038,0.8417112299465241,0.0161980013164288
0.7,Top15,0.9666305525460456,0.0159324269373731,0.9666305525460456,0.0159324269373731,0.9054755043227664,0.0140295809160093,0.8586363636363636,0.0204797824110342,0.4833333333333333,0.190029237516523,0.5968253968253968,0.1196282138502652,0.7638009049773755,0.0375047344526735,0.839572192513369,0.0245057523794429
0.8,Top130,0.9976886962802456,0.0010404377241523,0.9976886962802456,0.0010404377241523,0.9002881844380404,0.0174821335885914,0.8586363636363636,0.0092876439735011,0.3,0.074535599249993,0.5015873015873016,0.0620876419543109,0.7538461538461538,0.0155434968663508,0.8390374331550803,0.0109266399688248
0.8,Top40,0.9923438064283134,0.0030258374959413,0.9923438064283134,0.0030258374959413,0.9054755043227664,0.0157053908858083,0.8581818181818182,0.0074689439659795,0.2166666666666666,0.0950146187582615,0.4761904761904761,0.0274928699614107,0.7565610859728507,0.0121415455791843,0.8379679144385026,0.0083703079371649
0.8,Top120,0.9980498374864571,0.0009064572335147,0.9980498374864571,0.0009064572335147,0.9014409221902018,0.0200075561472158,0.8581818181818182,0.0097223861982761,0.1666666666666666,0.0589255650988789,0.4698412698412698,0.0533578930602273,0.7538461538461538,0.0141651365090484,0.8390374331550803,0.0105944453241491
0.8,Top70,0.9976164680390032,0.0010404377241523,0.9976164680390032,0.0010404377241523,0.90835734870317,0.0170978639471946,0.8568181818181818,0.0105382028357905,0.1833333333333333,0.0912870929175276,0.4539682539682539,0.069732960750758,0.7475113122171946,0.0224882780810663,0.8368983957219251,0.0123978856891653
0.8,Top60,0.9950884795955218,0.0019211897548965,0.9950884795955218,0.0019211897548965,0.9054755043227664,0.0183851733806761,0.8568181818181818,0.0149896658616737,0.1999999999999999,0.0745355992499929,0.4634920634920634,0.0879485408075877,0.7484162895927602,0.0265005438268711,0.8368983957219251,0.0176349010137338
0.8,Top100,0.998699891657638,0.0006560455805195,0.998699891657638,0.0006560455805195,0.904899135446686,0.0192242998042166,0.8559090909090908,0.0136930639376291,0.1499999999999999,0.0697216688778396,0.4603174603174603,0.0462773959908357,0.7484162895927602,0.0232052152125938,0.8363636363636363,0.0160872823064078
0.6,Top10,0.968725171542073,0.0317276474972665,0.968725171542073,0.0317276474972665,0.8951008645533142,0.0231087264515613,0.8559090909090908,0.0299189676977527,0.4166666666666667,0.0589255650988789,0.5968253968253968,0.1056480082050396,0.7547511312217194,0.0448397796989592,0.8358288770053477,0.035198785526768
