model,feat,train_roc,train_roc_std,val_roc,val_roc_std,test_roc,test_roc_std,ext_roc,ext_roc_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
rf,MorganFP,0.999742394788824,9.508536946133112e-05,0.999742394788824,9.508536946133112e-05,0.9420258843555191,0.0223073042904798,0.8867897496011201,0.0032097073674957,0.0962962962962963,0.0202860206483394,0.535578947368421,0.0104642909478641,0.7553051643192488,0.0073428040532011,0.8666680236108284,0.0036569185708517
DMPNN,,0.9782133833337848,0.0061264622889784,0.9782133833337848,0.0061264622889784,0.9309027134119804,0.0283802716621654,0.8801341538862296,0.0176852355398221,0.9407407407407408,0.0672811189799442,0.8448421052631578,0.0417126431473474,0.8263098591549296,0.028214392244593,0.870979035212701,0.021186587930709
rf,MAP4,0.9997860504367674,0.0001650027263735,0.9997860504367674,0.0001650027263735,0.938938363601004,0.0245411273495477,0.8794666406173685,0.0087685856789917,0.0814814814814815,0.0165634664999984,0.6711578947368421,0.0370864080499832,0.7404882629107982,0.0170257100991955,0.8586484836148992,0.0101811166434499
xgb,MAP4,0.999898201087289,3.3520523509303295e-05,0.999898201087289,3.3520523509303295e-05,0.9415845244746304,0.0243762855810622,0.8782325551105468,0.0149834528701352,0.037037037037037,0.037037037037037,0.6713684210526316,0.0496380249204734,0.7620845070422535,0.0300968921773171,0.8589985752086301,0.0171559728101325
svm,AtomPairFP,0.9968370186238042,0.0006184908307923,0.9968370186238042,0.0006184908307923,0.9051124747618412,0.0221049889900547,0.8746800820552896,0.0247826509534225,0.6518518518518519,0.1325077319999875,0.8134736842105263,0.0925579851196982,0.8153239436619717,0.0356460419268971,0.8683574190922044,0.0270759236454014
DMPNN,PharmacoErGFP,0.9848138732169676,0.0051735051485939,0.9848138732169676,0.0051735051485939,0.9334874169452676,0.026183525396092,0.8712806486275276,0.007482551042292,0.6592592592592592,0.0671677555986935,0.8193684210526315,0.0150444094830726,0.7662535211267605,0.0063479240352155,0.8558518216975373,0.0080057865597686
DMPNN,Charge,0.9850965340605844,0.0070467671884212,0.9850965340605844,0.0070467671884212,0.9383561819465096,0.0219894735826181,0.8708150174204683,0.004982323184965,0.3555555555555555,0.0943455465409521,0.6741052631578948,0.0644835533680547,0.7487323943661972,0.0161083271834109,0.8523590474251984,0.0068468234511975
xgb,Autocorr,0.9998780264272088,3.716512077401266e-05,0.9998780264272088,3.716512077401266e-05,0.9286227463911304,0.024532958447995,0.8701865780990525,0.0279568355999284,0.2,0.1067026688213921,0.5332631578947369,0.0949080324632155,0.7370140845070423,0.0507530368426278,0.8501119478933443,0.031184609529752
DMPNN,MAP4,0.999427258217824,0.0008729282898424,0.999427258217824,0.0008729282898424,0.9398382070283784,0.0241384151894608,0.8694409169353001,0.0156594678979661,0.111111111111111,0.0604812282168685,0.7246315789473685,0.036156358233227,0.7538967136150234,0.0253270611751989,0.8511500101770813,0.0174005749311407
svm,MOE,0.8793098816716649,0.0056757828543385,0.8793098816716649,0.0056757828543385,0.8747825385250024,0.0324405423445975,0.8687147927452704,0.0079945697392193,0.274074074074074,0.0561694477337152,0.593157894736842,0.027700415509349,0.7603380281690141,0.0110026256286626,0.8545491553022593,0.0080548881510335
rf,RDkitFP,0.9997416302434378,9.556232169650563e-05,0.9997416302434378,9.556232169650563e-05,0.9441555112037234,0.0218644633868015,0.8670541499788349,0.0079059006781218,0.1111111111111111,0.0,0.6848421052631579,0.0473719296946165,0.7212394366197183,0.0182688417418539,0.8466517402808874,0.0066918313905404
rf,TorsionFP,0.9995152714203072,0.000146812122495,0.9995152714203072,0.000146812122495,0.940695927972383,0.0208728178138724,0.8630783758262511,0.0077951175208551,0.0074074074074074,0.0165634664999984,0.5714736842105264,0.0148323969741912,0.7104319248826291,0.0169169008286483,0.8385955627925912,0.0075039450757778
DMPNN,Estate,0.9948017742210246,0.0030814250876227,0.9948017742210246,0.0030814250876227,0.936968682103516,0.0147769392367258,0.8598026765654,0.0162733943792308,0.3259259259259259,0.1268664946041,0.6669473684210526,0.0683286825883971,0.7446760563380282,0.0252649751560175,0.8415306330144514,0.0195480869182455
xgb,MorganFP,0.9962317675292948,4.003146897079986e-05,0.9962317675292948,4.003146897079986e-05,0.938871554559312,0.0175855022274033,0.8580606297417864,0.0128796880837888,0.1703703703703703,0.0768016346419544,0.512,0.0469017952039343,0.7312300469483568,0.0261486416520665,0.8378017504579687,0.0155967772303433
rf,Connectivity,0.9997213214375243,0.0001075883541537,0.9997213214375243,0.0001075883541537,0.917335154278965,0.0244263929432757,0.8567809579629448,0.0067588548925888,0.1703703703703703,0.0619748167803019,0.5893684210526315,0.0502299421800656,0.6958497652582161,0.0251679452226116,0.8330958681050274,0.0090103442438597
fcnn,Connectivity,0.8705026786416823,0.0281696134703973,0.8705026786416823,0.0281696134703973,0.8514829263220983,0.0537706976135757,0.8516980886327374,0.0394101784098555,0.237037037037037,0.0561694477337152,0.6932631578947369,0.1160060176106552,0.7268732394366197,0.075980005745696,0.831662935070222,0.0452250929983972
rf,PharmacoErGFP,0.9788777906226844,0.000806732599031,0.9788777906226844,0.000806732599031,0.9177555790088604,0.0205264726247222,0.846794308228322,0.0030752078245699,0.1481481481481481,0.0785674201318385,0.7153684210526315,0.0162494406466696,0.71618779342723,0.0056344287602194,0.824050478322817,0.0039464668679235
rf,MOE,0.999741974308786,8.541061955399862e-05,0.999741974308786,8.541061955399862e-05,0.9303902908703476,0.0221727415578405,0.8457230308358568,0.01275931669063,0.1111111111111111,0.0,0.5383157894736843,0.0446506910419795,0.6766384976525821,0.0294112177090043,0.8222023203745165,0.0131418190877761
rf,Matrix,0.996112755780884,0.0003390397745199,0.996112755780884,0.0003390397745199,0.8946840204214977,0.0267049176956537,0.8452736804402331,0.0255201202525656,0.2962962962962963,0.0523782800878924,0.6352631578947368,0.0531943595618621,0.6814647887323944,0.0594624468284047,0.8218807246081823,0.0311282528580514
xgb,MOE,0.9998652402227846,3.192620074008344e-05,0.9998652402227846,3.192620074008344e-05,0.9288633450500978,0.0279616104628531,0.8440363387711244,0.0137057920232142,0.1851851851851851,0.074074074074074,0.6090526315789473,0.0549368814352276,0.7264976525821596,0.0272088633806678,0.8228943618970079,0.0139721681327223
DMPNN,MOE,0.9903518181696008,0.0096747933820704,0.9903518181696008,0.0096747933820704,0.9462412058268976,0.0188434035740917,0.8436521116212432,0.014054566104449,0.1481481481481481,0.0653271928657923,0.5227368421052632,0.0904653677598635,0.7030422535211267,0.0314156570467888,0.8241644616324038,0.0176429168144724
xgb,MHFP6,1.0,0.0,1.0,0.0,0.935175122902296,0.0245258486648666,0.8432678844713621,0.0094254115679816,0.1999999999999999,0.115944265499989,0.6452631578947369,0.0463815322881437,0.7001126760563381,0.02498723692811,0.8185548544677387,0.0114689663881623
log,MOE,0.8909499937419897,0.0050836983761458,0.8909499937419897,0.0050836983761458,0.8769551317128274,0.034378040007578,0.841314187099085,0.0132686885225808,0.3037037037037037,0.0165634664999984,0.5269473684210526,0.0416794255626856,0.7052206572769955,0.0238292026251312,0.8204477915733767,0.0145982104783065
DMPNN,Constitution,0.9878882345723342,0.0155042671540822,0.9878882345723342,0.0155042671540822,0.9393882700277294,0.0148512134822736,0.840858324378887,0.0257535755947637,0.2962962962962963,0.2095131203515696,0.539578947368421,0.0893231620014048,0.703718309859155,0.0532559703989594,0.822194178709546,0.0302482108376648
log,MAP4,0.9998988162973916,3.303797362336727e-05,0.9998988162973916,3.303797362336727e-05,0.9279526458704804,0.0238211684251487,0.8401940672723128,0.0139288912045331,0.5333333333333333,0.0929622251704528,0.7677894736842106,0.0204465386270697,0.7395680751173709,0.0146781918372796,0.822222674536943,0.0130278915053611
fcnn,MorganFP,0.9957767048478102,0.0010631973178968,0.9957767048478102,0.0010631973178968,0.9315048878907716,0.0251985007363517,0.8399889290482239,0.0143163165566958,0.4888888888888888,0.0662538659999937,0.5974736842105263,0.0340245959593043,0.7366572769953051,0.0114558993194855,0.8199226541827803,0.015217880432439
rf,InfoContent,0.999526141836237,9.93137808924982e-05,0.999526141836237,9.93137808924982e-05,0.8824557691074564,0.0255585948057527,0.8396535443326496,0.0102191075275332,0.3851851851851852,0.0721984766282145,0.4941052631578946,0.0295918683147939,0.7078779342723005,0.0213636278156324,0.8232729493181354,0.0099160875315956
xgb,Matrix,0.9995074571650464,9.1876400160498e-05,0.9995074571650464,9.1876400160498e-05,0.8938541114700698,0.0321752053925053,0.8379440591319071,0.0380831434088568,0.1259259259259258,0.1129477828294585,0.6105263157894736,0.1321943503346032,0.7135962441314554,0.0714077994124132,0.8147526969265215,0.0442643519749833
svm,Path,0.7812505106645881,0.0118846468726127,0.7812505106645881,0.0118846468726127,0.8009784063174766,0.0263074713429435,0.835583341473739,0.0157534093893985,0.3481481481481482,0.0672811189799442,0.7528421052631579,0.0379852719672584,0.7115962441314554,0.0347759000111142,0.8205047832281702,0.0190592229568608
svm,MAP4,0.9966383322621338,0.0009534589475899,0.9966383322621338,0.0009534589475899,0.9122355725415564,0.025860556952657,0.8341278369313926,0.0100165924342648,0.4518518518518518,0.1153511963140551,0.7545263157894737,0.0228859632311901,0.7318779342723005,0.009338829490446,0.8170079381233462,0.0098855202911809
fcnn,PharmacoErGFP,0.9463908293243328,0.0046542287081614,0.9463908293243328,0.0046542287081614,0.9104840378144134,0.0346087821041282,0.8333496141447689,0.0056377701989442,0.1777777777777777,0.0608580619450184,0.7383157894736843,0.0175129552362824,0.7296525821596245,0.0073297797861986,0.8146916344392429,0.0055963657622518
svm,Autocorr,0.9488004634335094,0.0066905785278203,0.9488004634335094,0.0066905785278203,0.8945749187468632,0.0348157594193317,0.830663280257888,0.015280424070828,0.4814814814814815,0.0979907892986886,0.5858947368421052,0.0157648931476137,0.7231173708920188,0.0225299680911411,0.8105678811316913,0.0171452281688752
rf,Charge,0.999708578971794,8.399437631549612e-05,0.999708578971794,8.399437631549612e-05,0.9148716948871308,0.0213067694943933,0.8303572010028979,0.0035936622948544,0.0666666666666666,0.0165634664999984,0.5762105263157895,0.022794395967751,0.6606478873239436,0.0036934961868537,0.8025401994707917,0.003893405991499
xgb,Constitution,0.9966367140073646,0.0003702116033557,0.9966367140073646,0.0003702116033557,0.921563090618614,0.0244727316022328,0.8301585751033832,0.0316487919243844,0.1037037037037037,0.0309874083901509,0.5110526315789474,0.0852144110164198,0.7302347417840376,0.0505190497951627,0.8152696926521473,0.0347868249502466
