model,feat,train_EF_0.01,train_EF_0.01_std,val_EF_0.01,val_EF_0.01_std,test_EF_0.01,test_EF_0.01_std,ext_EF_0.01,ext_EF_0.01_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,,1.280294627990138,0.003967633992230256,1.280294627990138,0.003967633992230256,1.2911345753132526,0.01857570757778124,1.246458923512748,0.0,4.0,0.0,2.52,0.0,1.4733333333333332,0.0,1.2941176470588236,0.0
DMPNN,AtomPairFP,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.246458923512748,0.0,0.0,0.0,2.52,0.0,1.4733333333333332,0.0,1.2941176470588236,0.0
DMPNN,Autocorr,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.246458923512748,0.0,1.6,2.065591117977289,0.504,1.0625252938165755,1.2768888888888887,0.2536086872627672,1.2941176470588236,0.0
DMPNN,AvalonFP,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,0.7478753541076488,0.37162225121809533,0.0,0.0,0.0,0.0,0.7857777777777776,0.41414125208723657,0.7764705882352942,0.3477836675736629
DMPNN,Charge,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.246458923512748,0.0,0.0,0.0,1.008,1.3013224043256921,1.4733333333333332,0.0,1.2941176470588236,0.0
DMPNN,Connectivity,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.246458923512748,0.0,0.0,0.0,1.512,1.3013224043256921,1.4733333333333332,0.0,1.2941176470588236,0.0
DMPNN,Constitution,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.246458923512748,0.0,0.0,0.0,0.0,0.0,1.1786666666666665,0.2536086872627672,1.2941176470588236,0.0
DMPNN,Estate,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.22734781060737,0.14343249123896507,1.196600566572238,0.10511064555045035,0.0,0.0,2.52,0.0,1.4733333333333332,0.0,1.2294117647058824,0.1364119774974596
DMPNN,EstateFP,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.246458923512748,0.0,0.0,0.0,1.512,1.3013224043256921,1.375111111111111,0.20707062604361837,1.2941176470588236,0.0
DMPNN,Fragment,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.196600566572238,0.10511064555045035,1.6,2.065591117977289,1.008,1.3013224043256921,1.2768888888888887,0.2536086872627672,1.2294117647058824,0.1364119774974596
DMPNN,InfoContent,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.246458923512748,0.0,2.4,2.065591117977289,2.016,1.0625252938165755,1.4733333333333332,0.0,1.2941176470588236,0.0
DMPNN,Kappa,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.246458923512748,0.0,1.6,2.065591117977289,1.008,1.3013224043256921,1.4733333333333332,0.0,1.2941176470588236,0.0
DMPNN,MACCSFP,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2261533019050128,0.13359478967262495,1.246458923512748,0.0,0.0,0.0,0.0,0.0,0.1964444444444444,0.41414125208723657,1.035294117647059,0.33413973967279675
DMPNN,MAP4,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.246458923512748,0.0,0.0,0.0,2.52,0.0,1.4733333333333332,0.0,1.2941176470588236,0.0
DMPNN,MHFP6,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.196600566572238,0.10511064555045038,0.0,0.0,0.504,1.0625252938165755,1.375111111111111,0.20707062604361834,1.2294117647058824,0.13641197749745956
DMPNN,MOE,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.246458923512748,0.0,0.0,0.0,2.52,0.0,1.4733333333333332,0.0,1.2941176470588236,0.0
DMPNN,Matrix,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.246458923512748,0.0,2.4,2.065591117977289,2.016,1.0625252938165755,1.4733333333333332,0.0,1.2941176470588236,0.0
DMPNN,MorganFP,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.246458923512748,0.0,0.8,1.6865480854231358,1.008,1.3013224043256921,1.375111111111111,0.20707062604361837,1.2941176470588236,0.0
DMPNN,Path,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.246458923512748,0.0,0.8,1.6865480854231358,0.0,0.0,1.4733333333333332,0.0,1.2941176470588236,0.0
DMPNN,PharmacoErGFP,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.246458923512748,0.0,0.0,0.0,2.52,0.0,1.4733333333333332,0.0,1.2941176470588236,0.0
DMPNN,PharmacoPFP,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.246458923512748,0.0,0.0,0.0,2.016,1.0625252938165755,1.375111111111111,0.20707062604361837,1.2941176470588236,0.0
DMPNN,Property,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.246458923512748,0.0,2.4,2.065591117977289,2.52,0.0,1.4733333333333332,0.0,1.2941176470588236,0.0
DMPNN,PubChemFP,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.196600566572238,0.10511064555045037,1.6,2.065591117977289,0.504,1.0625252938165755,1.375111111111111,0.20707062604361834,1.1647058823529413,0.1670698698363984
DMPNN,RDkitFP,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.0968838526912181,0.3153319366513511,0.0,0.0,0.0,0.0,0.2946666666666666,0.2536086872627671,1.1647058823529413,0.272823954994919
DMPNN,Topology,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.246458923512748,0.0,0.8,1.6865480854231358,2.016,1.0625252938165755,1.4733333333333332,0.0,1.2941176470588236,0.0
DMPNN,TorsionFP,1.280294627990138,0.003740721201563023,1.280294627990138,0.003740721201563023,1.2911345753132526,0.017513345058116612,1.246458923512748,0.0,0.0,0.0,0.0,0.0,1.2768888888888887,0.2536086872627672,1.2941176470588236,0.0
fcnn,AtomPairFP,1.280294627990138,0.003967633992230256,1.280294627990138,0.003967633992230256,1.2911345753132526,0.01857570757778124,1.246458923512748,0.0,1.6,2.1908902300206643,2.52,0.0,1.4733333333333332,0.0,1.2941176470588236,0.0
fcnn,Autocorr,1.2711758767552042,0.022696968089756273,1.2711758767552042,0.022696968089756273,1.225164993564203,0.1320784595359576,1.246458923512748,0.0,0.0,0.0,0.0,0.0,1.2768888888888887,0.2689926337969816,1.2941176470588236,0.0
