model,feat,train_prc,train_prc_std,val_prc,val_prc_std,test_prc,test_prc_std,ext_prc,ext_prc_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,PharmacoErGFP,0.9956143508066284,0.0015127466356123,0.9956143508066284,0.0015127466356123,0.9734843416824456,0.0164185169050665,0.9630338621688216,0.0030386965707255,0.3127813852813852,0.0436047141956511,0.7361303817163749,0.0228430530969079,0.8639201167284305,0.0082176484387848,0.9503146786082206,0.004121304748353
xgb,Autocorr,0.99996593442791,1.0294795881090715e-05,0.99996593442791,1.0294795881090715e-05,0.9751409002133996,0.01076921081661,0.9629621886326104,0.00977902848299,0.1616582491582491,0.016820279744986,0.4628565592760972,0.1348096918375648,0.84406581158957,0.0433149528636076,0.9479009001067178,0.0135459770861095
DMPNN,,0.9927812824465208,0.0022320186466841,0.9927812824465208,0.0022320186466841,0.9742481196264474,0.0135668965346932,0.962860750949558,0.0057338799074807,0.8815079365079365,0.127756702392864,0.7666709324174936,0.0549270144594478,0.893939839346045,0.0175265893175028,0.9518399050698364,0.0083540519547715
DMPNN,MAP4,0.9998261189327596,0.0002734899978041,0.9998261189327596,0.0002734899978041,0.9746989836162052,0.0136568481734206,0.962849827826892,0.0047730362457209,0.1437012987012986,0.0045637796090683,0.7017174675438783,0.0361668639581044,0.8674630001625031,0.0135376349999804,0.9491580581039336,0.0071977688479623
rf,RDkitFP,0.9999303127439928,2.534686754451562e-05,0.9999303127439928,2.534686754451562e-05,0.9803032459102964,0.0109002725653502,0.9627961287062512,0.0022956771139873,0.1491582491582491,0.0,0.6111326187582355,0.0796443231093805,0.8599392007982131,0.0146575445987385,0.9487799266175544,0.0022210899086613
DMPNN,Charge,0.9953448079625848,0.0023884571310364,0.9953448079625848,0.0023884571310364,0.9756331936885444,0.0131095874431566,0.9626675070350073,0.0010373726031321,0.1913672438672438,0.0329022378724223,0.5167134569495664,0.0915049280149897,0.8436766957424808,0.0105161423157182,0.9481700141709822,0.0016606384281357
rf,TorsionFP,0.999871583388386,3.80155721819111e-05,0.999871583388386,3.80155721819111e-05,0.978924094239539,0.0085436825130811,0.9622372131588016,0.0024588875348323,0.1359764309764309,0.0008281733249998,0.4030250881868046,0.0075595240726303,0.812205000993728,0.0126786862286894,0.9450160522681028,0.002836612359837
svm,MOE,0.9538654551787956,0.0025301351820324,0.9538654551787956,0.0025301351820324,0.9527607241879796,0.0194979405963406,0.960826348926901,0.0032416670679133,0.1765993265993265,0.0206005513530434,0.5072387096694712,0.0281816104717415,0.8503907579442005,0.0061404366525302,0.9467669386665196,0.0041315675231482
rf,Connectivity,0.999925747643988,2.7574793812340087e-05,0.999925747643988,2.7574793812340087e-05,0.969176535992861,0.0131820025991463,0.9598676550633612,0.0026022758198932,0.1550577200577199,0.0077421076740463,0.5560320978029755,0.068507949209719,0.8110218395509119,0.0182497904935119,0.9421004706245504,0.0049509350235662
rf,Matrix,0.9990510103388406,9.05911268685926e-05,0.9990510103388406,9.05911268685926e-05,0.9645002956901229,0.0130587940622368,0.9582380543022448,0.0060482648843133,0.3383838383838383,0.156026074110929,0.646737548705679,0.0632191249779133,0.8331658171424072,0.0263117218200441,0.9414503512275516,0.0091670821530674
fcnn,Connectivity,0.9545446936754942,0.0121408247183726,0.9545446936754942,0.0121408247183726,0.9425444629709734,0.0254120929372223,0.9574736596169716,0.0126256146526694,0.1617628667628667,0.011671506653438,0.6223522389806763,0.1293652015135099,0.8453336213712047,0.0575072574741644,0.9426056712409808,0.0181762866172527
xgb,MorganFP,0.9989476119450126,1.2709107445077454e-05,0.9989476119450126,1.2709107445077454e-05,0.9793453806770434,0.006654860152668,0.957157119187314,0.0046261126780759,0.1530146705146704,0.0094253109360162,0.3859290145353163,0.0366123238072789,0.822782376425155,0.0246176660488235,0.9404926304450102,0.0064017820488246
xgb,MHFP6,1.0,0.0,1.0,0.0,0.9737972809677758,0.0149949489077256,0.956698269901748,0.0026683500585867,0.1583489658489658,0.0137929165531328,0.4887198174270007,0.0369193675678507,0.8289677542124638,0.0098801872788281,0.9391270780022092,0.0042722934281997
DMPNN,Estate,0.9985096349404576,0.000911090825925,0.9985096349404576,0.000911090825925,0.9745183770552066,0.0081121748483882,0.9566844735644356,0.0082877970608597,0.1848027898027897,0.0380762641160539,0.6230218195399594,0.0779933718662776,0.8575276491103064,0.022444877874854,0.9417989248152157,0.010934095745663
rf,PharmacoErGFP,0.9942163408072896,0.0002223463801355,0.9942163408072896,0.0002223463801355,0.9715598997159752,0.0096530986865433,0.9561359434988947,0.0011980426338821,0.1514983164983165,0.0134113919200222,0.6553844666756345,0.012127516428995,0.8476475598431039,0.0079861498039698,0.9386303972824146,0.0013835656605219
rf,MOE,0.9999307538341072,2.2006530810936417e-05,0.9999307538341072,2.2006530810936417e-05,0.9742571264664402,0.0114997141940041,0.9557357001223272,0.0040203075499883,0.1491582491582491,0.0,0.5482884449011444,0.0452123307785565,0.8127280608156975,0.0157734076952293,0.9360564353366244,0.004126920003859
DMPNN,MOE,0.9971525980871516,0.0029593670863972,0.9971525980871516,0.0029593670863972,0.9813480207678278,0.0074493189202625,0.9548821365732204,0.0036233090581192,0.1492460317460317,0.0080397990998502,0.4605522038897646,0.0757712794718988,0.8073689044794324,0.0233423823319319,0.9388848699009752,0.0060392599522177
svm,Autocorr,0.9809913030394382,0.0028854933188929,0.9809913030394382,0.0028854933188929,0.9545473798106928,0.0186636357867144,0.9540390372376985,0.0038901806847451,0.4871332371332371,0.0373054159104121,0.6092412077892735,0.0336472620993158,0.8549398587111782,0.0139046975672465,0.9387874387571458,0.0051958950522057
fcnn,MorganFP,0.9987678481286162,0.0003171930942035,0.9987678481286162,0.0003171930942035,0.9743194253420636,0.0106941636382685,0.9539314667051711,0.0041114396862713,0.2574615199615199,0.0523478873097332,0.5172925005656598,0.0370242640699999,0.8486309110084328,0.0057283283739744,0.9373890425065828,0.0053444098732019
rf,Charge,0.999921470172412,2.202274176513046e-05,0.999921470172412,2.202274176513046e-05,0.970352080575992,0.0096427191437723,0.9537101061851768,0.0018551482883382,0.1413636363636363,0.0021833660386361,0.4475994885860618,0.0207918994354897,0.7964324104450533,0.0084309740766741,0.9343656575819536,0.0028539618328731
svm,Connectivity,0.9318559635325026,0.0027800587188641,0.9318559635325026,0.0027800587188641,0.92060640529857,0.0062113002700545,0.95299428937742,0.0032834584769748,0.3635497835497835,0.1653092397501954,0.6037522703041971,0.009073532607346,0.8141273703287375,0.014671829032567,0.9362665340901822,0.0050165076505277
