model,feat,train_NPV,train_NPV_std,val_NPV,val_NPV_std,test_NPV,test_NPV_std,ext_NPV,ext_NPV_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
fcnn,InfoContent,0.7063316137447386,0.02400069225772378,0.7063316137447386,0.02400069225772378,0.6747977755308392,0.03718751441896536,0.5659101654846335,0.045732359665579314,0.5,0.0,0.44666666666666666,0.07673909622147558,0.48445729708887597,0.04776944052077468,0.5659101654846335,0.045732359665579314
fcnn,Kappa,0.549313462353088,0.0212856833104526,0.549313462353088,0.0212856833104526,0.5989899044285907,0.1180878630895272,0.8852380952380953,0.07936825390476444,0.6666666666666667,0.31180478223116176,0.6666666666666667,0.31180478223116176,0.7961904761904762,0.19042856547470194,0.9139926739926739,0.07884839798893516
fcnn,MACCSFP,0.8382329716370531,0.013351696507840315,0.8382329716370531,0.013351696507840315,0.751670565680663,0.06824318664385536,0.5344792750156022,0.055193129187696637,0.7,0.27386127875258304,0.4780952380952381,0.1178799881658347,0.4968903503430358,0.06579488463238839,0.5296816024389553,0.05647135147750107
fcnn,MAP4,0.9604367179094462,0.01482647821474967,0.9604367179094462,0.01482647821474967,0.8130491219263598,0.04757309645472902,0.7517650566487776,0.05768485881782831,0.5333333333333333,0.18257418583505533,0.821830065359477,0.09931372011347026,0.6561128526645768,0.10595126936841777,0.7490400404193507,0.05736995145300895
fcnn,MHFP6,0.8970467596390483,0.03886476976168878,0.8970467596390483,0.03886476976168878,0.7547619047619047,0.07744502841566953,0.8333333333333334,,,,1.0,,0.75,,0.8333333333333334,
fcnn,MOE,0.8467276624151477,0.00664189165753403,0.8467276624151477,0.00664189165753403,0.7955742541991624,0.03253204100767112,0.6781483046188929,0.04662339358773303,0.3333333333333333,0.0,0.4859523809523809,0.11991469946337809,0.5981385281385281,0.04546887014028104,0.6817519082224964,0.04441742853765391
fcnn,Matrix,0.6472062586808082,0.02636265607450226,0.6472062586808082,0.02636265607450226,0.6553749490004079,0.02094188020877552,0.5966183574879228,0.03630226658258247,0.3333333333333333,0.0,0.42000000000000004,0.04472135954999579,0.41217948717948716,0.05156173731330823,0.6224992398905442,0.039272200917175884
fcnn,MorganFP,0.9737642865920482,0.004775562095301725,0.9737642865920482,0.004775562095301725,0.8464320545355027,0.03801552217721778,0.7076984126984127,0.07284400061292658,0.4,0.22360679774997896,0.6366666666666666,0.09309493362512625,0.5976190476190476,0.08326527833355096,0.7045405179615706,0.07359950314707843
fcnn,Path,0.617987012987013,0.027973667901041933,0.617987012987013,0.027973667901041933,0.6630792682926829,0.0776572029718344,0.7005555555555556,0.39625172819656623,0.3333333333333333,0.2041241452319315,0.3333333333333333,0.2041241452319315,0.6023809523809524,0.34023467957897624,0.7005555555555556,0.39625172819656623
fcnn,PharmacoErGFP,0.8771815083997418,0.006620715017694438,0.8771815083997418,0.006620715017694438,0.8357186786865831,0.04095061620825657,0.5578166101323996,0.04694803790540985,0.4585714285714285,0.13612719142367535,0.6338888888888888,0.17294204409941488,0.5133962576585527,0.06052329988244969,0.5647872055524819,0.046835691306250454
fcnn,PharmacoPFP,0.8606410339629871,0.019591153013719182,0.8606410339629871,0.019591153013719182,0.8331651954602775,0.054812223338154525,0.5172348484848485,0.05074450023803285,0.25,0.0,0.4440476190476191,0.09974457174120673,0.47609085933223866,0.06037193338904,0.5334272767462422,0.05319406515739004
fcnn,Property,0.6741350181658692,0.009669190943697448,0.6741350181658692,0.009669190943697448,0.670393290781344,0.028031013182053484,0.5980952380952381,0.017036708399998452,0.3333333333333333,0.0,0.2736363636363636,0.01772144426328902,0.49480449657869013,0.015650461766063536,0.5980952380952381,0.017036708399998452
fcnn,PubChemFP,0.8941159280473062,0.01261129076320265,0.8941159280473062,0.01261129076320265,0.8008845863561449,0.0817533160397822,0.34943918439237387,0.0381297478397993,0.3333333333333333,0.0,0.21935897435897433,0.10496821785050642,0.2851585095583139,0.03690785510991188,0.3467296615342773,0.03674719010633381
fcnn,RDkitFP,0.9130310097510691,0.01736823125534572,0.9130310097510691,0.01736823125534572,0.8172729725174849,0.03234184691093078,0.697850022413917,0.0793921523252989,0.5333333333333333,0.2738612787525831,0.5466666666666666,0.2631011634756149,0.6014530985504376,0.08315451964385726,0.6901970393646308,0.07946372265977736
fcnn,Topology,0.6460924307159451,0.04322347259979327,0.6460924307159451,0.04322347259979327,0.6697442062378949,0.11991821342179337,0.8262870462870463,0.11893804084834665,0.4,0.09128709291752768,0.4,0.09128709291752768,0.6002564102564103,0.1354018539918538,0.8262870462870463,0.11893804084834665
fcnn,TorsionFP,0.9282048655306692,0.030265407713014315,0.9282048655306692,0.030265407713014315,0.8198824621144618,0.034317776370219544,0.5653474399164053,0.08824812358018876,0.0,0.0,0.5,0.28867513459481287,0.38876835582717933,0.1116470269890452,0.5623917748917748,0.08762007291761897
log,AtomPairFP,0.8998097367324466,0.005210019170298089,0.8998097367324466,0.005210019170298089,0.7245019756936195,0.02610482276393887,0.5981154912726295,0.050824572463759585,0.8036363636363637,0.008131156281817428,0.7898349564139038,0.03736590010876578,0.6050732623693179,0.06674778794197744,0.6028425437754302,0.05177363526404894
log,Autocorr,0.689378205804829,0.009311787340052703,0.689378205804829,0.009311787340052703,0.6389610834219773,0.03259816607396252,0.4105426035335677,0.018716264399406882,0.8080952380952381,0.14709584701349246,0.6775529962035963,0.08364603703208665,0.43748560194212366,0.028060720815880912,0.4216675068181524,0.022264760361984912
log,AvalonFP,0.8339675609353068,0.006048008641266526,0.8339675609353068,0.006048008641266526,0.6874593553337631,0.028211904826894056,0.32194334052227436,0.014385426619526171,0.9,0.22360679774997896,0.2886813186813187,0.03295797596386608,0.29517970520585163,0.008374804129693516,0.32495197506911744,0.012523190532249548
log,Charge,0.4684512904444583,0.010393391661476212,0.4684512904444583,0.010393391661476212,0.4945131962108726,0.022116137982459073,0.3980738115702325,0.015704893923430267,0.6476190476190476,0.04259177099999599,0.7363627284530111,0.01647291567496729,0.4141008656184845,0.017591933797323073,0.4070099183541493,0.014887180488716517
log,Connectivity,0.5030630610932614,0.005798473321451644,0.5030630610932614,0.005798473321451644,0.5165998850975857,0.03294769570850351,0.368655112717532,0.011960477562444314,0.625,0.0,0.6164904862579281,0.006382012197938101,0.36412164115753887,0.011386032635969231,0.3699340580318785,0.010732550215087629
log,Constitution,0.4973054214023797,0.009326379614090635,0.4973054214023797,0.009326379614090635,0.4983072048986353,0.029305417406623988,0.3022304446608244,0.013366213255151572,0.3,0.045643546458763846,0.35299205236091635,0.041080589763649644,0.28545487132421876,0.009700975195770602,0.30471665145812726,0.013331099630805397
log,Estate,0.5559259741889093,0.01104813215610709,0.5559259741889093,0.01104813215610709,0.552500900291367,0.03242305269635366,0.44166646449961505,0.02441024189707973,0.6666666666666666,0.31180478223116176,0.6006419234360412,0.052093190919053005,0.4355884890529085,0.028807049864028544,0.45073650144779426,0.026948955902092057
log,EstateFP,0.4385741836878948,0.012216710936328692,0.4385741836878948,0.012216710936328692,0.46189493023632283,0.03262948070934407,0.2930354507617619,0.0041464647013372494,0.4666666666666666,0.07453559924999299,0.23831168831168825,0.00804076866710249,0.2950513643504297,0.003909391478943121,0.2983469185824698,0.004361640030235974
log,Fragment,0.44509436456859197,0.0038819928315441824,0.44509436456859197,0.0038819928315441824,0.44124008909007034,0.049087228785782144,0.1457085855592927,0.007716367171899189,1.0,0.0,0.26034482758620686,0.014165238556168063,0.14192046536224218,0.003502024192413692,0.15563015757122126,0.007142181076075748
log,InfoContent,0.43633475030860974,0.007632931637595351,0.43633475030860974,0.007632931637595351,0.44766992369069347,0.028887642809981153,0.3380447271404718,0.008718984079905873,0.25,0.0,0.38356043956043956,0.02801072818781906,0.3073696613979543,0.009687194670774155,0.3404425152312476,0.00878593327741047
log,Kappa,0.40677086164976284,0.005040839306603441,0.40677086164976284,0.005040839306603441,0.4331941736460639,0.017781004561109315,0.288107792085437,0.00941352850000437,0.25,0.0,0.33030303030303027,0.0067759635681811725,0.26155054455561116,0.00989899719975615,0.291765734544816,0.009652993401041482
log,MACCSFP,0.550812805904273,0.014029789215316541,0.550812805904273,0.014029789215316541,0.5377582115626305,0.06343922390964477,0.29775633506427124,0.013488245037566534,0.3866666666666666,0.11925695879998881,0.28224798711755233,0.053246051489020806,0.2832554736325975,0.01479737618140612,0.2980062823355506,0.013402390424620011
log,MAP4,0.972099884023877,0.004839555228654769,0.972099884023877,0.004839555228654769,0.751571984139088,0.03998717003649714,0.5537274779487638,0.02112898310661731,0.7242424242424242,0.034132970685057024,0.8125257538160764,0.028721751153109765,0.5359182762797221,0.013261369662596865,0.5583421974850546,0.018264316845098588
log,MHFP6,1.0,0.0,1.0,0.0,0.7181357402481693,0.0340738982869466,0.45593683146859193,0.0736302954091979,0.5676190476190476,0.07074273918496715,0.6684069264069264,0.10742623071238407,0.45752728716003455,0.07684066602773025,0.46595887629835875,0.07631521072540465
log,MOE,0.5646484709899973,0.009292556720818416,0.5646484709899973,0.009292556720818416,0.5582718781146042,0.03091479238674758,0.4735416198080672,0.01716312800284503,0.7128571428571429,0.0649568145393695,0.6020779361736046,0.046385000920646416,0.447053302956149,0.018906158225986232,0.4815951606525199,0.017504703658367128
log,Matrix,0.44889999622566484,0.007952145241469397,0.44889999622566484,0.007952145241469397,0.4624739972977281,0.041919118099814724,0.3369722951787731,0.03297942755979079,0.25,0.0,0.41704944178628384,0.06950712102307956,0.30538388749615997,0.030081643911198462,0.3400198239313251,0.03312561742474899
log,MorganFP,0.8463844329023551,0.01042463318858013,0.8463844329023551,0.01042463318858013,0.6910727162863004,0.021559023353850505,0.5859923219123583,0.04986669539246011,0.35333333333333333,0.14404860290887936,0.5898809523809524,0.11770823926912141,0.5654564703294286,0.04167053395813278,0.5876455900613584,0.04964278119972443
log,Path,0.4340397774175762,0.0068853517029552405,0.4340397774175762,0.0068853517029552405,0.46952845145111305,0.031982902271534365,0.2786374842598188,0.022358823109365985,0.5,0.0,0.4290634029077965,0.061208645370204,0.2645618991576849,0.021515489222418704,0.2804325069779717,0.022584858742836958
log,PharmacoErGFP,0.5990044132134411,0.015566891711615453,0.5990044132134411,0.015566891711615453,0.559321385787364,0.039201146980277435,0.4320591148591609,0.035149595840703526,0.6028571428571429,0.05569596768462264,0.6898225691414546,0.045817448393471585,0.4452780600149021,0.03435079171503534,0.4434889790996436,0.034807034340646366
log,PharmacoPFP,0.5977282806158914,0.011985771023804496,0.5977282806158914,0.011985771023804496,0.5511030681020738,0.029124421801320934,0.2541276962899051,0.03651366942087325,0.25,0.0,0.2683898282659892,0.08284664763487734,0.22642513237957562,0.0392718066715229,0.26284996293737006,0.03588514135002998
log,Property,0.44834628996644443,0.006464905624779664,0.44834628996644443,0.006464905624779664,0.4558077943148242,0.01145946447071487,0.26049208744068336,0.010391287581699195,0.25,0.0,0.21878787878787875,0.010728014583718562,0.25371271632329917,0.01328362703950125,0.27316982471788404,0.012007049245971459
log,PubChemFP,0.6473954968962455,0.00926004832350925,0.6473954968962455,0.00926004832350925,0.5937001024569374,0.04445546257682172,0.28380068000307385,0.006726091920737232,0.25,0.0,0.2778828364617838,0.02812229775378678,0.252225986289932,0.005415797352001525,0.2796423723085594,0.0068653829564265184
log,RDkitFP,0.9509607116747502,0.0038224894395310627,0.9509607116747502,0.0038224894395310627,0.7549523809523809,0.0225777679575746,0.5789144384241516,0.07722451268337065,0.2833333333333333,0.045643546458763826,0.24023809523809522,0.12100884508815528,0.5792485099441621,0.06084548701602732,0.5926267281105991,0.08061333583130692
log,Topology,0.45649641445959543,0.005551909747160367,0.45649641445959543,0.005551909747160367,0.46864968490773784,0.036585365837730435,0.3059346209912256,0.008945010690291154,0.3333333333333333,0.0,0.4017833615659702,0.024223072796827023,0.294683633234738,0.009750318858188096,0.3121690538377795,0.008794458200066382
log,TorsionFP,0.7281674358816302,0.008711457173702607,0.7281674358816302,0.008711457173702607,0.6654754948982575,0.02547636815178673,0.3519840511998545,0.10597844207327702,0.1,0.13693063937629155,0.406037851037851,0.1276933802085978,0.270420527185233,0.07211129655742618,0.3503162164356194,0.10775090420739061
