model,feat,train_TN,train_TN_std,val_TN,val_TN_std,test_TN,test_TN_std,ext_TN,ext_TN_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
xgb,Matrix,592.6,8.111719916269292,592.6,8.111719916269292,50.0,5.049752469181039,33.6,7.829431652425353,1.8,1.9235384061671343,7.0,7.314369419163897,25.2,7.791020472312982,33.2,7.694153624668537
rf,Autocorr,603.0,6.745368781616021,603.0,6.745368781616021,45.4,5.683308895353129,33.6,4.159326868617084,3.6,1.140175425099138,14.0,2.449489742783178,25.4,3.974921382870358,32.8,3.898717737923584
fcnn,PubChemFP,459.4,12.837445228704963,459.4,12.837445228704963,52.4,6.8044103344816,33.4,3.6469165057620936,1.0,0.0,2.2,1.3038404810405295,23.6,3.507135583350036,33.0,3.5355339059327373
DMPNN,MorganFP,585.6,8.934328302800505,585.6,8.934328302800505,54.2,7.37563556583431,32.8,0.4216370213557833,2.2,0.4216370213557839,8.0,2.8284271247461903,24.4,1.2649110640673529,31.8,0.7888106377466153
xgb,EstateFP,325.6,12.561846997953763,325.6,12.561846997953763,38.6,5.727128425310542,32.8,2.280350850198276,0.8,0.4472135954999579,2.4,0.8944271909999159,25.6,2.7018512172212588,32.8,2.280350850198276
DMPNN,AvalonFP,569.4,34.542083833427846,569.4,34.542083833427846,57.8,4.871686908385363,32.6,8.395766128763288,0.8,0.4216370213557839,3.6,1.577621275493231,21.4,8.500980335624044,31.8,8.283853102404835
xgb,Connectivity,593.8,7.08519583356734,593.8,7.08519583356734,49.2,8.28854631404084,32.6,4.560701700396552,2.2,1.095445115010332,7.6,3.646916505762094,23.2,4.816637831516918,32.2,4.32434966208793
xgb,InfoContent,588.0,7.416198487095663,588.0,7.416198487095663,48.0,3.24037034920393,32.6,1.341640786499874,2.6,0.8944271909999159,3.6,1.816590212458495,23.6,1.341640786499874,32.2,1.3038404810405295
fcnn,MACCSFP,389.0,6.8190908484929285,389.0,6.8190908484929285,44.2,8.64291617453276,31.8,0.8366600265340757,1.0,0.0,3.0,0.0,25.0,1.224744871391589,31.2,1.3038404810405295
rf,Connectivity,602.8,6.906518659932794,602.8,6.906518659932794,47.4,6.308724118235002,30.6,1.8165902124584952,1.0,0.0,1.0,0.0,20.8,0.8366600265340753,29.8,1.4832396974191326
rf,Charge,603.0,7.314369419163897,603.0,7.314369419163897,49.4,3.714835124201342,30.0,1.4142135623730954,1.0,0.0,2.8,0.8366600265340756,23.0,1.224744871391589,29.2,1.3038404810405302
xgb,PharmacoPFP,514.8,7.694153624668532,514.8,7.694153624668532,52.8,5.890670590009257,29.8,4.868264577855234,2.4,0.5477225575051661,11.6,3.714835124201342,23.8,4.08656334834051,29.4,5.029910535983717
rf,InfoContent,602.6,7.368853370776216,602.6,7.368853370776216,41.4,2.8809720581775875,29.8,2.588435821108957,2.0,1.4142135623730951,3.8,2.16794833886788,22.2,2.588435821108957,29.0,2.449489742783178
svm,MOE,333.0,12.62933094031509,333.0,12.62933094031509,40.4,5.128352561983235,29.8,3.420526275297413,2.2,1.095445115010332,10.2,3.03315017762062,20.6,3.130495168499705,29.8,3.420526275297413
rf,MACCSFP,593.4,8.264381404557753,593.4,8.264381404557753,53.2,5.3572380943915485,29.6,5.029910535983717,0.2,0.447213595499958,1.2,0.4472135954999579,21.4,3.435112807463533,28.8,4.658325879540846
