model,feat,train_f1,train_f1_std,val_f1,val_f1_std,test_f1,test_f1_std,ext_f1,ext_f1_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,MorganFP,0.9929412630263699,0.003326651967728886,0.9929412630263699,0.003326651967728886,0.931124360594351,0.009456672595398202,0.8976316974449061,0.007408780588166657,0.24848484848484845,0.08665701248293824,0.52173853621527,0.023121108114068166,0.8076413693362369,0.015035674472481116,0.8805486970607073,0.008940895032062425
DMPNN,Path,0.9656498312290877,0.005066476072947763,0.9656498312290877,0.005066476072947763,0.932609401301313,0.009723781638558712,0.926604545907009,0.010660156921152983,0.3433333333333333,0.18311434732846815,0.6580291213199809,0.06571570033086968,0.8603171735786275,0.021925577012825673,0.9147704064350357,0.012262486738870563
DMPNN,PharmacoErGFP,0.9654823692129492,0.005466357410542152,0.9654823692129492,0.005466357410542152,0.9362306473135155,0.010456279487948701,0.9017829850300204,0.006118582030789699,0.43650793650793657,0.09841838750126075,0.7309069283377937,0.036731752248717615,0.8001358902361206,0.017429318747527945,0.8843423280136442,0.008077997730063863
DMPNN,PharmacoPFP,0.9784980735375217,0.009876000708131464,0.9784980735375217,0.009876000708131464,0.938104760992885,0.013973861965423173,0.894758811875166,0.015593226940342606,0.0,0.0,0.4989584871569913,0.06299854829525903,0.7944579131026127,0.03573114749173768,0.8777187612791527,0.017995600106860656
DMPNN,Property,0.9720068128616137,0.00649377452059045,0.9720068128616137,0.00649377452059045,0.9353771421764302,0.007969161929963596,0.9323455597821619,0.015280069052669312,0.32445887445887445,0.14020970134552407,0.6827223230490018,0.07361621738071296,0.8643971870891543,0.034737453515259496,0.9214670167216201,0.018647702273326565
DMPNN,PubChemFP,0.9848382375193175,0.01528193628305957,0.9848382375193175,0.01528193628305957,0.926589126138721,0.015194476897440268,0.8459378529397006,0.025439834769392055,0.1666666666666666,0.0,0.458214336570501,0.05937031126012854,0.6675220387590027,0.06587312403351532,0.8150322881608514,0.03223127512735103
DMPNN,RDkitFP,0.9901038790461337,0.004533135420121803,0.9901038790461337,0.004533135420121803,0.9375802076613688,0.009667398692106428,0.8918450081682264,0.010489845124338858,0.0,0.0,0.502347184582957,0.016838679660350533,0.7728096017229972,0.027105042570560556,0.8726879461653976,0.013176177432958493
DMPNN,Topology,0.9698678793354153,0.00740327400380868,0.9698678793354153,0.00740327400380868,0.9330972823297964,0.015218680050400918,0.9369080670325752,0.0017069737253066985,0.3571428571428571,0.14053671012736862,0.7007339021132124,0.02305238763090429,0.8778645993960564,0.007604413831878355,0.9256726240199766,0.0021179122513179643
DMPNN,TorsionFP,0.9725709134714003,0.02343690564044215,0.9725709134714003,0.02343690564044215,0.9244227895310226,0.00840291958510899,0.8755022030386235,0.021108503936133356,0.21135531135531133,0.11460252676562217,0.4888841628375557,0.07008017438980717,0.7616664652485122,0.04242382355699939,0.8525274677296828,0.0255748796323692
fcnn,AtomPairFP,0.9801677911218165,0.003983060760209952,0.9801677911218165,0.003983060760209952,0.940828533783123,0.008622674266048059,0.931055637491642,0.0078060225694394835,0.3242857142857143,0.07063848751472068,0.701617189525538,0.033600912818776967,0.8656431934775851,0.019507609306081496,0.9192975861667018,0.009578903360929144
fcnn,Autocorr,0.9586691574429516,0.01649121166158665,0.9586691574429516,0.01649121166158665,0.9253893987748387,0.019800260775265133,0.869877007218248,0.016483690525023683,0.3868131868131867,0.07347039406789796,0.4958661058086052,0.06132697270775229,0.7525329093383246,0.024910721748467767,0.8445049624137126,0.019390895742500875
fcnn,AvalonFP,0.9747414107058192,0.0022895459377505847,0.9747414107058192,0.0022895459377505847,0.9364583095205242,0.010148913317155098,0.8869996377329648,0.00856355209000682,0.41142857142857137,0.015649215928718978,0.5212949063612898,0.01564242841947964,0.7702731368054245,0.017260445220144475,0.8666789987148344,0.010406404911673987
fcnn,Charge,0.9048259062280417,0.010963913959525288,0.9048259062280417,0.010963913959525288,0.8926423574311577,0.014025065593850073,0.8609710880047805,0.00605777629206967,0.06666666666666664,0.09128709291752765,0.5034611959323463,0.020168085035386033,0.7297833637233585,0.011395181403072024,0.8340200726197431,0.007543672064008878
fcnn,Connectivity,0.9061360462159792,0.012149610844717463,0.9061360462159792,0.012149610844717463,0.8996971893253056,0.013801269231727161,0.9086847588732854,0.006909961787184144,0.20820512820512818,0.058058665834662314,0.5475740444678852,0.011677323960224462,0.8194357424555895,0.012463312954226905,0.8930151854856492,0.008426790657043073
fcnn,Constitution,0.9315088401907531,0.0019735858222135983,0.9315088401907531,0.0019735858222135983,0.9162330269789475,0.013208541329531595,0.8917370046937473,0.008329596981012722,0.1666666666666666,0.0,0.5212102896588849,0.014831677949142086,0.7853844803806889,0.016352220313622826,0.8724541222551382,0.009795477998528226
fcnn,Estate,0.9329597989848132,0.010070794329123433,0.9329597989848132,0.010070794329123433,0.9108377640628185,0.016373891523736975,0.8925539180322115,0.005896093524174169,0.1666666666666666,0.0,0.5138350357862553,0.01592094055261341,0.780306484885716,0.01125773024592302,0.8726544407227743,0.0073822900612293945
fcnn,EstateFP,0.8997973286605223,0.0026601029165691024,0.8997973286605223,0.0026601029165691024,0.893143472789208,0.009202619301295577,0.8753248300652163,0.007755379850765615,0.4043956043956043,0.05405878626922569,0.5441193344807803,0.007825596478914974,0.7460904416732511,0.018482466454806973,0.851637593684968,0.00965711013314785
fcnn,Fragment,0.921631604731419,0.0027502540703557912,0.921631604731419,0.0027502540703557912,0.9046997597540389,0.008666116936681357,0.8667759655941045,0.007195293760206581,0.4285714285714285,0.0,0.5440946845711319,0.02755847299766551,0.753254586225293,0.017507055128947367,0.8458087976495756,0.008815893897695909
fcnn,InfoContent,0.9001945922363616,0.003653377310154869,0.9001945922363616,0.003653377310154869,0.891805311004925,0.009811085960272706,0.8916894968381778,0.005783855726737676,0.3076923076923076,0.0,0.5370345493472147,0.01581847252930623,0.7834281786089015,0.011456527963525844,0.8720785781429873,0.0070023597416785715
fcnn,Kappa,0.876124589191315,0.002336326741432251,0.876124589191315,0.002336326741432251,0.8753982786525132,0.008477285832670281,0.9012557270412251,0.0016352145795160236,0.32783882783882773,0.10849233127926657,0.5613761655423998,0.014006271188417421,0.812664733860801,0.00281039186946177,0.8852646246968108,0.0014854941990459641
fcnn,MACCSFP,0.9345450741422432,0.002348882808128323,0.9345450741422432,0.002348882808128323,0.913215121581827,0.018601249369436655,0.8861545017991823,0.010026510886563578,0.35604395604395594,0.06620822123688822,0.5252966860409289,0.030519321818481993,0.7745256890826239,0.027400888081182687,0.8640506520991105,0.012626832462329731
