model,feat,train_accuracy,train_accuracy_std,val_accuracy,val_accuracy_std,test_accuracy,test_accuracy_std,ext_accuracy,ext_accuracy_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,Topology,0.952546045503792,0.011860005265157,0.952546045503792,0.011860005265157,0.8956772334293948,0.0238727755112531,0.8954545454545455,0.0026243194054074,0.6,0.1024393828588098,0.6984126984126984,0.0317460317460317,0.8235294117647058,0.0073891093296627,0.8807486631016042,0.0028742451865591
DMPNN,Property,0.955868544600939,0.0103482343378576,0.955868544600939,0.0103482343378576,0.899135446685879,0.0128879998703157,0.8881818181818183,0.0238317487770082,0.55,0.1808757844011078,0.6761904761904762,0.1190652544256948,0.8054298642533937,0.0455495290212413,0.874331550802139,0.0283528943325969
fcnn,AtomPairFP,0.9687251715420728,0.0063718655680662,0.9687251715420728,0.0063718655680662,0.906628242074928,0.0142060605692982,0.8868181818181817,0.0123858423576715,0.6333333333333334,0.1118033988749894,0.7174603174603175,0.0283945139999973,0.8126696832579186,0.0251121030326001,0.8721925133689841,0.0145715792443194
DMPNN,InfoContent,0.9588299024918744,0.0056872574026809,0.9588299024918744,0.0056872574026809,0.8962536023054755,0.0139867625154284,0.8836363636363636,0.0211253637065859,0.5833333333333333,0.3042903097250923,0.6634920634920635,0.13934543256196,0.8027149321266969,0.043984341796033,0.8679144385026738,0.0248661504348974
DMPNN,Kappa,0.9508847959552184,0.0101004824670292,0.9508847959552184,0.0101004824670292,0.8985590778097983,0.0212554339073034,0.8827272727272728,0.0114991914915213,0.6,0.086066296582387,0.6888888888888889,0.032787160602814,0.7981900452488688,0.0161324186511263,0.8652406417112299,0.012679799817311
DMPNN,Path,0.9452509931383172,0.0085040042437538,0.9452509931383172,0.0085040042437538,0.893371757925072,0.0151277768953157,0.8754545454545454,0.0185195898067848,0.4666666666666666,0.2048787657176197,0.6126984126984126,0.1061370913703266,0.7891402714932126,0.034997659154807,0.8593582887700535,0.0206804349551132
DMPNN,Connectivity,0.9504514265077646,0.0092227416359327,0.9504514265077646,0.0092227416359327,0.8962536023054755,0.022894092771975,0.875,0.012676667068698,0.35,0.1165343164633501,0.5396825396825398,0.0964067045412094,0.783710407239819,0.0272162740721326,0.8572192513368984,0.0152924139675772
rf,Autocorr,0.9934994582881906,0.0012246894155156,0.9934994582881906,0.0012246894155156,0.8755043227665705,0.0162255772452556,0.8704545454545455,0.0060130711615103,0.55,0.0950146187582614,0.6158730158730158,0.042591770999996,0.7819004524886878,0.0117123792810359,0.8529411764705882,0.0070742013664828
DMPNN,Matrix,0.9438786565547128,0.0111183537466307,0.9438786565547128,0.0111183537466307,0.8945244956772335,0.0154417147338406,0.8686363636363635,0.0102090185017715,0.4666666666666666,0.1972026594366538,0.6063492063492063,0.1106819628782466,0.7746606334841629,0.0184481265175513,0.8497326203208557,0.0110459418073651
DMPNN,AtomPairFP,0.9892379920548936,0.0031520361813512,0.9892379920548936,0.0031520361813512,0.9025936599423632,0.0117493831711205,0.8672727272727272,0.0210273336476734,0.6,0.0351364184463153,0.7523809523809524,0.0737711113563317,0.779185520361991,0.0337804348215249,0.8518716577540107,0.0238219805665427
