model,feat,train_FP,train_FP_std,val_FP,val_FP_std,test_FP,test_FP_std,ext_FP,ext_FP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
log,Estate,104.8,8.5848704125339,104.8,8.5848704125339,15.6,4.878524367060187,38.0,1.5811388300841895,7.8,0.44721359549995787,28.8,1.3038404810405297,34.0,1.5811388300841895,36.0,1.5811388300841895
log,EstateFP,164.6,6.841052550594828,164.6,6.841052550594828,19.4,4.669047011971501,43.4,0.5477225575051667,8.0,0.0,33.2,0.44721359549995715,39.2,0.44721359549995715,42.4,0.5477225575051667
log,Fragment,137.6,10.853570840972111,137.6,10.853570840972111,19.8,6.978538528947161,61.2,0.8366600265340753,8.0,0.0,30.6,0.5477225575051664,53.4,0.547722557505166,59.2,0.8366600265340753
log,InfoContent,140.4,5.22494019104525,140.4,5.22494019104525,18.0,5.196152422706632,39.0,1.2247448713915885,8.0,0.0,28.0,1.2247448713915894,34.8,1.0954451150103324,37.0,1.2247448713915885
log,Kappa,172.8,5.890670590009259,172.8,5.890670590009259,20.2,2.7748873851023217,41.0,0.0,8.0,0.0,31.0,0.0,35.0,0.0,39.0,0.0
log,MACCSFP,107.8,7.886697661252141,107.8,7.886697661252141,16.6,7.503332592921629,36.8,2.2803508501982765,7.6,0.894427190999916,31.2,1.9235384061671346,34.6,2.7018512172212588,36.0,2.5495097567963922
log,MAP4,0.0,0.0,0.0,0.0,17.6,3.5071355833500366,31.4,3.507135583350036,1.0,1.224744871391589,12.0,3.1622776601683795,27.2,4.147288270665545,30.8,3.7013511046643495
log,MHFP6,0.0,0.0,0.0,0.0,23.0,4.527692569068709,46.6,4.219004621945797,5.8,0.8366600265340756,20.4,2.302172886644268,39.4,2.8809720581775866,45.8,4.324349662087931
log,MOE,112.2,3.4205262752974153,112.2,3.4205262752974153,15.4,6.54217089351845,30.0,5.244044240850758,3.8,1.3038404810405297,12.8,4.54972526643093,24.8,5.449770637375485,28.0,5.244044240850758
log,Matrix,141.6,7.436396977031283,141.6,7.436396977031283,17.6,3.361547262794322,42.4,1.1401754250991387,8.0,0.0,29.8,1.643167672515498,36.4,1.1401754250991387,40.4,1.1401754250991387
log,MorganFP,14.0,2.345207879911715,14.0,2.345207879911715,15.4,5.594640292279746,49.8,3.0331501776206196,7.6,0.8944271909999157,30.2,3.492849839314596,42.6,3.286335345030997,48.6,3.2093613071762426
log,Path,147.0,8.154753215150045,147.0,8.154753215150045,17.6,5.128352561983235,42.2,2.0493901531919207,6.0,0.0,29.2,1.9235384061671348,37.2,2.0493901531919207,41.2,2.0493901531919207
log,PharmacoErGFP,77.2,2.9495762407505257,77.2,2.9495762407505257,13.8,5.167204273105526,23.8,2.16794833886788,4.6,1.5165750888103102,12.8,1.3038404810405295,20.4,1.6733200530681513,23.4,1.6733200530681513
log,PharmacoPFP,94.8,10.10940156488009,94.8,10.10940156488009,17.4,4.669047011971501,58.6,4.39317652729776,8.0,0.0,33.6,1.5165750888103107,53.8,4.764451699828637,58.0,4.358898943540673
log,Property,153.6,6.5038450166036395,153.6,6.5038450166036395,20.8,4.43846820423443,48.6,1.341640786499874,8.0,0.0,33.8,0.44721359549995715,42.6,1.341640786499874,46.6,1.341640786499874
log,PubChemFP,74.2,2.7748873851023212,74.2,2.7748873851023212,13.8,5.167204273105526,39.4,0.547722557505166,8.0,0.0,31.6,0.5477225575051662,35.2,0.44721359549995765,38.6,0.547722557505166
log,RDkitFP,1.2,0.4472135954999579,1.2,0.4472135954999579,18.4,5.029910535983716,62.6,1.9493588689617927,8.0,0.0,36.4,0.8944271909999157,55.4,1.1401754250991378,62.4,1.8165902124584952
log,Topology,143.6,4.9295030175464944,143.6,4.9295030175464944,18.0,4.06201920231798,40.0,1.7320508075688774,8.0,0.0,29.0,0.7071067811865472,35.4,1.51657508881031,38.6,1.6733200530681513
log,TorsionFP,44.2,4.32434966208793,44.2,4.32434966208793,13.2,6.340346993658944,66.0,1.5811388300841898,8.6,0.547722557505166,33.8,1.7888543819998313,60.6,1.9493588689617931,65.4,1.8165902124584967
rf,AtomPairFP,4.0,1.4142135623730951,4.0,1.4142135623730951,20.0,6.670832032063167,44.8,1.9235384061671355,8.0,0.0,28.2,2.4899799195977463,38.6,2.190890230020665,43.6,1.8165902124584956
rf,Autocorr,3.2,0.8366600265340756,3.2,0.8366600265340756,32.8,4.604345773288535,53.4,4.159326868617084,5.4,1.1401754250991378,24.0,2.4494897427831783,45.6,3.974921382870358,52.2,3.8987177379235844
rf,AvalonFP,3.6,1.140175425099138,3.6,1.140175425099138,22.8,5.403702434442518,72.6,1.140175425099136,9.0,0.0,38.0,0.0,66.4,1.516575088810311,71.4,1.516575088810311
rf,Charge,3.2,1.3038404810405297,3.2,1.3038404810405297,28.8,3.271085446759225,57.0,1.4142135623730943,8.0,0.0,35.2,0.8366600265340751,48.0,1.224744871391589,55.8,1.3038404810405289
rf,Connectivity,3.4,1.1401754250991378,3.4,1.1401754250991378,30.8,5.630275304103699,56.4,1.8165902124584954,8.0,0.0,37.0,0.0,50.2,0.8366600265340762,55.2,1.4832396974191322
rf,Constitution,9.0,1.7320508075688774,9.0,1.7320508075688774,25.2,4.324349662087931,60.0,4.0,8.0,0.0,36.8,0.44721359549995715,53.6,4.560701700396552,58.8,4.266145801540308
rf,Estate,7.8,0.44721359549995787,7.8,0.44721359549995787,23.2,4.43846820423443,67.6,4.037325847637272,8.0,0.0,36.4,0.8944271909999161,60.6,2.966479394838265,66.4,3.646916505762093
rf,EstateFP,95.8,6.016643582596529,95.8,6.016643582596529,21.6,4.8270073544588685,52.6,3.7815340802378077,8.2,0.44721359549995804,34.0,2.82842712474619,46.0,4.242640687119284,51.6,3.7815340802378077
rf,Fragment,31.0,3.937003937005905,31.0,3.937003937005905,25.4,5.941380311005179,63.4,3.2093613071762426,8.0,0.0,34.4,1.1401754250991383,55.6,2.7018512172212596,62.2,3.2710854467592254
rf,InfoContent,3.6,1.51657508881031,3.6,1.51657508881031,36.8,3.1144823004794877,57.2,2.5884358211089564,7.0,1.4142135623730951,34.2,2.1679483388678795,48.8,2.5884358211089573,56.0,2.449489742783178
rf,Kappa,12.0,3.9370039370059056,12.0,3.9370039370059056,34.2,4.438468204234429,67.8,2.949576240750526,9.0,0.0,35.6,0.5477225575051667,57.6,2.302172886644268,66.6,2.7928480087537895
rf,MACCSFP,12.8,2.6832815729997477,12.8,2.6832815729997477,25.0,4.301162633521313,57.4,5.029910535983717,8.8,0.44721359549995804,36.8,0.44721359549995865,49.6,3.4351128074635335,56.2,4.658325879540846
rf,MAP4,1.4,1.140175425099138,1.4,1.140175425099138,30.8,7.224956747275377,69.4,2.8809720581775884,8.0,0.0,37.0,0.0,61.8,3.768288736283354,68.2,3.2710854467592263
rf,MHFP6,0.0,0.0,0.0,0.0,52.2,5.495452665613635,86.2,0.44721359549995815,9.0,0.0,38.0,0.0,71.0,0.0,84.2,0.44721359549995815
rf,MOE,3.4,1.1401754250991378,3.4,1.1401754250991378,25.4,5.458937625582473,59.0,1.5811388300841889,8.0,0.0,36.2,0.44721359549995815,50.6,1.3416407864998732,57.8,1.6431676725154973
rf,Matrix,3.2,1.0954451150103324,3.2,1.0954451150103324,33.4,5.128352561983234,61.6,4.6690470119715,7.6,1.1401754250991378,36.4,1.5165750888103096,55.0,3.741657386773942,60.4,4.560701700396552
rf,MorganFP,3.2,0.8366600265340756,3.2,0.8366600265340756,23.6,6.107372593840988,53.0,3.535533905932738,8.0,0.0,33.8,2.16794833886788,46.4,2.9664793948382657,51.8,3.2710854467592263
rf,Path,5.2,1.3038404810405297,5.2,1.3038404810405297,35.4,4.39317652729776,64.0,2.5495097567963922,9.0,0.0,38.0,0.0,54.4,1.516575088810311,62.8,2.4899799195977463
rf,PharmacoErGFP,51.0,4.527692569068709,51.0,4.527692569068709,17.4,4.505552130427524,43.0,9.273618495495704,6.0,2.8284271247461903,28.0,9.137833441248533,37.0,9.137833441248533,41.4,9.396807968666806
rf,PharmacoPFP,34.4,5.272570530585627,34.4,5.272570530585627,22.0,5.830951894845301,60.0,2.449489742783178,8.0,0.0,35.6,0.5477225575051667,52.0,1.87082869338697,59.6,2.0736441353327733
rf,Property,6.0,1.4142135623730951,6.0,1.4142135623730951,30.0,6.557438524302,52.4,1.8165902124584958,8.0,0.0,33.0,0.7071067811865476,46.2,1.4832396974191333,51.2,1.7888543819998326
rf,PubChemFP,9.4,2.1908902300206643,9.4,2.1908902300206643,25.0,6.819090848492928,63.2,5.585696017507576,8.2,0.44721359549995804,37.2,0.44721359549995865,57.4,5.594640292279746,62.0,5.522680508593631
rf,RDkitFP,3.4,1.1401754250991378,3.4,1.1401754250991378,23.8,6.978538528947161,64.6,2.5099800796022276,8.0,0.0,37.0,0.0,59.2,2.1679483388678795,63.4,2.1908902300206643
rf,Topology,6.4,1.140175425099138,6.4,1.140175425099138,31.4,2.8809720581775866,62.8,1.9235384061671352,8.0,0.0,36.8,0.44721359549995865,57.2,0.8366600265340753,61.6,1.5165750888103098
rf,TorsionFP,3.0,1.0,3.0,1.0,23.4,5.412947441089743,68.2,3.9623225512317917,9.0,0.0,34.0,1.5811388300841904,60.4,3.9115214431215892,67.0,3.872983346207419
svm,AtomPairFP,22.4,3.911521443121589,22.4,3.911521443121589,29.4,4.159326868617084,32.2,2.9495762407505244,1.8,1.3038404810405297,8.2,2.8635642126552705,25.8,3.1144823004794877,30.6,3.1304951684997055
svm,Autocorr,169.2,13.6088206689632,169.2,13.6088206689632,29.0,8.455767262643882,50.4,6.107372593840989,7.2,0.8366600265340757,25.0,3.2403703492039297,43.4,5.272570530585627,48.4,6.107372593840989
svm,AvalonFP,71.2,7.791020472312983,71.2,7.791020472312983,26.8,3.5637059362410923,50.0,10.885770528538622,8.0,0.7071067811865475,32.6,2.7928480087537886,41.6,10.4546640309481,48.2,10.963576058932597
svm,Charge,416.0,22.726636354727017,416.0,22.726636354727017,53.4,6.465291950097845,65.2,1.6431676725154987,8.0,0.0,36.0,0.0,52.6,1.1401754250991383,63.2,1.6431676725154978
svm,Connectivity,374.0,13.583077707206128,374.0,13.583077707206128,51.2,5.263078946776306,53.2,6.457553716385176,5.4,0.8944271909999159,22.0,4.301162633521314,42.2,6.058052492344384,51.2,6.457553716385176
svm,Constitution,328.6,15.915401345866211,328.6,15.915401345866211,42.8,4.381780460041329,60.8,5.215361924162119,8.0,0.0,32.2,0.8366600265340762,50.8,5.06951674225463,59.0,4.949747468305833
svm,Estate,272.8,6.833739825307952,272.8,6.833739825307952,37.8,5.06951674225463,51.8,1.3038404810405302,8.0,0.0,34.4,0.8944271909999157,44.2,1.3038404810405295,49.8,1.3038404810405302
svm,EstateFP,538.6,27.024063351021063,538.6,27.024063351021063,71.2,3.633180424916991,83.8,0.44721359549995715,8.6,0.5477225575051662,37.6,0.547722557505166,69.8,0.44721359549995715,81.8,0.44721359549995715
svm,Fragment,488.6,10.382677881933931,488.6,10.382677881933931,64.6,5.1283525619832355,81.2,1.3038404810405297,8.0,0.0,36.6,0.547722557505166,67.2,1.3038404810405297,79.2,1.3038404810405297
svm,InfoContent,436.0,30.797727188868986,436.0,30.797727188868986,55.6,0.8944271909999161,66.8,3.2710854467592263,8.0,0.0,36.4,0.5477225575051652,55.8,1.6431676725154978,64.8,3.2710854467592263
svm,Kappa,606.2,6.685805860178723,606.2,6.685805860178723,78.2,3.8340579025361614,87.0,0.0,9.0,0.0,38.0,0.0,71.0,0.0,85.0,0.0
svm,MACCSFP,276.8,11.476062042355817,276.8,11.476062042355817,37.8,5.403702434442518,50.6,1.3416407864998738,8.0,0.0,33.6,0.5477225575051667,41.8,1.7888543819998322,49.6,1.3416407864998738
svm,MAP4,12.8,3.271085446759226,12.8,3.271085446759226,25.6,5.366563145999495,35.4,8.1117199162693,0.8,1.3038404810405297,12.8,3.8340579025361627,29.0,6.782329983125268,33.8,7.661592523751183
