model,feat,train_NPV,train_NPV_std,val_NPV,val_NPV_std,test_NPV,test_NPV_std,ext_NPV,ext_NPV_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,Topology,0.9134351548049124,0.0222331596367527,0.9134351548049124,0.0222331596367527,0.7794273981290062,0.0460922494521317,0.8284215752405386,0.0483870605452274,0.7957142857142857,0.1126469813338471,0.8880685111989459,0.0353618362472881,0.8263518286702972,0.0704781096620659,0.8294930626929722,0.0507225238434515
fcnn,Topology,0.6460924307159451,0.0432234725997932,0.6460924307159451,0.0432234725997932,0.6697442062378949,0.1199182134217933,0.8262870462870463,0.1189380408483466,0.4,0.0912870929175276,0.4,0.0912870929175276,0.6002564102564103,0.1354018539918538,0.8262870462870463,0.1189380408483466
rf,InfoContent,0.9611053905836484,0.0053812049597077,0.9611053905836484,0.0053812049597077,0.6950644749309933,0.0186920444796123,0.824047619047619,0.017544555183237,0.61,0.151657508881031,0.7583333333333333,0.0950146187582615,0.9120459250894036,0.0243570338177983,0.8698508853681268,0.0213052644118238
svm,Topology,0.6691475843835677,0.0167475892992966,0.6691475843835677,0.0167475892992966,0.6632773764017061,0.1097863054910531,0.820603318250377,0.0513841588384844,0.2666666666666666,0.1490711984999859,0.35,0.0912870929175276,0.6116666666666666,0.0686172961674629,0.820603318250377,0.0513841588384844
DMPNN,Property,0.9272226705922872,0.0317719481337401,0.9272226705922872,0.0317719481337401,0.7931624554321923,0.0450009119191056,0.8168363562090605,0.1058869424742706,0.7234126984126984,0.130501334274901,0.8274316436251921,0.0865622656272322,0.7896226944746858,0.1099906165994563,0.821231025062627,0.1051968556283528
svm,Matrix,0.7274532036289136,0.0106344239471523,0.7274532036289136,0.0106344239471523,0.7624284814558371,0.05403451912947,0.7930882352941176,0.0272138303175726,0.3333333333333333,0.0,0.52,0.0447213595499957,0.5951298701298702,0.0327020749214168,0.7930882352941176,0.0272138303175726
rf,MorganFP,0.9776311917975382,0.004428052465296,0.9776311917975382,0.004428052465296,0.8262656810035842,0.0420068770312693,0.787004048582996,0.0448652963747842,0.2666666666666666,0.0372677996249964,0.5561111111111111,0.1150751230745258,0.7540400268375796,0.050586648605614,0.798363697705803,0.0501911449732645
fcnn,Connectivity,0.742493880033304,0.0560400359015767,0.742493880033304,0.0560400359015767,0.713177257160308,0.0710526741807554,0.7758799533799534,0.0905150493225133,0.4733333333333333,0.1341640786499874,0.4866666666666667,0.1192569587999887,0.6899472990777339,0.0895090587284098,0.7758799533799534,0.0905150493225133
rf,Connectivity,0.9782697050200382,0.0050992351497333,0.9782697050200382,0.0050992351497333,0.7877006440994477,0.0495777556902866,0.7726602362648874,0.0140600602832589,0.6,0.2236067977499789,0.6,0.2236067977499789,0.7611947431302271,0.0358058755642845,0.7842625680879853,0.0193843535590102
fcnn,AtomPairFP,0.9579321887055852,0.0102211275559994,0.9579321887055852,0.0102211275559994,0.8334651291481995,0.0280812121623763,0.7681075628622982,0.0583387130541788,0.7628571428571429,0.0369086019507537,0.8633602150537634,0.0555479710685905,0.7421842619745845,0.0651916766820193,0.7681075628622982,0.0583387130541788
rf,MOE,0.9782697050200382,0.0050992351497333,0.9782697050200382,0.0050992351497333,0.8195383454960569,0.0583653176752484,0.7606862270020165,0.0114873113142547,0.4666666666666667,0.074535599249993,0.48,0.0447213595499957,0.71838883976815,0.0155198797425919,0.7727545727545728,0.0146794457889949
DMPNN,Kappa,0.914133145819805,0.0315589783028085,0.914133145819805,0.0315589783028085,0.7921048121876003,0.052240529983456,0.7597392767031119,0.0377767741089227,0.7528571428571429,0.0288085399281031,0.8407721445221445,0.032639818580026,0.7339852139657871,0.0364473559612693,0.7587897619390968,0.0370788425672285
xgb,Constitution,0.957456233025506,0.0110091751938107,0.957456233025506,0.0110091751938107,0.7502602936452023,0.0454151491667549,0.7579141989598052,0.0099010745588882,0.4266666666666666,0.0722649446289293,0.4914285714285714,0.0704214716792356,0.6837824494346234,0.0253881035200395,0.7694692515493405,0.0164429028837018
DMPNN,Matrix,0.9171469457667192,0.0365999871943825,0.9171469457667192,0.0365999871943825,0.7952939365905534,0.0406022149614146,0.7561640125157615,0.0833922315264844,0.6628571428571428,0.1818801058112093,0.7925238095238095,0.1190010067476485,0.7261473113352812,0.0888508463020251,0.7547454826300244,0.0839335103992185
rf,MACCSFP,0.9437497577838736,0.0062627527987013,0.9437497577838736,0.0062627527987013,0.7802323619138422,0.0582577599114235,0.7550736573430105,0.0279177974646714,1.0,,0.5333333333333333,0.0745355992499929,0.777843137254902,0.0455903758850647,0.7658141858141858,0.0326636460336024
fcnn,MAP4,0.9604367179094462,0.0148264782147496,0.9604367179094462,0.0148264782147496,0.8130491219263598,0.047573096454729,0.7517650566487776,0.0576848588178283,0.5333333333333333,0.1825741858350553,0.821830065359477,0.0993137201134702,0.6561128526645768,0.1059512693684177,0.7490400404193507,0.0573699514530089
rf,Constitution,0.9002185616772497,0.0035770510925997,0.9002185616772497,0.0035770510925997,0.7532466433358495,0.0524526669222352,0.7402537689244786,0.0207413448537807,0.2833333333333333,0.0456435464587638,0.3,0.0456435464587638,0.6684842934842935,0.0499378307349135,0.7561735571491669,0.0273611621646501
rf,TorsionFP,0.9691886548541468,0.0062723681258124,0.9691886548541468,0.0062723681258124,0.831931975745535,0.0381262248800065,0.7397186147186148,0.0296485444411314,0.0,0.0,0.5916666666666666,0.1108677891304172,0.6393642305407011,0.0578219312867924,0.7571477805348773,0.0375689399762895
rf,MAP4,0.9764426709074324,0.0045259982689115,0.9764426709074324,0.0045259982689115,0.8416739729722709,0.0463640433007849,0.7288933034928459,0.0493466945295363,0.3166666666666666,0.0372677996249964,0.3166666666666666,0.0372677996249964,0.613094748388866,0.0534870447313738,0.7487910953855226,0.061598282314338
DMPNN,MOE,0.9442529373235444,0.0277205693303115,0.9442529373235444,0.0277205693303115,0.8416666666666668,0.030074898850423,0.7279424409211643,0.0588525139604772,0.3333333333333333,0.0,0.4955555555555556,0.1699834575990817,0.680969045969046,0.0684079660651883,0.7318909592822637,0.0549755198561359
xgb,MOE,0.9923090166494422,0.0022524543515528,0.9923090166494422,0.0022524543515528,0.8071579247776978,0.039606403920557,0.7270357768398081,0.030296084808948,0.4333333333333333,0.2788866755113585,0.6986904761904762,0.1264544072785974,0.6808398709769325,0.0444251944971629,0.7311754385964913,0.0340477232830207
svm,Property,0.7202899979236335,0.0239811521558463,0.7202899979236335,0.0239811521558463,0.7997222222222222,0.0906956142514313,0.7244078884078884,0.0345633560910171,0.3166666666666666,0.0372677996249964,0.3166666666666666,0.0372677996249964,0.5768780926675664,0.0462964814537928,0.7244078884078884,0.0345633560910171
DMPNN,Charge,0.9413717065595716,0.0151270939866185,0.9413717065595716,0.0151270939866185,0.800534911325234,0.0226609101619583,0.7120988258317025,0.1150332317276851,0.6199999999999999,0.0688530372659096,0.7755411255411255,0.0330995090976272,0.6535606753831297,0.1245381757996074,0.709573266595617,0.1145015678386462
rf,PubChemFP,0.9506483883714966,0.0073901977669799,0.9506483883714966,0.0073901977669799,0.776803011771739,0.0506952077891498,0.7085319565491979,0.1206200229228218,0.3333333333333333,0.2041241452319315,0.3333333333333333,0.2041241452319315,0.6189107838307862,0.1699935556762593,0.7208333333333334,0.1308597388886389
fcnn,MorganFP,0.9737642865920482,0.0047755620953017,0.9737642865920482,0.0047755620953017,0.8464320545355027,0.0380155221772177,0.7076984126984127,0.0728440006129265,0.4,0.2236067977499789,0.6366666666666666,0.0930949336251262,0.5976190476190476,0.0832652783335509,0.7045405179615706,0.0735995031470784
rf,Path,0.955841583276358,0.0069965752221865,0.955841583276358,0.0069965752221865,0.7181408427897912,0.0665356057259271,0.7073319400905608,0.0548669502582994,0.0,0.0,0.0,0.0,0.706993006993007,0.0752114075894142,0.7198467917633004,0.0616376726973762
fcnn,Path,0.617987012987013,0.0279736679010419,0.617987012987013,0.0279736679010419,0.6630792682926829,0.0776572029718344,0.7005555555555556,0.3962517281965662,0.3333333333333333,0.2041241452319315,0.3333333333333333,0.2041241452319315,0.6023809523809524,0.3402346795789762,0.7005555555555556,0.3962517281965662
fcnn,RDkitFP,0.9130310097510692,0.0173682312553457,0.9130310097510692,0.0173682312553457,0.8172729725174849,0.0323418469109307,0.697850022413917,0.0793921523252989,0.5333333333333333,0.2738612787525831,0.5466666666666666,0.2631011634756149,0.6014530985504376,0.0831545196438572,0.6901970393646308,0.0794637226597773
