model,feat,train_SP,train_SP_std,val_SP,val_SP_std,test_SP,test_SP_std,ext_SP,ext_SP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,Topology,0.8652864427966793,0.0448872620421126,0.8652864427966793,0.0448872620421126,0.7467619047619047,0.0682668131139774,0.6022988505747127,0.0620642351917749,0.6444444444444445,0.1365858438117464,0.5736842105263158,0.0617783047777509,0.5859154929577464,0.0783348492567669,0.6070588235294118,0.0649608760497212
DMPNN,Kappa,0.8573158456346321,0.0386918602742445,0.8573158456346321,0.0386918602742445,0.7495259740259741,0.0674814670028491,0.5977011494252873,0.062723009746149,0.6888888888888889,0.1147550621098493,0.6,0.0688470767380652,0.5887323943661972,0.0729741191651659,0.6,0.0641988452695878
DMPNN,MAP4,0.9867757323592732,0.0101995809550238,0.9867757323592732,0.0101995809550238,0.7485887445887446,0.0748112994765578,0.5977011494252873,0.0405479128132504,0.5777777777777777,0.1147550621098493,0.5,0.0928333793355996,0.5887323943661972,0.0424097269131876,0.6047058823529412,0.0372858488596226
svm,MAP4,0.9788594779875254,0.005457207305196,0.9788594779875254,0.005457207305196,0.6725,0.0691139869872872,0.5931034482758621,0.0932381599571183,0.9111111111111112,0.1448711645600588,0.6631578947368422,0.1008962605930569,0.5915492957746479,0.095525774410215,0.6023529411764705,0.0901363826323668
DMPNN,Property,0.8675985617916842,0.0417484489258234,0.8675985617916842,0.0417484489258234,0.7533744588744589,0.0750859129363651,0.5862068965517241,0.1022349736714661,0.6,0.2172278266461508,0.5631578947368421,0.1942541829567216,0.5661971830985915,0.1250625270668351,0.5952941176470589,0.1071385180644968
DMPNN,Autocorr,0.9210446681121393,0.042027184225123,0.9210446681121393,0.042027184225123,0.7220411255411255,0.072302637973529,0.5839080459770115,0.0642947952901242,0.2,0.0468485579284204,0.4,0.0951259067489541,0.5633802816901408,0.0601232322763647,0.5858823529411765,0.0562304261299919
log,MACCSFP,0.8221534614878069,0.0132062294858889,0.8221534614878069,0.0132062294858889,0.7863333333333333,0.0976401835423145,0.5770114942528736,0.0262109293126239,0.1555555555555555,0.0993807989999906,0.1789473684210525,0.0506194317412403,0.5126760563380282,0.038054242496074,0.5764705882352941,0.0299942324328987
log,Estate,0.8271736146388532,0.0131995243669737,0.8271736146388532,0.0131995243669737,0.800448051948052,0.0614769712756446,0.5632183908045977,0.0181740095411975,0.1333333333333333,0.0496903994999953,0.2421052631578946,0.0343115916063297,0.5211267605633803,0.0222695609871012,0.5764705882352941,0.018601633295108
log,Constitution,0.8122786067529791,0.0089972696714126,0.8122786067529791,0.0089972696714126,0.7925238095238095,0.0768991594597988,0.554022988505747,0.0096167819141847,0.1111111111111111,0.0,0.2368421052631578,0.0,0.5211267605633803,0.0099592504392471,0.5552941176470588,0.009843059135695
log,InfoContent,0.7683947549494134,0.0082261058778927,0.7683947549494134,0.0082261058778927,0.769538961038961,0.0648598390019117,0.5517241379310345,0.0140775272573745,0.1111111111111111,0.0,0.263157894736842,0.0322301281945155,0.5098591549295775,0.0154288044367652,0.5647058823529412,0.0144087631928421
log,PubChemFP,0.8775777562824224,0.0050288346566739,0.8775777562824224,0.0050288346566739,0.8239372294372295,0.0650879209195954,0.5471264367816092,0.0062956615805191,0.1111111111111111,0.0,0.1684210526315789,0.0144137515132938,0.504225352112676,0.0062987830352107,0.5458823529411765,0.0064437947941784
DMPNN,Estate,0.8951922932820896,0.0511289908747578,0.8951922932820896,0.0511289908747578,0.7321991341991343,0.0565534810349519,0.5471264367816092,0.0615893679614103,0.2888888888888888,0.0936971158568408,0.3842105263157894,0.0756626619398169,0.5380281690140845,0.062566502343503,0.5599999999999999,0.0630385295605023
log,Topology,0.7631303923174653,0.0070867555607936,0.7631303923174653,0.0070867555607936,0.7698268398268399,0.0505682556474554,0.5402298850574713,0.019908629972056,0.1111111111111111,0.0,0.2368421052631578,0.0186080731891197,0.5014084507042254,0.021360212518455,0.5458823529411765,0.0196861182713899
xgb,Autocorr,0.9824873956513318,0.0055971302299857,0.9824873956513318,0.0055971302299857,0.7022965367965368,0.0636441213208831,0.5333333333333333,0.0725140703245402,0.2888888888888888,0.1266861583443486,0.4052631578947368,0.0995140547431002,0.4985915492957746,0.0818841794577387,0.5411764705882354,0.0685994340570035
DMPNN,InfoContent,0.8574659595338444,0.0284389158481219,0.8574659595338444,0.0284389158481219,0.7127922077922078,0.0702202133067992,0.5310344827586206,0.1367338422877883,0.6,0.3442651863295481,0.5210526315789474,0.2158679075827652,0.5183098591549296,0.1602858431051315,0.5411764705882354,0.1365246681217977
log,Kappa,0.7149997803074253,0.0067405155674415,0.7149997803074253,0.0067405155674415,0.7421298701298701,0.0283200670710596,0.5287356321839081,0.0,0.1111111111111111,0.0,0.1842105263157894,0.0,0.5070422535211268,0.0,0.5411764705882353,0.0
xgb,MAP4,0.9805215818247328,0.0038098621272267,0.9805215818247328,0.0038098621272267,0.724017316017316,0.0823668722455965,0.5287356321839081,0.0629566158051915,0.5555555555555556,0.1571348402636772,0.4052631578947368,0.0959714869937393,0.5154929577464789,0.0708438103659678,0.536470588235294,0.0591754180703966
DMPNN,Matrix,0.8204056769452519,0.0684194486825768,0.8204056769452519,0.0684194486825768,0.720547619047619,0.084564287200272,0.5264367816091954,0.1330335291490998,0.4888888888888888,0.2629368792488718,0.4526315789473684,0.1695503077663097,0.5154929577464789,0.1329890417003208,0.5341176470588235,0.132314446108432
fcnn,PharmacoErGFP,0.65492451024329,0.0111780118188418,0.65492451024329,0.0111780118188418,0.6113722943722945,0.0597005632274665,0.5241379310344827,0.0990775261586664,0.2888888888888888,0.1490711984999859,0.2842105263157894,0.2100323151498412,0.4957746478873239,0.120090556322773,0.536470588235294,0.101408762068282
xgb,MorganFP,0.92014201261174,0.0035558521228027,0.92014201261174,0.0035558521228027,0.7165151515151515,0.0510434954603919,0.5195402298850574,0.046971992509661,0.2,0.0929622251704528,0.2999999999999999,0.1200184657999092,0.504225352112676,0.056689047316896,0.5270588235294118,0.047352027758819
