model,feat,train_Precision,train_Precision_std,val_Precision,val_Precision_std,test_Precision,test_Precision_std,ext_Precision,ext_Precision_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
fcnn,Estate,0.9085370641885719,0.011420379350128079,0.9085370641885719,0.011420379350128079,0.8799568692067352,0.014244901875528466,0.8622270843005829,0.0031261261149612037,0.11111111111111112,0.0,0.3733840389997291,0.013592746772374598,0.7350892047004247,0.004273090840166948,0.8395508130220429,0.0034687418850191144
fcnn,EstateFP,0.848771098815293,0.005195308518604712,0.848771098815293,0.005195308518604712,0.8391480578931297,0.010702772121595625,0.8472871326022181,0.001633698572563321,0.2581818181818182,0.032524625127269655,0.38772647574517827,0.004704760209818396,0.7130714512375714,0.0066144903035913255,0.8213158277733796,0.0022404453479510896
fcnn,Fragment,0.8774635119404328,0.00554007183642704,0.8774635119404328,0.00554007183642704,0.8582265572824547,0.01890759573270947,0.8179865880209368,0.003497556705507729,0.2727272727272727,0.0,0.3938836554989004,0.016339407755373684,0.682029819425751,0.009503063529661336,0.7890727726674879,0.004342602336506651
fcnn,InfoContent,0.8550143583774334,0.0039643745017821,0.8550143583774334,0.0039643745017821,0.8468399221374693,0.012805941419539741,0.8463144225706516,0.005709253525792946,0.2,0.0,0.38344458457657876,0.00955429906504958,0.7120970163275822,0.009784532665568056,0.8214122136773382,0.0068368491769836915
fcnn,Kappa,0.8031117364848643,0.002400733239252843,0.8031117364848643,0.002400733239252843,0.799534282208372,0.011131206934992938,0.8233391976860684,0.001654018548625876,0.21131313131313129,0.06678288003683033,0.39533403842763964,0.008302587440985361,0.6882585704491991,0.0022703245301718736,0.7967930941902157,0.001674507914418227
fcnn,MACCSFP,0.9057604104600283,0.001892324351367504,0.9057604104600283,0.001892324351367504,0.8825489852057815,0.027035808014966016,0.8547022395131986,0.00344423404741376,0.2290909090909091,0.03983436781855752,0.3789910600255427,0.018608785483516552,0.7290649181563083,0.012333332400663788,0.8289338653909798,0.005464034864972215
fcnn,MAP4,0.9700499715721381,0.008657331866714375,0.9700499715721381,0.008657331866714375,0.9153133717208656,0.02105368368869065,0.8496181957794878,0.01680731745048442,0.1444444444444444,0.030429030972509197,0.47286368375719656,0.055525897638429064,0.7260877128097117,0.026708918487140215,0.8253906976658204,0.019053231807089992
fcnn,MHFP6,0.8126919301505147,0.045186934594744585,0.8126919301505147,0.045186934594744585,0.7985762518426368,0.04451821759292958,0.8040301633850021,0.003929746613159478,0.25,0.0,0.3994275305750715,0.00581854795081913,0.6803136142794587,0.0035342901493939038,0.7747035573122529,0.004419106674900825
fcnn,MOE,0.920641892964462,0.004265461514995389,0.920641892964462,0.004265461514995389,0.900213054358337,0.018276912744761512,0.8446284722533521,0.002131257801304344,0.11111111111111112,0.0,0.3853106905194019,0.012190332013717062,0.718881621000359,0.005028585246089123,0.820326702405449,0.002549285434271958
fcnn,Matrix,0.839454252308937,0.0054366246559835315,0.839454252308937,0.0054366246559835315,0.8321413935093374,0.013275491223614603,0.8253964997121319,0.001182162292786881,0.11111111111111112,0.0,0.3806412583182093,0.0029760130372047723,0.6843034372559404,0.0026975887498867303,0.7987447976672115,0.0014168484031229227
fcnn,MorganFP,0.9743539228255089,0.0051039280396409205,0.9743539228255089,0.0051039280396409205,0.9129834721057932,0.018732087861245573,0.8292340609282587,0.007381226694499708,0.19636363636363635,0.008131156281817433,0.39935480162114,0.004969210172410901,0.700589694202864,0.00968568634143973,0.8024548281960785,0.008813396731814246
fcnn,Path,0.8080151177190682,0.01672015559678671,0.8080151177190682,0.01672015559678671,0.8079077902565412,0.021386566969799507,0.8188500806329424,0.011258700330608754,0.14444444444444443,0.05091750772173156,0.3861202185792349,0.007159825508827014,0.6877271714731726,0.0070947623104944514,0.7914582493228471,0.012865638997586793
fcnn,PharmacoErGFP,0.9096913057815934,0.003156481117072047,0.9096913057815934,0.003156481117072047,0.8952320140177283,0.015031944773431914,0.8850197578169847,0.021512666568937702,0.025,0.05590169943749474,0.43904746546255974,0.08012698639573318,0.7682243319268636,0.04390084000461327,0.866486849162009,0.02578769542132011
fcnn,PharmacoPFP,0.9083206466068251,0.00904095728258295,0.9083206466068251,0.00904095728258295,0.8958558365019625,0.01559699859549789,0.8283403859056657,0.003651655760648837,0.0,0.0,0.3720007137598702,0.015165015837006548,0.7008161859408573,0.008561519173334309,0.8015306711600146,0.004267994854956902
fcnn,Property,0.8493281025142293,0.0029960077676628306,0.8493281025142293,0.0029960077676628306,0.8439935445130338,0.008968899202116805,0.8469082118644632,0.002604554323115944,0.11111111111111112,0.0,0.32682347249494864,0.009157041428447098,0.7115526649378029,0.0035373981334357,0.8223372448153657,0.0029013723154979265
fcnn,PubChemFP,0.9349186368539784,0.004954899597114407,0.9349186368539784,0.004954899597114407,0.908458922353406,0.02118279189436875,0.8439644655139096,0.006497493313540923,0.11111111111111112,0.0,0.32351611447142725,0.027675638577544848,0.6534931038392726,0.023916465531854364,0.8128110501832617,0.007179935184298579
fcnn,RDkitFP,0.9405919870256341,0.010780699295434097,0.9405919870256341,0.010780699295434097,0.9105304155142038,0.024086099457772705,0.8518817493359189,0.008142037227740956,0.17898989898989898,0.0687106316589295,0.38982852320758565,0.009292046157226352,0.721232688286783,0.00488496246952436,0.8260834666429476,0.00889066501874964
fcnn,Topology,0.8138035360581544,0.014878362756715793,0.8138035360581544,0.014878362756715793,0.8120840987743904,0.02467762738585369,0.8216928413298807,0.0021780590147769496,0.14666666666666667,0.048686449556014776,0.38108075288403154,0.017103424774050472,0.6846369722590498,0.0015574718323089914,0.7945734575865739,0.002348847501040361
fcnn,TorsionFP,0.9516481848197657,0.011984019076548799,0.9516481848197657,0.011984019076548799,0.9092289132472509,0.019835801570322453,0.8225814417794914,0.006685271329175875,0.1818181818181818,0.0,0.3961078794288736,0.005782504156428916,0.6842895141317323,0.009853378928254572,0.794459454429705,0.0071569802427910644
log,AtomPairFP,0.9985695887094665,0.0007560607844109698,0.9985695887094665,0.0007560607844109698,0.941205817316624,0.016841318793518627,0.9240588606017232,0.010748538907148709,0.6,0.22360679774997896,0.6883422519509476,0.07728556156035511,0.8515742317343756,0.01908035432459047,0.9081642141431516,0.010909152653144462
log,Autocorr,0.9654216684158617,0.0034341121036678642,0.9654216684158617,0.0034341121036678642,0.9384705440034903,0.019095680994140857,0.9259010783094442,0.018684901785882734,0.30023809523809525,0.10479707201947429,0.52568194680249,0.13320360213047847,0.8171966763079839,0.04299735832502466,0.9077323246507986,0.023439386376033475
log,AvalonFP,0.9924318128816655,0.0008653977695329495,0.9924318128816655,0.0008653977695329495,0.9468455407224289,0.024947414243437178,0.8602184168652769,0.007973657631916549,0.2581818181818182,0.03252462512726966,0.3013769720654219,0.01733102516191194,0.6516547165372854,0.010431504533592425,0.8283437120057806,0.008741784165977519
log,Charge,0.9064324025999593,0.003928340666392598,0.9064324025999593,0.003928340666392598,0.9038889748203977,0.01248526359002988,0.9207353149192474,0.012144638446730251,0.0,0.0,0.5673818646232439,0.04219177778376517,0.8150651444548336,0.01847351570658487,0.9048219152323629,0.012585978271076203
log,Connectivity,0.9233843050220785,0.0038487556985582253,0.9233843050220785,0.0038487556985582253,0.9237213688745985,0.021354574697540433,0.9319578854084419,0.0036199117724122283,0.0,0.0,0.4268421052631578,0.012945656711840921,0.793557302305252,0.017862272239344015,0.9178746282012366,0.003320260446156795
log,Constitution,0.9360156331566782,0.0033972796974413924,0.9360156331566782,0.0033972796974413924,0.927743040764676,0.024185999762291674,0.8614622616209632,0.0031756611383210957,0.06666666666666667,0.06085806194501846,0.21520299145299146,0.07442026943056904,0.6258541629994719,0.02261356516557599,0.8270933704030952,0.005210239768930267
log,Estate,0.9438645928324375,0.004629390802281057,0.9438645928324375,0.004629390802281057,0.9335472351925169,0.018583802109593615,0.8844240383370628,0.004314806344193234,0.21676767676767678,0.07379823142413695,0.39466395747321437,0.016580579180740473,0.7493983209772683,0.012857736541138223,0.8641248231123523,0.005640241712758848
log,EstateFP,0.9065441115851849,0.004616181304464548,0.9065441115851849,0.004616181304464548,0.9117755059268504,0.020674156790907637,0.8509600947582179,0.001763628571538439,0.18222222222222223,0.03975231959999626,0.22291496775150116,0.031134665671147123,0.6536357897792457,0.004730311018145082,0.8166048032772532,0.002284550407284555
log,Fragment,0.9198524735687513,0.005824519852434952,0.9198524735687513,0.005824519852434952,0.9083186487799078,0.03032522021662788,0.7667328833905825,0.00796380082168398,0.2727272727272727,0.0,0.11563025210084028,0.0018410842269081643,0.44945720087472657,0.004631193773948665,0.7151106455240835,0.009854305936012556
log,InfoContent,0.917472970446082,0.0027255548574807204,0.917472970446082,0.0027255548574807204,0.9157841434158275,0.019609094779380398,0.8691273821708604,0.004080720023455138,0.0,0.0,0.2434627108311318,0.008290168444124873,0.6626753464727453,0.011791332969766533,0.841200657579968,0.0052288137538026675
log,Kappa,0.8985389586832611,0.00394180661786655,0.8985389586832611,0.00394180661786655,0.9047913339265818,0.014648893687327693,0.8536344191068572,0.0027637689820029098,0.0,0.0,0.2583042973286876,0.008050883542682186,0.577949948000571,0.027235878156720624,0.8195253264769514,0.004423992714930777
log,MACCSFP,0.9421684133867126,0.00420768043106486,0.9421684133867126,0.00420768043106486,0.9291456718294168,0.03030592104677031,0.8644082936471431,0.008294596989201746,0.11746031746031745,0.014197256999998641,0.204213378975895,0.01627031765307265,0.6267428092624061,0.019180728425620387,0.8282900799854558,0.011028973360103337
log,MAP4,1.0,0.0,1.0,0.0,0.933970401546478,0.012278337414776954,0.9076251427859336,0.008272133577724796,0.0,0.0,0.6173342985842986,0.05643809556169889,0.8054150636604944,0.01864487053026387,0.8889345066602281,0.010465817013808202
log,MHFP6,1.0,0.0,1.0,0.0,0.9150436839803264,0.01526021351160476,0.8668740470132663,0.013371082620619375,0.08690476190476189,0.08069813014324914,0.4364924506387921,0.08013257221730057,0.7381793355438145,0.028070007451435532,0.8413155482451407,0.01701890595233971
log,MOE,0.9407497234044694,0.0021591793053296446,0.9407497234044694,0.0021591793053296446,0.9344712888480166,0.026440477339229475,0.9064597662580823,0.013333359528077513,0.21857142857142856,0.04754160369226784,0.41320532915360497,0.07561401492353904,0.7912149735489394,0.02878651583128693,0.8909421685108715,0.016030065649224778
log,Matrix,0.9183434581464434,0.004179979403494312,0.9183434581464434,0.004179979403494312,0.9182734577033642,0.014658562001222295,0.8616368076368076,0.006700081115494721,0.0,0.0,0.31337000177612767,0.02875042297273005,0.6576893971076594,0.032012794263662166,0.832758778519978,0.009455606618012471
