model,feat,train_f1,train_f1_std,val_f1,val_f1_std,test_f1,test_f1_std,ext_f1,ext_f1_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
rf,MOE,0.9961071351527776,0.0006230572406877,0.9961071351527776,0.0006230572406877,0.9324732895585102,0.013356958669233,0.9103439968413056,0.0017803364242561,0.2794871794871794,0.0630685839807632,0.5462234319337149,0.0100888767689278,0.8289600612482364,0.0028516954049096,0.8951931188218392,0.0021266296213475
fcnn,MAP4,0.9797821464080932,0.0058337895915346,0.9797821464080932,0.0058337895915346,0.933681559053975,0.0127988650890507,0.9089336359415248,0.009216044138952,0.1999999999999999,0.0304290309725092,0.6230998653782748,0.0489976499963961,0.8215759843950888,0.0162617316575052,0.8927429848024481,0.0106664350813204
fcnn,Connectivity,0.9061360462159792,0.0121496108447174,0.9061360462159792,0.0121496108447174,0.8996971893253056,0.0138012692317271,0.9086847588732854,0.0069099617871841,0.2082051282051281,0.0580586658346623,0.5475740444678852,0.0116773239602244,0.8194357424555895,0.0124633129542269,0.8930151854856492,0.008426790657043
rf,Constitution,0.9823822525175928,0.0007047626152456,0.9823822525175928,0.0007047626152456,0.921449164404555,0.010732346096822,0.908292239634999,0.0039979879864657,0.0666666666666666,0.0912870929175276,0.5284334221493475,0.012561984636894,0.8204847448139352,0.0087245741251275,0.8930890626228412,0.0050153716080998
xgb,Constitution,0.9816383330981048,0.0009761123872543,0.9816383330981048,0.0009761123872543,0.9209678373883676,0.0085341068337372,0.9079001980253936,0.0017039597816027,0.106060606060606,0.0970170339004976,0.5372983999490024,0.0173539186712933,0.8204933771578589,0.0034436367899381,0.8925571705042868,0.0019179811779725
DMPNN,Constitution,0.9749068065636962,0.013314847144589,0.9749068065636962,0.013314847144589,0.9343186755489212,0.008973016918353,0.907220696555746,0.014462729828276,0.2445687645687645,0.0991279308041255,0.5338838796647016,0.0554951633387497,0.8059075324223285,0.0325594524044064,0.8901542991248202,0.0175637871601906
xgb,Autocorr,0.9960282292293005,0.0006348253271235,0.9960282292293005,0.0006348253271235,0.9339636371473076,0.0113797775530704,0.905731867118891,0.0138367534996532,0.0844444444444444,0.1158969316480471,0.4988807441312427,0.0643622377123565,0.8007532182624081,0.0326646766837726,0.8888355673046944,0.0174755486085955
DMPNN,Estate,0.9800604886494468,0.0058291625270215,0.9800604886494468,0.0058291625270215,0.93581775591868,0.0107875567283025,0.9040093928410566,0.0111895126580752,0.226060606060606,0.0737747241781249,0.5822902163941504,0.0351096463970179,0.7950611392260631,0.0356493709825174,0.8864364886080569,0.0143663289141086
fcnn,RDkitFP,0.9595294706817404,0.0068504744411474,0.9595294706817404,0.0068504744411474,0.932559491299052,0.0134943324448969,0.903967705017602,0.0045870223018878,0.2754578754578753,0.1108973980877301,0.550353635739375,0.0169930893219372,0.8055226783113809,0.015098306763013,0.8856772613605999,0.0058253008742714
rf,Path,0.9923301814269806,0.0008923511901907,0.9923301814269806,0.0008923511901907,0.9047898242191614,0.0137329153036755,0.9032074587764132,0.0048305575277126,0.1802197802197802,0.0589732213846098,0.5382518043303929,0.0075312634366472,0.8232315933723683,0.0100553630373635,0.8867000222913521,0.0059759169935602
rf,TorsionFP,0.9948477757012936,0.0007837880463755,0.9948477757012936,0.0007837880463755,0.9375138919127366,0.0103246080043629,0.9025680922742112,0.0034131809020888,0.0615384615384615,0.0842650088469486,0.5504549968940287,0.0120506836445306,0.8133587415209792,0.0062903477055007,0.8861259093729442,0.0040685309447775
log,AtomPairFP,0.9835234953926614,0.001136180767157,0.9835234953926614,0.001136180767157,0.9259793987022794,0.0068106585234802,0.9025342449386504,0.0135648168129042,0.42,0.0447213595499957,0.6837559023609444,0.0616858805421706,0.8107083852299185,0.0363133919462822,0.8844999009363377,0.016128762814845
rf,PubChemFP,0.9906133069440524,0.0008809072445399,0.9906133069440524,0.0008809072445399,0.9262164603038828,0.0116629249051402,0.902362170676686,0.0089026405306749,0.2468864468864468,0.0737779315949961,0.5500712297749893,0.008531715566171,0.8083603096487405,0.0212584918672692,0.885615550726629,0.0109156933744278
xgb,MACCSFP,0.9775737284697318,0.0008250917110619,0.9775737284697318,0.0008250917110619,0.9295019073962556,0.0069970264341989,0.902095325785498,0.005988291754409,0.1933333333333333,0.0149071198499986,0.5629870129870131,0.0353034365411359,0.8251114113214957,0.0162262104400025,0.8865644365511696,0.0083650744301059
xgb,MAP4,0.99630808312531,0.0006076696608088,0.99630808312531,0.0006076696608088,0.9363042668593776,0.0121597064936947,0.9018197018840322,0.0101954338809754,0.0,0.0,0.5924846390168972,0.0326247344757727,0.7950851793307037,0.0233769354860639,0.8840048785318319,0.0126624022955922
DMPNN,PharmacoErGFP,0.9654823692129492,0.0054663574105421,0.9654823692129492,0.0054663574105421,0.9362306473135156,0.0104562794879487,0.9017829850300204,0.0061185820307896,0.4365079365079365,0.0984183875012607,0.7309069283377937,0.0367317522487176,0.8001358902361206,0.0174293187475279,0.8843423280136442,0.0080779977300638
fcnn,MOE,0.9419624890773828,0.0025387983936131,0.9419624890773828,0.0025387983936131,0.9254774215791532,0.0128582482329818,0.9017353552467868,0.0038222396702822,0.1666666666666666,0.0,0.5344221692551597,0.0144664972897193,0.8085985829350649,0.0077448001552274,0.8849112817843467,0.0044692427020868
svm,Property,0.8879076307747764,0.0016632404394989,0.8879076307747764,0.0016632404394989,0.8888118657571569,0.0074597201258338,0.9016954119821372,0.0019169216906695,0.1333333333333332,0.0745355992499929,0.537703081232493,0.0077667347117639,0.8067781059682876,0.004134832890515,0.8847728761104324,0.0023019166338806
rf,RDkitFP,0.9961071351527776,0.0006230572406877,0.9961071351527776,0.0006230572406877,0.9345163538583062,0.0122077239438085,0.9013238995119448,0.0035366836486762,0.3560439560439559,0.0662082212368882,0.5647687784014969,0.009077465534702,0.8030966149171533,0.0092834747066875,0.8844301010380539,0.004401358047188
fcnn,Kappa,0.876124589191315,0.0023363267414322,0.876124589191315,0.0023363267414322,0.8753982786525132,0.0084772858326702,0.9012557270412253,0.001635214579516,0.3278388278388277,0.1084923312792665,0.5613761655423998,0.0140062711884174,0.812664733860801,0.0028103918694617,0.8852646246968108,0.0014854941990459
svm,Matrix,0.9008940943725072,0.0014027497861887,0.9008940943725072,0.0014027497861887,0.9021277958546448,0.0125814953076658,0.9009814498351596,0.0015517075463256,0.1666666666666666,0.0,0.5489386115892141,0.0029506347379515,0.8088210779119869,0.0016022205644597,0.8841409686220667,0.0018392491507346
rf,MAP4,0.9962898478972548,0.0006142230715283,0.9962898478972548,0.0006142230715283,0.9288895385943906,0.0126450167959861,0.9008561832032498,0.0014681455563403,0.1333333333333332,0.0745355992499929,0.537703081232493,0.0077667347117639,0.8094183008939797,0.0040344602047144,0.8840921405559946,0.0018803739076268
svm,Topology,0.8908379433878784,0.0013601270853806,0.8908379433878784,0.0013601270853806,0.8848277557809144,0.0192713426123785,0.900079069618924,0.0021735367537389,0.164102564102564,0.0057335076346148,0.5389915966386555,0.0089337739552608,0.8089972092977217,0.0027235624569568,0.8831356736717101,0.0025865807937678
svm,AtomPairFP,0.9936915869846652,0.0011299386819538,0.9936915869846652,0.0011299386819538,0.9242706762901676,0.003593512120911,0.8996096271480749,0.0121006368907012,0.2742857142857143,0.2599843009389103,0.6708793820558526,0.0834907379798226,0.8001720924486783,0.0274350806706446,0.8823153708148667,0.0151003242749287
DMPNN,Fragment,0.972351214759978,0.0041054473213459,0.972351214759978,0.0041054473213459,0.9342084146049776,0.0103823411538425,0.8995438935190581,0.0056215083278788,0.4109890109890109,0.0560810526271198,0.5872571278863162,0.0285380888584118,0.8073510740362033,0.0115458303122065,0.8819636933288931,0.0072622778050983
rf,Estate,0.9895732673898672,0.0008698833249438,0.9895732673898672,0.0008698833249438,0.9307570233694534,0.0098956237203897,0.8992532965330626,0.0023718336120131,0.3076923076923076,0.0,0.5484656782298238,0.0076426690316696,0.8041027333859356,0.0043613110449989,0.8824045706049551,0.0031579745078348
fcnn,MorganFP,0.9836604634936784,0.0026068919854189,0.9836604634936784,0.0026068919854189,0.9378448540308312,0.010815577008607,0.8991034669131615,0.0051054004881713,0.3032967032967032,0.0098288702307682,0.5626393476976108,0.0066516553071926,0.8090290469448261,0.0079067233051698,0.8814898482493525,0.0062034456917248
fcnn,Topology,0.884104407355981,0.0049539664747286,0.884104407355981,0.0049539664747286,0.880659973939659,0.0082525364113905,0.8988598935584836,0.0029308260569129,0.223076923076923,0.0772429247763695,0.535928933834352,0.0318492237283919,0.8065108275392759,0.0075051987794378,0.8816844411106761,0.0036184048211311
fcnn,Path,0.881259803333197,0.0040022284809287,0.881259803333197,0.0040022284809287,0.8810097156785167,0.0112744781925296,0.8985320066858424,0.0071566493445054,0.2205128205128204,0.079755543666645,0.546703146374829,0.0107513844758855,0.811393821007133,0.0054163342801799,0.8813820316382455,0.0084300079142206
xgb,PubChemFP,0.9815498294398036,0.0014175407815906,0.9815498294398036,0.0014175407815906,0.933073400791506,0.0128571637263534,0.8984348347850537,0.013219864573045,0.1666666666666666,0.0,0.5278395393585267,0.0174515207364933,0.7920634305581982,0.0341933856217395,0.8803095656460804,0.0162152772732062
DMPNN,EstateFP,0.97189794182969,0.0106091114913128,0.97189794182969,0.0106091114913128,0.938896240614278,0.0113965696670011,0.8983335474164938,0.009934085959249,0.2443223443223442,0.0729705307983394,0.5678854988091936,0.0082761267360458,0.800157127298311,0.0300441788427655,0.8792648575150446,0.0129737559115292
svm,MorganFP,0.9847210139757764,0.001051223635716,0.9847210139757764,0.001051223635716,0.9299834586035204,0.0058559795284274,0.8980342514521116,0.0044368005185482,0.0,0.0,0.5394895567039342,0.0227692386300909,0.8114708994605758,0.0081763008140523,0.8814295251501889,0.0050674449601201
xgb,MHFP6,1.0,0.0,1.0,0.0,0.9354455749266024,0.0101780019306376,0.8979564742698276,0.0079086411779196,0.3415384615384614,0.0677693296649117,0.6083622083622083,0.0389754178378056,0.8034826488893346,0.019376707844067,0.8798651976884692,0.0094577303881887
DMPNN,MorganFP,0.99294126302637,0.0033266519677288,0.99294126302637,0.0033266519677288,0.931124360594351,0.0094566725953982,0.8976316974449061,0.0074087805881666,0.2484848484848484,0.0866570124829382,0.52173853621527,0.0231211081140681,0.8076413693362369,0.0150356744724811,0.8805486970607073,0.0089408950320624
xgb,TorsionFP,0.9782353651512584,0.0007229455508411,0.9782353651512584,0.0007229455508411,0.9374504801057546,0.0130542232985441,0.8969144119521039,0.0072692136376194,0.0752136752136752,0.1057897329693388,0.5297630522082091,0.0551504733476394,0.797646872216084,0.0153622705820794,0.8778703145551786,0.0087809957114216
rf,AvalonFP,0.9955959340488808,0.0007127847993758,0.9955959340488808,0.0007127847993758,0.9354144776372116,0.0092645812954546,0.8962667378445011,0.0017434503169411,0.4,0.0,0.5681818181818182,0.0,0.7991234502552531,0.0033723150444763,0.8797055016811137,0.002076872200283
rf,Property,0.9917248496516088,0.0007617750610846,0.9917248496516088,0.0007617750610846,0.907314559921186,0.0189057325383094,0.8953407488801071,0.0079489186543449,0.1666666666666666,0.0,0.5310711251062129,0.0324493068897529,0.7864280450792522,0.0200996206350274,0.8771695578321885,0.0106723667237714
svm,Path,0.877673717196821,0.0020591275737059,0.877673717196821,0.0020591275737059,0.8787453987008254,0.0059078006576892,0.8953002038886624,0.0046241187662072,0.4171428571428571,0.0156492159287189,0.5701222327525455,0.008649717977374,0.8101911294589781,0.0038827218903262,0.8776274597804395,0.0053764245042184
fcnn,Property,0.8948426665084593,0.0025359457541887,0.8948426665084593,0.0025359457541887,0.8902004921636262,0.0079040008456601,0.8952946659749659,0.0018098267570171,0.1666666666666666,0.0,0.4414532835585467,0.0143146267004453,0.7873420597480439,0.0048708032840917,0.8765282048693186,0.0022633158512338
log,MorganFP,0.9712580597508096,0.0026326016917176,0.9712580597508096,0.0026326016917176,0.9173769998172776,0.0077545236378608,0.8951907445989928,0.007775477612329,0.1066666666666666,0.0983192080250175,0.5279668366377227,0.0403907243214032,0.7983719425205693,0.0136749496932951,0.87612056802943,0.0094723301199057
