model,feat,train_EF_0.05,train_EF_0.05_std,val_EF_0.05,val_EF_0.05_std,test_EF_0.05,test_EF_0.05_std,ext_EF_0.05,ext_EF_0.05_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,Connectivity,1.280294627990138,0.003740721201563,1.280294627990138,0.003740721201563,1.2911345753132526,0.0175133450581166,1.246458923512748,0.0,0.0,0.0,1.386,0.4969507017803676,1.3996666666666666,0.103535313021809,1.2941176470588236,0.0
DMPNN,Constitution,1.280294627990138,0.003740721201563,1.280294627990138,0.003740721201563,1.2911345753132526,0.0175133450581166,1.246458923512748,0.0,0.0,0.0,0.882,0.6772296508570782,1.3014444444444444,0.0634021718156915,1.2941176470588236,0.0
DMPNN,InfoContent,1.280294627990138,0.003740721201563,1.280294627990138,0.003740721201563,1.2911345753132526,0.0175133450581166,1.246458923512748,0.0,2.4,2.065591117977289,1.764,0.2656313234541438,1.4487777777777775,0.0517676565109045,1.2941176470588236,0.0
DMPNN,MOE,1.280294627990138,0.003740721201563,1.280294627990138,0.003740721201563,1.2911345753132526,0.0175133450581166,1.246458923512748,0.0,0.0,0.0,1.008,0.325330601081423,1.3014444444444444,0.1035353130218091,1.2941176470588236,0.0
DMPNN,Matrix,1.280294627990138,0.003740721201563,1.280294627990138,0.003740721201563,1.2911345753132526,0.0175133450581166,1.246458923512748,0.0,2.4,2.065591117977289,1.512,0.7968939703624315,1.2768888888888887,0.2256499832749584,1.2941176470588236,0.0
DMPNN,Path,1.280294627990138,0.003740721201563,1.280294627990138,0.003740721201563,1.2911345753132526,0.0175133450581166,1.246458923512748,0.0,0.8,1.6865480854231358,1.386,0.7744417344126024,1.2768888888888887,0.1553029695327137,1.2941176470588236,0.0
DMPNN,Property,1.280294627990138,0.003740721201563,1.280294627990138,0.003740721201563,1.2911345753132526,0.0175133450581166,1.246458923512748,0.0,2.4,2.065591117977289,1.89,0.0,1.424222222222222,0.0634021718156917,1.2941176470588236,0.0
DMPNN,Topology,1.280294627990138,0.003740721201563,1.280294627990138,0.003740721201563,1.2911345753132526,0.0175133450581166,1.246458923512748,0.0,0.8,1.6865480854231358,1.764,0.4969507017803677,1.3996666666666666,0.0634021718156917,1.2941176470588236,0.0
fcnn,AtomPairFP,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2911345753132526,0.0185757075777812,1.246458923512748,0.0,1.6,2.1908902300206643,2.52,0.0,1.4733333333333332,0.0,1.2941176470588236,0.0
fcnn,MOE,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2911345753132526,0.0185757075777812,1.246458923512748,0.0,0.8,1.788854381999832,1.26,0.0,1.0067777777777778,0.1027232588133504,1.2941176470588236,0.0
fcnn,MorganFP,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2911345753132526,0.0185757075777812,1.246458923512748,0.0,0.0,0.0,1.638,0.563489130329947,1.3751111111111112,0.0549078914474948,1.2941176470588236,0.0
fcnn,PharmacoErGFP,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2911345753132526,0.0185757075777812,1.246458923512748,0.0,0.0,0.0,1.89,0.4454772721475249,1.1541111111111113,0.1098157828949898,1.2804953560371517,0.0304603687337433
fcnn,PharmacoPFP,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2911345753132526,0.0185757075777812,1.246458923512748,0.0,0.0,0.0,1.89,0.0,1.227777777777778,0.0,1.2941176470588236,0.0
fcnn,RDkitFP,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2911345753132526,0.0185757075777812,1.246458923512748,0.0,0.0,0.0,1.134,0.5270958167164675,1.3014444444444444,0.1399882049705053,1.2941176470588236,0.0
log,AtomPairFP,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2911345753132526,0.0185757075777812,1.246458923512748,0.0,0.8,1.7888543819998317,2.52,0.0,1.4733333333333332,0.0,1.2941176470588236,0.0
log,PharmacoErGFP,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2911345753132526,0.0185757075777812,1.246458923512748,0.0,0.0,0.0,1.638,0.3450652112282545,1.227777777777778,0.0868169992456816,1.2941176470588236,0.0
rf,AtomPairFP,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2911345753132526,0.0185757075777812,1.246458923512748,0.0,0.0,0.0,2.268,0.3450652112282547,1.4733333333333332,0.0,1.2941176470588236,0.0
rf,Autocorr,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2911345753132526,0.0185757075777812,1.246458923512748,0.0,3.2,1.7888543819998317,2.142,0.3450652112282546,1.4733333333333332,0.0,1.2941176470588236,0.0
rf,Charge,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2911345753132526,0.0185757075777812,1.246458923512748,0.0,0.0,0.0,1.134,0.2817445651649735,1.3014444444444446,0.1098157828949894,1.2941176470588236,0.0
rf,Estate,1.280294627990138,0.0039676339922302,1.280294627990138,0.0039676339922302,1.2911345753132526,0.0185757075777812,1.246458923512748,0.0,0.0,0.0,0.252,0.3450652112282547,1.1786666666666668,0.1098157828949896,1.2941176470588236,0.0
