model,feat,train_TP,train_TP_std,val_TP,val_TP_std,test_TP,test_TP_std,ext_TP,ext_TP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
rf,InfoContent,2138.4,7.021395872616774,2138.4,7.021395872616774,250.6,5.770615218501402,346.6,1.1401754250991352,2.0,0.0,24.0,0.0,147.8,0.8366600265340751,284.6,1.1401754250991367
rf,TorsionFP,2143.6,7.861297602813428,2143.6,7.861297602813428,257.8,2.9495762407505257,346.4,1.5165750888103091,0.4,0.5477225575051661,22.4,0.5477225575051664,144.2,1.6431676725154971,283.2,1.6431676725154971
rf,MAP4,2148.2,7.049822692805859,2148.2,7.049822692805859,259.8,5.118593556827894,346.2,2.683281572999745,0.8,0.4472135954999579,22.8,0.4472135954999581,144.0,3.082207001484488,283.0,3.082207001484488
DMPNN,Connectivity,2125.2,11.707547423208077,2125.2,11.707547423208077,254.2,7.9554314080940225,346.0,6.83130051063973,1.4,1.07496769977314,23.0,1.3333333333333333,144.0,6.036923425424943,282.2,6.811754546370559
svm,Property,2115.8,16.63430190900716,2115.8,16.63430190900716,264.6,3.5071355833500437,345.8,1.3038404810405309,0.8,0.4472135954999579,22.8,0.4472135954999581,142.8,1.3038404810405309,281.8,1.3038404810405309
DMPNN,Path,2128.4,9.323804659758451,2128.4,9.323804659758451,256.2,7.06792441637257,345.8,6.511528238439883,1.6,0.8432740427115678,23.0,1.1547005383792517,143.4,6.168017869984201,282.2,6.545566777937906
rf,AvalonFP,2147.4,6.0663003552412365,2147.4,6.0663003552412365,256.2,4.658325879540842,345.6,0.5477225575051635,3.0,0.0,25.0,0.0,144.0,0.0,283.0,0.0
fcnn,Connectivity,2072.8,14.07835217630242,2072.8,14.07835217630242,255.2,5.357238094391547,345.4,4.1593268686170894,1.2,0.4472135954999579,23.0,0.7071067811865476,142.6,3.714835124201344,281.4,4.1593268686170894
svm,Fragment,2113.0,7.905694150420932,2113.0,7.905694150420932,264.0,2.549509756796394,345.2,5.069516742254636,3.0,0.0,24.6,0.8944271909999155,144.2,3.898717737923588,282.4,4.669047011971501
fcnn,MAP4,2140.6,12.72006289292628,2140.6,12.72006289292628,256.2,5.585696017507572,345.0,0.70710678118655,1.0,0.0,23.0,0.0,142.0,0.7071067811865462,281.0,0.70710678118655
xgb,Constitution,2138.2,10.709808588392212,2138.2,10.709808588392212,250.8,6.300793600809349,345.0,1.0,0.6,0.5477225575051662,22.2,1.0954451150103324,142.6,1.1401754250991367,281.6,1.140175425099143
rf,MOE,2149.4,6.877499545619748,2149.4,6.877499545619748,257.0,6.0,344.2,0.4472135954999611,1.8,0.4472135954999579,23.0,0.7071067811865476,142.0,0.7071067811865462,281.0,0.70710678118655
