model,feat,train_SP,train_SP_std,val_SP,val_SP_std,test_SP,test_SP_std,ext_SP,ext_SP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
fcnn,AvalonFP,0.8650412192004238,0.0137639550646043,0.8650412192004238,0.0137639550646043,0.7142207792207793,0.07047473128348883,0.24597701149425286,0.09035974256107375,0.04444444444444444,0.06085806194501846,0.03157894736842104,0.02201736911931777,0.1633802816901408,0.1080016310573567,0.24941176470588236,0.09389679971404666
fcnn,Charge,0.4212420784417077,0.05500534580062795,0.4212420784417077,0.05500534580062795,0.40130086580086577,0.06877290187418149,0.3011494252873563,0.029752135874815615,0.11111111111111112,0.0,0.06315789473684208,0.01441375151329384,0.2985915492957746,0.020890699963649752,0.30823529411764705,0.030452186130693622
fcnn,Connectivity,0.44007665997686507,0.0815008006544735,0.44007665997686507,0.0815008006544735,0.44384199134199137,0.1312794817283246,0.28965517241379307,0.014986672195868194,0.2,0.12171612389003691,0.0526315789473684,0.0263157894736842,0.21971830985915486,0.016058808804213214,0.29647058823529415,0.015339299776947396
fcnn,Constitution,0.6301264058804049,0.01744281223269292,0.6301264058804049,0.01744281223269292,0.5806341991341991,0.06140791804914453,0.31264367816091954,0.0393163939689358,0.11111111111111112,0.0,0.1210526315789473,0.030004616449977296,0.2788732394366197,0.052131705699497884,0.32,0.04024148559173428
fcnn,Estate,0.6557179323109212,0.04203353946219251,0.6557179323109212,0.04203353946219251,0.5572251082251082,0.05042504165587287,0.4,0.022109636852495812,0.11111111111111112,0.0,0.08947368421052629,0.03990987075816604,0.3661971830985915,0.033031096900164994,0.4094117647058823,0.022629863601966317
fcnn,EstateFP,0.39128749075713865,0.023847471823324185,0.39128749075713865,0.023847471823324185,0.36988095238095237,0.05190298708193211,0.33793103448275863,0.010280772310343876,0.11111111111111112,0.0,0.0526315789473684,0.0,0.3352112676056338,0.006298783035210663,0.3458823529411764,0.01052267283529313
fcnn,Fragment,0.5163297817545953,0.02456149845060656,0.5163297817545953,0.02456149845060656,0.4555627705627705,0.07870133144266125,0.16781609195402297,0.015421158465515825,0.11111111111111112,0.0,0.11052631578947363,0.01176877882894626,0.1718309859154929,0.018363950437190538,0.17176470588235287,0.0157840092529397
fcnn,InfoContent,0.42484023034334994,0.020839974968900124,0.42484023034334994,0.020839974968900124,0.41419047619047616,0.0449317951249661,0.3057471264367816,0.02646175731775021,0.11111111111111112,0.0,0.0526315789473684,0.0,0.2563380281690141,0.02519513214084272,0.31294117647058817,0.0270843869016973
fcnn,Kappa,0.15704445128419714,0.003953536756835928,0.15704445128419714,0.003953536756835928,0.16600649350649346,0.03618330848001234,0.1333333333333333,0.010280772310343848,0.11111111111111112,0.0,0.0263157894736842,0.0,0.05070422535211262,0.012597566070421371,0.13647058823529407,0.010522672835293127
fcnn,MACCSFP,0.6416863278789311,0.007097572349524923,0.6416863278789311,0.007097572349524923,0.5652857142857143,0.1069016332133119,0.3655172413793103,0.009616781914184767,0.11111111111111112,0.0,0.0789473684210526,0.0,0.352112676056338,0.017249927766078695,0.3670588235294117,0.015339299776947408
