model,feat,train_roc,train_roc_std,val_roc,val_roc_std,test_roc,test_roc_std,ext_roc,ext_roc_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
svm,EstateFP,0.7663746488485048,0.02367822916190754,0.7663746488485048,0.02367822916190754,0.7732332986290953,0.037537120820198534,0.5303702256520466,0.0069853371207839335,0.4814814814814815,0.30541523152723415,0.21421052631578946,0.04509761649855138,0.4408638497652582,0.025892808333957764,0.5147567677590066,0.012354725097207569
svm,Fragment,0.7781071210150452,0.006564545202085242,0.7781071210150452,0.006564545202085242,0.7703586383363876,0.038764942020139366,0.5630002279313601,0.02797214357415727,0.8666666666666668,0.15180667801421627,0.2377894736842105,0.03522464511203341,0.40978403755868537,0.04464817859040181,0.5430816201913291,0.032170233749904374
svm,InfoContent,0.8028361299443706,0.009228863712503563,0.8028361299443706,0.009228863712503563,0.8047245119649962,0.031085094827524033,0.6396307511966397,0.013794995828269875,0.11111111111111112,0.0,0.33599999999999997,0.01783892224363354,0.49146478873239435,0.020000506947662748,0.6165275798900876,0.0173630430672573
svm,Kappa,0.4717575964872852,0.23485473644867053,0.4717575964872852,0.23485473644867053,0.4774753023304802,0.20981956749777647,0.5887792647585555,0.24157532415966498,0.6962962962962963,0.3368131124263602,0.7007368421052632,0.20908771635415102,0.6413990610328638,0.14897875219747644,0.5963810299206187,0.22540337615469402
svm,MACCSFP,0.883678707125938,0.008898646749360214,0.883678707125938,0.008898646749360214,0.866200290216622,0.041261032654113974,0.6673732538829735,0.009398059444243137,0.39259259259259255,0.03312693299999689,0.32684210526315793,0.011909166841036581,0.5066478873239436,0.010363449659703877,0.6257765112965601,0.008664535285842708
svm,MAP4,0.9966383322621338,0.0009534589475899644,0.9966383322621338,0.0009534589475899644,0.9122355725415563,0.025860556952657033,0.8341278369313926,0.010016592434264802,0.45185185185185184,0.11535119631405512,0.7545263157894737,0.022885963231190198,0.7318779342723005,0.009338829490446007,0.8170079381233462,0.009885520291180984
svm,MHFP6,1.0,0.0,1.0,0.0,0.8832965263163282,0.018367066223763346,0.7490280355572921,0.03214690516806082,0.2814814814814815,0.12171612389003691,0.5599999999999999,0.08313124156476749,0.6228450704225352,0.05667546248020487,0.7254019947079178,0.035613633850099906
svm,MOE,0.8793098816716649,0.00567578285433857,0.8793098816716649,0.00567578285433857,0.8747825385250024,0.03244054234459751,0.8687147927452704,0.00799456973921939,0.274074074074074,0.05616944773371521,0.593157894736842,0.02770041550934901,0.7603380281690141,0.011002625628662653,0.8545491553022593,0.008054888151033543
svm,Matrix,0.8101530779604008,0.005159018127063718,0.8101530779604008,0.005159018127063718,0.8170560712298736,0.024793899137160208,0.7430660024095601,0.023189138711069365,0.11111111111111112,0.0,0.44505263157894737,0.052359295687349997,0.5812769953051644,0.030796948334441788,0.7362100549562385,0.02421301938013509
svm,MorganFP,0.9884509800213526,0.0011289300849143863,0.9884509800213526,0.0011289300849143863,0.9100514593641675,0.019717971789001584,0.7875288984402982,0.05114653332368455,0.0222222222222222,0.033126932999996854,0.5276842105263158,0.11712720078374153,0.7026384976525821,0.06945179453707906,0.7749847343781804,0.059516214829550065
svm,Path,0.7812505106645881,0.011884646872612793,0.7812505106645881,0.011884646872612793,0.8009784063174766,0.026307471342943513,0.835583341473739,0.01575340938939857,0.3481481481481482,0.06728111897994428,0.7528421052631579,0.03798527196725847,0.7115962441314554,0.03477590001111426,0.8205047832281702,0.01905922295686084
svm,PharmacoErGFP,0.9061915354773304,0.0038832618986375435,0.9061915354773304,0.0038832618986375435,0.8728168503605496,0.037700102322751415,0.7668555240793201,0.022941195437379654,0.11851851851851851,0.06085806194501844,0.5732631578947368,0.08014391487451021,0.6727323943661971,0.0270660106911819,0.7463789945043761,0.023932139933992232
svm,PharmacoPFP,0.9045973883671745,0.005162979583434144,0.9045973883671745,0.005162979583434144,0.8677393418438116,0.028565609775939596,0.4922145159714759,0.05690985804390162,0.0222222222222222,0.020286020648339464,0.17157894736842103,0.020206688232055233,0.3655680751173708,0.05955159503010585,0.47179727254223486,0.057769885023484124
svm,Property,0.7961157801328835,0.007405061350307873,0.7961157801328835,0.007405061350307873,0.7984377358673265,0.03425731346141516,0.7767510012699033,0.01383260510534134,0.0740740740740741,0.0,0.4069473684210526,0.03778932707785665,0.5925727699530516,0.02566667997742835,0.75774068797069,0.015430793790828902
svm,PubChemFP,0.9313311706812085,0.005302941206526571,0.9313311706812085,0.005302941206526571,0.8969757338500519,0.034233593196603164,0.6069649311321677,0.029289089273350298,0.0814814814814815,0.016563466499998427,0.20526315789473681,0.03307843444730669,0.44843192488262906,0.012110747016753274,0.5834235701200896,0.028519187308074435
svm,RDkitFP,0.9969123878115591,0.00064187949854235,0.9969123878115591,0.00064187949854235,0.8980316559013467,0.02479610711076021,0.5849565302334667,0.027594247354101622,0.0962962962962963,0.02028602064833947,0.19831578947368417,0.045723485421756416,0.48904225352112674,0.02230757485025452,0.565556686342357,0.026171156944631024
svm,Topology,0.8073302306416995,0.007296788147638023,0.8073302306416995,0.007296788147638023,0.8108886616605575,0.04196157377176228,0.6105825274331672,0.011708486781930812,0.059259259259259255,0.020286020648339516,0.20536842105263156,0.017701745692276116,0.4866197183098591,0.025819803608282045,0.5863016486871565,0.012940605978028631
svm,TorsionFP,0.9642864720978708,0.0039929762148590165,0.9642864720978708,0.0039929762148590165,0.9070706314433693,0.029190456722428162,0.5973429715737033,0.05692407553365369,0.0074074074074074,0.016563466499998427,0.3088421052631579,0.0995964155147137,0.43953051643192487,0.06567150515315334,0.5589700793812334,0.06277873816990083
xgb,AtomPairFP,0.9996101883272057,5.4777373396129575e-05,0.9996101883272057,5.4777373396129575e-05,0.9441967764011847,0.0184200920235842,0.9023509491713068,0.010928769202982707,0.17777777777777773,0.030987408390150954,0.6581052631578947,0.030791947718865276,0.8245258215962441,0.02079259986672535,0.8891186647669448,0.010075923063198374
xgb,Autocorr,0.9998780264272087,3.716512077401266e-05,0.9998780264272087,3.716512077401266e-05,0.9286227463911303,0.02453295844799502,0.8701865780990525,0.027956835599928485,0.2,0.10670266882139211,0.5332631578947369,0.09490803246321552,0.7370140845070423,0.05075303684262788,0.8501119478933443,0.031184609529752088
