model,feat,train_TP,train_TP_std,val_TP,val_TP_std,test_TP,test_TP_std,ext_TP,ext_TP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,Topology,2113.0,17.888543819998308,2113.0,17.888543819998308,252.4,5.232377832092957,341.6,5.232377832092955,1.4,0.8432740427115678,22.2,1.0327955589886446,140.4,5.94792213951879,277.8,5.391351098441528
DMPNN,TorsionFP,2133.0,17.243356208503425,2133.0,17.243356208503425,253.2,5.711586664161038,328.2,15.281070352272813,1.4,0.8432740427115678,19.8,3.9101008796307144,130.0,11.737877907772674,264.8,14.838388651662203
fcnn,AtomPairFP,2139.0,8.246211251235321,2139.0,8.246211251235321,257.4,4.335896677735755,336.4,5.3197744313081525,1.0,0.0,21.0,2.0,133.6,5.50454357780915,272.4,5.3197744313081525
fcnn,Autocorr,2113.2,18.61988184710092,2113.2,18.61988184710092,255.2,5.357238094391545,304.0,5.385164807134501,2.6,0.5477225575051662,17.0,1.8708286933869707,111.8,4.207136793592524,241.0,5.3851648071345055
fcnn,AvalonFP,2134.0,9.82344135219425,2134.0,9.82344135219425,256.2,5.540758070878025,333.6,6.542170893518451,3.0,0.0,21.8,1.0954451150103324,131.2,6.418722614352486,269.8,6.76017751246223
fcnn,Charge,2076.6,18.742998692845262,2076.6,18.742998692845262,254.4,4.722287581247039,312.8,4.324349662087932,0.4,0.5477225575051661,20.4,1.1401754250991378,114.8,2.280350850198275,248.8,4.324349662087932
fcnn,Connectivity,2072.8,14.07835217630242,2072.8,14.07835217630242,255.2,5.357238094391547,345.4,4.1593268686170894,1.2,0.4472135954999579,23.0,0.7071067811865476,142.6,3.714835124201344,281.4,4.1593268686170894
fcnn,Constitution,2081.0,14.352700094407323,2081.0,14.352700094407323,255.0,6.041522986797287,332.2,7.2594765651526085,1.0,0.0,20.6,1.1401754250991383,130.2,6.496152707564683,268.4,7.056911505750939
fcnn,Estate,2073.6,24.234273250914708,2073.6,24.234273250914708,253.8,8.258329128825034,326.6,5.0299105359837135,1.0,0.0,20.6,0.547722557505166,124.8,4.324349662087932,262.6,5.0299105359837135
fcnn,EstateFP,2070.6,5.41294744108975,2070.6,5.41294744108975,256.6,4.219004621945804,319.6,5.549774770204649,2.8,0.4472135954999579,22.8,0.44721359549995787,117.4,4.9799598391954945,255.6,5.549774770204645
fcnn,Fragment,2099.0,5.0990195135927845,2099.0,5.0990195135927845,257.2,4.658325879540842,325.4,4.669047011971497,3.0,0.0,22.0,1.5811388300841898,126.2,4.604345773288538,263.4,4.669047011971497
fcnn,InfoContent,2055.6,14.673104647619743,2055.6,14.673104647619743,253.2,5.630275304103697,332.6,2.190890230020672,2.0,0.0,22.4,0.8944271909999155,130.6,2.190890230020662,268.6,2.190890230020672
fcnn,Kappa,2084.4,11.282730166054654,2084.4,11.282730166054654,260.0,4.0,351.4,1.140175425099129,2.2,0.8366600265340756,24.2,0.8366600265340757,148.8,1.0954451150103368,287.8,1.095445115010327
fcnn,MACCSFP,2087.6,13.069047402163642,2087.6,13.069047402163642,254.4,5.899152481501052,324.8,6.379655163094638,2.4,0.5477225575051661,21.4,1.6733200530681507,124.0,7.035623639735142,260.8,6.379655163094638
fcnn,MAP4,2140.6,12.72006289292628,2140.6,12.72006289292628,256.2,5.585696017507572,345.0,0.70710678118655,1.0,0.0,23.0,0.0,142.0,0.7071067811865462,281.0,0.70710678118655
fcnn,MHFP6,2150.0,22.12464688983754,2150.0,22.12464688983754,265.0,5.1478150704935,352.8,0.44721359549995315,3.0,0.0,25.0,0.0,149.8,0.44721359549995915,288.8,0.44721359549995315
fcnn,MOE,2085.6,9.37016542009799,2085.6,9.37016542009799,256.0,5.787918451395113,341.4,2.408318915758455,1.0,0.0,21.8,0.44721359549995787,138.6,2.302172886644266,277.6,2.302172886644273
fcnn,Matrix,2045.8,15.287249589118387,2045.8,15.287249589118387,254.6,4.037325847637269,343.2,1.4832396974191384,1.0,0.0,22.0,0.0,142.2,1.483239697419131,280.2,1.4832396974191384
fcnn,MorganFP,2148.0,5.6568542494923655,2148.0,5.6568542494923655,259.2,4.381780460041324,346.6,1.8165902124584992,2.0,0.0,23.8,0.44721359549995815,143.6,1.8165902124584943,282.6,1.8165902124584992
fcnn,Path,2097.4,42.453503977881496,2097.4,42.453503977881496,260.6,7.765307463326877,351.4,0.5477225575051733,1.4,0.5477225575051662,23.4,0.5477225575051665,148.4,0.5477225575051635,287.4,0.5477225575051733
fcnn,PharmacoErGFP,2107.2,7.91833315793169,2107.2,7.91833315793169,259.2,5.215361924162116,317.4,1.1401754250991367,0.2,0.4472135954999579,20.4,0.547722557505166,117.4,1.1401754250991383,254.4,1.1401754250991383
fcnn,PharmacoPFP,2099.0,13.095800853708843,2099.0,13.095800853708843,259.2,3.6331804249169886,336.8,3.114482300479482,0.0,0.0,20.0,0.7071067811865476,135.4,2.302172886644265,273.8,3.114482300479482
fcnn,Property,2045.0,15.016657417681207,2045.0,15.016657417681207,253.2,6.300793600809342,335.2,2.049390153191921,1.0,0.0,17.0,0.7071067811865472,132.2,2.049390153191921,271.2,2.049390153191921
fcnn,PubChemFP,2108.4,10.261578825892226,2108.4,10.261578825892226,255.6,7.469939758793238,289.8,13.179529581893274,1.0,0.0,17.2,2.387467277262665,90.0,12.30853362509117,225.8,13.179529581893282
fcnn,RDkitFP,2118.0,12.144957801491119,2118.0,12.144957801491119,257.0,5.999999999999998,340.0,6.670832032063167,1.8,0.8366600265340756,23.4,1.1401754250991378,137.0,6.670832032063167,276.0,6.670832032063167
fcnn,Topology,2093.8,31.268194703244394,2093.8,31.268194703244394,258.8,3.9623225512317903,350.2,2.949576240750526,1.4,0.5477225575051662,22.6,2.0736441353327724,147.2,2.949576240750526,286.2,2.949576240750526
fcnn,TorsionFP,2124.4,21.078424988599092,2124.4,21.078424988599092,257.4,3.2093613071762364,343.0,2.9154759474226526,2.0,0.0,24.0,0.0,140.0,2.915475947422649,279.0,2.9154759474226526
log,AtomPairFP,2095.6,9.889388252060911,2095.6,9.889388252060911,245.0,4.3011626335213125,311.4,7.300684899377592,1.0,0.0,17.0,1.224744871391589,116.2,8.378544026261364,249.2,7.395944834840235
log,Autocorr,1920.6,13.296616110875743,1920.6,13.296616110875743,233.4,2.190890230020666,258.0,6.8920243760451125,1.8,0.8366600265340756,13.6,2.5099800796022267,83.0,9.246621004453464,200.6,8.561541917201597
log,AvalonFP,2045.2,9.257429448826471,2045.2,9.257429448826471,239.4,8.234075540095562,258.2,7.014271166700072,2.8,0.44721359549995787,14.6,1.140175425099138,71.2,6.833739825307955,197.6,6.6932802122726045
log,Charge,1670.4,15.852444606432138,1670.4,15.852444606432138,212.0,9.055385138137417,254.6,7.536577472566708,0.0,0.0,15.8,0.44721359549995815,72.8,7.726577508832742,195.0,7.842193570679061
log,Connectivity,1703.6,11.414902540100819,1703.6,11.414902540100819,212.0,8.455767262643882,233.0,5.24404424085076,0.0,0.0,8.2,0.44721359549995804,47.2,4.8166378315169185,170.0,5.24404424085076
log,Constitution,1665.0,11.510864433221336,1665.0,11.510864433221336,206.2,12.676750372236567,241.4,8.677557259966656,0.6,0.5477225575051662,8.2,3.271085446759225,57.2,6.180614856144977,181.0,8.336666000266534
log,Estate,1762.2,11.300442469213317,1762.2,11.300442469213317,217.8,10.521406750050113,290.8,6.220932405998316,2.2,0.8366600265340756,18.8,1.4832396974191326,101.8,5.540758070878027,229.0,6.48074069840786
log,EstateFP,1597.2,22.264321233758725,1597.2,22.264321233758725,200.4,8.677557259966656,247.8,1.7888543819998295,1.8,0.4472135954999579,9.6,1.949358868961793,74.0,2.1213203435596424,188.8,1.7888543819998295
log,Fragment,1578.6,12.739701723352864,1578.6,12.739701723352864,195.0,8.154753215150045,201.4,9.289779329994877,3.0,0.0,4.0,0.0,43.6,0.8944271909999161,148.8,7.563068160475616
log,InfoContent,1560.8,23.101947969814137,1560.8,23.101947969814137,194.2,12.43784547258889,259.0,1.7320508075688772,0.0,0.0,9.0,0.0,68.4,2.509980079602225,196.0,1.7320508075688772
log,Kappa,1530.6,17.966635745180568,1530.6,17.966635745180568,192.6,11.610340218959992,239.2,5.263078946776306,0.0,0.0,10.8,0.44721359549995804,48.2,5.263078946776308,177.2,5.263078946776306
log,MACCSFP,1756.2,14.446452851824908,1756.2,14.446452851824908,215.6,12.700393694685216,234.6,2.701851217221256,1.0,0.0,8.0,0.7071067811865476,58.0,1.2247448713915887,173.6,2.607680962081058
log,MAP4,2145.4,6.308724118234987,2145.4,6.308724118234987,248.6,5.770615218501403,308.0,5.338539126015651,0.0,0.0,19.0,1.2247448713915887,112.0,4.358898943540674,246.0,4.63680924774785
log,MHFP6,2162.8,6.6858058601787045,2162.8,6.6858058601787045,247.0,4.949747468305832,303.8,11.166915420114904,0.6,0.5477225575051662,16.0,3.7416573867739413,111.6,9.343446901438462,243.2,10.401922899156673
log,MOE,1781.8,16.634301909007203,1781.8,16.634301909007203,218.8,10.568822072492281,289.6,6.387487769068531,1.0,0.0,8.6,1.140175425099138,93.0,5.099019513592786,227.6,6.387487769068523
log,Matrix,1592.4,9.76217188949262,1592.4,9.76217188949262,197.8,11.300442469213321,264.4,11.436782764396638,0.0,0.0,13.6,1.3416407864998738,70.6,9.6591925128346,201.6,11.304866208850063
log,MorganFP,2055.2,14.720733677368147,2055.2,14.720733677368147,240.8,3.8987177379235893,326.4,5.366563145999493,0.6,0.5477225575051661,19.8,1.9235384061671346,128.0,4.301162633521313,263.2,5.019960159204452
log,Path,1564.0,13.114877048604011,1564.0,13.114877048604011,200.4,7.829431652425355,236.4,11.696153213770756,0.0,0.0,13.4,1.3416407864998738,55.6,9.370165420097983,176.0,11.532562594670797
log,PharmacoErGFP,1808.2,24.75277762191547,1808.2,24.75277762191547,218.0,4.8989794855663575,269.4,9.762171889492622,0.2,0.4472135954999579,13.6,2.073644135332772,86.6,7.231873892705817,211.2,9.25742944882649
log,PharmacoPFP,1818.6,10.114346246792243,1818.6,10.114346246792243,219.0,8.514693182963201,269.0,12.389511693363866,0.0,0.0,13.0,2.345207879911715,91.6,9.01665126307988,212.8,11.211601134539169
log,Property,1605.8,15.006665185843245,1605.8,15.006665185843245,200.2,10.232301793829183,243.8,7.049822692805831,0.0,0.0,10.0,1.414213562373095,66.2,7.39594483484024,186.6,7.402702209328699
log,PubChemFP,1873.0,11.575836902790225,1873.0,11.575836902790225,224.6,7.829431652425352,232.8,4.266145801540312,0.0,0.0,8.2,2.4899799195977463,43.8,3.7682887362833544,169.4,4.098780306383843
log,RDkitFP,2131.6,6.730527468185549,2131.6,6.730527468185549,249.4,4.7222875812470395,334.8,5.118593556827887,0.4,0.5477225575051661,19.8,1.6431676725154984,138.4,3.2863353450309982,273.0,4.847679857416335
log,Topology,1612.0,9.669539802906842,1612.0,9.669539802906842,200.2,10.639548862616307,246.2,7.3280283842245035,1.0,0.0,11.6,0.8944271909999157,64.6,6.877499545619758,186.6,6.985699678629191
log,TorsionFP,1953.0,9.137833441248533,1953.0,9.137833441248533,236.2,2.774887385102319,311.0,14.491376746189438,0.0,0.0,18.8,2.2803508501982757,120.2,9.338094023943,249.2,14.481022063376601
rf,AtomPairFP,2148.8,8.167006795638143,2148.8,8.167006795638143,257.8,3.6331804249169912,321.2,3.563705936241091,0.0,0.0,21.0,0.0,119.8,3.6331804249169903,258.8,3.6331804249169943
rf,Autocorr,2148.0,6.4420493633625675,2148.0,6.4420493633625675,258.4,2.9664793948382586,349.4,2.0736441353327697,3.0,0.0,24.8,0.44721359549995787,147.4,1.9493588689617924,286.2,1.9235384061671297
rf,AvalonFP,2147.4,6.0663003552412365,2147.4,6.0663003552412365,256.2,4.658325879540842,345.6,0.5477225575051635,3.0,0.0,25.0,0.0,144.0,0.0,283.0,0.0
rf,Charge,2147.2,7.918333157931675,2147.2,7.918333157931675,256.2,7.049822692805824,320.8,1.3038404810405253,0.4,0.5477225575051661,21.4,0.5477225575051664,118.6,1.1401754250991376,257.6,1.1401754250991336
