model,feat,train_BA,train_BA_std,val_BA,val_BA_std,test_BA,test_BA_std,ext_BA,ext_BA_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
svm,Autocorr,0.8525015506729909,0.0104839562154699,0.8525015506729909,0.0104839562154699,0.798034860426726,0.0491367412547995,0.6653023346683599,0.0344255234252378,0.3666666666666666,0.1152024519629317,0.5110526315789474,0.0360843118588517,0.6196995305164319,0.0410497220448285,0.6626989619377163,0.0357519996819228
rf,Property,0.9882079032107118,0.0012494857235735,0.9882079032107118,0.0012494857235735,0.7700773609660971,0.0410021995905869,0.6642896681970629,0.0143707468003261,0.2222222222222222,0.0,0.4857894736842105,0.0339850871645857,0.5986478873239436,0.0216346209336048,0.6586851211072664,0.0156717230151666
rf,Connectivity,0.9940969563904508,0.0007830243789786,0.9940969563904508,0.0007830243789786,0.7786471958323132,0.0358473198294804,0.6631141936114096,0.0100925694261884,0.4222222222222221,0.074535599249993,0.4971578947368421,0.0089442719099991,0.6244788732394366,0.0042446871130709,0.6611072664359862,0.0087864748778429
fcnn,Estate,0.8072292957875333,0.0250800075375654,0.8072292957875333,0.0250800075375654,0.7506455057750598,0.030757782083256,0.6626062322946176,0.0067203730633686,0.2222222222222222,0.0,0.4567368421052631,0.0249692331455756,0.5990985915492958,0.0047743732061455,0.6590311418685121,0.0066315129402986
log,MHFP6,1.0,0.0,1.0,0.0,0.8125041440479859,0.0241912345735685,0.6624955227768552,0.0355964377571944,0.2777777777777777,0.0878410461157882,0.551578947368421,0.0949609921373025,0.5945352112676057,0.0472127368198339,0.651349480968858,0.0395635060337956
rf,InfoContent,0.9913859066243018,0.0007762729851457,0.9913859066243018,0.0007762729851457,0.7308750826472341,0.0156952721596935,0.6621992120087266,0.0136251843555907,0.4444444444444443,0.0785674201318386,0.53,0.0285256360377352,0.6490046948356808,0.0157640040661355,0.6629757785467127,0.0126735270393165
xgb,RDkitFP,0.9869798630628712,0.0018694111099871,0.9869798630628712,0.0018694111099871,0.8487189232326295,0.0272166487113625,0.6603399433427762,0.0110016527698883,0.0888888888888888,0.074535599249993,0.4503157894736841,0.0089442719099991,0.5824976525821597,0.0133226416830379,0.6536332179930795,0.0128843375514954
DMPNN,MorganFP,0.9807408723204308,0.0096462341015625,0.9807408723204308,0.0096462341015625,0.820467444104384,0.0395677105066793,0.6581941323955586,0.0084410532207144,0.3555555555555555,0.1021040648302979,0.4932631578947368,0.035531232061826,0.6158309859154929,0.0180037382281463,0.65280276816609,0.0109703073691164
svm,Estate,0.7510974180161406,0.0059446210860879,0.7510974180161406,0.0059446210860879,0.7337694986567691,0.0327062744268152,0.6575396437758457,0.0069189100530515,0.4888888888888888,0.0912870929175277,0.5113684210526316,0.0200677522767359,0.5920657276995305,0.0100486484455155,0.6523875432525952,0.0071275237501177
xgb,Charge,0.985975688222046,0.0032588622155874,0.985975688222046,0.0032588622155874,0.8080075646524227,0.0293646143629906,0.6573377617140438,0.0087098232841658,0.1333333333333333,0.1152024519629318,0.4565263157894736,0.0212705823411159,0.5692488262910798,0.0090458166040385,0.644636678200692,0.0087605459523682
rf,MACCSFP,0.9812478954071884,0.0023826340440367,0.9812478954071884,0.0023826340440367,0.8117373060439288,0.0280255032459286,0.6565172088176874,0.0270091217976708,0.5111111111111111,0.0248451997499976,0.4957894736842105,0.0058843894144731,0.630037558685446,0.0213149004128949,0.6541868512110727,0.0257135568691021
xgb,Matrix,0.9848452017213912,0.0028367547863245,0.9848452017213912,0.0028367547863245,0.7821864036529917,0.0209592105472642,0.6540099638565986,0.0512533605109084,0.2666666666666666,0.106863244787063,0.5001052631578947,0.1005424346404785,0.5954647887323944,0.0665688431270008,0.6485813148788927,0.0532032097752903
xgb,Property,0.9745956802032452,0.0030428575375996,0.9745956802032452,0.0030428575375996,0.7698949067169012,0.0265889085966507,0.653840643417668,0.0108027410423952,0.2777777777777778,0.0785674201318385,0.4119999999999999,0.0483056404889438,0.5802816901408451,0.0201854731716083,0.6485121107266436,0.011079150349499
xgb,InfoContent,0.9829494178360104,0.0014691988942885,0.9829494178360104,0.0014691988942885,0.7681482602473979,0.026468812429676,0.6522288430855394,0.0075159656690431,0.311111111111111,0.1278984937024593,0.4353684210526315,0.0399573872742442,0.6041971830985915,0.0150102861717016,0.6510034602076125,0.0066540431164354
svm,PharmacoErGFP,0.7832007920048978,0.0120109967954774,0.7832007920048978,0.0120109967954774,0.7452477250863587,0.0349723327163894,0.6517046009573118,0.0026833227159109,0.2222222222222221,0.1178511301977579,0.4648421052631579,0.0238224038503202,0.5650234741784038,0.0038624832865107,0.6447058823529412,0.0033849957374105
xgb,Connectivity,0.9887992663216274,0.0014206473039587,0.9887992663216274,0.0014206473039587,0.7876148857456411,0.0398568035459337,0.6513789847285989,0.0244409957570056,0.2222222222222221,0.1178511301977579,0.508,0.0522292517354222,0.5853802816901409,0.033368321252838,0.6465051903114187,0.0245608938992342
