model,feat,train_SE,train_SE_std,val_SE,val_SE_std,test_SE,test_SE_std,ext_SE,ext_SE_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
fcnn,RDkitFP,0.9792830657004948,0.0038680989221654845,0.9792830657004948,0.0038680989221654845,0.9560174441792686,0.010844489262068097,0.9631728045325779,0.01889754116731772,0.6,0.27888667551135854,0.9359999999999999,0.045607017003965515,0.9133333333333333,0.04447221354708784,0.9550173010380624,0.023082463778765296
fcnn,Topology,0.9680787190059066,0.01249329852620907,0.9680787190059066,0.01249329852620907,0.9630002448851259,0.022724590112761674,0.9920679886685553,0.008355740058783359,0.4666666666666666,0.18257418583505536,0.9039999999999999,0.08294576541331088,0.9813333333333333,0.01966384160500343,0.9903114186851211,0.010206146161766499
fcnn,TorsionFP,0.9822319866812579,0.007324241374572318,0.9822319866812579,0.007324241374572318,0.9576306824215945,0.007343100855822677,0.971671388101983,0.008259138661253971,0.6666666666666666,0.0,0.96,0.0,0.9333333333333333,0.019436506316151046,0.9653979238754327,0.010088152067206367
log,AtomPairFP,0.9689259850662795,0.0020581476907453027,0.9689259850662795,0.0020581476907453027,0.9114539428413357,0.008884342896337313,0.8821529745042493,0.020681826910418154,0.3333333333333333,0.0,0.6799999999999999,0.04898979485566359,0.7746666666666667,0.05585696017507579,0.8622837370242215,0.025591504618824368
log,Autocorr,0.8880114372632801,0.004594425867488743,0.8880114372632801,0.004594425867488743,0.8683942088344241,0.010471187618957238,0.7308781869688386,0.01952414837406549,0.6,0.2788866755113585,0.544,0.1003992031840891,0.5533333333333333,0.06164414002968977,0.6941176470588235,0.02962471251626845
log,AvalonFP,0.9456242752616527,0.002368310220719605,0.9456242752616527,0.002368310220719605,0.89044221264834,0.01971414591863968,0.7314447592067989,0.019870456562889716,0.9333333333333333,0.149071198499986,0.584,0.04560701700396548,0.4746666666666666,0.045558265502053025,0.6837370242214533,0.023160139142811835
log,Charge,0.7723318229245543,0.006881860624633208,0.7723318229245543,0.006881860624633208,0.7884668955518864,0.02424275887142096,0.7212464589235127,0.021350077825968025,0.0,0.0,0.632,0.017888543819998333,0.48533333333333334,0.051510516725551674,0.6747404844290658,0.027135617891623023
log,Connectivity,0.7876857775010964,0.0052948401864069275,0.7876857775010964,0.0052948401864069275,0.7885941971905133,0.026382558674182648,0.660056657223796,0.014855649407509238,0.0,0.0,0.328,0.0178885438199983,0.31466666666666665,0.03211091887677945,0.5882352941176471,0.018145481802251756
log,Constitution,0.769837670525521,0.0052002918026923615,0.769837670525521,0.0052002918026923615,0.7667531629599287,0.03833350380823483,0.6838526912181303,0.024582315184041505,0.2,0.18257418583505536,0.328,0.13084341787036902,0.3813333333333333,0.04120409904096652,0.6262975778546712,0.028846595156631634
log,Estate,0.8147815820135532,0.005474054163471528,0.8147815820135532,0.005474054163471528,0.810069465793941,0.031984482133459446,0.8237960339943342,0.017623037977332362,0.7333333333333333,0.2788866755113585,0.752,0.05932958789676528,0.6786666666666668,0.03693838713918688,0.7923875432525952,0.022424708298989106
log,EstateFP,0.7384835450683773,0.009697976606065847,0.7384835450683773,0.009697976606065847,0.7453185982481265,0.02317156723788348,0.7019830028328611,0.005067576152974007,0.6,0.14907119849998596,0.384,0.07797435475847173,0.49333333333333335,0.014142135623730961,0.6532871972318339,0.006189807550172452
log,Fragment,0.7298841096581254,0.004893434692427786,0.7298841096581254,0.004893434692427786,0.7254211979955347,0.02775136286966809,0.5705382436260623,0.026316655325764545,1.0,0.0,0.16,0.0,0.2906666666666667,0.005962847939999436,0.514878892733564,0.026169786022407045
log,InfoContent,0.7216516382993133,0.009953173571928176,0.7216516382993133,0.009953173571928176,0.7222774195716176,0.0415472252046702,0.7337110481586402,0.004906659511526539,0.0,0.0,0.36,0.0,0.45600000000000007,0.016733200530681513,0.6782006920415224,0.005993255389511665
log,Kappa,0.707683842636048,0.006834141157303519,0.707683842636048,0.006834141157303519,0.7162100357200931,0.03548871245269819,0.6776203966005666,0.014909572087185003,0.0,0.0,0.43200000000000005,0.0178885438199983,0.3213333333333333,0.035087192978508715,0.6131487889273357,0.018211345836596234
log,MACCSFP,0.8120118543305439,0.007520626430187202,0.8120118543305439,0.007520626430187202,0.8018173741017272,0.03992467145162538,0.6645892351274788,0.00765396945388452,0.3333333333333333,0.0,0.32,0.028284271247461888,0.3866666666666666,0.008164965809277263,0.6006920415224913,0.009023117515851399
log,MAP4,0.991956033837156,0.0014033460410182218,0.991956033837156,0.0014033460410182218,0.9248377131098614,0.016192585472788238,0.8725212464589236,0.015123340300327628,0.0,0.0,0.76,0.04898979485566356,0.7466666666666667,0.029059326290271168,0.8512110726643598,0.016044322656566974
log,MHFP6,1.0,0.0,1.0,0.0,0.9189238725115562,0.01482912421445699,0.8606232294617563,0.031634321303441654,0.2,0.18257418583505536,0.64,0.1496662954709576,0.744,0.06228964600958972,0.8415224913494809,0.035992812799850046
log,MOE,0.8238326153764115,0.006202384905164896,0.8238326153764115,0.006202384905164896,0.8137499240260417,0.030853800013781903,0.8203966005665724,0.018094866201327296,0.3333333333333333,0.0,0.344,0.045607017003965515,0.6199999999999999,0.03399346342395188,0.7875432525951557,0.022102033803005277
log,Matrix,0.7362709205979053,0.0045763012933010645,0.7362709205979053,0.0045763012933010645,0.735821291053744,0.040020692415596956,0.7490084985835694,0.03239881802945221,0.0,0.0,0.5439999999999999,0.05366563145999498,0.4706666666666667,0.06439461675223068,0.6975778546712803,0.03911718411366802
log,MorganFP,0.9502416999842666,0.004330749567394298,0.9502416999842666,0.004330749567394298,0.8958406996659379,0.008118053090563779,0.9246458923512748,0.015202728458922121,0.2,0.18257418583505536,0.792,0.07694153624668534,0.8533333333333333,0.028674417556808766,0.9107266435986159,0.01737010435710887
log,Path,0.723132292390339,0.004881726425009996,0.723132292390339,0.004881726425009996,0.745475815941696,0.025313181129490648,0.6696883852691219,0.03313357850926562,0.0,0.0,0.536,0.05366563145999497,0.3706666666666666,0.06246776946731987,0.6089965397923875,0.03990506088121384
log,PharmacoErGFP,0.8360415979471341,0.010717073422767134,0.8360415979471341,0.010717073422767134,0.8111073177651175,0.0197723815998813,0.763172804532578,0.02765487787391681,0.06666666666666667,0.14907119849998596,0.544,0.08294576541331092,0.5773333333333334,0.048212492618038776,0.730795847750865,0.03203262785061072
log,PharmacoPFP,0.8408586551197879,0.004893069378415819,0.8408586551197879,0.004893069378415819,0.8146484625616622,0.026872469424338012,0.7620396600566572,0.03509776683672484,0.0,0.0,0.52,0.09380831519646858,0.6106666666666667,0.06011100842053254,0.7363321799307958,0.038794467593561144
log,Property,0.7424607070975291,0.006141935000191399,0.7424607070975291,0.006141935000191399,0.7445682617521359,0.030869283547426934,0.6906515580736544,0.01997116910143292,0.0,0.0,0.4,0.05656854249492379,0.4413333333333333,0.04930629889893494,0.6456747404844291,0.025614886537469538
log,PubChemFP,0.8660062656186345,0.004448290201729638,0.8660062656186345,0.004448290201729638,0.8355007842653256,0.024064622029986136,0.6594900849858357,0.01208539887121899,0.0,0.0,0.32799999999999996,0.09959919678390983,0.292,0.025121924908555682,0.586159169550173,0.014182630817937142
log,RDkitFP,0.9855746291933942,0.0011457725500810872,0.9855746291933942,0.0011457725500810872,0.9278045510937318,0.009209017970922165,0.948441926345609,0.014500265033506685,0.13333333333333333,0.18257418583505536,0.792,0.06572670690061996,0.9226666666666666,0.0219089023002066,0.9446366782006921,0.016773978745385224
log,Topology,0.745330408118965,0.003897629394678047,0.745330408118965,0.003897629394678047,0.7446681050293783,0.03510022725384903,0.6974504249291785,0.020759287207434834,0.3333333333333333,0.0,0.46399999999999997,0.03577708763999661,0.43066666666666664,0.04584999697079841,0.6456747404844291,0.024171971206329405
log,TorsionFP,0.9029966211562407,0.003345356096370081,0.9029966211562407,0.003345356096370081,0.878787976391622,0.009879986946145806,0.8810198300283286,0.04105205877107491,0.0,0.0,0.752,0.09121403400793107,0.8013333333333333,0.06225396015962006,0.8622837370242215,0.05010734277984979
rf,AtomPairFP,0.9935266935694449,0.0020689922964011905,0.9935266935694449,0.0020689922964011905,0.959106523912879,0.008091423695778095,0.909915014164306,0.010095484238643364,0.0,0.0,0.8400000000000001,0.0,0.7986666666666666,0.024221202832779867,0.8955017301038062,0.012571558563726597
rf,Autocorr,0.9931584189223142,0.0017063447495289364,0.9931584189223142,0.0017063447495289364,0.9613515313418057,0.005834009920937068,0.9898016997167138,0.005874345992444093,1.0,0.0,0.992,0.017888543819998333,0.9826666666666668,0.012995725793078634,0.9903114186851211,0.006655842235872343
rf,AvalonFP,0.992881151267032,0.0015113068615814841,0.992881151267032,0.0015113068615814841,0.9531156987747273,0.009692615451881879,0.9790368271954673,0.0015516219759352172,1.0,0.0,1.0,0.0,0.96,0.0,0.9792387543252596,0.0
rf,Charge,0.9927862846529324,0.0013759045413180898,0.9927862846529324,0.0013759045413180898,0.9530283203458586,0.016865730476722317,0.9087818696883853,0.003693599096432038,0.13333333333333333,0.18257418583505536,0.8560000000000001,0.021908902300206663,0.7906666666666666,0.007601169500660917,0.8913494809688581,0.003945243685464124
rf,Connectivity,0.9938049435054669,0.0014813191810386969,0.9938049435054669,0.0014813191810386969,0.9514632228334576,0.01846330286132619,0.9745042492917848,0.00200313535746893,0.7333333333333333,0.14907119849998599,0.968,0.01788854381999834,0.9560000000000001,0.0101105005920688,0.9716262975778547,0.002895017392851517
rf,Constitution,0.9693904941095592,0.0012660754651409897,0.9693904941095592,0.0012660754651409897,0.9345192777461783,0.018783833488521844,0.9733711048158641,0.00253378807648694,0.13333333333333333,0.18257418583505536,0.8880000000000001,0.03346640106136305,0.944,0.008944271909999212,0.9709342560553633,0.004642355662629355
rf,Estate,0.982895165217489,0.001702266265239246,0.982895165217489,0.001702266265239246,0.9456932171101637,0.01530616498006442,0.9733711048158641,0.005522263084877572,0.6666666666666666,0.0,0.9280000000000002,0.017888543819998277,0.944,0.011155467020454371,0.9709342560553633,0.005790034785702966
rf,EstateFP,0.8468627651672517,0.009195727626278198,0.8468627651672517,0.009195727626278198,0.8079827627305128,0.04077780235788248,0.7444759206798868,0.030339401100261305,0.6666666666666666,0.0,0.552,0.017888543819998333,0.5426666666666666,0.05629288488689209,0.6955017301038062,0.03620839020148153
rf,Fragment,0.9483085194800944,0.00440470266514667,0.9483085194800944,0.00440470266514667,0.8993549980812212,0.03198785260972647,0.8668555240793202,0.010599595996526748,0.7333333333333333,0.14907119849998599,0.736,0.08294576541331086,0.7053333333333333,0.022310934040908687,0.8449826989619377,0.012571558563726654
rf,InfoContent,0.9887189048966221,0.0016164661934096611,0.9887189048966221,0.0016164661934096611,0.9322025462468492,0.009024223454862557,0.9818696883852691,0.0032299587113290376,0.6666666666666666,0.0,0.96,0.0,0.9853333333333334,0.005577733510227143,0.9847750865051903,0.003945243685464054
rf,Kappa,0.9724362263882813,0.0037122972932664704,0.9724362263882813,0.0037122972932664704,0.9113218800904297,0.017198693870048416,0.9331444759206798,0.011782795661804684,0.06666666666666667,0.14907119849998596,0.808,0.033466401061363005,0.8626666666666667,0.02851899951494323,0.9252595155709343,0.015201302862622033
rf,MACCSFP,0.9836305131126354,0.002022945361469046,0.9836305131126354,0.002022945361469046,0.9434681185813639,0.018234698000558512,0.9728045325779038,0.005874345992444099,1.0,0.0,0.96,0.0,0.9586666666666668,0.014452988925785986,0.9695501730103807,0.006655842235872447
rf,MAP4,0.9932497294059803,0.0013315560939824566,0.9932497294059803,0.0013315560939824566,0.9664973980839019,0.011288873724059734,0.9807365439093484,0.007601364229461102,0.26666666666666666,0.14907119849998596,0.9120000000000001,0.017888543819998333,0.96,0.020548046676563302,0.9792387543252594,0.010665076129704087
rf,MHFP6,1.0,0.0,1.0,0.0,0.9955329637159546,0.004052342330698506,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
rf,MOE,0.9938049435054669,0.0014813191810386969,0.9938049435054669,0.0014813191810386969,0.9560784683705869,0.016134986998806493,0.975070821529745,0.001266894038243494,0.6,0.14907119849998596,0.9199999999999999,0.02828427124746189,0.9466666666666667,0.004714045207910365,0.9723183391003459,0.002446736267081525
rf,Matrix,0.987332236218293,0.0022745766435171865,0.987332236218293,0.0022745766435171865,0.92994089295858,0.013347091416442636,0.9433427762039661,0.01639636955069434,0.3333333333333333,0.0,0.8560000000000001,0.03577708763999663,0.892,0.04066120181860507,0.9370242214532872,0.021104430009656595
rf,MorganFP,0.993620271298634,0.0012791316385654123,0.993620271298634,0.0012791316385654123,0.957568965506008,0.009378700717881844,0.9733711048158641,0.008639065542196555,0.06666666666666667,0.14907119849998596,0.8800000000000001,0.028284271247461915,0.9453333333333334,0.017256238807393118,0.970242214532872,0.010552215004828286
rf,Path,0.9871455025677547,0.002158419884474987,0.9871455025677547,0.002158419884474987,0.9351321367469818,0.02350346859351938,0.9728045325779038,0.007110425154680582,0.4,0.14907119849998596,0.9280000000000002,0.017888543819998288,0.9533333333333334,0.01563471919941148,0.9695501730103807,0.010206146161766542
rf,PharmacoErGFP,0.9214907567378914,0.00568128763587732,0.9214907567378914,0.00568128763587732,0.8869307905396344,0.013262240191533799,0.8889518413597735,0.003693599096432121,0.2,0.18257418583505536,0.8240000000000001,0.0219089023002066,0.768,0.007302967433402204,0.8692041522491349,0.003790467525987288
rf,PharmacoPFP,0.9440626701101387,0.009925321481203744,0.9440626701101387,0.009925321481203744,0.8972602708647294,0.019595887255842485,0.9144475920679888,0.02260971097930302,0.0,0.0,0.784,0.021908902300206666,0.8506666666666668,0.0484424056655599,0.9100346020761247,0.0262383233358186
rf,Property,0.9863148970808959,0.0015056072922280178,0.9863148970808959,0.0015056072922280178,0.9231525574300296,0.023901787320202587,0.9308781869688385,0.012605436521975719,0.3333333333333333,0.0,0.8400000000000001,0.0692820323027551,0.8480000000000001,0.03313272970610448,0.9197231833910035,0.017879599560918825
rf,PubChemFP,0.9856690646032229,0.002199458151530277,0.9856690646032229,0.002199458151530277,0.9427188615438485,0.015593706785109384,0.9694050991501417,0.02225193981490706,0.5333333333333333,0.18257418583505536,0.944,0.02190890230020663,0.9386666666666666,0.05064034403955457,0.9653979238754324,0.02713561789162305
