model,feat,train_cohen_kappa,train_cohen_kappa_std,val_cohen_kappa,val_cohen_kappa_std,test_cohen_kappa,test_cohen_kappa_std,ext_cohen_kappa,ext_cohen_kappa_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
xgb,PharmacoErGFP,0.7973394797552006,0.0052925867814817,0.7973394797552006,0.0052925867814817,0.6829768855772761,0.0412895620009121,0.364676655475518,0.0440999901632346,-0.1088095238095238,0.1083385660693328,0.0607255418388967,0.1190029469190647,0.2057060961591708,0.0491016544471911,0.3512473848885628,0.0443461612698013
rf,Constitution,0.9231873496623187,0.0032376845239434,0.9231873496623187,0.0032376845239434,0.6334997063549622,0.0482900479782252,0.3623574126987227,0.048159133973486,-0.4761904761904761,0.1304101327393253,-0.0653427874287559,0.0207069613737912,0.2259280637879454,0.0662112552810412,0.3519964622238571,0.0516811929432308
svm,Autocorr,0.766245751097412,0.0163372202283154,0.766245751097412,0.0163372202283154,0.6514160399843354,0.0801600291287123,0.3590678922105225,0.0714487732365536,-0.1736748545572075,0.1455937636691492,0.0205157707379088,0.0642276848784332,0.2588364041221065,0.0862206683160372,0.3510059348167299,0.0732986315360174
xgb,RDkitFP,0.9800181933907708,0.0023480615456897,0.9800181933907708,0.0023480615456897,0.7245643818514929,0.0426305635283279,0.3582395999601596,0.0203425462357976,-0.5238095238095237,0.10647942749999,-0.0814581632357947,0.0148133652135584,0.1783992053908876,0.030105025220538,0.3416361642278877,0.0262106055586253
DMPNN,,0.8465936202270339,0.0219603628454687,0.8465936202270339,0.0219603628454687,0.700624558432601,0.0590743909826782,0.3580544314735531,0.057914430823644,0.130672268907563,0.0927723813681713,0.095256892047125,0.0462922225759591,0.236923775813486,0.0609803125236266,0.3411535948131814,0.0591212863741996
fcnn,RDkitFP,0.8001021778443065,0.0380694238140344,0.8001021778443065,0.0380694238140344,0.6706933239719746,0.0761424658864282,0.3522836644265914,0.0285790686738198,-0.1715686274509803,0.1656452989127765,-0.0220909413366363,0.029626531200074,0.1959472560211297,0.0119159627142939,0.331768453875211,0.0276601276538093
log,Charge,0.4101016237392738,0.0144622755859421,0.4101016237392738,0.0144622755859421,0.431666699610861,0.0341044170187608,0.3519059688457945,0.0253155134852991,-0.3575757575757575,0.0542077085454495,0.3054660275486015,0.0587258654309867,0.2057990072320032,0.0330555811761672,0.3315118480850591,0.0226468127392225
fcnn,MAP4,0.903953693962716,0.0287343276902539,0.903953693962716,0.0287343276902539,0.6824412896350637,0.0666130163034482,0.3518082070473795,0.1056718401503002,-0.2333333333333333,0.0912870929175275,0.2017177077093387,0.140416449977469,0.2242871612716285,0.1168440535676639,0.3413396233919873,0.10500667270616
fcnn,Connectivity,0.4655629697832013,0.0885319065776109,0.4655629697832013,0.0885319065776109,0.4493379583657259,0.1178006882354156,0.3507839502163296,0.0344505875392254,-0.2506410256410256,0.0869647619584231,-0.0221937033826414,0.0252768664394316,0.2076279022476181,0.0339434320592406,0.3453659587673331,0.0367285890478381
log,Estate,0.5460486771401202,0.0152926345373586,0.5460486771401202,0.0152926345373586,0.5262880495927836,0.0450070010576421,0.3506754616881286,0.0254075741540562,-0.0799019607843137,0.1799477021509845,-0.0053348562639505,0.0450472403295081,0.190298074723121,0.0414105340916123,0.3358966903164226,0.0299918733404827
xgb,InfoContent,0.9713204012097328,0.0025783081080956,0.9713204012097328,0.0025783081080956,0.5596710696016395,0.0539613054819695,0.3496743268586288,0.023905794647472,-0.258974358974359,0.1818525459127912,-0.1080115735515125,0.067017419738912,0.2339429733957242,0.0385106726578458,0.3466039669569395,0.0254570431748073
xgb,Matrix,0.9677402095347002,0.0048658311475148,0.9677402095347002,0.0048658311475148,0.5858792983035688,0.0334778264405626,0.345518105191041,0.1102767687109673,-0.2836580086580086,0.1122887001374465,0.0058746302292922,0.176260664464679,0.2055626685620206,0.1392780623521169,0.3301587958741825,0.1138806877607065
xgb,Connectivity,0.9823795674865338,0.0025828921175043,0.9823795674865338,0.0025828921175043,0.6152613630454422,0.0589414688998684,0.3454302726365371,0.0493417482522516,-0.3732600732600732,0.1561531200817628,0.0148845613889696,0.0891448408826318,0.186739525000796,0.0716487272909068,0.3308552068283567,0.0505517773373724
svm,Estate,0.5584244255632005,0.0100653558527655,0.5584244255632005,0.0100653558527655,0.5250267723759401,0.0639256941580884,0.3452740613749606,0.0140084382647302,-0.0147058823529411,0.1006842936590378,0.0186557418625707,0.0329242210702115,0.1950939616021142,0.0207000139176441,0.3296871686225018,0.0146632295564728
xgb,Constitution,0.9138977812917956,0.0055345256197258,0.9138977812917956,0.0055345256197258,0.6332288064156855,0.0315647860782761,0.345085463122148,0.0268309654169501,-0.3963369963369963,0.1311897487526489,-0.0358007659317376,0.0296700110286872,0.2134917791887217,0.0278643467304572,0.3379127995963518,0.0248941729778736
xgb,Charge,0.977055462925166,0.0039658716191468,0.977055462925166,0.0039658716191468,0.6507129805292535,0.0450518240642855,0.3366841801735337,0.0205208937290977,-0.4901098901098901,0.1459099013490082,-0.0728703779445786,0.0355006235085604,0.1437530826958471,0.0201056986412035,0.308158372505944,0.0218286186845
xgb,Property,0.957381993978394,0.0028330997525497,0.957381993978394,0.0028330997525497,0.5638176366297312,0.0383709284092166,0.3349977517504314,0.0259732389618172,-0.2711538461538461,0.0929929161052569,-0.1549327694490668,0.087235456596607,0.1712709751935679,0.046497920879325,0.3225667436439128,0.0308126711380188
svm,Connectivity,0.4394608760241271,0.0243204392653775,0.4394608760241271,0.0243204392653775,0.393327289885345,0.0656907095009057,0.3282331859772086,0.0731888258898869,-0.0027972027972028,0.0594611235509966,0.1086640702928791,0.107672714531647,0.2031014499415738,0.0870165270333092,0.3122964912734376,0.0752923735301652
fcnn,MACCSFP,0.6628230255733065,0.0086458894749131,0.6628230255733065,0.0086458894749131,0.5590189904379168,0.1067053184477296,0.3242025605074248,0.0333379550022618,-0.0514705882352941,0.1006842936590378,-0.0539686857827313,0.0557703925979254,0.1942723950038794,0.0578758445595442,0.3022865865589227,0.0391138806952267
log,MHFP6,1.0,0.0,1.0,0.0,0.6276575341347499,0.0346300517192246,0.3230751182415958,0.077825939547098,-0.3275391275391276,0.1439331777347515,0.0940428032259827,0.1767265694946122,0.1916911522447084,0.0987837596005395,0.3043031103862941,0.0850671376157266
DMPNN,EstateFP,0.863480480493313,0.0559874327524935,0.863480480493313,0.0559874327524935,0.7119322780092778,0.06152890456415,0.3229733452330035,0.0755855480980489,-0.2269607843137255,0.1121229400075497,0.0430281418250029,0.0306911514382375,0.1742954327514598,0.0664199173534035,0.3068537863528486,0.0700731983075919
log,Connectivity,0.4664195331564882,0.0060023100842967,0.4664195331564882,0.0060023100842967,0.4781009217788631,0.0509764180959252,0.3215318356763749,0.0189365125005808,-0.3999999999999999,0.0,0.040071424939507,0.0184213419229888,0.1071832091145973,0.02665647149045,0.2863094162765782,0.0178772755587563
xgb,AvalonFP,0.963843206566358,0.004479454272945,0.963843206566358,0.004479454272945,0.7184099517353306,0.0478297199686377,0.3196403177613516,0.0543194496776811,-0.2499999999999999,0.1141088661469095,-0.0753608390263681,0.0758401419049741,0.127512936244257,0.0450058643996903,0.3056653696038328,0.053236592911215
xgb,EstateFP,0.5712649029593491,0.0107872835470101,0.5712649029593491,0.0107872835470101,0.5103174914994378,0.0516809341399637,0.3195891684853155,0.032223405594993,-0.1401960784313725,0.140257339556617,-0.0731562979823316,0.0664918674275274,0.1609456773686107,0.0476955787073577,0.3034199406531613,0.0337008879044149
