model,feat,train_p_stat,train_p_stat_std,val_p_stat,val_p_stat_std,test_p_stat,test_p_stat_std,ext_p_stat,ext_p_stat_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
fcnn,Matrix,7.5143224720693e-124,1.680253585240122e-123,7.5143224720693e-124,1.680253585240122e-123,3.078258230275551e-20,5.0499751152141336e-20,4.068719795681697e-06,9.096030117439696e-06,0.1123879779110472,0.0267457544278926,0.0972862387100216,0.0778072995709669,0.4552264941105218,0.3860982449819685,0.0002078952109102,0.0004637677477471
svm,PubChemFP,0.0,0.0,0.0,0.0,2.4695478237484406e-41,5.521335575462554e-41,2.4285065203196047e-06,4.223644039278836e-06,0.003320105025592,0.0023351476017041,0.0008557493788886,0.0004744692552211,0.2712102592823383,0.1346069917202215,0.0003821639492556,0.0005778445554702
svm,Topology,1.1793382090677651e-161,2.6393797768342425e-161,1.1793382090677651e-161,2.6393797768342425e-161,1.900480262439903e-18,4.159611816563884e-18,2.04658448100095e-06,4.214962760368056e-06,0.0317693089891293,0.015312625159883,0.0061562473874864,0.003791689006047,0.4849956122698787,0.1401703372938424,0.0001165511399531,0.0002333827179985
fcnn,AvalonFP,0.0,0.0,0.0,0.0,3.7427267673622795e-49,8.368991473029272e-49,1.7197152521650106e-06,2.9089836711231075e-06,0.4807288346999361,0.1930697194546145,0.0031314028580609,0.0024748826648581,0.3907130150941659,0.2429735960337425,0.0001178891621432,0.0001885718997151
DMPNN,PubChemFP,0.0,0.0,0.0,0.0,1.058053354924084e-38,2.2305723250284238e-38,1.6780871123546598e-06,3.4858649254831494e-06,0.0794999937517564,0.0187347913517323,0.1967730998581201,0.2410480754882484,0.4075945934216765,0.3231866014674368,0.0002053801837796,0.0004190010732857
svm,RDkitFP,0.0,0.0,0.0,0.0,1.801682842780472e-40,4.023131970001093e-40,1.6676533248109674e-06,3.585456150918365e-06,0.0327054396205962,0.0234843073533307,0.0120461861293451,0.0190092860898941,0.232185940027232,0.3865606818737591,8.228174972286365e-05,0.0001747486660487
fcnn,EstateFP,3.8684273576788416e-208,0.0,3.8684273576788416e-208,0.0,1.723617327354863e-19,3.852947265078165e-19,1.3244984909306084e-06,2.657062143004196e-06,0.3638671507317786,0.0796982245390581,0.0006504500301183,0.0007671560806759,0.6993362062429689,0.1988079366401075,0.0002037348458306,0.000368681659909
svm,Constitution,1.1904142360084174e-236,0.0,1.1904142360084174e-236,0.0,8.552286084785956e-24,1.9121066619970232e-23,4.520424928588494e-07,8.603681102054431e-07,0.2095312678129587,0.0517471454775468,0.0859516103932174,0.0591908701571921,0.6385155860945119,0.2508062891293809,0.0001364985748976,0.0002320335054522
svm,MACCSFP,4.93859e-318,0.0,4.93859e-318,0.0,7.248510035622738e-29,1.3121911800111367e-28,3.3896156578917776e-07,4.776778559082326e-07,0.5482080565000006,0.1154508539713916,0.0081676680318153,0.0057179395003406,0.7305267294769352,0.166061320199816,0.0001717439433391,0.000198883108792
xgb,Path,0.0,0.0,0.0,0.0,1.2154536281058369e-30,2.685373924825897e-30,1.3841825186693658e-07,2.513986344266843e-07,0.3281057170672491,0.2567447161526512,0.425295552181923,0.3173851773843416,0.2081030665100858,0.2496756274911203,2.6593099932924228e-05,4.241726348916638e-05
rf,Kappa,0.0,0.0,0.0,0.0,2.603389771095898e-26,5.820895629928474e-26,7.966643752888449e-08,1.5263891069795468e-07,0.0004690390545893,0.0007751891869467,0.0239222007339496,0.0180715905323763,0.6248585595293316,0.2761585071124107,3.606590440218201e-05,7.276977573541263e-05
fcnn,PubChemFP,0.0,0.0,0.0,0.0,1.536508948860249e-42,3.435577787432403e-42,5.590869406692349e-08,1.1688363042567934e-07,0.0947733613214389,0.0222041817351136,0.0033701643093829,0.0040622039659008,0.3963406167886859,0.2543296428711376,3.267634214159194e-05,6.221155997586962e-05
xgb,EstateFP,0.0,0.0,0.0,0.0,3.418187320192604e-27,7.643270965901623e-27,2.8238423222736105e-08,3.9334433313309476e-08,0.2169365647262434,0.0866483906371606,0.0078137879225953,0.0122618607647043,0.3619416787467256,0.3155295222634343,1.291077348393692e-05,1.8472676438129247e-05
DMPNN,AvalonFP,0.0,0.0,0.0,0.0,3.3036514770770775e-50,6.964708836336472e-50,2.0432612050215912e-08,4.2190331920728796e-08,0.3053322017946011,0.1460952144844475,0.027394418980054,0.0124068236627229,0.441563757445391,0.3387477419442473,2.390520377950336e-06,4.786441348025201e-06
log,Constitution,8.48502229159844e-206,0.0,8.48502229159844e-206,0.0,3.7421454292794575e-21,8.26092050745788e-21,1.4499816318192397e-08,3.227156734875108e-08,0.0389212181420742,0.0270444503436359,0.086481216618462,0.0652172704816317,0.6458624539726902,0.3618445411199041,1.6382157895200444e-05,3.615545822730951e-05
log,Topology,5.962631293407833e-152,1.3332831127348858e-151,5.962631293407833e-152,1.3332831127348858e-151,8.313989380722213e-18,1.842178969886944e-17,1.2046176377583472e-08,1.4329193187795922e-08,0.0170325810231536,0.0042643689663279,0.0008542469887598,0.0006162870636788,0.3339515830891423,0.1524000440393825,8.717988389124697e-06,9.263270689972306e-06
svm,Charge,2.0318670563643207e-152,4.5433928592729735e-152,2.0318670563643207e-152,4.5433928592729735e-152,3.422872129355684e-19,4.637961499339035e-19,7.54299174488918e-09,9.099414655350709e-09,0.065901479880626,0.0536226079061719,0.6291303144410723,0.34810433048587,0.1038421496458385,0.1022858418870402,2.047901198868289e-06,2.50736017816883e-06
svm,MHFP6,0.0,0.0,0.0,0.0,3.5960467930647594e-36,8.040943088246276e-36,7.290018047878111e-09,1.6299140946771948e-08,0.4600169605021821,0.3321865612178354,0.513314538538329,0.4248639810656812,0.0498279151163054,0.0837446221748242,1.7224617857308338e-06,3.849943912751139e-06
fcnn,TorsionFP,0.0,0.0,0.0,0.0,2.509649343494542e-50,5.611570947628224e-50,1.356409274015409e-09,2.840862030341036e-09,0.1459425851490631,0.1050072960341946,0.510111595412886,0.2893001050070094,0.1404637988261786,0.1821264424081366,3.83316148864416e-07,7.11326278025152e-07
log,Property,2.3444432124989772e-144,5.242334356208192e-144,2.3444432124989772e-144,5.242334356208192e-144,8.527589119555656e-18,1.8497877588346596e-17,1.2621938968337958e-09,2.4393718610171543e-09,0.0048947595762583,0.0005343236244383,5.939750620451254e-05,3.843052147319518e-05,0.7694518831333672,0.2657694849727881,5.775889338713178e-07,1.0194544955315078e-06
log,MHFP6,0.0,0.0,0.0,0.0,7.92605255517862e-42,1.7613037194514482e-41,6.798948082526323e-10,1.517342011317013e-09,0.2569756476133072,0.2321152721131094,0.4615900445809801,0.4719798701042745,0.0249889719694549,0.0375368972398796,2.001827050029534e-07,4.433086174282184e-07
xgb,PharmacoPFP,0.0,0.0,0.0,0.0,1.6706466342142608e-45,2.2930540776538848e-45,3.9226197688391807e-10,8.77124199155407e-10,0.0181253355621176,0.0071553375494731,0.5575044850215645,0.4365177389247167,0.0210399461112239,0.045135362513269,1.0827266263117836e-07,2.421043123996684e-07
svm,InfoContent,9.874918047951676e-133,2.2080988027459478e-132,9.874918047951676e-133,2.2080988027459478e-132,1.075090249386135e-17,2.167299880021805e-17,3.621374191228501e-10,5.731891051009362e-10,0.0149331178297514,0.0083105450255482,0.0649526534514098,0.0399587618046154,0.0724596547524516,0.0504879784202335,8.484068368399002e-08,1.211298600709606e-07
fcnn,Kappa,4.646354159147066e-115,1.038336497913804e-114,4.646354159147066e-115,1.038336497913804e-114,2.971740342954285e-16,5.075526670265449e-16,1.1155958159817147e-10,1.1973275844600936e-10,0.0394363045255653,0.0105851649223805,0.0051261749004238,0.0043571047592156,0.4813815234194762,0.39636107162968,1.5068980387473909e-07,1.5315873441102395e-07
log,RDkitFP,0.0,0.0,0.0,0.0,6.405973681659185e-48,1.4324165909742129e-47,8.816103345908411e-11,1.9628503210627503e-10,0.0189828847627273,0.0276388499501123,0.0147723382931482,0.0161282662462688,0.0087273830364355,0.0189859699067008,2.3505994110843023e-08,5.1847585152212614e-08
xgb,Fragment,0.0,0.0,0.0,0.0,1.5011457183428832e-30,3.3566638679574295e-30,4.755964082981905e-11,5.843127801410715e-11,0.2644488680636268,0.0479338331135857,0.0642337338989539,0.0397239653607407,0.1917901878347711,0.10929321290857,1.8173709401437843e-08,1.98564683729527e-08
DMPNN,MACCSFP,0.0,0.0,0.0,0.0,6.793978969175348e-48,1.4322812650520463e-47,4.2116503599867015e-11,8.878938563883921e-11,0.0542330092890466,0.0465881107931122,0.4671828792842863,0.4378664857497609,0.1109179622928422,0.2336488951539324,7.907641366223467e-08,1.6670771757947164e-07
fcnn,Charge,4.764167521521542e-133,1.065300243431886e-132,4.764167521521542e-133,1.065300243431886e-132,1.3545574436080355e-16,3.0288825215610323e-16,3.493020640624995e-11,3.6655086214197676e-11,0.0207712043298945,0.0249866256593951,0.1069375353998259,0.0407934023322862,0.0907525747344203,0.0567619065782429,4.465988281207248e-08,4.1149337865835734e-08
log,Path,3.0683721123121316e-126,6.860975175688624e-126,3.0683721123121316e-126,6.860975175688624e-126,4.3552393688944985e-15,9.446063050272421e-15,3.0717726638022886e-11,6.047891223893192e-11,0.0527659423148949,0.0071821645665926,0.0532339151215298,0.0607217130065412,0.274331975853444,0.242499941052871,1.3128039455410364e-07,2.371634157151521e-07
log,Kappa,1.5593324821897027e-101,3.485895085810873e-101,1.5593324821897027e-101,3.485895085810873e-101,4.9734340525070603e-14,6.690932169873903e-14,3.0537055026660546e-11,5.942061954099905e-11,0.0125942548953701,0.001935147392672,0.0101313562708521,0.0054605414674919,0.6430570308118979,0.201779698244025,5.0789734143348754e-08,9.120254842076997e-08
fcnn,PharmacoPFP,0.0,0.0,0.0,0.0,1.1246269100800807e-41,2.5147400029188527e-41,5.027515404306769e-12,1.1241865589692306e-11,0.0009505250729016,0.0003034937865538,0.5565409091970321,0.3330061986454187,0.083270981521011,0.1837417412088755,1.1215743211879632e-08,2.507914754034668e-08
fcnn,Topology,2.0534342306650152e-119,4.22471991468204e-119,2.0534342306650152e-119,4.22471991468204e-119,7.800828181740566e-16,1.1521845890798173e-15,2.026098345598184e-12,4.5295462994929844e-12,0.0786235207405492,0.0374866782372737,0.4896335332445874,0.363104950235261,0.4149780428603122,0.2466212888236407,4.692862522493952e-09,1.0477222918121836e-08
xgb,AvalonFP,0.0,0.0,0.0,0.0,9.990025452111716e-59,1.79365885586175e-58,1.5385509772560658e-12,3.440168722206203e-12,0.1048905165922681,0.0577738458489267,0.0756240326101113,0.0733906447357272,0.0383058660296827,0.0606271754418815,8.441104131550027e-10,1.8866646411744382e-09
fcnn,Path,1.2251481428016758e-87,1.8371711394518515e-87,1.2251481428016758e-87,1.8371711394518515e-87,1.925087151830919e-09,4.274497952473747e-09,5.958763746353953e-13,1.2767759260039196e-12,0.042900697551614,0.0199169379927731,0.324952683508163,0.1318909507869442,0.3361126015372309,0.4097685282816342,3.009205637641524e-09,6.306797034941486e-09
fcnn,Constitution,0.0,0.0,0.0,0.0,1.2222111556429048e-39,1.808500326240347e-39,1.9681532489032414e-13,4.3117141773624324e-13,0.2230022553231306,0.0256760302027394,0.1514449568204497,0.0962539376429741,0.1162462195537883,0.1072240719293095,8.45591391069387e-10,1.835564390315968e-09
fcnn,Property,2.784501008538913e-209,0.0,2.784501008538913e-209,0.0,5.334512043899698e-24,7.52014839811355e-24,1.9176030939538322e-13,3.113590146474714e-13,0.0755676889184149,0.0119968605312992,0.00389551997781,0.0017747866689935,0.2727833416866373,0.1274935441890433,3.1012748416113707e-10,4.788698405222085e-10
DMPNN,Fragment,0.0,0.0,0.0,0.0,7.420434935828478e-52,1.5643451768398662e-51,8.926206109158063e-14,1.8808503499996933e-13,0.4826465692085729,0.1612104438947597,0.1008456609651345,0.100130545720817,0.0042343387296073,0.0074057043818336,6.653600472663073e-11,1.390825049506892e-10
svm,PharmacoErGFP,0.0,0.0,0.0,0.0,8.547396293092163e-30,1.9112558462750837e-29,3.7567367316453785e-14,8.214471902586538e-14,0.0697680535426988,0.0972992373114333,0.7445053524212244,0.3489279993903083,0.0037615957360856,0.005435466895831,6.629778291654289e-11,1.3887290817503926e-10
log,InfoContent,3.3476668278831e-149,7.485610593166039e-149,3.3476668278831e-149,7.485610593166039e-149,1.2208086050147653e-17,2.7154467866245566e-17,2.0404168523687105e-14,3.517558159249648e-14,0.00493199019126,0.0009366955538305,0.0324738868937728,0.0419937774753036,0.2231213075294878,0.1705906330039631,1.9617654738574714e-10,3.3544035277719717e-10
fcnn,InfoContent,9.331437345966212e-196,0.0,9.331437345966212e-196,0.0,3.999024364810126e-23,5.05649660471977e-23,1.684440309236435e-14,3.716532224727841e-14,0.3628946594849289,0.0926444715404284,0.1474420118307481,0.1202890753578522,0.0690764167453397,0.0559604254207647,4.017265754762897e-11,8.598327395697995e-11
xgb,Property,0.0,0.0,0.0,0.0,2.1383851114402455e-35,4.7723836533064407e-35,9.9916179829751e-15,2.231483495306933e-14,0.3519984743035875,0.2318621962242318,0.3702888172782865,0.3193494352806009,0.014931688224651,0.0302977027164368,1.4613656106446557e-11,3.258190728091663e-11
DMPNN,RDkitFP,0.0,0.0,0.0,0.0,8.019728940010666e-52,1.690706922845317e-51,4.779179205460604e-15,9.958091512830435e-15,0.0017376636720998,0.0007002831457379,0.0646471754398028,0.0473366393256983,0.0167723322727321,0.0288322518365312,3.6555368131577916e-11,7.576089908131182e-11
log,Estate,5.96055985198189e-276,0.0,5.96055985198189e-276,0.0,3.824532792266556e-27,7.979020883466062e-27,3.971012355568531e-15,6.476023166006772e-15,0.6932998840958116,0.2374132718405187,0.6463887648699862,0.1707002825417849,0.0068933712488075,0.0082427528797954,2.8245548877455017e-11,4.2808072394839935e-11
DMPNN,MHFP6,0.0,0.0,0.0,0.0,1.3196924977290703e-45,2.7821557234042417e-45,3.247420036243795e-15,6.846161318947536e-15,0.1237912658721886,0.0882405496158456,0.0577802170176284,0.0376292182333008,0.0012515555090459,0.0022423949478973,2.4743469309408222e-11,5.2163281359657004e-11
log,Connectivity,6.433088896551417e-198,0.0,6.433088896551417e-198,0.0,2.618455348795161e-21,5.8527782716198935e-21,2.7039226490253808e-15,4.565823123349836e-15,0.0570991402708359,0.0180139855752575,0.374984042508003,0.1676118167862432,0.2425954791567758,0.1255360526195108,6.902490901312037e-11,1.0486485508858187e-10
xgb,Matrix,0.0,0.0,0.0,0.0,7.541113288418468e-37,1.3298342478226134e-36,2.4722970670725e-15,5.523570076889712e-15,0.0878182652310591,0.1803865593354534,0.1895322909287239,0.2518151915056658,0.0049527650804378,0.0087980424394321,1.6492488004603035e-11,3.6797140297320586e-11
rf,PubChemFP,0.0,0.0,0.0,0.0,1.7017089407722991e-46,3.805136866891197e-46,1.0113972744109401e-15,2.253728790314126e-15,0.0209364046928832,0.0051281856818264,0.0030944948153294,0.003701162551696,0.3532752718883107,0.2183345331073884,1.8030007026231835e-11,3.988368060820196e-11
svm,MorganFP,0.0,0.0,0.0,0.0,1.7465088547062354e-48,3.9045844644987786e-48,6.500904745143057e-16,1.4523533120053481e-15,0.0069468618468347,0.0114290670088682,0.3273325927902381,0.2991185696309946,9.027835637516124e-05,0.0001935677897019,1.0185911137094518e-12,2.274555864333937e-12
log,Charge,4.2688518071830097e-153,9.545442818277075e-153,4.2688518071830097e-153,9.545442818277075e-153,4.857631919773129e-19,6.624911374045776e-19,5.057427560317294e-16,5.78247259131351e-16,0.0076957241575348,0.0012211023742914,0.2367995763037375,0.0588710442037539,0.0018661166995693,0.0009538300486978,3.886401277019951e-12,4.116411241655731e-12
svm,Matrix,1.3766575588125552e-193,0.0,1.3766575588125552e-193,0.0,5.288921717927331e-23,1.1807364242374897e-22,3.822497207157693e-16,7.105079054463801e-16,0.0694564415402225,0.0167137489344017,0.347982092053052,0.1480945075505679,0.0277558929170957,0.0326489372067135,1.3432204975508744e-13,2.4284415564403424e-13
log,Matrix,1.8798634295887998e-165,0.0,1.8798634295887998e-165,0.0,9.84636059296125e-19,2.1973540775213917e-18,3.794266370871619e-16,8.176271167101931e-16,0.0441718382016639,0.014017932388088,0.1691801633925935,0.1248371429241177,0.1726734751850674,0.2189352234780504,3.806569301136772e-12,8.051177447675102e-12
DMPNN,PharmacoPFP,0.0,0.0,0.0,0.0,4.7916735863590865e-51,1.0101734891269305e-50,1.208027924591695e-16,2.421311501876062e-16,0.0028574264637997,0.0017661866442084,0.2577141758372075,0.280804215734491,0.0049816088217552,0.0077214812885519,6.324741044171386e-13,1.2804613235380945e-12
xgb,Charge,0.0,0.0,0.0,0.0,3.1567672069531105e-43,7.058719767707025e-43,1.0958847838344088e-16,1.8617530233315235e-16,0.030710135994582,0.0453137128521012,0.5886720591647847,0.3682271739632688,0.0056483371211094,0.0054384479040675,2.9830984310442184e-12,4.053682679747187e-12
svm,Estate,1.218e-320,0.0,1.218e-320,0.0,6.987086212391342e-31,1.4259877290809113e-30,7.083386804184531e-17,1.3159398755680807e-16,0.7746991547764328,0.1409831629308761,0.3559857320067278,0.18226106125036,0.0006715238934468,0.0009096560071104,5.316756877092358e-13,9.470796468384826e-13
log,Autocorr,0.0,0.0,0.0,0.0,7.823491033771468e-36,1.7443882937122066e-35,4.354705695413145e-17,9.73278795451984e-17,0.4477743058415926,0.2883857697217644,0.1445085786431914,0.1533981256588314,0.0016921487518395,0.0037229826229745,5.634024767447779e-13,1.2584083596237956e-12
xgb,PubChemFP,0.0,0.0,0.0,0.0,4.251937162969549e-49,9.50762045634014e-49,3.540828475098964e-17,7.917519739290024e-17,0.0346001741970537,0.0175369968996135,0.2395760408695994,0.2996460882160743,0.0238353790226998,0.050838031276125,1.0255642116788224e-12,2.293199782625587e-12
xgb,InfoContent,0.0,0.0,0.0,0.0,1.3437480944017233e-29,3.004619495844911e-29,2.796007780799459e-17,6.087462870698806e-17,0.1838013063957871,0.0581146581079689,0.1492559590721629,0.2439739459790621,0.0004278828754892,0.0008608457090856,6.669053148022767e-14,1.4848079406670652e-13
fcnn,MACCSFP,0.0,0.0,0.0,0.0,1.0478497598926423e-32,2.342807245587736e-32,2.6156785520921176e-17,3.554799646736164e-17,0.6496452580583034,0.1831772651514166,0.0550048816815014,0.0415066516440885,0.0118247820320338,0.0107161727453975,3.389081428678612e-12,4.654178205873182e-12
fcnn,MorganFP,0.0,0.0,0.0,0.0,1.7912414720091504e-49,4.005337684337978e-49,2.1228972690119458e-17,4.6843429846439546e-17,0.4110061961040784,0.1465739577239047,0.5190789886481899,0.2023842502811335,0.0003477586690698,0.0006858785365003,1.774653587551626e-13,3.8915576202044285e-13
