model,feat,train_accuracy,train_accuracy_std,val_accuracy,val_accuracy_std,test_accuracy,test_accuracy_std,ext_accuracy,ext_accuracy_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,InfoContent,0.9588299024918744,0.005687257402680905,0.9588299024918744,0.005687257402680905,0.8962536023054755,0.013986762515428424,0.8836363636363636,0.021125363706585916,0.5833333333333333,0.3042903097250923,0.6634920634920635,0.13934543256196,0.8027149321266969,0.04398434179603301,0.8679144385026738,0.02486615043489742
DMPNN,Kappa,0.9508847959552185,0.010100482467029204,0.9508847959552185,0.010100482467029204,0.8985590778097983,0.021255433907303466,0.8827272727272728,0.011499191491521349,0.6,0.08606629658238703,0.6888888888888889,0.03278716060281409,0.7981900452488688,0.016132418651126322,0.8652406417112299,0.012679799817311068
DMPNN,MACCSFP,0.9696641386782232,0.016213412454395677,0.9696641386782232,0.016213412454395677,0.8968299711815562,0.02371765511932521,0.82,0.029002390579407025,0.14999999999999997,0.06573421981221797,0.4349206349206349,0.07961161004784775,0.6751131221719457,0.04849117658500179,0.7925133689839573,0.03351917083363467
DMPNN,MAP4,0.994438425424341,0.004004164150809606,0.994438425424341,0.004004164150809606,0.9054755043227667,0.016459903931299855,0.8290909090909091,0.014876288131677079,0.4333333333333333,0.08606629658238704,0.6063492063492063,0.06296073981224769,0.6977375565610859,0.02787695940186525,0.8058823529411765,0.017153100497282563
DMPNN,MHFP6,0.9920548934633441,0.015807922447265664,0.9920548934633441,0.015807922447265664,0.8829971181556197,0.021787116237978577,0.8213636363636363,0.014736747170651935,0.26666666666666666,0.06573421981221796,0.5460317460317461,0.0170629793614784,0.6914027149321267,0.025130214901548743,0.7946524064171123,0.017771755551678464
DMPNN,MOE,0.9631635969664138,0.016437105273815644,0.9631635969664138,0.016437105273815644,0.9112391930835735,0.01645990393129987,0.8504545454545454,0.005335399048987596,0.1666666666666666,0.0,0.4095238095238095,0.041526808191213925,0.7375565610859729,0.010449778627866542,0.8294117647058823,0.004849009094023349
DMPNN,Matrix,0.9438786565547129,0.011118353746630769,0.9438786565547129,0.011118353746630769,0.8945244956772335,0.015441714733840607,0.8686363636363635,0.01020901850177153,0.4666666666666666,0.19720265943665388,0.6063492063492063,0.11068196287824666,0.7746606334841629,0.018448126517551348,0.8497326203208557,0.011045941807365183
DMPNN,MorganFP,0.9889490790899241,0.005206226236485097,0.9889490790899241,0.005206226236485097,0.8910662824207491,0.016682646183356326,0.8281818181818181,0.011398935075032745,0.3,0.07027283689263067,0.4349206349206349,0.041795592927262426,0.7131221719457014,0.019918641350490745,0.804812834224599,0.013339242020584426
DMPNN,Path,0.9452509931383171,0.008504004243753813,0.9452509931383171,0.008504004243753813,0.893371757925072,0.015127776895315742,0.8754545454545454,0.018519589806784864,0.4666666666666666,0.20487876571761973,0.6126984126984126,0.10613709137032665,0.7891402714932126,0.034997659154807036,0.8593582887700535,0.020680434955113257
DMPNN,PharmacoErGFP,0.9456121343445287,0.008736001714154937,0.9456121343445287,0.008736001714154937,0.9002881844380404,0.015321730672335708,0.8463636363636363,0.009166353613487412,0.6666666666666666,0.055555555555555546,0.7428571428571429,0.051188938084435205,0.7429864253393665,0.020548279174571835,0.8267379679144385,0.011607002207557749
DMPNN,PharmacoPFP,0.9660527266161069,0.015712294305053307,0.9660527266161069,0.015712294305053307,0.9031700288184439,0.020922887054850355,0.8209090909090909,0.024355795512012283,0.11666666666666661,0.04303314829119351,0.3904761904761904,0.06906738146912472,0.6877828054298643,0.04692714686607558,0.7973262032085561,0.027115574858904003
DMPNN,Property,0.955868544600939,0.01034823433785765,0.955868544600939,0.01034823433785765,0.899135446685879,0.012887999870315777,0.8881818181818183,0.023831748777008204,0.55,0.18087578440110783,0.6761904761904762,0.11906525442569485,0.8054298642533937,0.04554952902124132,0.874331550802139,0.02835289433259692
DMPNN,PubChemFP,0.9762369086312749,0.02392803889458637,0.9762369086312749,0.02392803889458637,0.8853025936599425,0.023872775511253167,0.7540909090909091,0.03589981979793679,0.1666666666666666,0.0,0.3555555555555555,0.06742659183946664,0.5574660633484163,0.06720976140758309,0.7165775401069518,0.042407762044100974
DMPNN,RDkitFP,0.9845431563741422,0.007103055799527443,0.9845431563741422,0.007103055799527443,0.9031700288184439,0.015078898651564665,0.8213636363636363,0.015496082030964352,0.0833333333333333,0.0,0.3587301587301587,0.017062979361478374,0.6733031674208145,0.031551871770721884,0.7957219251336898,0.018661322393301105
DMPNN,Topology,0.952546045503792,0.011860005265157094,0.952546045503792,0.011860005265157094,0.8956772334293948,0.023872775511253174,0.8954545454545455,0.0026243194054074007,0.6,0.10243938285880985,0.6984126984126984,0.03174603174603175,0.8235294117647058,0.007389109329662702,0.8807486631016042,0.002874245186559198
