model,feat,train_BA,train_BA_std,val_BA,val_BA_std,test_BA,test_BA_std,ext_BA,ext_BA_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
svm,Autocorr,0.8525015506729909,0.010483956215469952,0.8525015506729909,0.010483956215469952,0.798034860426726,0.04913674125479955,0.6653023346683599,0.03442552342523785,0.36666666666666664,0.11520245196293177,0.5110526315789474,0.03608431185885177,0.6196995305164319,0.04104972204482858,0.6626989619377163,0.035751999681922865
svm,AvalonFP,0.9391043624693474,0.005944266917019693,0.9391043624693474,0.005944266917019693,0.807378925868807,0.021671062898618268,0.6021620917586532,0.05566063112547034,0.5555555555555556,0.03928371006591931,0.37105263157894736,0.041012125765848735,0.48570892018779344,0.046624098532340126,0.5853287197231835,0.054503816930860954
svm,Charge,0.642469086563178,0.017007631074221458,0.642469086563178,0.017007631074221458,0.6423789717248575,0.02783465546452619,0.5728794243105076,0.012573175365260533,0.25555555555555554,0.07453559924999295,0.44231578947368416,0.03286335345031001,0.5195774647887323,0.013135098133291266,0.5642214532871972,0.013580157753805349
svm,Connectivity,0.6783989922035539,0.011692143468501635,0.6783989922035539,0.011692143468501635,0.6582018411929236,0.026480554715050404,0.6494936667643516,0.037520918892552234,0.5,0.039283710065919325,0.5585263157894736,0.05709422643771241,0.598150234741784,0.04388076333951297,0.6441522491349481,0.03853636806515961
svm,Constitution,0.7100742755904113,0.011594421420308577,0.7100742755904113,0.011594421420308577,0.7056225794403175,0.025438047168438768,0.5806030412555762,0.01457111430994699,0.3888888888888888,0.0,0.4483157894736842,0.024368477890123544,0.5009201877934272,0.02303350691652761,0.5695501730103806,0.014184741171466916
svm,Estate,0.7510974180161406,0.005944621086087952,0.7510974180161406,0.005944621086087952,0.7337694986567691,0.03270627442681525,0.6575396437758457,0.006918910053051512,0.4888888888888888,0.09128709291752776,0.5113684210526316,0.020067752276735965,0.5920657276995305,0.010048648445515578,0.6523875432525952,0.007127523750117705
svm,EstateFP,0.5481698228786283,0.016756366513538908,0.5481698228786283,0.016756366513538908,0.5379929040534559,0.011543484506288374,0.5155579434078994,0.0025701930775859755,0.5222222222222223,0.030429030972509246,0.5052631578947369,0.007206875756646922,0.5084507042253521,0.0031493915176053493,0.515363321799308,0.0026306682088232756
svm,Fragment,0.5855058291040584,0.005159508993578434,0.5855058291040584,0.005159508993578434,0.5778259828600526,0.030314150833094713,0.5222851746931066,0.010987994299257517,0.5555555555555556,0.0,0.5104210526315789,0.021844958596126507,0.5074272300469482,0.01561434873577135,0.5226989619377163,0.011674291284639083
svm,InfoContent,0.6221639017556123,0.0199272937768558,0.6221639017556123,0.0199272937768558,0.6220571645314111,0.021515587619264528,0.5939956367425353,0.016577834214145836,0.08888888888888884,0.07453559924999302,0.4650526315789474,0.007279539116640054,0.5550422535211268,0.0031877553981427427,0.5918339100346021,0.016613681576827355
svm,Kappa,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
