model,feat,train_Precision,train_Precision_std,val_Precision,val_Precision_std,test_Precision,test_Precision_std,ext_Precision,ext_Precision_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,Property,0.9636948800607384,0.0109012197256652,0.9636948800607384,0.0109012197256652,0.9293581227158396,0.0212363470845094,0.9048456754829556,0.0194803960069284,0.2816666666666666,0.1354462218459624,0.5771162699529573,0.094705004960369,0.8194585313859362,0.0369389857426778,0.8901992505230686,0.0236132914390546
DMPNN,MAP4,0.9963057185820728,0.0028326723658491,0.9963057185820728,0.0028326723658491,0.9291709318112432,0.0191076223976768,0.8993837367030771,0.0099771612748276,0.0,0.0,0.5064162738266038,0.0534335549261915,0.7937704548972154,0.0214708200678818,0.8815263881368278,0.0111740898679445
svm,MAP4,0.9941119161161528,0.0014913130578407,0.9941119161161528,0.0014913130578407,0.90882819170139,0.0176610863722202,0.8972295714428038,0.0196560826083974,0.0,0.0,0.6045452483532979,0.0614919660958799,0.7963871836068197,0.0309097861197871,0.8796860357459719,0.0223059241094913
DMPNN,InfoContent,0.9611649370452788,0.0073862121576907,0.9611649370452788,0.0073862121576907,0.9196711280875954,0.0171992010850447,0.8946480448114293,0.026612355675035,0.4374603174603174,0.3486505116162903,0.5667881147674381,0.1172038068618128,0.8080603160133801,0.0477321039471708,0.8786290263734727,0.0304777477548365
DMPNN,Autocorr,0.9782608973338168,0.0113707127438931,0.9782608973338168,0.0113707127438931,0.920833428495299,0.021096746414189,0.8944582104967269,0.0154252572417735,0.2644444444444444,0.0464958661525191,0.4272178467156946,0.0565442078170544,0.7871356121163281,0.0253784004961178,0.874147689645173,0.0158689700401809
DMPNN,Matrix,0.9515811664011776,0.0166315189691,0.9515811664011776,0.0166315189691,0.9209380678154472,0.0243684046603782,0.892108559284182,0.0248080012278441,0.2526984126984127,0.1433516817324609,0.5132224038958961,0.0858979434501771,0.7996819799326569,0.0358458888185391,0.8747164080494414,0.0279405554436381
DMPNN,Estate,0.971334116243822,0.013500928209713,0.971334116243822,0.013500928209713,0.924915251995266,0.0112762377879119,0.8919058705131097,0.0107319052198073,0.1579365079365079,0.0502227617992985,0.4604681411711938,0.0060123257167051,0.7873342666841204,0.0133812576263823,0.8747799576048226,0.0123213096506868
xgb,Autocorr,0.9951124735606518,0.0015378892858739,0.9951124735606518,0.0015378892858739,0.9163938071375686,0.019935231340109,0.8893509854073111,0.0157969431898604,0.0619047619047618,0.0851835419999919,0.4134320636933162,0.0576701088012793,0.7773664444005972,0.0312800697837513,0.8707510986970659,0.0179063207047343
xgb,MorganFP,0.9779315757096132,0.0008269876452352,0.9779315757096132,0.0008269876452352,0.9200794474383682,0.015362966255358,0.8884272060135645,0.0097015095187668,0.2188888888888889,0.0206379729122296,0.4556920469244837,0.0487588346928843,0.78867662190596,0.0206028018279539,0.8700707120173712,0.0116076557461008
xgb,MAP4,0.9945649645687156,0.0010410526023058,0.9945649645687156,0.0010410526023058,0.9224321964774708,0.0220556322455098,0.8877790487435716,0.0121977872548923,0.0,0.0,0.4719997247656822,0.0394639509770418,0.7804503777623191,0.0209063244528633,0.8687602706439069,0.013026455962255
fcnn,PharmacoErGFP,0.9096913057815934,0.003156481117072,0.9096913057815934,0.003156481117072,0.8952320140177283,0.0150319447734319,0.8850197578169847,0.0215126665689377,0.025,0.0559016994374947,0.4390474654625597,0.0801269863957331,0.7682243319268636,0.0439008400046132,0.866486849162009,0.0257876954213201
log,Estate,0.9438645928324376,0.004629390802281,0.9438645928324376,0.004629390802281,0.9335472351925168,0.0185838021095936,0.8844240383370628,0.0043148063441932,0.2167676767676767,0.0737982314241369,0.3946639574732143,0.0165805791807404,0.7493983209772683,0.0128577365411382,0.8641248231123523,0.0056402417127588
DMPNN,Charge,0.9626798067500152,0.0105120610323633,0.9626798067500152,0.0105120610323633,0.9227607470777454,0.0198885934831046,0.8838488315678793,0.0137486267036483,0.1907936507936507,0.0331336929088521,0.4477341140294831,0.0294507673171642,0.7671603268967162,0.0138269534312463,0.8640480510159673,0.0156008399162157
rf,PharmacoErGFP,0.975059140823444,0.002072728870061,0.975059140823444,0.002072728870061,0.9322110332292236,0.0165501755809818,0.8799577944809446,0.023429020064394,0.1111111111111111,0.1360827634879543,0.4388871251622276,0.1031299391237577,0.7591600019299498,0.0484192268060455,0.8592279969453486,0.0284372601190665
DMPNN,Path,0.947981944256894,0.0117534921990992,0.947981944256894,0.0117534921990992,0.9133669096925614,0.0160937050754508,0.8794227353529184,0.017570234609478,0.2565079365079364,0.1394000671190727,0.5153391910332751,0.0745055260413224,0.7835612014088347,0.0325398874217185,0.860934993560036,0.0198544565746743
DMPNN,Connectivity,0.955381077523595,0.0116364997469371,0.955381077523595,0.0116364997469371,0.9230616483953004,0.0256513603092853,0.8789518354757788,0.0214097192882396,0.1672438672438672,0.1118369045502151,0.4662391427481879,0.0576406836050762,0.7775134169513638,0.0360724104210973,0.8593083001251742,0.024355287991168
fcnn,Autocorr,0.9410376468725314,0.0232986271097868,0.9410376468725314,0.0232986271097868,0.9030276344177728,0.0337153351547317,0.8789376536481834,0.0230754499022834,0.249090909090909,0.0461760912698192,0.3917534036012297,0.0596419892368631,0.7610439199843173,0.0395572512877124,0.8556535879326834,0.0267283980717997
xgb,Topology,0.9782204154567232,0.0030531709546773,0.9782204154567232,0.0030531709546773,0.8913891155719563,0.008808418672804,0.8782400101079931,0.0127855745814472,0.09,0.1244989959798873,0.4622929758413628,0.0593491234380904,0.7503210057858849,0.0207707286947548,0.8558022218496697,0.0143473024979477
rf,AtomPairFP,0.998143696163554,0.0006495199050694,0.998143696163554,0.0006495199050694,0.9284510455028944,0.0222202989698054,0.87760010329339,0.0049593962550635,0.0,0.0,0.427692487987812,0.0213515636103677,0.7563774276524008,0.0094556400656295,0.855827089225836,0.0054466219845791
DMPNN,Constitution,0.9619117087692496,0.0195144447161874,0.9619117087692496,0.0195144447161874,0.9213654625775596,0.0161423481754521,0.8772093421621687,0.0175297875238678,0.1665873015873015,0.0717903828830435,0.4063027210884353,0.0448907201154628,0.7590493488083172,0.0305978376980331,0.8571217464277933,0.019674517328378
xgb,TorsionFP,0.969487492713409,0.0013408026415029,0.969487492713409,0.0013408026415029,0.923000358204262,0.0168226578390014,0.8759534657457978,0.0128639788975341,0.0533333333333333,0.0767390962214755,0.4225001625418405,0.0541042708561814,0.757477726612115,0.0247935497697069,0.8547175626441368,0.0149938807753153
xgb,PharmacoErGFP,0.9420381500127698,0.001703855104444,0.9420381500127698,0.001703855104444,0.9141785342496016,0.0183613165460645,0.872247856579715,0.0075634505581677,0.2038888888888888,0.0475316658582387,0.4200027825998969,0.0459446617243958,0.743359880233389,0.014803169752217,0.8502660836100688,0.0084081335808128
DMPNN,MACCSFP,0.974023872927224,0.0106318617544896,0.974023872927224,0.0106318617544896,0.9202185809833556,0.022951941845347,0.8705258082777327,0.0207156145117624,0.0694444444444444,0.0600068583185912,0.3802209207502409,0.056001614716186,0.742799885498958,0.0377249838738576,0.8479152468364596,0.0242941850461868
log,InfoContent,0.917472970446082,0.0027255548574807,0.917472970446082,0.0027255548574807,0.9157841434158276,0.0196090947793803,0.8691273821708604,0.0040807200234551,0.0,0.0,0.2434627108311318,0.0082901684441248,0.6626753464727453,0.0117913329697665,0.841200657579968,0.0052288137538026
xgb,PubChemFP,0.9745783334986604,0.0030647153270833,0.9745783334986604,0.0030647153270833,0.9217171498428044,0.0157850817774605,0.8680522245031812,0.0042580793142687,0.1111111111111111,0.0,0.3852829983217392,0.0174787300492152,0.7403931987143436,0.0098490370931559,0.8457968447353974,0.0049033817279057
log,MorganFP,0.9932314316745832,0.0011509610308251,0.9932314316745832,0.0011509610308251,0.9402774908458902,0.0202586824193267,0.8676685401619055,0.0066414946515664,0.073015873015873,0.0679023797974839,0.3967837003703265,0.0327678373689127,0.7504918467969584,0.0121625326194532,0.8441904773613791,0.0084548556805579
rf,Autocorr,0.9985128263484668,0.0003864334127,0.9985128263484668,0.0003864334127,0.8874905275436781,0.0146988922811608,0.8675259783035351,0.0084106312767496,0.3623809523809523,0.0485664680006582,0.5091828316610926,0.0278685092103291,0.7640492905264848,0.0139947607226524,0.8458598775597336,0.009105190637689
