model,feat,train_SE,train_SE_std,val_SE,val_SE_std,test_SE,test_SE_std,ext_SE,ext_SE_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
xgb,MHFP6,1.0,0.0,1.0,0.0,0.964306477365159,0.0029736627278356,0.959773371104816,0.0104854138942332,0.8,0.1825741858350553,0.96,0.0489897948556635,0.916,0.0277288457907805,0.9529411764705882,0.0130848930112035
svm,MorganFP,0.9953753005537128,0.0008716720031658,0.9953753005537128,0.0008716720031658,0.9583465669962796,0.0083402620279499,0.9558073654390936,0.0146653587598241,0.0,0.0,0.8560000000000001,0.0219089023002066,0.9186666666666669,0.0280475786239501,0.9494809688581316,0.0179130506651138
svm,InfoContent,0.963386976390608,0.007750155920455,0.963386976390608,0.007750155920455,0.9567571862056796,0.0187266042575352,0.9558073654390936,0.0081613939325143,0.0666666666666666,0.1490711984999859,0.8880000000000001,0.0178885438199983,0.8960000000000001,0.0192064803878505,0.9460207612456748,0.0099687614469813
fcnn,PharmacoPFP,0.970497825848646,0.0044182221669437,0.970497825848646,0.0044182221669437,0.9643363934201016,0.0108147234753577,0.9541076487252124,0.0088228960353526,0.0,0.0,0.8,0.0282842712474618,0.9026666666666668,0.0153478192442951,0.9474048442906576,0.0107767553649809
DMPNN,EstateFP,0.9856652796809996,0.0063240991051794,0.9856652796809996,0.0063240991051794,0.9538817950386888,0.0075222992975076,0.9535410764872522,0.0400003388362269,0.5333333333333333,0.172132593164774,0.92,0.04618802153517,0.9093333333333332,0.0932909956884543,0.9432525951557093,0.0488585453605123
fcnn,AtomPairFP,0.9889962838354468,0.0025593518186966,0.9889962838354468,0.0025593518186966,0.957582735058773,0.0077434123379702,0.9529745042492918,0.0150701825249523,0.3333333333333333,0.0,0.8400000000000001,0.08,0.8906666666666666,0.0366969571853943,0.942560553633218,0.0184075239837651
DMPNN,Matrix,0.9783400293654376,0.0105835849861483,0.9783400293654376,0.0105835849861483,0.9458332968006796,0.0128513083371215,0.9529745042492918,0.0280502534436009,0.4,0.1405456737852612,0.8400000000000001,0.0533333333333333,0.8973333333333333,0.0590626367657963,0.942560553633218,0.0342620742754017
DMPNN,Kappa,0.9770508256970502,0.0092416880875383,0.9770508256970502,0.0092416880875383,0.941883112168836,0.0176868170642185,0.9529745042492918,0.0117335029779105,0.3333333333333333,0.0,0.8240000000000001,0.0571936282387392,0.8973333333333333,0.0286658053272837,0.9432525951557093,0.014698530400991
rf,Topology,0.9866847601846274,0.0016041023203069,0.9866847601846274,0.0016041023203069,0.9275854159040184,0.0315582222844412,0.9524079320113314,0.0088228960353526,0.0666666666666666,0.1490711984999859,0.8400000000000001,0.0282842712474618,0.9173333333333332,0.0243127767050806,0.9453287197231834,0.0123311624091388
DMPNN,PharmacoPFP,0.9871610492279488,0.0083005732196289,0.9871610492279488,0.0083005732196289,0.9492333704058328,0.0180247642958852,0.9507082152974504,0.0291110086768614,0.0,0.0,0.768,0.1143872564774785,0.8933333333333333,0.0636347602812282,0.9432525951557093,0.0329961837064613
fcnn,Property,0.9455242261978124,0.0042071254817831,0.9455242261978124,0.0042071254817831,0.9418771661885774,0.0131751347795665,0.9495750708215296,0.0058056378277391,0.3333333333333333,0.0,0.68,0.0282842712474618,0.8813333333333333,0.0136626010212794,0.9384083044982698,0.0070913154089684
log,RDkitFP,0.9855746291933942,0.001145772550081,0.9855746291933942,0.001145772550081,0.9278045510937318,0.0092090179709221,0.948441926345609,0.0145002650335066,0.1333333333333333,0.1825741858350553,0.792,0.0657267069006199,0.9226666666666666,0.0219089023002066,0.944636678200692,0.0167739787453852
DMPNN,MHFP6,0.996004918871234,0.0079446646426809,0.996004918871234,0.0079446646426809,0.9428305967816082,0.0167045952967684,0.9456090651558072,0.0173502309013875,0.1333333333333333,0.172132593164774,0.8720000000000001,0.0168654808542313,0.8933333333333333,0.0395030862991803,0.9356401384083044,0.0217133963104961
