model,feat,train_MCC,train_MCC_std,val_MCC,val_MCC_std,test_MCC,test_MCC_std,ext_MCC,ext_MCC_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
log,PharmacoErGFP,0.6288557793958246,0.0133246868713833,0.6288557793958246,0.0133246868713833,0.5634060431573922,0.0574166117750736,0.4143740716800096,0.0444332259034689,-0.4029638042109041,0.1170123168154181,0.2053684341832398,0.0967133796093741,0.2712935560006814,0.0607600147519445,0.3955623756680775,0.0448541720688496
rf,Constitution,0.9247693644968568,0.0031941314114009,0.9247693644968568,0.0031941314114009,0.6361153751686526,0.0479611076083194,0.4091290481543369,0.0413818247794104,-0.7121201707788579,0.1429232857748656,-0.1603070300426923,0.0339544502950198,0.2721209189047973,0.0643429333237535,0.402701868894194,0.0444266179698314
fcnn,Connectivity,0.4892168442540425,0.0830687553514994,0.4892168442540425,0.0830687553514994,0.470751223315393,0.1073315815090446,0.4087229121867868,0.0473584505360846,-0.3909700089254784,0.1509068001421561,-0.0574519083555068,0.0613185211982492,0.2639035380740845,0.0502270334364053,0.4024965465757285,0.05000906771887
log,Autocorr,0.7121395370086965,0.0120495100348168,0.7121395370086965,0.0120495100348168,0.6225137101642118,0.0488936638682664,0.4067318388194391,0.0444243586930323,0.1201396760387476,0.2752110855047444,0.1970815596388457,0.2038899709728334,0.2697380920424452,0.065547118735982,0.3857315715973403,0.048613275840882
fcnn,MAP4,0.9050879210427308,0.0281475213275358,0.9050879210427308,0.0281475213275358,0.6870577473896573,0.0636229647751869,0.4036078858325062,0.0955763800467739,-0.3376922760601474,0.1988810543861463,0.2590756106555857,0.1575500175138516,0.2671233809575003,0.120561846776709,0.392573742648318,0.0954985357516583
xgb,Constitution,0.9144879422015034,0.0054767916690741,0.9144879422015034,0.0054767916690741,0.6356851473001179,0.0310518561845427,0.4000204604596888,0.0202727200449655,-0.5476624477222456,0.1375116892755863,-0.0728167076065957,0.0533026747836005,0.266825577809328,0.0260119290695264,0.3951443289436557,0.0187739775233373
log,MorganFP,0.8822978792238843,0.0091474872659348,0.8822978792238843,0.0091474872659348,0.6641501007535258,0.0474081931413265,0.3993887686959204,0.0376090280906671,-0.6073748589702246,0.2189808628164809,-0.007113757734399,0.1247638676937827,0.2826843278264893,0.0422407542643162,0.382300865460499,0.0421919468496365
rf,PharmacoErGFP,0.7877173468539969,0.0059119209090144,0.7877173468539969,0.0059119209090144,0.6309076662506787,0.0393014343624317,0.3992919923345954,0.0903856412579357,-0.4449489742783178,0.3438986094789885,0.0685947331373008,0.2607828525453848,0.2467546076042057,0.1204302920678059,0.3859524450567316,0.0947526291231685
DMPNN,MACCSFP,0.9103378676739824,0.0480471341900444,0.9103378676739824,0.0480471341900444,0.6946586362599441,0.0693594531170899,0.3921034153395026,0.1036644583074652,-0.6304705126860852,0.1698486998504571,-0.0579394817079581,0.1655572640684537,0.2235211421329178,0.1224018713276895,0.3732386411145656,0.1061963379316569
fcnn,RDkitFP,0.8042906995734587,0.0363607526719796,0.8042906995734587,0.0363607526719796,0.6770093466916849,0.0707514482818726,0.3917977739633895,0.0196353903606325,-0.2906862469299471,0.2993442180344213,-0.0470697933620208,0.0923102604488259,0.2302883640341708,0.0278832158975397,0.3712411620750048,0.0206843932172477
