model,feat,train_prc,train_prc_std,val_prc,val_prc_std,test_prc,test_prc_std,ext_prc,ext_prc_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
fcnn,MorganFP,0.9987678481286162,0.000317193094203568,0.9987678481286162,0.000317193094203568,0.9743194253420636,0.010694163638268517,0.9539314667051713,0.00411143968627139,0.2574615199615199,0.052347887309733214,0.5172925005656598,0.03702426406999997,0.8486309110084328,0.005728328373974438,0.9373890425065827,0.005344409873201905
fcnn,Path,0.9221920644051087,0.008619298810383149,0.9221920644051087,0.008619298810383149,0.91212584053782,0.024224638893495264,0.9253997328129804,0.016979448106373467,0.14514911014911008,0.0036636306361726607,0.4155873562555925,0.0853844661289834,0.6961268347826426,0.058641127398600765,0.8952540728082058,0.023369425797768545
fcnn,PharmacoErGFP,0.9833750519768275,0.001582992622912154,0.9833750519768275,0.001582992622912154,0.9661273975314051,0.01826963318490763,0.9441065070272707,0.00448508893737962,0.15499158249158246,0.006319062870042986,0.6732590553793024,0.038914162904608134,0.8106260594471978,0.011922856537358636,0.9231152097257226,0.006369274531480615
fcnn,PharmacoPFP,0.9817350375497439,0.004189829388247205,0.9817350375497439,0.004189829388247205,0.9665495715891501,0.01336758430104666,0.9411386113177482,0.009201568757095649,0.1363468013468013,0.0010143010324169376,0.5646174554250665,0.051058763634164374,0.7812038345516356,0.03572729866044106,0.9180307280828076,0.012759505934687181
fcnn,Property,0.9450836392158202,0.003461334185382513,0.9450836392158202,0.003461334185382513,0.9426876066620089,0.015703132570524567,0.9139087238015083,0.002739989179817732,0.16817941317941315,0.011890202737498906,0.2950062335659349,0.014703719132892168,0.6716998167444711,0.012987781133138379,0.8829292607833782,0.004010657713163744
fcnn,PubChemFP,0.9896595929382087,0.0017080861812196313,0.9896595929382087,0.0017080861812196313,0.9760196414909175,0.013244851156909909,0.8907803358202182,0.015093255421075001,0.1556902356902356,0.01356650643787429,0.2730011340879665,0.011164100944500675,0.6025698650509306,0.01666932142374434,0.8497696326992445,0.018778366087280642
fcnn,RDkitFP,0.9916956670272128,0.002754484952031792,0.9916956670272128,0.002754484952031792,0.9726161573145365,0.015817831435959568,0.9353191006590904,0.010932158540347967,0.14779461279461276,0.003049183605681523,0.34260946385044555,0.05975071456824357,0.7355379265839539,0.034130200337190254,0.9093196556875729,0.01520756601742922
fcnn,Topology,0.9180528579394232,0.008395250864789369,0.9180528579394232,0.008395250864789369,0.9099919999938786,0.02483751934577961,0.9239125272769048,0.02025352624570768,0.14779461279461276,0.00304918360568153,0.4352152082226476,0.07497916677257288,0.6996400375421826,0.039040209894342766,0.8953146275991989,0.027407415454796157
fcnn,TorsionFP,0.9938687091561581,0.003500692877159198,0.9938687091561581,0.003500692877159198,0.9727017508071615,0.013647484703496516,0.932979240288549,0.010618484386439964,0.17109908609908608,0.01792538215597905,0.4026375768869948,0.027407415222461897,0.7805216380809179,0.026757378675922084,0.9075907873586313,0.01426396730070245
log,AtomPairFP,0.9995321268987791,6.408243125716202e-05,0.9995321268987791,6.408243125716202e-05,0.9735525798032783,0.010925145102875927,0.9743728068249208,0.00667680588805847,0.35632635882635877,0.15851927914039188,0.7968024807784578,0.06131131762337702,0.9304345815218797,0.015585539677415512,0.9674832668398288,0.006409169564070856
