model,feat,train_p_stat,train_p_stat_std,val_p_stat,val_p_stat_std,test_p_stat,test_p_stat_std,ext_p_stat,ext_p_stat_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
fcnn,RDkitFP,0.0,0.0,0.0,0.0,1.9778180206628124e-48,4.317753360457687e-48,7.661607001216452e-18,1.713003385767209e-17,0.07071238335343819,0.07193585354981424,0.25701751987118093,0.33457503027140256,0.006697805398134854,0.011418077814794779,3.6182711565871673e-13,8.079194896080171e-13
fcnn,Topology,2.0534342306650152e-119,4.2247199146820395e-119,2.0534342306650152e-119,4.2247199146820395e-119,7.800828181740566e-16,1.1521845890798173e-15,2.0260983455981837e-12,4.5295462994929844e-12,0.07862352074054924,0.0374866782372737,0.4896335332445874,0.363104950235261,0.41497804286031226,0.24662128882364073,4.692862522493952e-09,1.0477222918121836e-08
fcnn,TorsionFP,0.0,0.0,0.0,0.0,2.509649343494542e-50,5.611570947628224e-50,1.3564092740154092e-09,2.840862030341036e-09,0.14594258514906316,0.10500729603419462,0.510111595412886,0.2893001050070094,0.14046379882617863,0.18212644240813664,3.83316148864416e-07,7.11326278025152e-07
log,AtomPairFP,0.0,0.0,0.0,0.0,6.968491412660854e-49,1.5582020170784866e-48,8.865811902349546e-38,1.9824553607987246e-37,0.5161241412772047,0.32383330678596284,0.00039892274004844767,0.0008292093680948056,3.26961228154438e-14,7.276231584061959e-14,2.931132683513058e-31,6.554014095280504e-31
log,Autocorr,0.0,0.0,0.0,0.0,7.823491033771468e-36,1.7443882937122066e-35,4.3547056954131445e-17,9.732787954519841e-17,0.44777430584159267,0.2883857697217644,0.1445085786431914,0.15339812565883143,0.0016921487518395193,0.0037229826229745766,5.634024767447779e-13,1.2584083596237956e-12
log,AvalonFP,0.0,0.0,0.0,0.0,1.0389335923756836e-45,1.5792951545019927e-45,0.000293492774341469,0.0006457223541769189,0.7055940842905264,0.10124924457027196,0.00154828839961242,0.0012905972574198297,0.2220426230579864,0.13744644228031636,0.008694995520542393,0.018062608498980108
log,Charge,4.26885180718301e-153,9.545442818277074e-153,4.26885180718301e-153,9.545442818277074e-153,4.857631919773128e-19,6.624911374045775e-19,5.057427560317294e-16,5.78247259131351e-16,0.007695724157534859,0.0012211023742914181,0.23679957630373752,0.05887104420375398,0.0018661166995693798,0.0009538300486978048,3.886401277019951e-12,4.116411241655731e-12
log,Connectivity,6.433088896551417e-198,0.0,6.433088896551417e-198,0.0,2.6184553487951612e-21,5.852778271619894e-21,2.703922649025381e-15,4.565823123349836e-15,0.05709914027083596,0.018013985575257536,0.37498404250800305,0.16761181678624326,0.24259547915677587,0.12553605261951084,6.902490901312037e-11,1.0486485508858188e-10
log,Constitution,8.48502229159844e-206,0.0,8.48502229159844e-206,0.0,3.742145429279458e-21,8.260920507457881e-21,1.4499816318192395e-08,3.227156734875108e-08,0.03892121814207426,0.027044450343635944,0.08648121661846209,0.06521727048163177,0.6458624539726902,0.36184454111990416,1.6382157895200444e-05,3.615545822730951e-05
log,Estate,5.96055985198189e-276,0.0,5.96055985198189e-276,0.0,3.824532792266556e-27,7.979020883466062e-27,3.97101235556853e-15,6.476023166006772e-15,0.6932998840958116,0.2374132718405187,0.6463887648699862,0.17070028254178493,0.006893371248807541,0.00824275287979546,2.8245548877455017e-11,4.2808072394839935e-11
log,EstateFP,1.2071411926804832e-131,2.6992497652669973e-131,1.2071411926804832e-131,2.6992497652669973e-131,3.935188557670058e-15,7.740189213442666e-15,0.0001298400363263324,0.00025872767499053703,0.34722865524374397,0.13328966293236394,0.00021468324504201485,0.00028124566566493936,0.6831835933765564,0.24323582950412737,0.00531399034028508,0.009065956953001539
log,Fragment,3.0118705613977383e-152,6.7347473115559496e-152,3.0118705613977383e-152,6.7347473115559496e-152,5.829784842324707e-13,1.3012458132751336e-12,0.0440066202993144,0.038536946405673046,0.48122621171729885,0.1055686011759678,8.821562808270853e-08,6.54647514709267e-08,7.628029188815983e-12,9.402291231168602e-12,0.00343551163096992,0.0035051660748050325
log,InfoContent,3.3476668278831e-149,7.485610593166039e-149,3.3476668278831e-149,7.485610593166039e-149,1.2208086050147653e-17,2.7154467866245563e-17,2.0404168523687102e-14,3.517558159249648e-14,0.00493199019126004,0.0009366955538305683,0.03247388689377284,0.041993777475303654,0.22312130752948786,0.1705906330039631,1.9617654738574714e-10,3.3544035277719717e-10
log,Kappa,1.5593324821897027e-101,3.4858950858108734e-101,1.5593324821897027e-101,3.4858950858108734e-101,4.97343405250706e-14,6.690932169873902e-14,3.0537055026660546e-11,5.942061954099905e-11,0.012594254895370199,0.0019351473926720703,0.0101313562708521,0.005460541467491928,0.6430570308118979,0.20177969824402503,5.0789734143348754e-08,9.120254842076996e-08
log,MACCSFP,7.355909036537499e-277,0.0,7.355909036537499e-277,0.0,7.008569523427255e-25,9.63806831916899e-25,3.294562471632995e-05,3.773641429153939e-05,0.2683866586468629,0.05599970831185897,0.00029188688977501505,0.000411887632827679,0.19162735694117106,0.1964010721426673,0.009464545974453573,0.008838596690452982
log,MAP4,0.0,0.0,0.0,0.0,1.292015207495197e-47,2.8890338281273046e-47,3.2933397285177653e-28,7.34744538228645e-28,0.5205100416000652,0.18091215048376658,0.00046891938924686287,0.0004563200498506835,1.8859225399073392e-08,2.1518805402889176e-08,9.882056035577353e-23,2.1435668377092875e-22
log,MHFP6,0.0,0.0,0.0,0.0,7.926052555178621e-42,1.7613037194514482e-41,6.798948082526323e-10,1.517342011317013e-09,0.25697564761330727,0.23211527211310948,0.4615900445809801,0.4719798701042745,0.02498897196945498,0.03753689723987962,2.001827050029534e-07,4.433086174282184e-07
log,MOE,3.297470364280777e-278,0.0,3.297470364280777e-278,0.0,2.188555301217028e-28,4.887489924885135e-28,2.8254540595427994e-28,5.4259656313135055e-28,0.3552417237917136,0.12830380607875566,0.5727204626959889,0.1487558709041953,2.9382417559722105e-06,5.7776213412776114e-06,1.9337346615737433e-22,3.588374564936728e-22
log,Matrix,1.8798634295887993e-165,0.0,1.8798634295887993e-165,0.0,9.84636059296125e-19,2.1973540775213913e-18,3.794266370871619e-16,8.176271167101931e-16,0.04417183820166394,0.014017932388088091,0.16918016339259354,0.12483714292411778,0.17267347518506743,0.21893522347805047,3.806569301136772e-12,8.051177447675102e-12
log,MorganFP,0.0,0.0,0.0,0.0,1.8601113082237396e-45,4.159304740180309e-45,5.1005150172129705e-22,1.1401513509362223e-21,0.0889714143050184,0.10643075358965749,0.4353772254015558,0.2829596505301501,1.0533245575202769e-05,1.4109298446556791e-05,5.792091577962437e-17,1.2927846201625209e-16
log,Path,3.0683721123121316e-126,6.860975175688624e-126,3.0683721123121316e-126,6.860975175688624e-126,4.3552393688944985e-15,9.44606305027242e-15,3.071772663802289e-11,6.047891223893193e-11,0.05276594231489494,0.007182164566592648,0.05323391512152982,0.06072171300654126,0.27433197585344404,0.24249994105287104,1.3128039455410364e-07,2.371634157151521e-07
log,PharmacoErGFP,0.0,0.0,0.0,0.0,8.569698002520647e-28,1.9162427254260405e-27,1.055266137668805e-21,1.466290809459506e-21,0.11165208477300856,0.05509855759914472,0.10749838588779226,0.0801112915878094,1.4575968324546176e-05,2.00413059025418e-05,4.564087725715681e-17,6.33072672876033e-17
log,PharmacoPFP,0.0,0.0,0.0,0.0,1.0313114435993134e-30,2.297520650262815e-30,0.2514299662770779,0.34108144078423513,0.00167033475955708,0.00045136254262890136,0.00013446927548344738,0.00021762473170502475,0.006466907938874918,0.008231761018560792,0.41653794882405853,0.35209952979960896
log,Property,2.344443212498977e-144,5.242334356208192e-144,2.344443212498977e-144,5.242334356208192e-144,8.527589119555656e-18,1.8497877588346593e-17,1.2621938968337958e-09,2.4393718610171543e-09,0.00489475957625832,0.0005343236244383839,5.939750620451254e-05,3.843052147319518e-05,0.7694518831333672,0.2657694849727881,5.775889338713178e-07,1.0194544955315078e-06
log,PubChemFP,0.0,0.0,0.0,0.0,1.297304306865655e-35,2.863294341321405e-35,6.939537218948406e-05,2.1665113225556552e-05,0.00245708521420206,0.0007214079836756915,1.301269999599454e-05,2.4119141234133378e-05,0.00228702996042744,0.0024326482769220907,0.011213674712198921,0.0029511078522947874
log,RDkitFP,0.0,0.0,0.0,0.0,6.405973681659186e-48,1.432416590974213e-47,8.816103345908411e-11,1.9628503210627503e-10,0.018982884762727338,0.02763884995011232,0.01477233829314828,0.016128266246268824,0.008727383036435561,0.018985969906700834,2.350599411084302e-08,5.184758515221261e-08
log,Topology,5.9626312934078326e-152,1.3332831127348858e-151,5.9626312934078326e-152,1.3332831127348858e-151,8.313989380722212e-18,1.8421789698869437e-17,1.2046176377583472e-08,1.4329193187795922e-08,0.01703258102315364,0.004264368966327931,0.00085424698875984,0.0006162870636788127,0.3339515830891423,0.15240004403938254,8.717988389124697e-06,9.263270689972306e-06
log,TorsionFP,0.0,0.0,0.0,0.0,6.694593394275428e-44,1.4639067769951807e-43,0.003519085102987736,0.007544940456789548,0.0001016780474242344,0.00013929682960053837,0.03336099389605336,0.054362566589141244,0.3063534138384796,0.24133694439385153,0.045522793548127875,0.08618528887087132
