model,auc
all_model,0.948419451713562
remove_AtomPairFP,0.9310278296470642
remove_Connectivity,0.947040319442749
remove_Charge,0.9462035298347473
remove_Kappa,0.9486209154129028
remove_MAP4,0.9438429474830627
remove_MOE,0.9478616118431091
remove_MorganFP,0.9469034075737
remove_Topology,0.9482386112213135
remove_TorsionFP,0.9497933983802795
