model,auc
all_model,0.9494059681892395
remove_AtomPairFP,0.9332023859024048
remove_Connectivity,0.9517588019371033
remove_Charge,0.9483470916748047
remove_Kappa,0.9505165815353394
remove_MAP4,0.9451445937156677
remove_MOE,0.9514772891998291
remove_MorganFP,0.9504959583282471
remove_Topology,0.9504184126853943
