model,auc
all_model,0.9511880278587341
remove_AtomPairFP,0.9293439984321594
remove_Charge,0.9489979147911072
remove_MAP4,0.947670578956604
remove_MOE,0.9509865045547485
remove_MorganFP,0.9500516653060913
remove_Topology,0.9519162774085999
