model,auc
all_model,0.946730375289917
remove_AtomPairFP,0.9289669394493103
remove_Connectivity,0.9469059705734253
remove_Charge,0.9476292133331299
remove_Kappa,0.9492018818855286
remove_MAP4,0.9436725378036499
remove_MOE,0.944610059261322
remove_MorganFP,0.9462525248527527
remove_Topology,0.9462500214576721
remove_TorsionFP,0.9477840662002563
