smiles,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ncc(c(c1)c1ccc(cc1[C@@H]1CCCC1(C)C)COc1ncc2c(c1)[C@](C)(CC2)CC(=O)O)F,1,222,14,4,14,0,0,45,64,29,19,12,0,11,0,23,0,9,5,77,7,70,0,22,9,28,23,11,81,42,0,11,0,4,11,11,23,23,59,13,6,31,29,9,14,26,19,9,5,0,9,8,6,1
OC(=O)COc1ccc(cc1F)NCc1cccc(c1)c1ccc(cc1C)O,1,161,20,0,9,0,0,24,59,18,0,5,18,0,0,24,0,0,0,13,11,77,0,22,10,22,11,12,11,60,0,11,0,10,11,18,11,12,22,12,18,37,5,9,14,18,10,21,4,-1,17,0,1,0
CO[C@H](C(C)(C)C)c1cc(COc2ncc3c(c2)[C@](C)(CC3)CC(=O)O)ccc1c1cc(OC)ncc1F,1,222,19,4,14,0,0,39,52,36,25,12,0,11,0,28,0,9,5,65,14,70,0,22,9,35,27,11,68,42,0,11,0,4,11,17,24,22,41,7,19,31,30,14,14,32,19,9,4,0,9,4,8,3
OC(=O)COc1ccc(cc1F)NCc1cccc(c1)c1c(C)noc1C,1,155,19,0,9,0,0,23,43,23,5,5,18,0,0,23,0,5,0,20,11,65,0,16,10,22,11,19,17,46,0,11,0,10,5,18,5,12,28,12,6,38,10,14,9,24,10,15,4,-1,12,0,3,0
OC(=O)COc1ccc(cc1F)NCc1cccc(c1)c1c(C)cc(cc1C)OCCCS(=O)(=O)C,1,210,19,0,17,0,0,18,78,24,12,15,18,0,0,32,0,0,0,26,30,77,0,22,14,44,21,19,23,54,0,11,0,10,11,28,11,31,27,18,6,44,11,14,17,47,10,11,5,-1,16,1,4,-3
OC(=O)COc1ccc(cc1F)NCc1ccc(c(c1)c1ccccc1)Cl,1,160,15,0,9,0,0,47,35,28,0,0,18,0,0,19,0,0,0,6,11,83,0,16,10,17,11,5,5,66,5,11,0,10,5,18,5,17,16,12,6,48,5,21,9,18,10,12,3,-1,19,0,0,0
OC(=O)COc1ccc(cc1)OCc1ccccc1SC(F)(F)F,0,139,14,0,4,13,0,18,42,10,0,18,6,0,0,32,0,0,0,17,6,54,0,11,9,23,11,0,5,53,0,0,0,13,11,18,23,17,0,24,24,0,0,14,17,48,10,8,-3,0,12,0,0,0
OC(=O)CCCOc1c(C)cc(cc1C)c1cc(ccc1Cl)OC(F)(F)F,0,159,14,4,0,0,13,11,67,17,6,11,0,0,0,32,0,0,0,33,6,46,0,22,9,24,4,13,23,30,5,11,0,13,11,12,18,28,17,12,25,0,4,21,17,46,10,8,2,0,7,-4,3,0
OC(=O)CCCCCN1C(=S)S/C(=C/c2cccs2)/C1=O,0,136,5,14,0,0,11,36,30,17,4,4,0,0,5,14,0,4,0,25,6,27,0,0,0,32,9,0,30,22,0,6,0,0,0,5,12,22,17,11,16,23,0,17,9,0,26,10,0,0,3,4,0,0
OC(=O)CCCc1ccc(cc1)NCc1cccc(c1)Oc1ccccc1,0,158,15,4,0,0,0,42,60,18,0,11,0,0,0,14,0,0,0,25,5,89,0,11,10,11,17,0,23,78,0,0,0,5,11,5,6,12,34,0,0,72,11,9,4,5,10,12,3,0,25,1,0,0
OC(=O)CCc1oc2c(c1)cc(cc2)c1cc(ccc1F)OC(F)(F)F,0,144,14,4,4,0,13,6,41,17,6,22,0,0,0,36,0,0,0,19,0,54,0,16,4,17,11,5,12,46,0,22,0,17,5,23,18,22,18,6,18,0,4,9,22,60,10,9,0,-1,8,-4,0,0
