name,AUC-ROC
xgb_AtomPairFP,0.9171632314154538
xgb_Charge,0.7774413076747745
xgb_MAP4,0.8876298394711992
xgb_MOE,0.8536192243821432
xgb_MorganFP,0.8463254208589756
xgb_Topology,0.7696916414314089
fcnn_AtomPairFP,0.9248631000518799
fcnn_Charge,0.9056249856948853
fcnn_MAP4,0.93190598487854
fcnn_MOE,0.9049173593521118
fcnn_MorganFP,0.9160227179527283
fcnn_Topology,0.9151808023452759
lr_AtomPairFP,0.9026895900491682
lr_Charge,0.814333626387939
lr_MAP4,0.8490117547458566
lr_MOE,0.8372081664550162
lr_MorganFP,0.7975481097977923
lr_Topology,0.7656051577610627
dmpnn_AtomPairFP,0.9008661391683761
dmpnn_Charge,0.7787112109667546
dmpnn_MAP4,0.8333821757676403
dmpnn_MOE,0.8289049526228387
dmpnn_MorganFP,0.8097261567516525
dmpnn_Topology,0.7800462375044773
ensmble_model,0.9496952295303345
