name,roc
xgb_AtomPairFP,0.9171632314154538
xgb_Autocorr,0.8972517990296638
xgb_AvalonFP,0.7603464556673505
xgb_Charge,0.7774413076747745
xgb_Connectivity,0.7417537690078475
xgb_Constitution,0.840578294422194
xgb_Estate,0.8395363224903128
xgb_EstateFP,0.6724951971606264
xgb_Fragment,0.712708801406662
xgb_InfoContent,0.772459379375468
xgb_Kappa,0.7325225489238385
xgb_MACCSFP,0.7810719286249227
xgb_MAP4,0.8876298394711992
xgb_Matrix,0.8573312493894696
xgb_MHFP6,0.8369313926606101
xgb_MOE,0.8536192243821432
xgb_MorganFP,0.8463254208589756
xgb_Path,0.7405164273387386
xgb_PharmacoErGFP,0.8133893393246721
xgb_PharmacoPFP,0.8036859757090293
xgb_Property,0.816792028914721
xgb_PubChemFP,0.7820650581224967
xgb_RDkitFP,0.8520399856728859
xgb_Topology,0.7696916414314089
xgb_TorsionFP,0.8256487903357104
rf_AtomPairFP,0.9036013154895641
rf_Autocorr,0.9243267884471362
rf_AvalonFP,0.7660121780469539
rf_Charge,0.770049819282993
rf_Connectivity,0.8214646217967503
rf_Constitution,0.789651916251506
rf_Estate,0.8091074859170979
rf_EstateFP,0.6389404447917685
rf_Fragment,0.6477972062127576
rf_InfoContent,0.8544658265767966
rf_Kappa,0.6614242453843899
rf_MACCSFP,0.8001204780046238
rf_MAP4,0.8766077301292696
rf_Matrix,0.8508514864380841
rf_MHFP6,0.7631955976685878
rf_MOE,0.8376477483637784
rf_MorganFP,0.8643319983067956
rf_Path,0.772101201523884
rf_PharmacoErGFP,0.8406434176679365
rf_PharmacoPFP,0.8274722412165023
rf_Property,0.7998599850216535
rf_PubChemFP,0.751001269903292
rf_RDkitFP,0.8381198918954121
rf_Topology,0.725261307023542
rf_TorsionFP,0.8631597798834293
fcnn_AtomPairFP,0.924981951713562
fcnn_Autocorr,0.8144369721412659
fcnn_AvalonFP,0.8582205772399902
fcnn_Charge,0.907050609588623
fcnn_Connectivity,0.9047831296920776
fcnn_Constitution,0.881182849407196
fcnn_Estate,0.9000413417816162
fcnn_EstateFP,0.8468130230903625
fcnn_Fragment,0.7987964749336243
fcnn_InfoContent,0.8880656361579895
fcnn_Kappa,0.9089359641075134
fcnn_MACCSFP,0.8607180118560791
fcnn_MAP4,0.9322933554649353
fcnn_Matrix,0.9084349274635315
fcnn_MHFP6,0.8978409767150879
fcnn_MOE,0.9114333391189575
fcnn_MorganFP,0.9155061841011047
fcnn_Path,0.8604958653450012
fcnn_PharmacoErGFP,0.8999121189117432
fcnn_PharmacoPFP,0.8936415314674377
fcnn_Property,0.8989514112472534
fcnn_PubChemFP,0.8606430888175964
fcnn_RDkitFP,0.8999250531196594
fcnn_Topology,0.9155759811401367
fcnn_TorsionFP,0.9074483513832092
lr_AtomPairFP,0.9026895900491682
lr_Autocorr,0.802236983491257
lr_AvalonFP,0.6662270847579044
lr_Charge,0.814333626387939
lr_Connectivity,0.7309758718374524
lr_Constitution,0.703396177265475
lr_Estate,0.7493080655139852
lr_EstateFP,0.5992315457002377
lr_Fragment,0.5162156881898994
lr_InfoContent,0.755820390088242
lr_Kappa,0.7287942431050765
lr_MACCSFP,0.6261437270033539
lr_MAP4,0.8490117547458566
lr_Matrix,0.7348995473934421
lr_MHFP6,0.7850607274266549
lr_MOE,0.8372081664550162
lr_MorganFP,0.7975481097977923
lr_Path,0.7098759402168604
lr_PharmacoErGFP,0.8132428120217511
lr_PharmacoPFP,0.5471003874833121
lr_Property,0.6990166389892872
lr_PubChemFP,0.6350493308586499
lr_RDkitFP,0.5967568623620202
lr_Topology,0.7656051577610627
lr_TorsionFP,0.5774315391879131
dmpnn_AtomPairFP,0.9008661391683761
dmpnn_Autocorr,0.773061769398587
dmpnn_AvalonFP,0.6236690436651362
dmpnn_Charge,0.7787112109667546
dmpnn_Connectivity,0.7439353977402233
dmpnn_Constitution,0.7797531828986356
dmpnn_Estate,0.7363811012340855
dmpnn_EstateFP,0.6386636709973625
dmpnn_Fragment,0.5573084562534597
dmpnn_InfoContent,0.8088307121226922
dmpnn_Kappa,0.7445215069519064
dmpnn_MACCSFP,0.7138647390185927
dmpnn_MAP4,0.8333821757676403
dmpnn_Matrix,0.7613070235420534
dmpnn_MHFP6,0.8296375891374427
dmpnn_MOE,0.8289049526228387
dmpnn_MorganFP,0.8097261567516525
dmpnn_Path,0.6853570381947837
dmpnn_PharmacoErGFP,0.8517794926899156
dmpnn_PharmacoPFP,0.7158672788251765
dmpnn_Property,0.7605255445931425
dmpnn_PubChemFP,0.7271010387157695
dmpnn_RDkitFP,0.8095470678258605
dmpnn_Topology,0.7800462375044773
dmpnn_TorsionFP,0.7295268796196803
svm_AtomPairFP,0.9020057959688709
svm_Autocorr,0.5155318941096024
svm_AvalonFP,0.8193643971215526
svm_Charge,0.7770831298231904
svm_Connectivity,0.7503825990687376
svm_Constitution,0.7524014196867573
svm_Estate,0.8008856761420989
svm_EstateFP,0.6863338868809221
svm_Fragment,0.57912474357722
svm_InfoContent,0.7171371821171566
svm_Kappa,0.8054443033440787
svm_MACCSFP,0.7779460128292794
svm_MAP4,0.8608641854710039
svm_Matrix,0.59485200742405
svm_MHFP6,0.9186447852560973
svm_MOE,0.5912702289082088
svm_MorganFP,0.9094624076063951
svm_Path,0.7636514603887857
svm_PharmacoErGFP,0.8505421510208069
svm_PharmacoPFP,0.8199667871446713
svm_Property,0.7260427859724529
svm_PubChemFP,0.7828790986942789
svm_RDkitFP,0.8699488782520921
svm_Topology,0.7658819315554687
