,fold,Top_n_feats,n_Dense,train_roc_auc,val_roc_auc,test_roc_auc,Ext_roc_auc,Ext_rm_sim_0_6_roc_auc,Ext_rm_sim_0_7_roc_auc,Ext_rm_sim_0_8_roc_auc,Ext_rm_sim_0_9_roc_auc,,,,,,
45,0,40,800,0.999964781,0.930072211,0.97504902,0.938328286,0.259259259,0.792631579,0.86713615,0.926643599,,,,,,
46,1,40,800,0.999938996,0.94821591,0.937598039,0.940542477,0.222222222,0.810526316,0.877652582,0.931650723,,,,,,
47,2,40,800,0.999971839,0.968054452,0.971284271,0.942072873,0.111111111,0.802105263,0.875492958,0.932179931,,,,,,
48,3,40,800,0.99992267,0.936842105,0.93536985,0.941779818,0.111111111,0.806315789,0.875868545,0.931040098,,,,,,
49,4,40,800,0.999935454,0.9400246,0.959261271,0.928396991,0.185185185,0.791578947,0.862065728,0.924119682,0.95571249,0.938224089,0.177777778,0.800631579,0.871643192,0.929126806
50,0,30,800,0.999899701,0.927929187,0.974803922,0.937677054,0.259259259,0.78,0.864976526,0.925829432,,,,,,
51,1,30,800,0.999874227,0.948269406,0.936666667,0.94562209,0.444444444,0.821052632,0.886948357,0.936942805,,,,,,
52,2,30,800,0.999939112,0.969197138,0.968253968,0.9466315,0.111111111,0.803157895,0.884976526,0.937960513,,,,,,
53,3,30,800,0.999789449,0.937621832,0.931273408,0.945915144,0.148148148,0.785263158,0.883849765,0.935884388,,,,,,
54,4,30,800,0.999848625,0.938351784,0.958174905,0.93279281,0.222222222,0.789473684,0.871549296,0.929859556,0.953834574,0.94172772,0.237037037,0.795789474,0.878460094,0.933295339
55,0,25,800,0.999888982,0.929513161,0.974558824,0.940509915,0.333333333,0.801052632,0.872769953,0.92928964,,,,,,
56,1,25,800,0.999868955,0.94794843,0.93622549,0.948487513,0.37037037,0.817894737,0.894741784,0.940403012,,,,,,
57,2,25,800,0.999933023,0.971134738,0.966955267,0.947347856,0.185185185,0.812631579,0.88685446,0.938733971,,,,,,
58,3,25,800,0.999705229,0.937426901,0.930102996,0.95506496,0.185185185,0.818947368,0.904600939,0.946672094,,,,,,
59,4,25,800,0.999834025,0.938942189,0.957767518,0.937188629,0.296296296,0.801052632,0.886384977,0.936210055,0.953122019,0.945719775,0.274074074,0.810315789,0.889070423,0.938261755
60,0,20,800,0.999607227,0.929652923,0.973872549,0.944319625,0.407407407,0.814736842,0.882159624,0.933767555,,,,,,
61,1,20,800,0.999679165,0.949232333,0.932843137,0.949268992,0.444444444,0.825263158,0.901032864,0.941339304,,,,,,
62,2,20,800,0.999687949,0.970786963,0.965800866,0.952101853,0.259259259,0.811578947,0.901032864,0.944880928,,,,,,
63,3,20,800,0.999526069,0.937426901,0.931694757,0.95907004,0.185185185,0.829473684,0.9142723,0.951557093,,,,,,
64,4,20,800,0.999630398,0.939680197,0.957993844,0.943342776,0.481481481,0.82,0.901220657,0.942926929,0.952441031,0.949620657,0.355555556,0.820210526,0.899943662,0.942894362
65,0,15,800,0.999471709,0.929140461,0.972990196,0.948096773,0.37037037,0.815789474,0.891924883,0.938530429,,,,,,
66,1,15,800,0.999419333,0.950302252,0.932107843,0.950962196,0.481481481,0.82,0.906666667,0.94361897,,,,,,
67,2,15,800,0.999143002,0.964725755,0.951659452,0.927810882,0.074074074,0.753684211,0.857183099,0.916914309,,,,,,
68,3,15,800,0.999275705,0.934551657,0.930383895,0.965777734,0.185185185,0.814736842,0.927511737,0.96014655,,,,,,
69,4,15,800,0.999149378,0.938204182,0.958265435,0.944840611,0.555555556,0.828421053,0.905539906,0.944188887,0.949081364,0.947497639,0.333333333,0.806526316,0.897765258,0.940679829
70,0,10,800,0.999738151,0.919916143,0.96872549,0.933899906,0.222222222,0.710526316,0.863661972,0.922287808,,,,,,
71,1,10,800,0.999835817,0.940191516,0.928578431,0.935365179,0.222222222,0.761052632,0.877840376,0.926765724,,,,,,
72,2,10,800,0.999202367,0.964676073,0.954401154,0.925108267,0.185185185,0.768421053,0.85314554,0.913779768,,,,,,
73,3,10,800,0.999444911,0.932309942,0.930664794,0.968773404,0.296296296,0.855789474,0.935492958,0.963647466,,,,,,
74,4,10,800,0.999505917,0.93603936,0.958355966,0.942040311,0.592592593,0.843157895,0.907887324,0.942682679,0.948145167,0.941037413,0.303703704,0.787789474,0.887605634,0.933832689
