col_names,roc,prc,Recall,Precision,f1,BA,accuracy,TN,FP,FN,TP,SP,SE,NPV,MCC,EF_0.01,EF_0.02,EF_0.05,p_stat,cohen_kappa
fcnn_new/p_adam_200_train_AtomPairFP_fold0.csv,0.990333803435883,0.9971936207386343,0.9879963065558633,0.9652683806946324,0.9765001140771162,0.9301507237588604,0.9628024557602023,526,77,26,2140,0.8723051409618574,0.9879963065558633,0.9528985507246377,0.8887633769248718,1.278393351800554,1.278393351800554,1.278393351800554,0.0,0.8873804878453281
fcnn_new/p_adam_200_train_AtomPairFP_fold1.csv,0.9920743886053754,0.9976558116220906,0.9842007434944238,0.9666818804198996,0.9753626525443242,0.9329431594295458,0.9613578909353557,544,73,34,2118,0.8816855753646677,0.9842007434944238,0.9411764705882353,0.8866240046377714,1.286710037174721,1.286710037174721,1.286710037174721,0.0,0.8858563556770555
fcnn_new/p_adam_200_train_AtomPairFP_fold2.csv,0.9945021950120557,0.998428628528039,0.987968533086534,0.9717796995903505,0.9798072510325838,0.9429974244380038,0.9682195738533766,546,62,26,2135,0.8980263157894737,0.987968533086534,0.9545454545454546,0.905935601987579,1.2813512262841276,1.2813512262841276,1.2813512262841276,0.0,0.9052548575587861
fcnn_new/p_adam_200_train_AtomPairFP_fold3.csv,0.992597416120383,0.9978608450347692,0.987072945521699,0.9669832654907282,0.9769248343614348,0.9330057928271844,0.9635247381726255,530,73,28,2138,0.87893864013267,0.987072945521699,0.9498207885304659,0.891045976679794,1.278393351800554,1.278393351800554,1.278393351800554,0.0,0.8899747075076095
fcnn_new/p_adam_200_train_AtomPairFP_fold4.csv,0.9919229291532197,0.9977052734161831,0.9875518672199171,0.967479674796748,0.9774127310061602,0.9337759336099585,0.9642470205850487,528,72,27,2142,0.88,0.9875518672199171,0.9513513513513514,0.8928233713307331,1.276625172890733,1.276625172890733,1.276625172890733,0.0,0.8917417497467612
fcnn_new/p_adam_200_val_AtomPairFP_fold0.csv,0.920335429769392,0.9664791639035581,0.9547169811320755,0.9068100358422939,0.9301470588235294,0.8168646634055439,0.8901734104046243,55,26,12,253,0.6790123456790124,0.9547169811320755,0.8208955223880597,0.6790937737411593,1.3056603773584905,1.3056603773584905,1.3056603773584905,2.1418222736535833e-64,0.6741834762353175
fcnn_new/p_adam_200_val_AtomPairFP_fold1.csv,0.9419033862943348,0.9836554836634164,0.9605734767025089,0.9337979094076655,0.9469964664310953,0.8384956935751351,0.9132947976878613,48,19,11,268,0.7164179104477612,0.9605734767025089,0.8135593220338984,0.7113047228933672,1.2401433691756272,1.2401433691756272,1.2401433691756272,5.487973580171499e-66,0.7091622303166153
fcnn_new/p_adam_200_val_AtomPairFP_fold2.csv,0.9676321542130366,0.9903848776720477,0.9742647058823529,0.9397163120567376,0.9566787003610109,0.8722674880763116,0.930635838150289,57,17,7,265,0.7702702702702703,0.9742647058823529,0.890625,0.7862684967431297,1.2720588235294117,1.2720588235294117,1.2720588235294117,3.413540247626221e-89,0.7830494304525029
fcnn_new/p_adam_200_val_AtomPairFP_fold3.csv,0.9175925925925926,0.9718315431468995,0.9703703703703703,0.9003436426116839,0.9340463458110517,0.7943957115009747,0.8930635838150289,47,29,8,262,0.618421052631579,0.9703703703703703,0.8545454545454545,0.6666875023005968,1.2814814814814814,1.2814814814814814,1.2814814814814814,3.5318583353930166e-59,0.6536817616187849
fcnn_new/p_adam_200_val_AtomPairFP_fold4.csv,0.9318081180811808,0.9776743546518956,0.966789667896679,0.89419795221843,0.9290780141843972,0.7767281672816728,0.884393063583815,44,31,9,262,0.5866666666666667,0.966789667896679,0.8301886792452831,0.6331795715723904,1.2767527675276753,1.2767527675276753,1.2767527675276753,9.924197837077054e-61,0.6191314876988276
fcnn_new/p_adam_200_test_AtomPairFP_fold0.csv,0.9564705882352942,0.987216528508525,0.9448529411764706,0.927797833935018,0.9362477231329691,0.839093137254902,0.899135446685879,55,20,15,257,0.7333333333333333,0.9448529411764706,0.7857142857142857,0.6956249896622135,1.2757352941176472,1.2757352941176472,1.2757352941176472,3.017850314717426e-73,0.6949642094687931
fcnn_new/p_adam_200_test_AtomPairFP_fold1.csv,0.9168872549019608,0.9723201274046331,0.9669117647058824,0.906896551724138,0.9359430604982206,0.8034558823529412,0.8962536023054755,48,27,9,263,0.64,0.9669117647058824,0.8421052631578947,0.6742240082034776,1.2757352941176472,1.2757352941176472,1.2757352941176472,3.8737910900308623e-57,0.664680302786278
fcnn_new/p_adam_200_test_AtomPairFP_fold2.csv,0.9664983164983165,0.9896303736475205,0.9629629629629629,0.9454545454545454,0.9541284403669724,0.884078884078884,0.9279538904899135,62,15,10,260,0.8051948051948052,0.9629629629629629,0.8611111111111112,0.7871274830802059,1.2851851851851852,1.2851851851851852,1.2851851851851852,1.1973823463137186e-86,0.7864089622060815
fcnn_new/p_adam_200_test_AtomPairFP_fold3.csv,0.9101825842696629,0.9641711104686204,0.9700374531835206,0.9087719298245615,0.9384057971014493,0.8225187265917604,0.9020172910662824,54,26,8,259,0.675,0.9700374531835206,0.8709677419354839,0.70919763960285,1.299625468164794,1.299625468164794,1.299625468164794,2.93508329039877e-63,0.7002083650963054
fcnn_new/p_adam_200_test_AtomPairFP_fold4.csv,0.9460211841390549,0.977551609604483,0.9505703422053232,0.929368029739777,0.9398496240601504,0.8621899330074235,0.9077809798270894,65,19,13,250,0.7738095238095238,0.9505703422053232,0.8333333333333334,0.7432936910752309,1.3193916349809887,1.3193916349809887,1.3193916349809887,4.104810877843524e-77,0.7424263511946184
