model,auc
all_model,0.9473114013671875
remove_AtomPairFP,0.9250904321670532
remove_Charge,0.9465340971946716
remove_Kappa,0.9471487402915955
remove_MAP4,0.9454597234725952
remove_MOE,0.9458987712860107
remove_MorganFP,0.9468517899513245
remove_Topology,0.9459452629089355
